Dataset,Epoch,Loss,Accuracy,MSE,Split,Model,partition
HUANG INTER->INTRA0,8,0.706946,80.667,0.15909,Validation,D-SCRIPT, INTER->INTRA0
GUO INTER->INTRA0,9,3.90181,50,0.499103,Validation,D-SCRIPT, INTER->INTRA0
DU INTER->INTRA0,8,1.7472,49.941,0.461088,Validation,D-SCRIPT, INTER->INTRA0
PAN INTER->INTRA0,6,0.656165,78.121,0.172226,Validation,D-SCRIPT, INTER->INTRA0
RICHOUX INTER->INTRA0,3,1.27686,59.899,0.326142,Validation,D-SCRIPT, INTER->INTRA0
D-SCRIPT UNBAL. INTER->INTRA0,2,0.370641,92.181,0.0707615,Validation,D-SCRIPT, INTER->INTRA0
HUANG INTER->INTRA1,10,0.800145,54.25,0.282382,Validation,D-SCRIPT, INTER->INTRA1
GUO INTER->INTRA1,10,2.445,52.4,0.399006,Validation,D-SCRIPT, INTER->INTRA1
DU INTER->INTRA1,5,2.42242,50.854,0.456889,Validation,D-SCRIPT, INTER->INTRA1
PAN INTER->INTRA1,8,0.761393,76.183,0.19188,Validation,D-SCRIPT, INTER->INTRA1
RICHOUX INTER->INTRA1,2,1.24603,62.336,0.29578,Validation,D-SCRIPT, INTER->INTRA1
D-SCRIPT UNBAL. INTER->INTRA1,1,0.287841,94.088,0.0527829,Validation,D-SCRIPT, INTER->INTRA1
HUANG INTRA0->INTRA1,6,1.4969,50,0.394299,Validation,D-SCRIPT, INTRA0->INTRA1
GUO INTRA0->INTRA1,1,3.94467,49.2,0.499523,Validation,D-SCRIPT, INTRA0->INTRA1
DU INTRA0->INTRA1,3,2.46908,51.415,0.448963,Validation,D-SCRIPT, INTRA0->INTRA1
PAN INTRA0->INTRA1,10,1.35548,64.113,0.29662,Validation,D-SCRIPT, INTRA0->INTRA1
RICHOUX INTRA0->INTRA1,4,2.45475,55.238,0.410055,Validation,D-SCRIPT, INTRA0->INTRA1
D-SCRIPT UNBAL. INTRA0->INTRA1,1,0.523915,92.075,0.0766527,Validation,D-SCRIPT, INTRA0->INTRA1
HUANG INTER->INTRA0,10,1.24151,51.2,0.380253,Validation,Topsy-Turvy, INTER->INTRA0
GUO INTER->INTRA0,1,1.88269,49.972,0.473062,Validation,Topsy-Turvy, INTER->INTRA0
DU INTER->INTRA0,9,0.96996,70.998,0.234817,Validation,Topsy-Turvy, INTER->INTRA0
PAN INTER->INTRA0,8,1.45431,55.863,0.341577,Validation,Topsy-Turvy, INTER->INTRA0
RICHOUX INTER->INTRA0,3,1.20542,71.606,0.241154,Validation,Topsy-Turvy, INTER->INTRA0
D-SCRIPT UNBAL. INTER->INTRA0,3,0.357943,92.046,0.0748272,Validation,Topsy-Turvy, INTER->INTRA0
HUANG INTER->INTRA1,1,2.34146,49.583,0.487555,Validation,Topsy-Turvy, INTER->INTRA1
GUO INTER->INTRA1,4,1.13001,50.533,0.37089,Validation,Topsy-Turvy, INTER->INTRA1
DU INTER->INTRA1,5,1.02773,77.497,0.192625,Validation,Topsy-Turvy, INTER->INTRA1
PAN INTER->INTRA1,7,0.770217,80.155,0.173463,Validation,Topsy-Turvy, INTER->INTRA1
RICHOUX INTER->INTRA1,9,1.68849,55.699,0.372284,Validation,Topsy-Turvy, INTER->INTRA1
D-SCRIPT UNBAL. INTER->INTRA1,1,0.285709,94.218,0.0520302,Validation,Topsy-Turvy, INTER->INTRA1
HUANG INTRA0->INTRA1,9,1.62061,49.75,0.436035,Validation,Topsy-Turvy, INTRA0->INTRA1
GUO INTRA0->INTRA1,2,2.31577,49.4,0.476974,Validation,Topsy-Turvy, INTRA0->INTRA1
DU INTRA0->INTRA1,10,1.18554,62.433,0.312154,Validation,Topsy-Turvy, INTRA0->INTRA1
PAN INTRA0->INTRA1,5,1.02932,67.085,0.257669,Validation,Topsy-Turvy, INTRA0->INTRA1
RICHOUX INTRA0->INTRA1,7,2.67347,54.727,0.425088,Validation,Topsy-Turvy, INTRA0->INTRA1
D-SCRIPT UNBAL. INTRA0->INTRA1,1,0.557483,91.853,0.0793014,Validation,Topsy-Turvy, INTRA0->INTRA1
