O00142 Q8N4B1
Q969D9 Q86XD8
Q6RFH5 Q03154
Q8IXY8 Q8WYQ5
Q96LB3 O15375
Q9NQZ2 Q9NYX4
O60284 Q9NRX2
Q9Y675 P40225
O60353 Q7Z7B1
Q2M218 P35052
Q9UP65 Q96BD8
Q99558 Q9ULY5
P0CJ90 P58499
P0DMQ9 Q9Y5G5
Q9UHF4 Q2T9K0
Q9P1P4 O15503
P25490 Q96BN6
Q9NWN3 Q6L8G5
P0DM35 P34913
P49281 Q9UNQ2
Q9HBU9 Q9NX36
P61236 Q587I9
Q96IL0 Q8TF64
Q86XQ3 Q8NA77
Q96JM7 Q96T54
O43614 Q5JXC2
Q8IY45 Q13562
Q6UX07 P10632
Q7Z6J8 O15374
O43463 Q00839
Q9H808 Q8NDN9
Q9Y442 Q9BY79
P51157 P78368
O75373 O00624
Q8NCF0 O95171
Q6IC98 Q9UBE0
O75953 Q8N3F8
Q9BZG8 Q5T750
Q9HCJ1 P10599
Q6UXD7 P14672
Q96SB3 Q15506
Q9BYR9 Q9Y2B1
P20823 Q9H098
Q13278 P10827
O43395 Q9BSH5
O43776 Q14D33
Q14641 Q8TEL6
P11362 Q8N7I0
Q8NGG4 Q96BQ3
P30542 P47895
Q9H2B4 Q6UXS9
Q8WVD5 Q8N6M3
O60884 P12525
Q96MU6 P03999
Q8NBJ5 A6NJG6
A6NF89 Q8NH61
H3BNL8 P24347
P47901 Q15345
P52943 Q8NEE8
Q2WGN9 P06340
Q9Y3P8 Q8ND04
Q7Z6W7 Q8IWX7
P30501 Q9NZ53
Q8TAX0 Q9HAE3
Q8NGI6 Q8N0V4
Q96SN7 Q9Y3B1
Q5TA76 Q8NHV5
Q96MU6 Q6ZNG0
P23327 P02652
P20851 O00186
Q5MY95 Q9Y5N6
Q4G0N7 Q86YJ5
P25189 Q8NHV1
O00258 P01767
Q96M29 O15528
O43657 P16860
Q9BY31 Q14990
Q9NQZ3 Q5TZK3
Q9NV23 Q68CZ6
Q3YBM2 A6NLW8
Q9H0K6 O15127
A6NHY2 Q9Y4H4
Q9NX77 Q8N339
Q8NB16 P60369
P49760 P16452
P15814 P31939
P46459 Q8TAI1
P60022 P60709
Q9UFB7 Q6UXL0
Q9BYU5 Q96P66
P60891 P23490
Q6XCG6 O60284
Q8NG77 Q96BR9
Q96S42 Q9Y2Y6
O60812 Q969K4
P00739 Q99819
P01566 P50416
Q86YW5 A2RUQ5
Q5MJ68 Q9NS26
O00231 Q86V97
Q96BF6 Q86TA1
Q9Y547 O95674
Q9NWW5 P05496
P07358 P24046
Q3ZCQ2 P52569
Q96T66 Q9NWW6
Q8N543 Q9HAJ7
Q495W5 Q9NWS8
Q9NR28 Q01167
Q9BWL3 O75409
Q8IYN2 Q8IUI8
