P62258 Q9UKT5
Q7RTY1 Q9Y3B7
P06340 Q04864
Q9H257 P08727
P41235 P23246
Q13643 A2VCK2
P11836 Q8N6L0
Q9UJX2 Q9Y2D8
O15105 Q92905
Q96T60 Q9NVV9
Q92802 O43447
Q86VS8 P21757
A8MQ03 O75800
Q9UGK8 Q96FX2
P27448 Q8WXK3
P0DMM9 P34896
Q96CD2 Q13427
Q9UJV3 P17482
P00973 P14373
Q96NR8 P0CG48
Q9BYR5 Q7Z3C6
Q96SQ5 Q59EK9
Q9Y3C5 P0CG47
P14373 Q13895
Q96DZ9 Q99909
Q9BWG6 Q0VD86
Q6L8G9 Q5T5B0
Q12800 Q9UF47
P42773 Q9UJ70
P08631 Q9HD26
Q16610 O75934
P56545 Q32MQ0
Q96IW7 P21757
Q96C00 P59991
Q8NHQ1 Q8NDP4
Q9NYB9 Q9NQY0
P43628 P30501
Q7L273 Q9H257
Q8IYF3 Q96GY3
Q96D03 P16118
O95336 Q9NYB0
P61289 P38432
P27449 P25788
Q53G59 Q7Z6J4
Q15287 Q9H307
P27986 P58753
P51504 Q86X02
P62805 Q9Y468
Q9HCB6 A8MQ03
P07900 Q02790
Q6P1M9 Q92624
P62979 Q13137
Q9NPC3 P14635
Q9H596 Q9H8Y8
Q8IVT2 Q12933
P62993 P30530
Q9H190 Q8N9N8
Q99909 Q8TD10
P63208 P62136
Q96CS2 Q8N0S2
Q99757 Q8IZU0
Q9Y2D8 P17036
Q96FJ0 P14373
O95260 O43463
Q9HCM9 Q9BUE0
Q5SY16 P53041
Q7Z434 Q9Y2W7
Q9BXN2 Q8N5M9
Q8WXA2 Q0VD86
P26196 Q96F86
Q9H2X0 Q7Z3S9
Q8TAU3 P50222
Q9NZD8 Q8WW24
P14866 P40337
Q96S65 P29972
P08138 P33681
P61968 O75934
Q7Z7H8 Q8ND90
P05813 P53674
Q99549 P68431
Q13043 P60520
Q8N205 Q8N6G5
Q8IW41 P04792
O75934 Q08379
O43865 P55040
Q13643 O75031
Q9BYR7 Q5T5B0
Q13077 Q2TAL8
P54886 Q6RW13
P04637 Q9Y297
Q5I0X7 Q99856
P50221 Q9UBU8
Q9UH92 Q08117
Q96RJ6 O15481
Q9UBB9 O43482
Q8WTU0 Q9NRJ3
Q13426 P12956
P30307 P53350
Q9NPJ6 Q99909
Q9UL17 P23771
Q712K3 Q92624
Q9NZ42 Q92542
Q96FQ7 Q2TAC2
Q06547 P61968
O95273 Q9P0T4
P31260 P17947
O00257 Q9BYE7
Q16537 P30154
P60411 Q3B820
Q9H0R8 O75323
Q9BQ66 Q9NUY8
Q8TAE8 Q92997
Q86SE5 Q96IZ5
Q8TBB1 O75679
Q6NUQ1 O43602
P41182 P0CW20
Q7Z6W1 P57075
Q3LI76 Q96MT4
P49247 P22061
O43829 Q17RD7
Q96PU4 P04637
Q92993 P11926
Q99750 Q15475
Q12901 Q99750
P26371 O43597
Q13287 Q96QG7
Q9UKT9 P52597
O95073 Q13131
Q5T754 P49639
Q96JM7 P62875
Q15973 P60409
Q92871 P20340
O95983 Q9BYV2
Q9BRJ6 Q9NVV9
P06241 Q9HCN6
P60409 Q5TZK3
Q96T60 Q15025
Q96A05 Q9BUW7
P31273 Q9H2G9
Q8N9E0 Q8NHQ1
P01037 O43765
Q2TAL8 O43186
P55851 P60409
P62308 P62304
P78356 Q6NT76
Q8WVV9 Q96PU8
Q14331 Q6A162
Q96HT8 O00560
Q6A162 Q13131
Q96LI6 Q7L1I2
Q9NVV9 Q9NYP9
Q9BT49 Q6A162
Q86XT4 O75604
Q9GZQ8 Q15424
Q9NXR1 Q70YC5
O75586 Q9NX70
Q14192 P33176
O43639 Q13153
Q49AN0 Q13363
Q9BYR2 Q9NUL5
Q15796 O15111
O43809 Q86X55
O15160 Q9BRK4
P78424 Q2M1V0
P43364 Q96HA8
Q99459 P62136
Q969T4 Q96GF1
P02538 Q15834
Q9BVV2 Q8IZU0
P62136 Q96S65
Q9BYQ4 Q6L8G4
P11142 Q9UNE7
Q7Z3B4 Q8IY31
Q71UM5 Q00987
Q9BSI4 Q9NUX5
Q9BYR8 Q7Z3S9
P31947 Q8NHY2
O75530 P63244
Q08379 P57771
Q9GZV8 P09234
Q96CG3 Q8N4T4
Q6A162 Q8NDP4
P25791 Q0VD86
Q9H257 Q6NYC8
Q9UGK3 O14920
Q8TBB1 P61457
Q8TD16 Q15560
Q8IYL3 Q13422
P04156 P05067
Q96IV0 P54725
Q9NVV9 P06753
Q6A162 Q9NXC2
Q9BYR9 Q5T754
Q5TZK3 Q6A162
P02730 P02724
Q8NHQ1 Q8TAU3
Q5T2D3 P60484
Q5TA78 O76081
P54646 Q93062
Q9BYQ3 Q7Z417
P29972 Q16348
Q15173 P67775
P23396 Q00987
O00522 O14713
Q08379 P61968
P28300 O95967
P43364 Q9NXH9
P35813 Q9H6Z4
Q13064 O15151
Q14232 Q7Z3Z2
Q13137 Q8IYX8
Q15323 Q9BZE9
P25791 O75934
Q15311 Q96C28
Q19T08 O14818
P30505 P43628
Q13485 Q15797
Q15014 Q9UL42
O95872 O43482
O76015 Q8TAB5
P51946 P10276
Q8TBZ8 Q04864
P57086 Q9H8Y8
O75553 Q96HR8
O60941 Q96EV8
O60941 Q9NYB9
O43741 Q13131
