P06730 Q9NRA8
Q96NZ8 O14793
Q9NQS3 Q15223
P61073 O60603
Q96M63 Q96CS2
Q05D60 Q7Z3I7
Q06250 Q6A162
Q8TBZ0 Q8TB45
Q04864 Q9UL33
P60409 Q9GZP9
P01106 Q86XR8
Q99873 Q01844
Q9NVV9 Q86SE5
Q9BTE7 Q8TBB1
Q8IYS1 P48775
O75896 Q93062
Q5W5X9 O75478
Q8N0V3 Q96DZ9
Q99750 Q9NWQ4
Q99956 Q16539
Q15025 Q00403
Q15654 P54725
Q9Y2D8 Q8NDC4
Q99757 Q9UJ41
P15884 Q08117
Q8IUH5 P60880
Q6A162 Q9HC98
Q9NR28 Q15041
Q13485 P23769
Q9BT40 Q15041
Q13557 Q9UQM7
Q14331 Q6A162
P62993 Q13191
P60410 Q8NEC5
Q8WVV9 P61978
O75396 Q9P2W9
Q93062 Q9NQ87
Q15323 P07510
P11926 Q9H8Y8
P62993 Q15109
P42768 O43516
Q6P1W5 Q6PKX4
A5D8V6 P35638
Q8TAU3 Q96EG3
P63000 Q9BYG4
O96020 P38936
O95751 Q96GM5
Q9BT92 Q01850
P50222 Q13065
P23497 Q8TF65
Q99497 P10275
O14744 Q01094
P62140 Q6NXS1
Q9BS16 Q96HT8
Q5I0X7 Q9Y5V3
P60410 Q9BYQ3
Q9NVC6 Q6P2C8
Q9H444 Q5VW32
Q9NV29 P50222
Q15038 Q96KP6
Q15323 Q2WGJ6
P60409 Q9UGP5
Q05519 Q66PJ3
O43741 P15976
Q7Z417 Q9BQ66
Q96JM7 Q9NWX5
P78358 Q9Y5R4
Q9HC52 Q7L273
Q07627 P49639
O60239 Q06187
Q969F0 Q95460
P50222 Q8IYE1
Q9NQ79 Q15555
Q9BUW7 P35900
Q6QNY0 Q96EV8
O96018 A7MCY6
Q96Q77 Q5JT82
Q96KN1 O96017
P25800 Q9UJ70
P60520 Q9H6L5
Q9NX04 Q6P1W5
Q96CS2 O60341
Q99627 Q9UNS2
Q8TAK6 O14796
Q14584 Q8WV44
Q9P209 P25786
P60520 Q9Y4P1
Q9BSW2 Q96D31
P55061 Q9BSE4
Q68DV7 P0CG47
Q96M27 Q15437
P54253 Q96N03
Q9UJV3 Q9H1K1
Q9H6T3 Q96MX6
P17031 Q8WV44
P60410 Q02930
Q92786 P41235
O76081 Q5T7P3
P49760 Q9BYD3
P49336 Q01094
Q14186 O14640
P50222 A6NJB7
Q7Z3S9 P48645
Q9UPY8 P05412
Q8TAB5 P09493
P29350 P06239
Q5TA78 P50222
Q9BUZ4 Q8N9I9
Q9Y577 Q8WV44
P49841 O75398
Q9Y5B8 Q8TBB1
P35225 P78552
P17752 Q9H8Y8
P86479 Q96MN9
Q9UIS9 O15379
P49639 Q07627
P14920 O43741
Q9H0F6 Q9BYM8
P26998 P05813
Q13740 P09382
P60709 Q9Y281
Q9P127 P49760
Q9NX47 Q96B02
P15173 Q96RK4
Q9NQX5 Q99750
Q8TAP6 Q13526
Q19T08 P60484
P05783 Q99816
Q9UJV3 Q86W54
Q92734 Q9UBV8
P16333 Q9Y5X2
P63167 Q8TD19
Q15323 Q9UQR1
Q6NT76 Q9P0T4
Q9NR12 Q7L5A3
Q9P0T4 O75031
Q9UBX0 O60341
Q96HA8 Q9BX70
Q92844 P53350
A8MQ03 Q9BYR9
Q7Z3S9 Q5T7P3
O15372 Q9NRI5
Q13489 Q13077
Q9HBU6 Q9UHD9
Q13131 P54619
Q9NR22 Q99873
Q5HYW2 P45984
Q14D33 P61978
P60409 Q9BYR5
P29972 Q14525
O75478 Q5W150
