Q12192 Q08986
P43682 P11972
P47090 P18238
P38112 P35842
Q07921 O14455
P17555 P13259
P42839 P25580
P25615 P25301
Q02805 P15303
P43545 P38208
P38264 P35184
P39101 P32634
Q03125 P00331
P47135 P42942
P53941 P33122
P40957 P25357
P43572 P40554
P28743 P25453
Q07914 Q06679
Q04062 P18239
Q00582 P40478
P43602 P39744
P45818 P38995
P36027 P09734
P46947 O13297
P53116 P39744
Q06676 P38204
Q6Q547 P38240
Q12034 P25297
Q99278 P40016
Q06708 P40014
P32829 P31378
P47167 P00724
Q08683 P33750
Q02630 P38304
P39552 P35728
P40509 P15646
Q08975 P38270
P20434 P11745
P48566 P21304
P16862 P10566
P40352 P28743
Q12024 P33754
Q02775 P39966
Q12432 P38270
P40564 P08518
P17891 O13530
P46676 P39730
P40492 P33304
P53389 P08153
P48361 P19358
Q04675 Q02895
Q12044 P42841
Q06164 P47025
Q12161 P47165
P53865 P40075
P32835 P21190
Q06630 P02829
Q12411 P15938
P53207 P24384
P38776 P32629
P42841 P40496
P81450 P21192
Q08144 P43132
P40453 P39987
P38086 P32337
P37296 P33296
Q02776 P38682
Q08746 P47090
Q12208 P32828
Q04307 P25293
Q12389 P38288
P53939 P07249
Q08773 Q03976
P38993 P29311
Q06205 P48813
P38861 P23776
Q03125 P54786
P46674 P38690
P47029 P41912
Q07478 P39990
Q12159 P13259
P48813 P23594
P47185 P20448
Q12050 Q07732
P53313 P39010
Q06488 P38156
P87108 P08431
Q12241 P42841
Q04048 Q01159
Q08949 P26309
Q04005 P22082
Q07471 P22139
Q02336 P38713
Q12071 P47011
Q07800 P38708
P40469 P32902
Q03656 Q03148
Q03691 P09798
P35203 P32788
P50090 P32797
P41546 P38960
Q07993 P38085
P53142 P41805
P38293 P22579
Q12159 Q03691
P53181 P19263
Q04031 P35180
Q12018 Q03860
P38930 P32529
Q04930 P32529
P43562 P40518
P40475 P07170
P39563 P32829
P53045 P25296
P38181 P02829
P38286 P31412
P17065 P04051
Q03897 P38717
P33338 P22035
Q12265 P33759
P46678 P06102
Q03792 P21651
P32350 P00854
Q07732 P50875
P48234 P39551
P42946 P25298
Q12349 Q06102
Q08902 P32264
P50108 P15367
P38863 P32836
P38822 P35180
Q12223 P22219
P36027 P25382
P38257 P16522
Q06200 P10622
Q12186 P38272
P46961 P25515
P53250 P38272
P53933 P25297
P28743 P11076
Q12055 P43596
Q06091 P07256
P39987 P26798
P47012 P43560
Q12124 P26343
P24719 P00410
P38837 P02294
Q00873 P39994
P39010 P00330
P39960 P21190
P38811 P11709
Q02908 P53823
P53965 P29055
Q06178 P53142
Q07904 P42846
Q12107 P32807
Q08965 P39706
Q12495 P06100
P33754 P33339
P38920 P25604
P38817 P20424
P33323 P13574
P45976 P39703
P53754 P26449
Q08109 P40060
Q12522 P39524
P40456 P32610
P23285 P09232
Q01329 P31412
Q06554 P39717
P47074 P32453
P35817 P31385
P40527 P38063
P40456 P38637
Q07986 P40518
P38953 P08456
Q05785 P40090
P38723 P21801
P41815 P23255
Q12415 P00331
Q12336 P38915
Q06411 P25441
Q12083 Q02825
Q12483 P27692
Q07887 P12294
Q06216 P38915
Q12692 P32350
P53750 P18410
P35723 P16649
Q04660 P38240
P53824 P39009
P32499 P32495
Q06005 Q04921
P53824 P38794
P81450 P20134
P53740 P39946
Q08931 P26188
P40077 P32381
P42945 P32333
Q08553 P51534
P52910 P43621
P49435 P23285
Q12174 Q08732
Q08491 P38962
P32805 P28239
Q03162 P53740
Q02516 P53032
P53847 P32915
P22135 P19659
P80428 P53851
P53231 P24870
Q01217 P08431
P48415 P42942
P39730 P38723
Q02908 P38699
Q04307 P39946
P53910 P32485
P36012 P07249
P50104 P42935
P38872 P03069
Q12390 P15367
Q03071 P54862
P53735 P05986
P53750 P17123
P40857 P38147
Q03940 P43569
Q12154 P33441
P36094 P32902
Q03750 P36027
P40460 P36107
P38883 P26309
P47057 P13382
Q12349 O14467
P40032 P39010
Q04002 P46669
P40496 P33332
P25346 P04786
P32828 P06784
P43621 P25360
Q06488 P15367
P53250 P47061
P46954 P33760
P47027 P32783
P23595 P00729
P32805 P14737
P43602 P32504
Q06409 P43605
P38262 P22804
Q06135 P08678
P53878 P47134
P23561 P04050
P40507 P32910
P43639 P36034
Q03579 P46674
P49018 P39008
Q06200 P38304
Q12297 P23644
P53616 P25558
P53141 P20050
Q12446 Q00873
P53851 P06775
Q05871 P40357
Q02795 P05030
Q06344 P25342
P36116 P25451
Q12396 P53184
Q02948 P52960
P40892 P40434
P40555 P11710
Q04493 P38699
Q03656 P13434
Q05871 P20457
P53388 P16474
Q12402 Q02890
P41818 P40541
P43622 P38953
P40482 P34161
Q02939 P38910
P53845 P47132
P53855 P16661
Q07921 Q04493
P43621 P32364
Q07921 P37370
P35189 P11746
P39682 P17505
P53893 P07703
Q03162 P50090
P39685 P11154
P40960 P23641
P47012 P38072
Q08032 P50091
P38723 P00420
Q99344 Q12118
Q06449 P46671
Q12223 P38705
Q07904 P32457
P40003 P25632
P35189 P34223
Q08278 P36012
P36973 P16370
Q08278 O14455
P53032 P08456
Q12749 P02293
P40073 P39112
P31539 P25580
P53169 P38819
P53039 P47064
Q06339 P14741
Q99278 P08456
P40360 P39996
P40038 P06700
Q12050 P54861
Q12018 Q06815
P40513 P26188
P43594 P38719
P47037 P38138
Q06408 P36104
Q12450 P53258
Q04894 P13902
Q06624 Q02774
P47110 P23641
P13433 P04912
P53389 P33891
Q08723 P24384
Q12082 P29468
P32581 P14291
P53233 P19658
Q07350 Q02159
Q06549 P38699
Q03897 P08539
Q06632 P38959
P38629 P32341
P15442 P08518
P35842 P00724
P53959 P39531
P35718 P00431
P40032 P05986
P40069 P38907
P80667 P38086
P32833 P32523
P40960 P40094
Q12151 P39552
Q06630 P54862
P53093 P43586
Q06339 Q03330
P35172 P22214
P40395 P40360
P81450 P32573
P40462 P20484
Q02793 P53914
P32897 P22137
Q12372 P53600
P38692 P16370
Q05016 P87284
Q06551 P14906
P47821 P22224
P40450 P35169
Q07478 P40005
Q07800 P48566
P25303 P10961
P40510 P32783
P31384 P20095
P40094 P38352
Q12100 Q04847
P53115 P25376
Q12243 Q05998
P36022 P16649
Q01080 P36047
P38316 P07256
P38842 P25559
Q12301 Q02775
Q12194 Q06169
P53290 P23776
P35179 P10355
P38872 P30606
P40316 P32387
Q08980 P23639
Q12157 P42073
Q12450 Q02767
P39112 P29469
P53081 P11972
P25453 P19454
P46957 P12294
P43622 P40857
P40453 P38112
P39734 P28239
Q12300 Q06675
P45818 P23287
Q08387 Q08162
P43604 P30656
Q02805 P39523
P53616 P38810
Q07528 Q03702
Q12230 P40357
Q00772 P26188
P41896 P07262
P41800 P25579
P53131 P03965
Q07509 P40325
P38695 P32527
Q08278 P40529
P36125 P25567
P47115 P00724
P25719 P08518
P38346 P38072
P38838 P38138
Q03018 P18239
P38254 P35723
P38523 P30771
P53959 P23561
P40340 P38191
P38792 P10961
Q06616 Q03691
Q08444 P53093
Q07084 P22276
Q07732 P26798
P52593 P35201
Q02608 P57743
P80667 P25045
P53108 P40992
Q12267 P38337
P38910 P20436
P53893 P32334
Q03981 Q03103
P38996 P22140
Q02260 P32341
P40574 P40060
P41813 P06786
P32495 P21190
P39112 P38801
P53237 P53096
Q06815 P53061
Q01454 P32909
P39994 P20457
P43562 P17119
Q12066 P54199
Q07980 P38324
Q12306 Q02206
P47058 P08964
P53032 P32368
P40574 P04911
Q12222 P20434
P49955 P36125
P39520 P09119
P40395 P39992
P47123 P40453
Q08911 P47110
Q08271 P40020
Q08004 P40969
P41697 P11914
Q03254 P40510
Q04226 P35180
P41805 P38302
Q12462 Q12309
P39004 P36049
P52919 P39001
Q08245 P39702
P29055 P07347
P25302 P07260
Q12100 Q04089
P54885 P53176
P39704 P06701
P22515 P09457
P81450 P53952
P40450 P40048
P38301 P21691
P53823 P33892
Q08287 P15705
Q12159 Q02948
P33331 P14908
Q07509 P29295
P35191 P32641
Q99299 P36104
Q12306 P45976
P40438 P21268
P35201 P32794
Q12443 P53191
P54862 P04386
Q01217 P36080
P39702 P38867
P38723 P20433
Q04847 P38903
Q06676 P19358
P40892 P36120
P38703 P25646
P54854 P47083
Q04511 P38298
P27692 P25657
P32319 P22135
P40362 P38910
P38962 P25584
P43587 P38911
P46965 P38636
P53256 P38068
P38881 P33333
P40991 P29056
P47187 P31688
P33420 P23585
P38068 P32909
P40010 P04817
P38264 P00958
P29468 P23724
P40069 P38439
P50104 P23291
P36224 P25441
Q12276 P13393
Q12159 P38757
Q06224 P38904
Q12343 P53253
P54854 P53163
Q04359 P38191
Q04930 P30606
Q03790 P32803
P23624 P10823
P40465 P33421
Q00772 P25808
P53824 P37302
P40341 P35184
P53968 P36147
P47124 P40475
Q12044 P42934
Q12434 Q01217
Q06644 P38744
Q12464 P38237
Q08649 P38147
P38123 P36129
Q02793 P32805
Q99344 P33760
Q12365 P07261
P43605 P38783
Q05016 P53280
P46964 P04912
P53735 P32479
Q02260 P25045
P21651 P00958
Q03954 P40438
P47120 P17106
P38353 P32786
Q99394 Q03691
P39926 P32838
P53250 P38819
Q12243 P47025
Q03435 P38313
Q12174 P53211
Q02732 P36103
Q01852 P36116
P28006 P19659
P47115 P38627
P40574 P33767
P35210 P07256
P50091 P43545
P53044 P32468
Q00955 O74700
P28519 P08018
Q12368 P39534
P46676 P38692
P80428 P25644
P39113 P32629
Q12174 Q06411
P40518 P35206
P39548 P38768
P39734 P00175
P32571 P21951
Q12071 P40565
Q12158 Q02516
P39007 P38930
Q06631 P25346
P49956 P38821
P53171 P40167
Q02336 P41544
P48510 P07991
Q03213 P24871
P38744 P14359
Q06102 P53070
Q02100 P48568
Q12411 P32558
P41807 P39720
Q12082 Q08245
Q05931 P36121
P40160 P07703
Q01560 P07256
Q12335 P39954
P53924 P53259
P53959 P40457
P39715 P32838
Q03406 Q02630
P39534 P32801
P81450 P36094
P04456 P00128
Q07540 P00924
Q08235 P26754
P53337 P33755
