Model	Dataset	Metric	Value	Split
dscript	du	Accuracy	0.7105	both->0
dscript	du	Precision	0.8821	both->0
dscript	du	Sensitivity	0.486	both->0
dscript	du	Recall	0.486	both->0
dscript	du	Specificity	0.935	both->0
dscript	du	MCC	0.4712	both->0
dscript	du	F1	0.6267	both->0
dscript	du	AUC	0.7105311188173025	both->0
dscript	du	AUPR	0.6857053227593495	both->0
dscript	du	TP	2663	both->0
dscript	du	FP	356	both->0
dscript	du	TN	5123	both->0
dscript	du	FN	2816	both->0
dscript	du	Accuracy	0.4953	both->1
dscript	du	Precision	0.3837	both->1
dscript	du	Sensitivity	0.0155	both->1
dscript	du	Recall	0.0155	both->1
dscript	du	Specificity	0.9751	both->1
dscript	du	MCC	-0.0334	both->1
dscript	du	F1	0.0298	both->1
dscript	du	AUC	0.49530736743313	both->1
dscript	du	AUPR	0.49819933866620103	both->1
dscript	du	TP	33	both->1
dscript	du	FP	53	both->1
dscript	du	TN	2078	both->1
dscript	du	FN	2098	both->1
dscript	du	Accuracy	0.5	0->1
dscript	du	Precision	0.5	0->1
dscript	du	Sensitivity	0.0019	0->1
dscript	du	Recall	0.0019	0->1
dscript	du	Specificity	0.9981	0->1
dscript	du	MCC	0.0	0->1
dscript	du	F1	0.0037	0->1
dscript	du	AUC	0.5	0->1
dscript	du	AUPR	0.5	0->1
dscript	du	TP	4	0->1
dscript	du	FP	4	0->1
dscript	du	TN	2127	0->1
dscript	du	FN	2127	0->1
dscript	guo	Accuracy	0.5099	both->0
dscript	guo	Precision	0.64	both->0
dscript	guo	Sensitivity	0.0451	both->0
dscript	guo	Recall	0.0451	both->0
dscript	guo	Specificity	0.9746	both->0
dscript	guo	MCC	0.0535	both->0
dscript	guo	F1	0.0843	both->0
dscript	guo	AUC	0.5098647125140925	both->0
dscript	guo	AUPR	0.5063134160090191	both->0
dscript	guo	TP	80	both->0
dscript	guo	FP	45	both->0
dscript	guo	TN	1729	both->0
dscript	guo	FN	1694	both->0
dscript	guo	Accuracy	0.4966	both->1
dscript	guo	Precision	0.2222	both->1
dscript	guo	Sensitivity	0.0027	both->1
dscript	guo	Recall	0.0027	both->1
dscript	guo	Specificity	0.9905	both->1
dscript	guo	MCC	-0.0435	both->1
dscript	guo	F1	0.0054	both->1
dscript	guo	AUC	0.4966124661246612	both->1
dscript	guo	AUPR	0.49924721469436917	both->1
dscript	guo	TP	2	both->1
dscript	guo	FP	7	both->1
dscript	guo	TN	731	both->1
dscript	guo	FN	736	both->1
