P38251 P06780
P36068 P53096
P25453 P04786
P39935 P42941
P35180 P22517
P40509 P32842
P53093 P43586
P25376 P25659
Q03691 P30656
P50275 Q12233
P50277 P53344
P53886 P53079
Q08214 P16862
P25046 P36024
Q06091 Q08109
Q08683 P33750
P32605 P38703
P53540 Q12082
Q06200 P19735
P08638 P32573
P32387 Q12310
P18963 P38719
P38123 P25333
Q12522 P50874
P36037 Q08902
P38910 P47035
P06839 Q03944
Q00711 P39016
P07250 P38774
Q12341 P40992
Q12477 P04912
P02400 P33122
Q04264 P46956
P26755 P53176
P20438 P12887
P08431 P34227
Q02821 P25580
P25346 Q04110
Q12368 Q07478
Q03862 Q03323
P40513 P53096
P47064 P53039
P48439 P20050
P53211 P46985
Q12223 P11076
P12294 P53130
Q07904 P32457
Q99344 P32838
P38240 Q12100
P25657 P53209
Q06200 Q12041
P35056 P08518
P38208 P38727
P43545 P33311
P38886 P53344
Q06135 Q03957
P81450 P20134
P40075 Q99394
P21801 P28320
P25360 P43621
P38351 P53258
P52286 P47187
P38867 P40485
P40513 P40495
Q06091 Q03338
P30619 P11914
Q06108 P40527
P38744 P02400
Q12098 Q04673
Q03784 Q07980
P34162 Q12330
P17505 Q06078
P34160 P40014
P43587 P38911
P35191 P32939
P39520 P32381
Q02206 P27351
P10834 P08458
P35210 P33299
P40316 P36057
O13530 P50945
Q99186 Q01080
P10863 Q01217
P46678 P18759
Q08109 P40060
P53281 P22140
Q08162 Q08387
P38720 P39004
Q12224 Q05933
Q01649 P42941
P47074 P32453
Q12427 P53209
P43561 P39521
P39101 P41814
Q12060 P35497
P53061 Q07442
P29055 P53202
P38068 P40457
P32910 P40507
P37296 P33296
P10863 P53313
P40167 Q03579
P39678 P19812
P06777 Q12059
P32602 P25847
P30283 P38200
P40573 P53093
P04147 Q06490
P09119 P16861
P32790 P23291
P54791 P20053
Q05580 Q12102
Q12262 P30665
Q03735 P12954
P32832 P23394
P47115 P36094
Q03337 P39734
P38784 P43563
P38264 P35184
P38766 P16451
P14242 P36006
P10863 P31244
P38826 P40155
Q12285 P32529
Q06525 P36147
P53551 P40073
Q99176 Q03661
P48240 P38842
Q04930 P30606
P53147 Q08235
P38784 P36053
Q08278 P39007
P46674 Q03579
P39523 P10507
P07347 Q02795
Q06677 Q05933
Q12349 Q12527
P50106 P41810
Q04935 P53930
P47116 P47090
P53337 P33755
Q07084 P19358
P40096 P87108
P46673 P53878
P20448 P42839
Q03655 P40328
P38953 Q05958
P32832 P32447
P19658 P53233
P33760 P53171
Q02732 P54837
P53952 Q07986
P00958 P21651
Q03220 P39992
P22203 Q08923
Q04601 Q02784
P06103 P26449
Q08287 Q06490
P38353 P35497
Q07963 P32833
P46678 P12683
P36172 Q04935
Q12477 Q07540
P40956 P25656
P10863 P34223
P38352 P29311
Q04562 P32944
P26793 P32902
P40167 P53044
Q08465 P32381
P08456 P00950
P32480 P00128
P38988 P38696
P20484 P04821
P38351 P38077
Q06178 P43560
P32793 P15938
P53965 P04819
Q12035 Q12315
P53959 Q06151
P16151 P53974
P12754 P20436
P25579 P41800
P47025 Q12377
Q12276 P40582
P15303 Q04307
P25719 P08518
P25376 P19658
Q08465 P40480
P53082 P40319
P10363 P41912
P38723 P21801
P32588 Q12402
Q12157 Q08119
P46681 P13517
Q12336 P10622
P26448 P29539
Q06551 P09457
P38842 P25694
P39940 P27692
P32334 Q06697
Q03103 Q12460
Q12434 Q12415
P28274 O13559
P25341 P53538
P36118 P38181
P22214 Q12505
P02829 Q06630
P39723 Q03750
P00359 P46956
P16861 P39954
Q12206 P20050
P47185 P34161
P09440 P38915
P25382 P32913
P08456 P28707
Q03048 P54837
P47912 Q06525
Q12241 P35842
P43682 P53893
Q03973 Q03944
P33306 P32583
P20676 P53267
P32838 P18239
P46675 P35177
P43612 P41818
P32558 Q12450
P50095 P19263
P38523 P39713
P40453 Q08975
P32349 P14906
P32525 P06700
P27796 P04912
Q02630 P01119
P38077 Q04231
P32529 P14832
Q02204 P40480
P14922 P32900
P38138 P38902
P53954 P21374
Q12026 P22204
P32897 P22137
P27692 P38989
P40073 P39112
Q07904 Q03935
P21705 P32945
P23641 P47110
Q06677 P38859
P38911 P19524
P32349 P53740
P42942 P47135
P49166 P53176
Q12256 P53750
P52490 P48234
P40356 P24813
Q06525 P32500
P38801 Q01080
P32481 Q02794
P32564 P22141
P20436 Q12527
P53163 P53633
P49955 Q12406
P54885 P53176
P53253 P38907
P25371 P18888
Q04958 P05030
P53840 P11747
P38827 Q06819
P06777 Q00362
P53298 P36009
P43592 Q01159
P47025 P40510
P35842 P25604
Q12222 P52488
P28241 P14747
P42945 P00420
P89105 P46947
P34162 P38904
P41544 P38826
P27692 P53100
Q06632 P35207
P25297 P33314
P38826 Q08980
Q06551 P14906
P80428 Q02767
P43682 P37366
P36131 Q08562
P16661 P53855
P38111 P14126
Q02804 P40582
P14242 P06784
P04456 P00128
P24719 P11710
P00330 P53857
Q12349 P36130
P16664 Q04636
P21705 P33203
P53389 P28241
P41544 Q03784
P06774 Q12055
P25567 P40969
P36131 Q12372
P38702 P47053
P28000 P38070
P23833 P40482
P36057 P38198
P20436 P11914
Q04921 P53253
P47134 P53878
P25659 P38957
P54885 P38902
P43581 P20436
P38872 P28320
P40890 P34217
P38077 Q12343
P15938 P32913
Q06632 Q00381
P27692 P38774
P34161 Q12443
Q12349 P53905
P00445 P13259
P38700 Q12450
Q02206 P25651
P00410 P32379
P38700 Q05031
Q99394 P33441
P47167 Q12241
P15367 P49687
P46964 Q03048
P21538 P41697
Q99382 P19454
P38265 P25591
P28006 P19659
Q04121 P11972
P53197 P38819
Q01217 P36080
P32332 P24813
P32911 Q03063
P40957 O13554
Q12223 P16140
P38959 P38064
Q12004 P32327
P16522 P09959
P23561 P53959
P36120 P41815
P26343 P36123
P39713 P33759
P32796 P15424
P26754 P53974
P38302 Q12396
P40890 P39967
P47123 P48524
Q03691 P20795
P22224 P47821
P21538 Q07963
P32944 P30606
Q12142 Q03125
P51996 P40357
Q04673 P32571
P53211 Q12347
P25376 Q12006
P38855 P32341
Q12518 Q03935
P08678 Q08208
P46676 P38692
P14291 Q06440
P28239 P42942
Q12035 P38274
Q12443 P53191
P28004 P32605
P46956 P32566
P38720 P50078
P39523 P06783
P32492 Q12102
Q03976 P36012
P07272 P40007
P39704 P32899
P40456 P48562
Q08032 P32830
P33892 Q12216
P47152 P20967
Q04930 P32529
Q12309 P41834
Q12300 P52910
P21657 P01123
P23833 P30619
Q12406 Q08962
P40885 Q01454
Q06677 P38805
P53550 P38123
Q02732 P38990
P04786 Q06411
P38794 P53824
P53259 P35207
Q07084 P22276
Q03935 Q04048
P38827 P38956
P53901 P08566
Q04491 P47061
P38822 P40510
P32905 P38819
Q03956 P39987
P38204 P20486
P53108 P39081
P12868 P11710
P25655 P54837
Q02516 P40217
Q07844 Q12158
P32832 P35210
P09733 P46956
P25390 P25358
Q02100 P48568
P09119 P39520
Q02795 P16140
P32525 P27999
Q08032 P50091
P33338 P54862
Q12265 P33759
P47822 P32559
P40395 P39992
Q12494 Q03691
Q12335 Q04003
P53616 P36123
Q02516 Q04233
P53754 P43572
Q12692 P47038
P39707 Q08980
P38203 Q06697
P32334 P31377
P38702 P00924
P50078 Q00362
P17555 P13259
P36168 P15442
P53968 P36147
Q12026 P46963
P53070 P32318
P40103 P30606
Q99190 P31382
P10961 P25303
P25389 P47027
P43609 P35207
Q03208 P26263
Q12034 P25297
P28241 P43592
P36120 P40892
P35191 P25357
P46961 P53323
P53181 P19263
P38249 P26798
P02294 P36161
P53061 Q12452
P38637 P39010
P25371 P38760
P47093 P39552
P32368 P34161
P50091 P26755
P32601 P11978
Q05785 P26754
P22214 P50106
P40352 Q00246
Q12233 P53628
P48363 P21304
P22137 Q12083
P38764 P53265
P54784 P38764
Q12018 P21339
P39517 P31111
Q06616 P36125
Q06644 Q12142
P53337 P32502
P39952 P53323
P48606 P41546
P53011 P32833
P25046 P25604
P33304 O13563
P06100 P53337
P53952 Q03774
P13586 P25502
P40357 Q05871
Q12019 P32599
P40069 P11978
P43604 P18410
P48510 P40064
P40518 P43562
P40492 P33304
P53750 P17123
P40453 P39987
P53933 P13099
Q05027 P29496
P87108 P40528
Q12174 Q06411
P38085 Q07993
P34162 P47017
P19736 P40005
Q06344 P25342
P33754 P34252
P40151 P06100
Q06200 P07261
P07273 P20795
Q08492 P53337
Q06604 Q00873
P38138 Q00916
Q03208 P46672
P40960 P38699
P32836 P40512
P32805 P14737
P53973 Q03919
P33201 Q04461
P38156 P53858
Q08235 Q03661
Q12071 P35193
P46669 Q06440
P38329 P38817
P35180 Q12343
P38072 P36094
Q12277 P53108
P09064 P20676
P22209 O13297
Q05785 Q12194
P39960 P32559
P40319 P41911
P23255 P38957
P19358 Q03503
P32558 P39010
P32639 P25441
P40355 P33328
P40360 P40509
P36029 P10961
P22203 P12887
P38072 P38346
P38695 P32527
P53236 Q04373
P11433 P25346
P49018 P39008
P38962 P25584
P25296 P53045
P52960 P38346
Q06488 P15367
P06100 Q12495
P14741 Q06339
P16370 Q07376
P38759 P40438
P38353 P21306
P38820 P11710
P40457 Q7LIF1
P10566 Q12411
P40970 P36049
P39702 P38042
P48232 P28519
P46682 Q12343
P32801 P38729
P26755 Q01590
Q06406 P32564
P39729 P48581
P27796 Q12402
P40890 P02293
P39994 P53857
P32494 P53910
P38784 Q00381
P28791 Q08773
P16658 P19736
Q12224 P38968
P38149 P12887
P38915 P41810
