P32835 P38431
P25604 P46947
P10622 P33328
Q12469 P39707
P19097 P41816
P15442 P26570
Q08962 P32525
P32490 P39990
Q08601 P50108
P53168 P14306
Q03630 Q12263
Q12344 P38691
P32591 P36149
Q06704 P51862
Q08956 P39723
Q03012 P38959
P23594 P46962
P34758 P53124
P32628 P15108
P19414 P38149
Q12488 P39715
P32523 P53278
P25558 P38883
Q12018 P38149
P01120 P28834
Q12151 P22203
P50108 Q12255
Q04964 O14455
Q02866 P14904
Q12168 P38705
P25646 Q03071
P40541 P38717
P22543 P38219
P38774 P40484
P22202 Q05024
P47083 P38879
P52286 P38283
P39984 P25694
P07260 Q12460
P53538 P21192
Q04067 P21965
Q05583 P38838
P38996 Q07887
P40960 P40327
P38910 P47117
P38967 P49687
P41911 P40567
P32349 P40013
P36085 Q12411
P36094 P36047
Q04005 P47176
P53199 P37370
Q04601 P40965
P50108 P29703
P07991 Q05166
P27472 Q99385
P32786 Q99299
Q12152 P38249
P36008 P52593
P38063 P47053
Q07921 P18494
P47050 Q03735
Q06163 P38041
Q06679 P53894
P53886 P38726
P00830 P38352
P38334 P25357
P40541 Q12328
P13517 P25604
P40395 P43593
P22213 Q04868
Q12050 Q03735
P07283 P42073
P53169 P47124
P32911 P25635
P25344 Q02804
Q03338 P37303
P40090 P33767
P50946 P28708
Q04739 P13663
P00359 Q00245
P36107 Q12163
P33314 P53040
Q08966 P40090
P89102 P53124
P38696 P49573
Q03322 Q06102
P47045 Q06169
P39107 P38247
P32773 P33895
P10869 Q04338
P06242 P40507
P46963 P38822
Q01590 Q07381
P53549 Q03661
P37012 P22543
Q07963 P32504
P38823 P06787
P40020 P00358
P10659 P53011
P40090 P40350
P52910 Q04491
Q12452 Q05998
P31109 Q00873
P53886 P33297
Q04562 P53754
P35177 P39713
P07991 P38768
Q08921 P38805
P14737 Q02793
P40473 P52918
Q07468 P38990
P40092 P40314
P30624 Q02793
P25719 P38862
P46949 P24482
P43587 P32793
P25657 P41807
P38820 P38690
P00950 Q02884
Q12330 P53743
P47005 Q12513
P35184 P25808
P53959 P39723
P40328 P27514
P36013 P40510
P25644 P34253
P25296 Q99394
P53540 P19454
P36024 P13711
Q00816 P42846
P28795 O14467
P28707 P28006
P32895 P19880
Q06704 P00560
Q12033 Q00539
P15790 P41814
P38624 P11484
P25344 P25357
Q04272 Q06696
P14164 P38232
P00724 P43592
P47057 P19658
P00331 P47079
P53067 P40471
P32773 P21705
Q07381 P24869
Q04121 P40055
P32911 P32794
Q08245 P33303
P48510 P52553
Q04373 Q12186
P38764 P38883
P53847 P50113
P07272 Q04934
P38310 Q04601
P43565 Q12033
Q08729 P04807
P53968 P35181
P49956 P32911
P00812 P38623
P39730 Q04651
P39904 P06100
P25591 P40422
Q12041 P53238
Q12241 Q03774
P31244 P53197
P38310 Q03656
P39531 P40461
Q06604 P38287
P36018 O13539
P32855 Q06216
P53883 P15646
Q02908 Q07914
P39730 Q12220
P53049 P40202
P48363 Q03656
P38328 P18494
P53280 P38339
P24482 P24814
Q08492 P39743
P07272 P38806
O13539 P36421
P34238 Q05166
P23639 P47093
P10869 P19735
P38766 P40455
P39008 P32264
Q12518 P89105
P40890 P39734
P32639 P06105
P53163 P05030
Q06604 P40327
P32525 P18410
P11075 P11709
P27472 P12945
Q05947 Q12009
Q07508 Q12328
P41834 P39703
P38682 Q08972
Q05568 P30665
Q00578 Q12134
P25357 P51601
Q00246 P32945
Q92331 Q12315
Q04739 Q12021
Q12055 Q12347
P53604 Q12415
Q08902 P25655
Q12433 P41940
P35198 P25635
P47093 Q00539
Q06648 P36048
P53893 P00729
P38247 P34730
P40339 P39523
Q04031 P23542
P22336 P32471
P47079 P14064
P33400 Q08285
P49573 P47012
P27705 P18759
P25342 P32802
P40069 P12945
Q12199 P32525
P28708 P11746
P36131 P25555
P32561 P53125
P38237 Q12176
P27614 Q07508
P33755 P37012
P46963 P38590
P37012 P38930
Q06604 P24869
P24870 P24869
Q04217 P38333
Q12368 P40339
P38310 Q06218
