P34252 P33399
Q12157 Q03920
Q12527 P25346
P43560 P33421
Q12390 P53115
Q05027 P40018
P53389 Q12034
Q02574 P38247
P48234 P46956
Q6Q547 Q08683
P07272 P39517
P14742 P38302
P39101 P36049
Q07921 Q04031
Q08204 P08964
P38999 P32486
P32387 Q04368
P53857 P40087
P38070 P28000
P50090 P35056
P38992 P32485
Q12321 P53011
P39994 P20457
P47017 P41815
P18851 P35180
P48581 P34164
P53389 P33891
P33306 P53344
Q12434 Q12415
P35191 P32803
P40341 P25294
P09959 Q07980
Q99314 P01097
P40507 P38353
P40453 P36036
P38837 P32494
P33334 Q12161
P32564 P39735
P53973 P38261
Q12142 Q03125
P34224 Q12038
P46988 P19955
P25453 P25294
P40054 P10622
P06783 P38719
Q12071 P22139
O14467 Q12349
Q06616 P53973
P33411 P32915
P40857 P38147
P20434 P34217
P32601 P11978
P08638 Q05958
P26798 Q07732
P35728 P25370
P15992 Q03263
P38138 P38902
P53236 P38181
P06844 Q12749
P25584 P38962
Q06651 P25301
Q12216 P14306
O14455 Q08278
P40078 P22138
P32601 P39011
P18239 P16474
P38111 P07264
Q00539 P19358
P38727 P40453
P47150 P25847
Q06091 Q03213
Q03697 Q06137
Q06344 P48836
Q02892 Q03323
P40956 P32334
Q99190 P38700
P39552 Q12151
P25502 P19955
Q08923 P22203
P26449 P06103
P38992 Q02908
Q07442 P25045
Q07904 Q04673
P80428 P48415
P32504 P43602
P47187 P46672
P23291 Q12241
Q07896 P50104
P53181 P43603
P36120 Q02629
P40357 P06784
Q05775 P11710
P23968 P22139
P38337 Q06245
P32561 Q02794
P34218 Q06164
P25646 P47132
P49435 P23285
P53081 P38112
P39534 P38855
P20434 Q06412
P47822 P07342
Q05881 Q03944
P36022 P16649
Q03148 Q03656
Q04264 P47061
Q04930 P32529
P39702 P32478
Q12264 Q06339
P32486 P38254
P24783 Q01852
P28743 P40352
Q99186 P53253
P32855 P47152
P32558 P14907
P35723 P16649
P16522 Q02794
P47012 P53823
P14922 P33301
P10834 P07703
P36049 P33441
Q12154 P53877
Q12692 P08456
Q06631 P38697
P53163 P38988
Q04636 P16664
P32628 P32803
P53290 P21951
Q04225 P38288
P40343 Q06245
Q03208 P47012
Q12361 P40032
P06783 P25046
P38272 P53867
P29468 P13433
P32328 Q02784
Q12159 Q02948
P37838 P40018
P32571 P38429
P38149 P50874
Q12450 P30822
Q04493 P32259
Q99382 Q03935
P38265 Q99207
P53893 P43682
P40434 Q01389
P00330 P32830
P00420 P38723
P40475 P22216
P19812 P54854
P32855 P38960
P36118 P32453
P53904 P32453
Q08004 P32618
P80428 P30657
P38627 P38902
P11710 P38820
Q04004 Q12174
P39994 P07256
Q06677 Q05933
P04807 P38351
P38068 P28707
P49166 P38121
P14906 Q99299
P40885 P30902
P25342 P38439
P38727 P87108
P08539 P40087
P53207 P24384
P40890 Q02784
Q02908 Q07540
Q04225 P32481
P39952 P41901
P36019 P46671
P52490 P48234
P53952 P81450
P33750 Q08683
P32829 P31378
P32341 Q04217
P39011 Q12488
Q02208 P33401
P25579 Q03330
P40450 P40048
P32495 P21190
Q12223 Q08886
Q01590 P26755
P32802 P48510
P39875 P34240
Q07478 P39990
P38310 Q00873
Q03900 P35817
P47038 Q12102
P13574 Q03081
P32319 P46970
Q08902 Q04231
P53254 P39735
Q99382 P47052
Q03010 P38111
P43596 P00950
Q12142 P81450
Q05947 P36104
P46673 P53878
Q12192 P53286
P36121 P18963
P10961 P25390
P38204 Q04195
P31111 P36057
Q01217 P32602
P40187 P24004
P40856 Q02795
P38129 P02309
P53740 Q99189
P53893 P32334
P07560 P06777
P07560 P40456
P32349 Q08749
P08678 Q06135
Q03774 P53952
P39928 Q06217
Q06628 P34161
Q12262 P41805
Q00772 P40155
P26754 Q08235
P38181 P02829
P53096 P40513
P57743 Q02608
P27801 P38191
P14242 P40480
P38863 P38968
P40510 P32783
Q06815 P43603
P47134 P41817
P53163 P52960
P43569 P43542
P25369 P38121
P50277 Q03263
Q06554 P39717
P32527 P38695
P12754 P25382
P53628 Q12233
P39534 P38879
P38720 P32797
P32480 P25651
Q02732 P36103
P38627 P47115
P38915 P23301
Q06632 P53202
Q08902 P33297
P40991 Q01159
P33411 P38163
P25808 P36104
P53628 P36057
Q12158 P53168
P32863 P06773
P11076 P54791
P19659 P35207
P40960 P40094
P00359 Q12174
P39730 Q01159
P34238 P00899
P21306 P38353
P32900 P39552
Q04149 P32829
P36130 Q12349
P27895 P38967
P32805 P47052
P22140 P38996
Q12158 P53863
P53070 P34110
P34218 P24482
Q08387 Q08162
P29055 P53202
P43588 P47052
Q02196 P20050
P10592 P16451
P38757 P06783
Q02336 P11075
Q00916 P38138
Q12019 Q12055
Q03435 P38313
P38272 Q12186
