P53271 P30665
Q04493 P00330
P40078 P54999
P06844 P34238
P12612 Q06673
P32478 P40991
P26263 P47134
Q08235 P24870
P40096 P36008
P09734 P08458
P38786 P38080
P32074 P51996
P22204 Q12527
P14724 P32634
P34241 P38283
P53739 P08458
P47029 P32389
P35203 P34077
P38786 P32505
P36139 P53743
P32610 P39563
Q06142 Q05881
P53082 P14126
P53043 O13553
P15436 P15705
P39990 Q08726
P26449 P50945
P35203 P19735
P53754 P42843
P00331 P38301
Q08214 P34758
P26309 P06780
P25655 P53743
P53136 P38792
P43593 P05986
P13712 Q00539
Q04199 P32599
P07273 P38759
Q05958 P48240
Q04839 P13434
Q00816 P18480
P38682 P25569
P53322 P36049
P53091 P33750
Q00816 Q12363
P00331 P28817
P47049 P39994
P06169 P38261
P25333 P08964
P40202 P53924
Q12041 P53867
P40555 P32832
P40202 P39723
P43603 P15442
P40095 P06103
P18759 P53129
P54861 P53254
P39929 P53280
Q08229 P06787
P53196 P30619
Q08972 P35729
Q07963 P48606
P39954 P40461
P50874 P38821
P35194 Q02205
P08524 P40693
Q12028 P46995
P34217 Q06217
P05085 P22515
P38871 P50108
P39081 P22141
Q12236 Q12377
P20053 P32796
P32639 P53181
P25719 P33301
P49955 Q06679
Q12434 P40018
P35184 P54999
P26754 P32793
P40092 P38153
P38113 P38705
P25341 P23287
P11075 Q12499
P49686 P00549
P22203 P20484
P46655 Q12318
P33199 Q07930
P09798 P53829
Q12020 P32793
Q12241 P48239
P07991 P40457
P32481 Q05022
P46655 P21192
Q06706 P34216
P53036 Q12417
P32642 P33306
P39515 Q12440
P11978 P40066
Q12754 P32842
P28320 Q12124
Q03792 Q12494
P53152 P38329
P32481 P32913
P25584 P39715
P32867 P22213
P38555 P00549
P42846 Q06673
P53941 P10659
Q04087 P32793
P38999 P46675
P28743 P41896
P43574 Q08873
P38590 P00331
P08524 P19524
Q05881 P25296
P41811 P38861
P40090 Q12248
Q08217 Q04749
P53600 Q04839
Q03322 P22141
Q12482 Q99394
P00724 P39940
P40970 P33331
P38794 P07251
P07991 Q12045
P25655 P39520
P21192 P32563
Q04062 P42843
Q07915 P46672
Q12216 P46672
Q12129 Q06409
Q92317 Q00764
Q07980 P48240
P38113 P28834
Q00816 P43593
Q06543 P46963
P38959 P31374
Q08581 P17157
P52553 P25657
P53685 Q07442
P06242 Q06436
Q12222 Q02354
P49573 P57744
Q02892 Q07986
P38931 P41807
Q07657 P39929
P25719 P38996
P23287 P36053
P22204 P32598
P13711 P35734
P39936 P50095
P36124 P40054
Q12255 P18480
P29461 P34253
P00950 P41834
P40151 P32905
P40483 Q03220
P36094 P38624
P36107 P39013
Q12417 Q06679
P14741 P32842
P38208 P22517
Q06604 P33328
P38697 Q04511
P38768 P46985
P04456 P39946
P40395 Q04739
P53974 Q06409
Q06706 P53604
Q08162 Q12020
P47083 Q12450
P36131 Q12045
P53283 Q06407
P13517 P41695
P16522 Q12499
P38129 P42945
P27801 P33760
Q12415 P33329
Q03768 P40479
P46957 Q06648
P41818 P38931
P39563 P39925
P39966 P06169
Q06604 Q08951
P53032 P40457
P32642 Q12248
P01120 Q08492
P09938 P52286
P54786 P41940
P39954 P38346
Q12754 P38774
P29469 P41808
P53847 P47057
Q12107 P53867
P23642 P38193
P40005 P53112
P23287 P38798
P32366 P32598
Q06604 P46677
P41816 P24813
O13553 P29465
P33891 P10363
P46655 P25341
P38696 P36053
Q06549 Q02260
Q12151 P13856
Q12518 P35189
Q00916 P02994
Q03096 P54860
P38622 P53859
Q04868 P19812
P36015 P53829
P53125 P32345
P53256 P32505
P04147 P38768
P32849 P53067
P40555 P35207
P54786 P33441
P53930 P42846
P39083 P32867
P39984 P38785
P38720 P32523
P36003 P20438
Q01684 P25389
P53043 P30771
Q02354 Q05166
P23202 P27636
P28007 P41921
P34160 Q06673
P39987 Q05583
Q12102 P32802
P40005 P16664
P38072 P33334
P53389 Q12206
P23624 P32381
P38769 P25649
Q07623 P48525
P38348 P33301
P32492 Q05874
P36131 P46655
P40573 P38334
P53742 P25635
P40956 P30624
Q04149 P32786
P32571 P34909
P38874 P33760
Q08119 P39967
P46957 Q04675
P05317 P27895
Q08746 P53905
P36013 Q05900
P38769 Q02908
P53091 P53604
Q12248 P39743
P53136 P05318
P38293 P50086
P32863 P52490
P32074 P21182
P53322 P40368
Q07418 P06169
P52919 P53129
Q12045 P09232
Q03010 P32559
P46655 P16862
P48606 P89102
P36048 P32464
P14680 P09232
P33329 P29056
P40202 P38991
Q12377 Q06078
P53840 P39743
P52918 Q04930
P40469 P33311
P38113 Q08746
P40357 P43321
Q12449 P43583
P49166 P40078
Q04868 P20133
Q07084 P36022
P28007 P40857
P24814 P21306
Q12044 P38991
P30902 P38883
P53256 P32583
P35194 Q06479
Q06340 P40055
Q08601 Q08951
P21672 P17255
Q02196 P06105
P49687 P25694
P53011 P32527
P15790 P15873
Q12347 P39927
Q12264 P05317
P19882 P40018
P33419 P33760
P47117 P47129
Q12230 P38112
P38316 P32911
P38960 P32471
P32528 P41834
P17536 P07170
P33329 P06103
P38622 P27705
P39929 P04386
P40092 P25296
P12612 P00830
Q02821 O13554
Q08732 P32900
Q04121 Q04272
P40038 Q03619
P13517 P40087
Q05930 P38089
P14680 P40009
P32898 P53129
Q03973 P12753
Q04562 P54860
P47017 Q99383
P39515 P50108
P41813 P32793
P28795 P53290
P18851 P43588
Q08902 P53739
P53930 P30619
P38794 P26570
P39875 P23638
Q08886 P33329
Q12055 P38085
P34217 P47053
P38310 Q04322
Q12754 P53283
Q08956 P38130
P39108 P53859
P10869 P40960
Q03774 P22007
P41834 Q05022
Q12186 P02400
Q12527 P32527
P39929 Q92317
Q08601 P28006
P54860 P24868
P53893 Q08601
