P52286 P53116
P53045 P35197
P38737 P38011
P38333 P38191
P39108 P53316
P25046 P28274
P28320 P13712
P40038 P36062
P40971 P53894
P34162 P02829
P39705 P17123
P25385 P40917
P38958 P06786
Q07732 P40480
P39954 P15891
P32908 P47117
P05986 P23724
Q00916 Q12023
P33895 P38316
P38590 P53125
P35691 P33334
P09624 P25040
P19882 Q03144
Q12230 P23301
Q06628 P47003
P40344 P32602
P53290 P10363
P43601 P47150
P54999 Q12380
P40958 P46949
P39935 P32361
P39940 Q08119
Q03690 P42073
P14680 Q02884
P17106 P19955
P21242 P40335
P34730 P12962
P29055 P39735
P15646 P25355
Q02516 P08431
P40156 P38150
P53298 P30624
P22141 P40036
P25694 P42846
P35056 P36057
Q02821 P35725
P38286 P04050
P32458 P37838
P19541 P38204
P32502 P22134
P53337 P06843
Q02630 P16151
P50091 P32324
P31111 P47033
P38789 Q12035
P25694 P07342
P24384 P28320
P38633 P27637
P28519 P32657
Q06648 P07260
Q02892 P43583
P38316 P38748
Q08271 P46670
Q12306 P38194
P47079 Q08909
P25694 P51534
P04173 P53323
Q04660 P20437
Q06624 P39955
P27692 P40055
P27796 P36516
P38182 P36108
P28496 Q12102
P43321 Q05636
Q12098 P16140
Q12349 Q12154
P02994 P40991
P46965 P22804
Q03435 Q02821
P02293 P25358
P89105 P00924
P23595 P53890
P38968 Q12263
P22336 P24869
P43601 Q08491
Q08650 P34909
P25605 P08004
P36160 P04397
P37302 P31376
P38217 P40040
P25651 P10862
P38753 P40484
Q12349 P43639
P42940 Q03406
P23641 P38346
P41821 Q04697
P32803 P40364
Q02821 P39958
P32558 P12688
Q12159 P40541
P35182 Q08723
P39954 Q08496
Q12102 Q08965
P47170 Q04062
P31378 P12753
P00830 P38993
P38264 P00924
P40856 P53196
P02293 P32902
P37838 Q02821
P00830 P07702
P25342 Q08521
Q08273 P11978
Q04673 P34909
P53322 P21771
P25635 P33122
Q04697 P38129
Q12124 Q06815
Q04749 Q06287
P06774 P50113
P28007 P40015
Q12102 P17558
P34730 P53248
P38814 Q00772
P38293 Q12379
Q12417 P38112
P32796 P32259
P53735 Q03530
Q00684 P00927
P33419 P39731
P04786 P38871
Q04370 P02829
Q06436 P39515
P41811 P05085
Q08096 P39968
P22147 P39076
Q03308 P38328
P26448 P25694
P47079 P20967
P26343 Q03048
Q06436 P39073
P43563 P34160
P18899 P36159
P31539 P38337
P47135 P35182
P06839 P40160
Q02574 P38011
Q04599 P35729
Q06344 P42842
Q03012 Q12406
Q99332 P40552
P23642 P38616
P38821 P39685
P05150 P22470
P39009 P49687
P09624 Q12046
P40971 P53549
P16521 P36056
P20436 Q03782
P40460 P04385
P40495 P32641
P20433 Q12082
P32578 P53861
P41800 P47154
P11075 P19882
P25569 P39992
P33322 P38859
P38822 P38615
P32497 Q04149
P29295 P38987
P02994 Q06410
Q01722 P39077
Q12341 P53859
P13902 P53725
P40051 P53927
Q06672 P32781
P32485 Q06208
Q12220 P38346
P32523 Q12692
P05694 Q07738
P38819 P40523
P38932 P32478
P22147 P49018
P32361 P08964
Q03497 P24869
P29055 Q03103
P38042 Q05911
Q12124 Q12136
P46682 P35191
P40054 Q07930
P06777 P29704
P05986 P32861
P28496 P10662
P41543 P40477
P40477 Q05911
Q12468 P36127
P25491 Q06224
Q02892 P26188
P22803 P22354
P41318 P53178
P07273 P42843
P26188 P38191
P37838 Q99189
P08431 P13382
P53883 P40481
P06839 Q00772
Q04477 P32569
P53207 Q06568
Q08496 P39011
P40016 P11710
P02829 Q12230
Q04437 Q06675
P27999 Q12177
P33322 P25847
Q12284 P32774
P06774 P31384
P07260 P53048
P37838 P39013
Q06217 P17555
P32569 P54786
P09798 P43556
Q04693 Q07530
P11075 P38144
P38837 P20676
P46677 P53289
P28795 Q12124
P15303 P87263
Q12522 P32337
P06843 P38953
P32803 P38237
Q12445 Q05946
P06839 Q03944
P40038 P54860
P53337 P33334
P47135 P40555
Q06451 Q06150
Q06648 P40520
P38993 P23201
P25651 P31376
P53222 P40323
P13365 P53281
P32588 P38346
Q04511 P23202
Q12110 P53080
P33401 Q04018
P41544 P32562
P53394 Q07541
Q07350 P40965
P32502 P38987
P46671 P22213
P06777 Q03559
P38286 Q12157
Q02804 P38080
Q12181 P53894
P38335 Q03048
P07251 P40015
P23595 Q08923
P32578 P39928
P38089 P06243
Q02630 P52286
P49687 P38555
Q12341 P23293
P38204 P42846
P16474 P32863
P13517 P38634
P40958 Q04601
P06839 P25694
P32602 Q08204
P07143 Q04867
P39107 P47093
P12709 P47045
P11633 P53243
P28320 P39731
Q06644 Q03532
P40991 Q06523
P38077 P32336
P25385 Q04693
P19735 P33311
P25694 P32366
P39523 Q03690
P38875 P48415
Q08023 Q06168
P40054 Q06440
P12695 P04050
P05150 P25491
Q12749 P27637
P06839 P50108
Q06208 Q04477
P47035 P33203
P48510 P53927
P23641 Q00402
P29366 Q02932
P32911 P13902
P15646 P40098
Q08273 P20095
P15303 P28320
Q05785 P25379
Q12464 Q07508
P38264 Q03860
Q04660 Q12178
Q12098 P23180
Q04746 Q03323
P24869 P28274
P09440 P12709
Q12464 P53196
Q08601 P38692
P47821 P53743
Q04373 P00358
P38863 P32457
P02829 P50943
P48412 P38883
P34162 P38633
Q12046 P26637
Q06598 Q12291
Q12164 P32854
P38822 P32641
P39954 P25342
Q12329 P38151
P16664 Q12157
Q99190 Q06337
P19735 Q04199
P06778 P38827
P24719 Q07988
Q12267 Q05809
P25694 Q12233
P50874 Q02260
P38265 P19812
P29055 P53877
P07251 Q12175
Q01590 P25655
P36080 P25586
Q12380 P38993
P53043 P32781
Q12349 Q12091
Q03330 P16387
P02829 P40070
P22204 P38129
P35056 P38987
P40016 P02309
P35191 Q03338
P19812 P53858
P43609 P25389
P41543 P47079
P14540 P15891
P12695 P19882
P07260 P32381
P42935 P40070
P53079 P23595
P38261 P15992
P14291 P32849
P00830 P32324
P22336 Q04660
P42947 P42939
P81449 P47149
P36039 P04173
P14742 P52892
Q07350 P53885
P33204 P19956
Q00684 P06168
Q04660 P32569
P38987 Q07471
P25333 P32350
P38814 P38523
P16140 P38615
P43321 P39108
P38837 P20134
Q06708 Q05911
P19882 P39704
Q12380 P40505
P38633 P53256
P39954 P06787
Q02931 P38205
P40517 Q06407
P36048 P25293
Q12021 Q04867
P11075 Q05949
P11972 Q08685
P47135 P16661
P38987 P32628
P20053 P53280
P22141 P18851
Q08271 P38789
P04840 P36056
P32380 Q07865
P12954 P36160
Q12161 P38789
P41811 P16140
P02309 P40495
Q12379 Q03898
P02829 P32074
Q07623 Q06707
P28519 Q12417
P15790 P32522
