Q07699 Q9NY72
Q12947 O60477
P28698 P62937
P47897 O60762
Q07869 Q7Z569
Q8WVM0 Q7Z591
Q01664 Q8N6F7
Q5T6S3 Q8IWZ3
Q86UE8 Q9BRJ2
P06132 P36402
Q9Y3D5 P06899
O43396 Q14209
Q96M27 P54821
P41235 P51857
Q9Y295 P13984
Q9UKY1 Q86Y13
Q9NYK5 O95639
Q8IVW6 Q9Y234
Q8TF40 Q5TB30
Q8N9N8 Q16540
P46439 Q14190
Q03111 Q9BY32
P0C1S8 Q96G01
O43913 P49638
O75971 Q9NR46
Q15029 O43395
Q16143 P17980
Q14678 Q9UBR2
Q8WXI4 Q15672
P35321 P16402
P22681 Q9BSH3
Q9NP74 O75461
Q9NRV9 Q8TAT5
Q9P2W6 Q9UKI9
P12081 Q96QT6
Q14106 O60902
Q16740 Q9HB65
P09936 P35227
Q01581 Q13510
Q06416 O14727
P22061 Q8TDY2
Q9NR19 Q8N165
Q03013 P14652
Q13610 P42574
Q16777 Q9BZE1
Q9Y4B6 P29374
Q8NFG4 Q9UKI8
Q14651 P54278
P68431 P13995
Q9ULW8 Q8N165
P51114 Q12951
Q12882 Q6UB99
Q9NP92 Q14696
O43913 Q16643
P15559 P49640
Q16772 O95125
Q9NX09 P48382
O95619 Q14678
Q8IVW6 P41252
Q03111 O00142
P53396 P10253
O15178 P13797
P47897 O94782
O75343 Q86TM3
Q53GS9 O43172
Q12946 P57723
P83111 Q9Y6J0
P05787 Q03164
Q96S44 P0C7P0
Q9NX20 O94864
P82914 Q71SY5
Q9Y297 Q96SD1
Q8IWT3 Q15651
O60583 Q15102
Q9UJW9 P00338
Q13405 Q13573
Q8TAP9 O14727
P07451 Q16560
P31271 Q96G61
Q8WVM0 Q9UJW9
Q99707 Q9H6T0
O15169 P51784
Q92871 Q9HAN9
Q9NTZ6 P98170
Q02078 O75394
P20592 Q86V15
P05089 O15178
Q7L0Y3 O95248
P06732 Q9NS39
P78417 Q9ULG1
P62318 P25398
P46459 P28715
Q8IWT3 Q14686
Q8NFG4 Q16778
P00918 Q9Y657
O43684 P30626
Q13162 O60356
P54132 P05413
Q99612 Q9H4K7
Q9H6S3 Q9NZL3
P17480 P13489
Q9HD40 Q96JP5
Q9P0M9 P16401
Q99581 P18085
Q01469 Q15697
Q9NZL3 Q9H4K7
O95696 P35237
P53384 O96028
Q70SY1 Q92785
Q15561 Q9Y6G3
P51688 Q96LI5
P14324 Q6ZN30
Q9P2K5 Q9GZZ1
P68104 P52926
Q5XPI4 P15918
P49458 P0CG12
Q15185 Q8WTS6
Q8WWL7 Q93015
O75586 Q7L0Y3
Q9NP31 O94953
O43396 P49842
P53539 Q96I99
Q92837 P18847
Q16143 P0C7P1
P82650 O60341
Q86YN6 P35325
Q13287 Q9Y5P8
P18440 P62318
Q9UPY3 P48382
O75936 P61964
P53539 P46459
Q9UGP5 O75570
Q9BRA2 P27540
P40227 P03372
O94993 Q9Y6G3
Q9BXL5 O75363
Q07973 Q9BWE0
Q9Y399 P16455
Q16666 Q9UBW5
Q15349 Q8N4X5
P16949 Q03164
Q9P032 Q9UKV3
Q9H257 O15379
Q96RE9 Q9ULW8
Q14204 P78549
P20936 P15918
P51532 P49589
P00325 P10244
Q2VPK5 Q99549
Q96G01 Q03111
Q9Y603 P82663
Q9Y3E1 Q96RP9
Q6NXG1 P23921
Q9BTC8 P00918
Q6UB35 Q9HB65
Q9NNW7 Q96I25
O14561 Q6P1X5
Q99707 Q86U86
Q9Y676 O75643
P53539 Q16540
P46199 Q9Y5P8
Q6XUX3 Q99879
Q9HCU8 Q9Y6M4
Q9H2J4 Q02556
P35548 O43504
P50749 O15217
Q02086 Q9BSE5
P24298 P29374
Q8TAU0 Q9H9D4
Q8N142 Q04725
P35452 O60477
P10412 Q9BY32
Q14686 P35754
O60814 P31350
P17010 Q14749
P43897 P31276
Q9P2Y5 P09874
Q6NXT2 P11586
Q9Y6G3 Q5XKR4
Q8N9N2 Q8WW12
Q7L3B6 Q16385
Q8IXM3 P23760
P20592 Q9Y2Y9
Q9UNL4 Q9BXI3
P41212 Q8IWZ3
Q9Y2J8 Q9H9S0
O00267 Q9UN86
Q9NP86 Q9Y261
O14641 Q9Y535
Q99549 P62937
Q9H765 Q13889
Q15080 Q9UHV7
P09132 P09884
Q9Y3D5 Q9UBC3
Q6W2J9 Q07960
P43268 Q16822
Q12946 Q9BYC2
P30419 Q9UKI8
P82979 Q9NP97
Q13085 Q9GZR1
Q9UI32 Q0VG06
A2A3N6 P31249
Q99558 O14802
Q9H4K7 O43829
