Q16665 Q96SN8
Q5JY77 Q6IA86
P61981 Q13956
Q92934 Q96QE3
O95347 P51813
O43353 Q9NX63
P00533 O95716
P45983 O00267
P56524 P14651
P17676 P0DN86
P62993 Q9Y4E5
P62993 P21918
Q9Y2I6 P17706
Q6PIU1 Q9UHD9
P07332 Q53H12
Q7L5N1 Q99626
O14936 P52655
Q5T2W1 Q9UMR7
P06400 P07948
Q86Y82 Q9BV94
P28482 Q5T3J3
O15379 O75689
Q09028 Q14919
Q14789 Q5T1R4
Q02750 Q9GZY6
O14936 Q9UNN5
Q08881 P29084
O95819 A5PKW4
P50281 P08253
Q99626 Q9Y3M9
P17535 P01730
Q9BQ66 Q9HCC8
P62316 Q9Y5J3
O00255 Q96IF1
Q7Z3T8 Q7Z570
P17900 Q99759
Q9BX66 P31947
P24928 O76081
P53350 P61978
O60381 P59768
P15924 Q8N5C8
Q16630 P15622
Q9GZR7 Q16526
P28482 P63165
Q9HB21 Q96PY6
P54253 P16333
P42574 P42330
O15198 Q96KP1
Q06124 P80188
P00533 Q14527
Q96GM8 P16410
P14416 Q01362
O15524 Q15796
Q9NY61 P07333
P11473 P84243
P17706 P38159
O43502 P14923
P61981 Q13114
P19793 Q9UPT6
Q12789 Q86X55
P21246 O60763
P19838 P10301
P50461 P03950
Q9ULX6 Q96RN1
Q15464 O14599
Q8TF74 Q9UPW5
O14775 Q8TBA6
P62258 Q86T82
P16070 O00170
P49023 P84022
Q13469 P35626
Q8IYF1 Q9BUL5
P28482 Q9P2W3
P56199 P20618
Q13285 Q9UBU9
Q13485 O15371
Q15544 Q92529
Q9UM63 Q13077
P25445 Q6NZY7
Q6P1X5 Q8N5J2
P28715 Q9NRA1
P05067 P60033
Q13137 Q9H3S1
P20226 O00746
P06400 P17612
Q9NT62 P46777
P07101 Q13009
Q9H422 Q6IA17
P68400 P61586
Q9H0M0 P09471
O43707 Q9BQ95
Q15834 P11274
P12931 O95989
P19793 O14980
Q96JH8 Q9UKN7
P40189 Q13794
O14777 P09132
Q3KQU3 Q9Y3I1
P05154 P25791
P07711 P01127
P01042 O95071
Q9NY61 Q07812
O00470 Q14511
Q9GZT8 P10415
P40763 P15498
P42575 Q12888
Q8N122 Q15811
P56945 Q9NQX5
P78337 P41220
P20382 O95630
P11021 P23511
P27824 Q9UK45
Q9NQT4 P05305
Q13424 Q15485
P04626 P04406
P57729 Q8WYK2
P50549 O00273
P07948 Q86VF7
Q9NZ94 Q99497
Q9Y294 Q96PY6
Q99683 O95295
O60674 P19012
P48995 Q9Y3E7
Q00587 O60645
Q15746 Q86Y01
Q92835 Q96S59
Q04206 Q9H444
P78406 P56192
P04629 P30876
O00587 P10912
Q15834 Q9P273
Q9H3M0 P06493
P25963 P09619
P04090 O14763
P15311 P23458
Q13541 Q9NPG2
Q9NR12 P14210
Q16543 P55212
O95405 P17612
O75494 P17081
P42772 Q9NYJ8
Q12933 P63104
P17676 O75420
Q9H4G0 P61457
P06239 Q9Y333
Q13416 P06493
Q13114 P18827
Q15276 Q13042
P11021 P21817
P42574 Q155Q3
Q9NPJ4 P62195
P09486 Q9BQL6
P62258 P55289
P06241 P61769
O43318 O60936
P53420 Q9NPD3
Q9BUL9 P24941
Q92900 P37268
Q8TEW0 P50402
P27694 O14788
Q04917 P00533
