Q00684 P01097
P40360 P42843
P06773 P32863
P32832 P35210
Q01217 P53735
P30619 P18900
Q08245 Q12082
P50094 Q03406
P33307 P20050
P07170 P47115
Q12216 P14737
P28320 P11709
P38784 P32849
Q06412 P20434
P11978 P11484
P00359 P07248
P30656 P43604
P20436 P38910
Q07458 P00560
P32366 P42942
P53215 P38753
P07256 P32776
P32581 Q06218
P47171 P48361
Q12035 P30606
P32803 Q03790
P23291 Q12241
Q12396 P32479
P53924 P53259
P48566 Q07800
Q12060 Q06665
P38915 Q07993
Q12194 Q05785
P46678 P53231
Q07914 P38842
P32479 P29496
Q06632 P38085
P06775 P38998
P53600 Q99344
P47005 Q03373
Q03465 P43563
P07256 P38703
P43622 Q03785
P38881 Q04964
P39715 P32838
P28320 Q06406
P43621 P34241
P38703 P25646
Q04062 P18239
P32561 Q03455
P12954 P39523
P20433 P38723
Q12060 Q02931
P25376 Q12006
P39011 P38637
Q08446 P38085
P35201 P32794
P23291 Q04062
Q00916 Q06675
P11747 P31244
Q02795 P16140
P53628 P00431
Q03920 Q12157
Q03263 P50277
P22276 Q07084
Q02892 Q12309
P46949 P32499
Q08278 Q03690
P39524 Q12347
P26755 Q12449
P38351 P48837
P36009 P53743
Q12142 P81450
P50623 Q00711
Q03944 P32797
P20436 Q12527
P06103 P26449
P40957 P32767
Q06005 Q04921
P31380 P33411
Q07887 P53551
Q03656 Q12321
Q04673 P28496
P01149 Q02555
P38811 P39077
Q12361 P41318
P53604 P26188
Q12335 Q12462
Q03435 P39073
P09440 P38915
P46655 P40971
Q05947 P36104
P40350 P38429
P42846 Q07904
Q08162 Q08387
P13902 P25657
P30665 P39952
P16658 P19736
P29468 P38089
P40091 P19736
P25659 P38957
Q03103 P47134
P09734 P32389
P39548 P32367
P25558 P53259
P39967 P43581
P32618 Q06568
Q05778 P14906
P23287 Q00772
P22336 P87284
P53086 P32334
P17505 P39936
P07278 Q12464
P29366 Q05911
P40992 Q07896
P23285 P49435
P39552 P35728
P04911 P40574
P40478 Q00582
P32911 Q12749
P49686 P21827
Q08685 Q04930
Q03280 P43545
P47171 P40303
Q12415 P25336
P32836 Q06137
P53064 Q12321
P39563 P32829
Q04004 Q12174
Q03330 Q01217
P53740 P39946
P28791 P40455
P25045 P53299
Q12452 P53061
P38842 P48240
P38329 Q12450
Q12450 P53258
Q06630 P21192
P36120 P29496
P39008 Q07986
Q08162 P38826
Q06624 Q12349
P06701 P38203
Q03323 P09435
P46680 Q12059
P39702 P38291
Q00578 P40360
Q12224 P39968
Q04477 P40355
P38138 Q00916
P53168 P53259
P46954 P40475
P25453 P04786
P32494 P53965
P38992 P38716
Q12415 P40092
P06775 P35207
P38112 P07347
Q12349 O14467
P50875 P32333
P16862 Q08214
P13712 P38811
P53131 P24867
P38960 P20449
P39875 P46961
Q06525 P25298
P32264 P35723
P33329 P47052
Q03785 P53823
Q03162 P53740
P38883 P26309
Q02516 Q03455
P32558 P39010
P32641 P32628
Q04264 P47061
Q03435 P41832
Q12138 P53550
P10507 P32916
P38138 P12695
P33421 Q12306
Q04675 P43682
P40892 P14064
P53952 P81450
P40970 P40956
Q07376 P47035
Q02516 P40217
Q02206 Q12306
P26798 P38249
Q07914 Q01590
P04076 P38781
P12683 P37370
P21705 P38682
P39713 P21538
P53344 P50277
P40541 Q02784
Q03973 P23585
P00420 Q01329
P32447 Q12161
P42945 P39952
P38313 P17505
P47110 P39008
P53731 P47132
P06844 Q06168
P53824 P32571
P38915 Q03018
P39996 Q06580
P06783 P38719
Q12035 P29295
P06243 P00410
Q12216 P14306
Q02196 P07213
P09938 Q06697
P36053 P53971
Q05949 P32529
Q08387 Q06696
P32939 P16451
P53082 P53243
P53261 P33122
Q08980 P22133
P48606 P53108
P35181 P34224
P21827 Q12417
P21304 P32318
