P31323 P43034
P07766 P67870
P41159 Q8TDR0
P62304 Q07021
P06400 Q99575
O14836 Q92535
Q9BS26 P05060
Q9H0Q3 O95870
Q7L5N1 Q9UKN7
P16070 P31785
P42226 P41273
P11684 O95251
P26368 Q5RKV6
Q15370 Q9NP79
P62487 Q969H0
O95551 Q9UHA4
Q9BQD3 Q9BTE0
P61604 Q9NYB0
Q9Y294 P16455
P13010 Q9UKN7
Q9Y2J4 Q9BRR6
Q9UKR5 Q86XR7
Q09472 Q8IV36
O60763 Q08E93
Q9BQD3 P20929
P63208 P21673
P30876 P21580
Q15834 P24385
P62258 Q9H773
P10827 O95273
Q09472 Q9UJX4
Q14134 Q969M3
Q16612 Q8NDV3
Q96HA8 Q9BTE0
Q9H1D9 Q9UKR5
P32969 P30154
Q9UBS8 P21583
Q00403 Q16594
Q9Y5N6 P06401
O43913 P05556
Q9UBW8 P27930
Q13416 Q13144
P60228 P21673
Q9UBW8 Q01831
P54253 Q7Z6G3
Q6PIZ9 Q05996
P29084 Q9Y240
P02647 Q16589
P67870 O75150
Q9BVJ6 P13612
P19447 P38432
P02818 Q15124
P61764 P43489
Q7L5D6 Q9NNW5
Q13285 Q9Y5Z4
O95707 Q99062
P49247 Q16821
O60925 P31785
Q03167 Q8IWK6
O14777 Q14191
Q01780 Q07817
P09012 Q09472
P52790 Q9Y535
P63208 P62854
Q13216 Q07817
Q15029 Q9H7Z7
P02751 Q99726
Q15154 P04179
Q13224 Q92621
Q9UFN0 P18621
Q13867 P20823
Q5T3J3 O60671
P68400 Q15646
Q7Z3B3 O14773
Q9NQC3 Q9P2K6
P15927 P47914
O43929 Q14181
P68400 Q9NYV6
P04843 Q9UJX6
Q9Y234 P02647
Q9GZT6 Q07021
Q96ID5 P18858
P24385 Q9Y4E1
Q9BVJ6 Q9BWC9
Q13416 Q9Y4G2
Q15078 Q13191
Q9UJX3 Q5JTD0
Q9GZT8 P32780
P68400 P47224
P05060 P13726
Q15154 Q14181
P21580 P31150
Q16531 P13611
P62875 Q5FBB7
Q9NQT5 O75462
Q13416 Q9H6S1
Q15102 P02768
P05556 Q96GY3
P27824 P10827
P04406 P02753
Q92870 Q9BRR6
P06400 Q7L5D6
P0CAP2 P04183
P02768 Q9Y285
Q9NP79 O00453
P56537 O94818
Q7L5N1 Q9NP99
O75533 P04004
O14775 Q9H7Z7
Q12834 O15145
Q9BZZ2 P08571
O43292 Q9BZW8
Q14181 P18428
P04406 O14746
P17480 Q07864
P98164 Q09472
Q16594 P02766
P03372 P06746
Q6P1X5 Q9UL45
P30039 Q9UDY2
Q5T5C0 P08949
P40189 P06401
Q15542 P50454
Q15596 P40855
P39023 O14727
Q13573 Q9BZW8
P27701 Q12906
Q12802 Q9NP79
O15169 P62258
Q07864 P02766
O95059 Q92542
Q13077 Q6NSW5
P67870 A0A1B0GX56
Q9GZP1 P12270
Q14181 P06401
Q00610 P98082
Q92597 P20618
Q15543 Q9Y3U8
P48552 Q02224
O15379 O14713
Q9UNH6 P55001
O76061 P08519
P07737 P16455
Q13285 P01303
O15360 Q9BVP2
P46777 Q9H2M9
Q9NRA8 Q6IB77
Q9H1D9 Q9UKN8
Q9UBD5 P05556
Q16891 Q96G25
O43147 Q9H0I3
P53621 Q9NUP1
Q6P1J9 P02768
Q9NV56 Q96A72
P10451 P62380
P02489 P04141
Q9GZY6 Q96D05
Q14919 Q9Y2X7
P04406 P04004
Q9UJ70 Q9Y6H5
P35869 Q92624
Q08999 Q96B86
P02647 P62854
Q15834 Q6ZU52
Q03135 Q9P2G9
Q99627 Q5T3J3
Q99665 Q9HCE9
P68400 Q09161
Q9BVJ6 Q9H6S1
P60228 Q9Y3F4
Q9GZT8 O94910
P10124 Q9UKG1
Q9GZT8 P06746
P06400 Q13224
