P26639 P81172
Q08999 Q13077
Q9UPT5 O00161
Q9Y2A7 Q9NQX5
Q13432 O60383
P07602 O14579
P49736 Q9H5J8
Q15185 O43561
Q13571 P49450
Q9Y6M9 Q9NPP4
Q9Y2H0 Q08E93
O76031 Q96SB4
P15927 Q13561
Q8N612 Q9Y624
Q9Y6D9 Q86XR7
P20807 P15927
Q00577 O43752
P15927 P46379
Q969Y2 Q15102
Q9HAW4 Q9NRX3
P15927 P49903
O95059 Q6PEW1
Q00403 Q9UKX7
P21359 P55010
P12004 P24522
O94985 O43808
P27824 P40855
Q07817 P53618
Q96LM6 O15131
Q09472 Q92597
O60925 P21854
P16870 Q9HC44
Q9Y3A3 Q05519
Q15542 Q6P1J9
P09874 P40189
P51116 O75923
P05556 O43292
P62753 P37287
Q99547 Q05940
O14746 P19838
Q9H0Y0 Q5JSZ5
O14920 Q9H0R4
Q14974 P26678
P25054 O15315
Q13790 Q96EY7
Q13561 Q9BSH4
Q9UMX1 Q9NRW7
P15907 P36543
Q9NXU5 Q8N2I9
P62258 Q14896
P50542 P04141
Q9Y6M9 P20273
Q14596 Q96FK6
Q99689 O96019
Q9GZR7 Q92466
P68400 Q96HE7
Q15834 P67870
P12004 P49773
P78346 Q01831
P11940 Q12959
Q9BRV8 Q92925
Q9Y535 Q9UMX1
P06746 P05112
Q99689 P54253
P05067 Q99572
P21246 Q86XR7
O15169 P54198
P67870 P16870
Q14596 Q9Y5K6
P03372 O43426
Q5D1E8 O75688
Q10570 P09919
Q9BQ66 P02768
Q5RL73 Q9BRR6
Q92556 P58340
Q9NQS1 P50542
P21673 P30050
Q9P2H0 Q9NV56
Q14627 Q8NB12
P30050 Q9Y3B2
P32780 O60763
Q9UN74 P17900
P98164 O75553
Q9H5J8 Q8NF91
P49903 Q86YV9
Q07817 P05067
P60174 Q96QU8
Q7L5N1 O15126
Q15834 P07738
Q8IU60 P28328
P48551 P27930
P27694 Q13077
O43427 Q8IUM7
P02751 P84090
Q9Y2X7 P58753
O75419 O14713
Q96ID5 Q5FBB7
O60610 Q13416
O60925 Q13873
O75534 P24385
Q9Y6M9 Q13480
P04198 P02768
P00558 P23258
Q9H668 Q96HE7
O14920 Q13895
Q08999 Q13480
P67870 Q9HBZ2
P06400 Q15154
Q16665 Q8IU60
P01375 O95278
O95999 O75052
Q99933 P00966
Q9BU89 O15315
Q12769 P13611
Q9BXY8 Q15583
Q99627 Q93052
Q08999 P20618
P06400 Q6WBX8
Q96LW7 Q9H1I8
P62495 P49792
