P12081 O60232
Q9UKN8 P21246
O75533 O94782
P30154 Q8TAA9
Q9Y3C7 Q9Y3U8
Q13077 Q5M9N0
P67870 Q12923
Q9H1I8 P00395
Q6QNY1 Q96KJ9
Q96ID5 O75665
Q14181 Q9NXU5
P61513 Q8IVF5
P03372 O75534
Q99558 Q5RL73
Q9P2S2 P46777
Q96G25 P00966
Q5RKV6 Q06330
P05067 Q86UN6
P68400 P48552
Q9C0J8 Q9Y263
P02545 Q9NXU5
Q8TCJ0 P15151
Q13432 O60383
P20963 Q6KC79
P12004 P43351
Q5RL73 Q9UNL2
P08887 O76061
P17480 Q8TAA9
Q9UNI6 P56537
Q9Y3C7 P78527
P68400 Q16666
Q5RKV6 P12004
O15116 Q16531
P27694 O14976
O60232 Q9UKN8
Q13094 O95149
Q9BW71 Q12955
O95163 P30154
P30305 Q96IP4
Q9GZT6 P29371
Q15102 Q13563
Q13042 P99999
P54253 A0A5B6
O14788 Q13416
Q15834 O60671
P21246 Q9Y624
Q8WUM0 Q13888
P34741 Q9NV56
P03372 P01375
Q14966 O60566
Q5JY77 P04406
Q9UBN7 Q99700
P16070 O43914
P60228 Q16478
Q00597 P78347
P19838 P27701
P03372 Q9H269
Q08999 Q9NRA8
O95163 P53674
Q16533 Q9P021
P02766 P46777
Q00610 P05060
Q9UKN8 Q7Z434
P51587 P78347
Q9C0J8 Q13888
Q07864 Q12846
O75925 Q8N668
Q9NY33 P16070
P78417 Q9UBC2
Q6PJT7 Q9UNZ2
Q9H7H0 P30050
P17480 P61201
Q9GZR7 Q8IZD4
Q00597 Q6NUQ1
Q9Y5N6 Q6PJP8
Q9UNN4 Q53GS7
Q15572 P80188
O95084 P18545
Q5T3J3 P30154
Q15834 Q12906
P09874 Q13200
Q5FBB7 P78559
Q92844 P40855
Q9Y657 P04053
P49736 Q14749
P09874 P15927
Q9UKN8 P02686
Q13190 P01583
Q13873 P84090
P35222 P22466
P48551 Q9UMX1
Q9GZT8 O75553
Q92598 Q9P2H0
P98164 Q01780
O94864 P09693
O14980 Q03135
Q9UHD2 Q969G3
P02649 P15509
O43294 Q99497
Q16612 Q13347
P20963 Q8NHV4
Q14134 P48645
P52657 Q8IZU3
P03372 Q8WZ42
O00161 O43294
P78417 P50591
P60228 P40925
Q9HAW0 Q13352
P02647 Q12846
Q7Z412 Q6PI98
Q9Y4H2 P18206
P78549 Q9BRT9
Q9UJW3 P41159
O75381 P25054
O43683 Q9H8T0
P15529 P83436
P27824 Q5TCY1
Q9UMX1 O15126
P40189 Q9Y2D8
Q15528 P08603
Q9UKT4 Q9UI46
Q5JY77 O15145
O60921 P12004
P09874 P30990
P51587 Q96SB4
P21580 Q96J94
P37198 P78552
Q92597 Q9UHF0
Q9UKN8 P53621
P28908 Q9P2H0
O15379 P09874
Q00610 Q9NQS3
Q5T3J3 O43292
P24385 Q9NVC6
Q02509 Q8WZ42
Q16478 Q07666
Q03181 P46977
P68400 Q8WY64
Q96HR3 Q14919
Q9BRT9 Q96QK8
Q09472 Q03431
Q09472 Q07817
P01375 O14775
Q99558 P07202
Q13042 Q96HA8
P47874 Q9H8G2
Q7L5N1 P18428
Q9Y3C0 Q96JH7
Q5T3J3 Q9NP85
P99999 P04053
P54253 Q6NUQ1
P03372 Q96ID5
Q9H1I8 Q8IZD9
Q14005 P00505
Q5RL73 Q9H8T0
O60763 Q08945
P48552 Q9NX46
P36543 P05060
O15294 Q8IYD1
Q99575 Q13765
Q15388 Q9Y275
Q9Y3C0 O60496
P12956 P13051
Q9H204 Q9UMX1
Q8N715 Q9BYH8
O43395 Q07820
P27695 Q969H0
Q13432 Q9GZR7
Q9Y3B2 Q9BUN8
O75330 Q9HC73
P06400 P42226
P17900 P28799
Q15645 Q6X4U4
Q14919 Q12955
P68400 P19447
O14737 Q06330
Q01081 Q9Y6D9
P41594 Q9H467
Q9UBU8 P20674
Q15185 Q9BZW7
Q01780 Q9GZM8
Q13042 P30876
P39019 Q9P2H0
P32780 P00558
Q9NSA3 Q9NXB0
Q07021 O00411
P16871 Q8NBJ4
O14773 O00623
O00411 O95347
P10809 O95373
P06400 Q14974
Q9H1I8 Q96LK0
P35222 Q9Y2X7
Q13765 Q9H9J2
Q7L5N1 P12004
Q8NCW5 Q05586
P37198 P37287
O14980 Q76FK4
Q8TEQ6 P05556
P68400 Q8IZD4
Q13200 Q12846
Q96HR3 Q9P2M1
P05067 Q9H422
P32927 P21673
P10827 Q14789
Q13029 O94875
P17480 Q9NYH9
Q96PN7 Q9Y5B9
O14713 O94864
Q99558 P00966
P35222 Q12972
Q07021 Q5RKV6
P02751 O14544
O15379 Q13155
Q92597 Q13190
Q9UKR5 Q9NRH1
P03372 Q6PJT7
Q15388 Q96BT3
Q9UN86 P24385
O14788 Q9Y247
Q13416 P38432
O75460 Q96JH7
P46777 Q99567
P05067 P04004
P78527 P47901
P31323 P21397
O43913 Q00610
Q14738 Q9H0R4
P02766 Q9NWQ8
P54253 Q99967
Q7L5N1 O95251
P51116 P00505
Q13772 Q13042
Q15020 Q8TAP6
P38432 Q6ZRQ5
Q92597 P98164
Q15573 Q04637
Q9Y657 P49247
O60925 Q6ULP2
Q9BQ66 P24385
Q7L5N1 Q86UR5
Q9BRJ6 O94875
O95232 Q53GS7
P68400 Q9UHF0
O15379 Q9Y6H3
Q6P1J9 Q9NYU2
Q06495 Q96MT8
Q15102 P16070
P05556 Q13416
Q8WU20 Q04446
Q9BQ66 Q6YP21
Q14966 O00267
Q9Y5N6 Q14789
Q8IZH2 Q9NRA8
P62380 Q96QK1
P08887 P54253
Q96RD7 Q9UKG1
Q13432 Q9Y294
P35222 O15144
Q8WVB6 Q12906
P32927 Q9P2H0
