P40010 P38353
Q12124 P39520
Q04311 P43579
Q06410 P38822
P39729 P54999
P25342 Q06135
P32333 Q01477
Q06321 P32604
P38356 Q03898
Q07657 P11076
P52891 P20486
P16140 Q02794
P40364 P53738
P25358 P20447
P47069 P46948
P47012 Q12345
P38868 P38274
P04819 P07259
P07284 Q12241
P40302 Q04697
P40094 P38840
P38842 P34162
P17255 P53091
P14741 P53197
Q12349 P08678
Q03322 P25649
Q08215 P40352
P32582 Q08904
P19735 P41913
P16140 P41940
P06243 P33313
P53297 Q12143
Q12464 P40089
P38883 Q03782
P32569 P89105
P43588 P05318
Q03957 Q08491
P39743 Q04149
P32796 Q12424
P53314 P39955
P29295 Q12418
P32911 Q12446
P41911 P38080
Q04659 P32910
P32861 P40362
P38959 P07256
P23595 P38286
P38274 P34217
P04173 Q02685
Q02629 Q12135
P00358 P22213
P32911 P24814
P47093 Q12522
P53261 Q04359
P47093 P04817
P40460 P41057
Q06389 P16521
P02557 P25491
Q12349 P04385
P05694 Q99260
P41920 Q03954
P53959 P22138
P15790 P53135
P15992 Q06541
Q12050 P38797
P49704 P47128
P16370 P30822
P20053 P09119
Q12372 P30620
P00854 P39940
P24814 P41813
Q04437 P37366
P34087 P40554
Q12372 P38148
P38286 P14540
Q02821 Q08162
P53272 P16140
P25491 Q08278
P52593 P06779
P05694 P38629
P54837 P25344
P50101 P36006
Q12250 Q08232
Q06629 P53298
P20053 Q06648
P53934 P32776
P50101 P40367
P09624 Q92328
Q12349 P53091
P06243 P13902
P22855 P40496
P27692 Q12309
P32327 P42944
P43572 P37261
Q02892 P33895
P32641 P38346
P40089 P20459
P53267 P15790
P40070 P19882
Q08004 P39743
P20434 P02994
P38930 P09436
Q01217 P22517
P47093 P29055
P53930 P53549
P43579 P04050
P20053 Q12134
Q12522 P38185
P20606 P38217
Q12462 P39979
P16474 P12753
P02309 P32618
P32570 P07170
P15992 P08018
Q06668 P46682
Q04033 P21243
P20967 P38758
P31384 P38782
P40316 P32464
P12709 P07274
P20486 P06103
P48361 Q06200
P53599 Q12462
P32454 P32432
P31376 Q06407
P33335 P00912
Q04659 P40486
P53934 P53068
P38930 P47135
P35718 P53235
P17255 P25586
Q04370 Q02866
P38555 Q00916
P46965 P32357
P02557 P39945
P20107 Q12514
P15303 P38306
P32902 P50277
P25569 P51862
P04147 P32793
P09119 P02293
P40051 P10849
P40073 Q08285
