P04076 P40960
P34240 P38856
P40957 P38346
Q06479 Q12277
P27895 P50942
Q12341 P40457
Q03957 Q06102
P52919 P38959
P12753 Q04087
P32944 P42846
P46669 P40186
P25491 P53549
P32458 Q00873
Q12310 P32910
Q04067 Q03900
P39925 Q02805
P07272 Q04264
P11745 Q03096
P40484 P40574
P38153 P40314
P40335 P38041
P38757 P39936
P53278 P39534
Q03308 P38856
Q08723 P33333
P38872 P40009
P25357 P50091
P36165 P53169
P38886 P47089
P28791 Q00582
P32366 P25659
P38768 P53743
P38193 P41818
P50944 P11927
P43569 P36048
P50104 P06105
P09938 P32867
P07866 P26448
P36017 P19414
P23644 P21182
P39925 P18961
P53295 Q04412
P38696 Q03338
Q03919 Q04749
P39523 Q08581
P53283 P43565
Q05947 Q00246
P53924 P23394
P19882 Q12517
P14242 P53036
P38181 P32599
P14306 P48240
P40078 Q04264
Q12199 P24279
P32318 P39016
P34162 P17891
Q02629 Q02630
P53632 P32909
P36015 P38634
Q05785 P11978
P46655 Q04121
P24868 P06839
P41814 P53141
Q08873 P37296
P38555 Q06568
P53271 P52891
P54999 P46963
Q08683 Q04493
P39979 P10659
P32464 P14747
P31688 P04046
P32767 P22216
P39517 Q06409
P17121 P53286
P38249 P53893
P20437 P40036
P08518 P31384
P18898 P32867
P47134 P49704
P23394 P38904
P28007 P38757
Q01329 P41834
P38696 P40217
Q06651 P40857
P40963 P32783
P53068 Q06679
P21242 P38753
P00331 P31385
P25451 P40574
P35203 P17255
Q99181 P53196
P39703 P53691
Q02931 P32899
P47017 P38932
Q12411 Q12248
Q02199 Q07963
P42846 Q02931
Q03010 P49686
P13186 P16661
Q01389 P32867
P53978 P46678
P36036 P24004
Q12045 Q06451
P39935 P38352
Q04675 P22203
P48606 Q06554
P06787 P43586
P40339 Q12142
P28006 P26188
P36103 P38991
P04456 P28707
P53271 P50108
Q08873 Q02793
P39940 P10622
P24783 P39682
P53150 P38193
Q00416 P23293
P40484 P53930
P14680 P31385
Q12327 Q08438
P40055 P20133
P27351 P28707
P47176 Q04792
Q01329 P40092
Q03010 Q06217
P32854 P40327
P00899 P22543
P23639 P39718
P38690 Q03792
P32607 P46988
Q08004 P32583
Q06677 P38198
P06844 P15891
P32354 P29311
P39083 P53277
Q08956 Q12044
P34218 Q04839
P53197 Q03656
P38431 P19263
P38324 P21691
P53221 P08539
P39730 P32450
P53912 Q99210
P53859 Q12390
P22203 Q08204
P48240 P32776
P40013 P38431
P53865 P22336
Q08920 P40186
Q08723 Q04493
P32447 P32457
P40070 P36003
Q07896 P32496
Q12411 P38774
P40564 P25342
P40413 Q03690
P47012 Q99278
P38820 P43592
P53168 P11746
P07260 P15303
P36160 P38789
P23644 P12383
P38129 Q04651
P00899 P38229
P40069 P32496
P36103 P43603
P28004 Q6Q547
P32366 Q12349
P29509 P02400
P29496 Q06407
P32801 P40479
P21242 P26449
P12962 P43612
Q06632 P10961
Q12165 Q02884
P20604 P32350
P32366 Q03782
P32496 P46963
P40563 P48568
P30902 P40422
Q12368 P53010
P32842 P09624
P53168 P39946
P38689 P39081
Q12477 Q12020
P25584 P41810
P39014 P53971
Q06479 P38696
P38287 P00359
P38998 P49704
Q12241 P46677
P38810 P53067
P53094 Q03899
P32327 P30665
P48837 Q04792
P32854 P36149
Q12055 P36520
P40693 Q06604
P39944 P04807
P42846 P07170
P17442 Q08951
P34160 Q03774
P19145 Q08601
P28743 P32867
P09734 P25343
P40055 P40453
P27895 Q99257
Q08162 P26798
P06169 P40314
Q12330 P54199
P19414 P43321
P36024 P38957
P21965 P26309
Q03656 P53313
P32491 P06169
P21672 Q12365
Q12168 P38873
Q12038 P38873
P43588 P40480
P51996 Q03898
P34218 P52910
Q03125 P38970
P36085 P34730
P09064 P43616
Q08972 P38716
Q03954 P39743
P32480 Q04062
Q12427 P27514
Q06549 P46949
P22204 P57743
P32480 P32500
P53281 P14164
P13185 P27472
P25635 Q07688
P53094 P14907
P42846 P29465
P17121 P06104
P40032 P22007
Q03081 P36421
Q00916 P38922
P38111 Q08726
P06787 P38705
P40362 P40510
P40055 P19882
P50946 P12868
P23059 Q00362
P25453 Q08873
Q03792 P54837
P27796 P53169
P80667 P32447
P38429 P36029
P34218 P38301
P47050 P25390
P20438 P14907
Q04264 P38959
Q99383 P38874
P32905 P32807
P33419 P30665
P47176 P40064
P38203 P47049
P13185 P39962
P38990 P53313
P40462 Q04264
P39723 P06102
P22213 Q03899
Q05568 Q99181
Q08732 P32873
Q99383 P41811
P38358 P17555
P36224 Q12433
P32786 P40164
P47089 Q12499
P21374 P38814
P21801 P12684
P07866 P19524
Q07657 Q06340
P38287 P35194
P53316 P28817
Q12389 P39929
Q04921 P53256
P40087 P20606
P22213 Q12041
Q03758 P11154
Q00381 Q04894
P31688 P38793
P14680 Q03071
Q07418 P42935
P32800 P32776
Q04002 P38287
P32588 P40078
P53859 P40018
P36149 Q12434
P39925 P08964
P32800 P38789
P40007 P32458
Q06340 P53100
P15436 P53930
P06704 P53238
P33328 P43321
P06242 P53859
Q08492 P00950
P36094 O13553
Q04004 P30822
P38862 P39515
Q12241 P36080
