P25657 P27692
P48232 P28519
P13433 P29468
Q01389 P40434
P22140 P40089
P47166 P31109
P39540 Q99344
P38699 P23287
P07256 P38316
P43638 Q06224
Q08096 P36016
P13711 P53174
P53628 P00431
P40529 Q08278
P21827 P32501
P38759 Q03280
P07276 P38748
P38353 P53297
P25046 P39515
P38272 P38265
P53893 P32334
P46963 Q12026
P40167 P53171
P19358 Q06676
P34227 P27637
P53290 P40341
P12954 P38153
P07390 P00358
P10081 P25301
P42935 P50104
P13259 P38194
P32494 Q12380
P38123 P25333
Q02260 P38860
P38293 P22579
P25043 Q02795
Q03125 P39927
P15367 P50108
P38915 Q06216
P40561 P34252
P53081 P38156
P06844 P40090
Q06344 Q08550
P25297 P53933
Q07509 P53207
P21651 P80667
P40355 P33328
Q04225 P38288
Q07921 Q12082
Q02775 P06779
P06243 P00410
P53961 P38261
P53253 P34160
Q07914 P07261
Q92316 P33400
P29468 P38089
Q03944 P39962
Q04004 Q12174
P38682 P13902
P52917 P40038
P41810 P07272
Q99278 P38968
P42073 Q12157
P47129 Q99344
P00044 P50104
P38801 Q02775
P40357 Q05871
P40541 Q02784
P37366 P38319
P39730 Q01159
Q03263 P53191
P35189 P34223
Q12264 P47110
P28000 Q06651
P47025 P40693
P19882 Q02895
P33754 P46677
P36120 P53863
P38856 Q01329
P52960 P32464
P38523 P11978
Q03691 Q12494
P47042 Q02875
P06786 Q08965
P40453 P47123
P53142 P41805
P06700 P40038
P32793 P38251
P32911 P25382
P20676 P53267
Q12161 Q05874
P36165 P41543
P32601 P47167
P17442 Q03373
P46678 P18759
P38068 P32909
Q04264 P16661
Q12243 Q05998
P39734 P54861
P23624 P10823
Q12427 P38272
P25371 Q08162
P53851 P38822
P41697 P21538
P32583 P33306
P39954 P40510
P12683 Q04225
Q04195 P54867
P38203 Q03935
P53081 Q04231
P43568 P43682
P06777 Q12154
P07250 P23179
Q06409 Q12432
P53738 P47042
Q03323 Q02892
Q12102 Q05580
Q12059 P38273
P38240 Q06251
P53061 P46676
P25615 P38163
P36009 P53743
P39101 Q06163
P32525 P27999
P38957 P25659
Q03213 Q06091
Q12411 P10566
P32341 P09032
P40478 P53859
P35207 P06775
P10355 P32836
P26755 P38873
P23285 P49435
Q03619 P29539
P43560 P33421
P38272 P53250
P32898 P36520
P14736 P42934
P20457 P06775
Q12518 Q03661
P40456 P53271
P29295 P54790
Q12071 P38859
Q99382 P38431
P40328 Q03655
P13433 Q08817
Q12157 Q04322
P28239 P42942
P12684 Q12107
P28743 P07273
P33421 P38821
Q03697 Q06137
P38863 P32836
P53824 P49960
Q06200 P38749
P02294 P36161
P16474 P50111
P07149 Q12488
P06775 P53851
P53163 P54854
P32566 Q12464
P38861 P23776
P35184 P38264
P40455 P28791
P38298 Q04511
P32494 P19454
Q05946 P40434
P53261 P14064
P38873 P24719
Q12522 P38163
P48566 P36009
P32583 P07278
Q06525 P32500
P38723 P00420
P46682 P36009
Q12174 Q06706
P04050 P40091
P47083 P15938
P39996 P38257
P47115 P40573
P13186 P38319
P30619 P18900
P48361 P19358
P17255 P40032
P53081 P38112
P42884 P04817
P38992 P32485
Q08773 Q03976
P42934 P41911
P40573 P38782
P35179 P52491
P40479 P38931
P53211 P46985
P23585 Q05027
