Q03111 Q99933
P22415 Q14103
P54253 P40763
Q08211 P06241
Q16576 O94811
P35080 Q9GZP4
P23409 O14788
Q16236 P14866
Q03014 O75326
P28482 Q96B97
P31785 P06239
P20338 Q8WYR1
Q8TAS1 Q8N196
P61088 P53041
Q16637 Q96GC6
O15151 Q00610
P19387 O60725
Q04206 Q9Y4K3
Q01844 P49716
Q14469 Q9NP59
P40763 P42574
Q12888 P50052
Q13402 Q6UWL2
P12931 Q01094
Q06124 P08709
P15622 P38484
P31946 Q9H0T7
Q93062 O00295
O14508 Q9BZI7
P54253 Q9BY11
Q12879 P78560
Q15796 O14745
Q9BX70 Q03113
Q9NRR5 Q13426
P19793 P07910
Q92793 P05109
P68400 Q15438
P51959 Q8IYB4
O00411 Q96RR1
P17612 P06703
P14678 Q0P6H9
Q13310 P54819
Q9NWF9 Q9P2B2
P51532 Q5TAQ9
P09326 Q9NVV9
P36897 Q9H1J1
P01344 O60282
P22681 P51692
Q96HU1 Q92563
P16070 Q99436
P06730 O43603
Q9Y463 P68400
P13984 Q14147
Q9HAU5 P56715
P19174 Q96GD4
P61978 P49841
Q9BR39 P27797
P07996 O96013
Q04864 Q9Y262
P05412 Q9BVP2
Q16665 P07947
Q9Y3A3 P27701
Q96QT4 Q8NER1
Q15834 P28482
Q16695 P16150
P54253 P43364
Q9UKM9 Q9HC73
P50750 Q9Y3L3
Q9Y6N9 P61981
P26367 Q14643
P01730 Q96KG7
P62753 Q9UBD3
P01112 Q9Y383
O15162 P02549
P37108 Q8N720
Q09472 P78543
P23142 Q14832
Q15365 Q71U36
P62993 A8K7I4
O95477 Q08462
Q05655 Q92609
P16104 Q9GZU7
P46721 P20020
Q9NPI1 O75822
P46109 P52292
O95295 Q04724
Q12933 O14641
Q9Y679 P05997
P38936 Q9ULW3
Q9Y618 Q5T3J3
Q13432 P10747
P35813 Q8NA92
Q06124 Q8WYK2
P49802 P13497
P10827 Q92835
O14776 P62316
Q9GZT8 O14980
Q15399 O75150
P28223 O60921
P68400 Q8N1W1
P28072 P17612
Q13409 Q9Y496
Q8N5S9 P07093
Q9NPC2 Q15762
P68104 Q07666
P12004 Q9P086
P04637 O95256
Q15047 Q9NQ66
P29400 Q14721
Q13485 Q01094
Q92793 P08908
Q04756 Q96D15
P0DP25 Q9UKR5
O00255 Q9BUN8
Q15796 Q86Y01
O15259 Q9UJU2
P16070 P09326
Q96QZ7 O15519
P12931 Q13884
P61981 O00429
P17676 Q15165
P19012 Q9C026
P25445 Q5H8A4
P0DP25 Q92628
O95218 P05408
Q8WZ42 O14908
Q13794 O95219
P15311 Q92597
P46379 Q9BPZ7
Q05513 Q6IAA8
Q14192 Q13224
Q07817 P61201
P63244 Q8IZL8
P28799 Q9H270
P17252 Q9UJ78
Q8TEW0 Q8N715
Q9H0H5 Q5SGD2
O14649 P00750
Q9UBC0 P09104
P52294 Q9NZ42
Q01844 P26447
P25963 O43741
Q15788 P55212
P51587 Q92973
P09874 O00291
Q99618 O43283
Q99959 Q96H20
Q9Y2U8 Q96KB5
P14859 P23769
P28799 P12814
Q9UJY5 Q9P0L2
O00463 Q9NQT5
P10747 P00747
Q99733 Q9H8Y8
Q15628 P11802
P06753 O43525
Q14974 P35658
O60925 O00213
P61769 P50542
P22681 Q9NRR5
Q68CP9 Q6UWZ7
P49427 P55196
P12314 Q9Y2L1
P18031 Q6WBX8
O60674 P55212
P35269 Q99666
Q13526 P12757
P28358 Q13009
P04275 Q13562
Q15911 P43034
P03372 P14923
P99999 P62258
P30260 Q96L34
P15336 Q6P9H4
O00206 P21802
Q9HCE7 Q9C0J9
Q01780 P58340
Q9Y3C7 P61158
Q9H840 P07737
O43427 P20366
Q99750 Q6P2C8
O14980 Q9BY11
P00533 P17676
Q9UQM7 Q6UWE0
Q9Y6X2 P26045
Q13424 Q99612
P40763 Q13705
O60258 Q9GZV1
P17482 Q7Z6B0
P21675 P51692
Q8WX92 P05120
P05129 Q0P6H9
Q12846 P05154
O95793 P62491
O75935 Q8TAP4
P42229 P35998
O43543 O43747
P29590 O95613
P62834 P24394
P60953 Q8IYB8
Q15834 Q16594
P10275 P54198
Q12933 P55283
P35712 Q9NYY3
P49450 Q9Y698
P12814 Q9BYB0
P29466 P16473
P28482 P17535
Q14203 Q9NPG1
Q9UKN8 P00797
Q8N4C8 Q9NP79
P46531 O95817
P29350 P51522
Q07817 P10276
Q9H307 P13498
P05121 P17612
Q9NT62 Q9UBD5
Q9P2R6 P26010
P41182 Q93062
P27361 Q92754
P19838 P23497
P05129 Q86WX3
Q9Y5X4 P54826
Q12933 Q13432
O14936 Q12788
P14598 P09958
Q13485 P42336
O95751 Q9BTY7
P20337 P01100
P55316 P19447
P13861 P46092
Q14721 O60231
P63104 P60520
P22681 P50552
Q05513 P17676
P78545 Q99828
Q96BY2 P23142
P06400 O43613
P28223 P07585
P22459 P63165
Q9NYS0 P46379
P25445 Q9NZ52
O43663 Q9Y6K9
P62258 O75340
Q9P2H0 P68366
P25205 Q9P2K9
O14503 P50453
P22681 Q15599
Q99417 Q08881
O75969 P68431
Q8NA61 P00747
Q14289 Q03431
Q15797 Q5T681
P27824 O00238
Q06609 P63165
P12956 P53355
P30154 O00203
P10398 P12235
Q13045 P62877
Q9UQ90 P02751
P50479 Q10570
P45983 Q07889
Q86UR5 Q9Y6A1
P06213 Q06124
P29350 Q13620
Q6EEV6 P24941
P46109 Q9H1I8
Q03154 P24928
P04114 P21926
Q9NVV9 P60510
P25098 P56524
Q13547 P09958
P06239 P37198
P27986 P24593
P10809 Q9UQN3
Q14134 Q9Y5S9
Q07817 Q9BQY4
P55774 O43491
Q13310 P54646
P0DP25 Q9BYD2
P27986 P01031
Q969H8 P62906
Q9NRD5 Q9UER7
O43353 Q13409
P29400 Q13191
P16471 O60706
P35222 Q07889
P31371 Q9Y624
P24666 O00548
Q96ID5 O15357
P06493 Q8WXH2
O95059 O75348
P35568 Q15477
P04150 P27348
P00533 O15264
P02745 P48552
Q13415 O14757
P25054 Q9BQA5
Q07817 Q86VB7
