P16861 P06782
P07251 Q03063
P32589 P35189
P39968 Q06449
Q06673 Q07844
P50944 Q08601
P33767 P09440
Q06436 P53685
P38995 P09624
P53070 P32588
P00830 P52891
P46681 Q07896
P00044 P49723
P35180 P29539
P48813 P23542
P12684 P10961
P39524 P40469
Q08911 P38262
Q00711 P32432
Q02204 P39720
P25371 P53040
P32634 P34241
Q08109 P29461
P07251 Q12176
P40495 Q04002
P09624 P13712
P53735 Q04089
P09440 P24482
P50944 P11484
P33311 P38257
P41543 P18759
Q05787 P47074
P19882 P23293
Q12301 P02829
Q12255 P19263
Q07963 P38996
P36062 P40992
P08679 P53131
P32873 P33334
P48525 P07261
P12683 P38989
P36013 P53236
Q12255 Q03900
P07213 P46995
P27614 P13574
Q00711 Q12495
P32915 P20604
Q99190 Q06639
Q05931 P39706
P12684 Q07980
P00560 P52593
P32916 P38144
P08018 P28004
P41940 P19735
P25644 Q04660
P38862 P40064
P25371 P25632
Q06108 P32597
P16474 Q06488
Q06551 P53125
P07283 P07261
P53847 P21192
Q06108 P03069
P28834 P40477
P41543 Q12223
P08679 P38826
P07213 P11484
Q05787 P11978
P53847 P38691
P53735 P40992
P53965 Q12176
P48415 Q06632
P53933 Q12102
P40341 P29496
P53253 P32524
P25371 Q04149
P48813 Q05022
Q04370 P07342
P38219 P35817
P53847 Q04048
P39987 P39678
Q02204 P11938
P12684 P40958
P41543 P07342
P36013 P32836
Q99190 P32561
P33891 P40060
Q03897 P28834
Q02773 Q12223
P53735 Q08208
P40561 P32807
Q08109 P12954
P40350 P40090
P53253 P28241
P09457 P19263
Q01852 Q02629
P09232 P48837
P15303 P40064
P53191 Q00816
Q12168 Q12159
P06101 P27476
P27614 Q12464
P53191 Q06137
P28241 P52593
P53163 P14242
P07258 P41695
P10507 Q08162
P38995 Q05021
P07342 Q12158
Q12301 P27705
P09440 P40064
P28791 P32327
P80667 P06839
P11745 Q04199
P46655 P43609
P09624 P21374
P36062 P53904
Q03899 P14242
Q06551 Q07963
P32559 P29295
Q04697 P38351
Q06137 P39001
P32486 P34241
Q03630 P07251
Q04412 P11978
P32559 Q06168
P47045 P31244
P32486 Q08773
P32916 P14291
P33754 Q12149
Q05881 P27476
P39077 P32570
Q08726 P46995
Q12301 Q07471
Q03897 Q02630
P53070 P52488
P46681 P36048
P33401 P33334
P50944 P47054
P28241 Q05580
P08679 P14922
Q03630 P38623
P18962 P16387
P08018 Q12220
P26263 P38781
P40094 P38324
P36520 P38862
P48813 Q01454
P40341 P33418
P33767 P34241
P33767 P40469
Q03630 Q08726
P00958 P32499
P32916 Q03373
P53965 P06700
Q92331 P29539
Q04121 P20448
P53112 Q04934
P46681 Q04231
P28791 Q06339
P00729 P06101
P31382 P40055
P07213 P22336
P38929 P00175
