Q7Z444 Q9P2M4
P05181 Q8NEX9
P49207 Q9HCI5
P52292 Q5C9Z4
Q96NB2 P08574
Q8WZA2 Q8N5I4
P14373 P49643
Q13670 Q96CS4
Q9ULP9 Q10567
Q9H3H9 Q15063
Q99661 O43896
P35250 P50876
O43602 Q9NSE4
A8K8V0 O43294
Q13608 Q5HYI8
P17024 Q8IU99
P27469 Q96E14
Q6ZMY9 Q5VV17
Q9BRQ0 Q6UXR8
Q9H410 Q9NPB3
Q96IK5 Q6ZSR9
Q9H5H4 P46439
Q9Y2Z4 Q9Y5A7
Q5VYM1 Q96AX9
Q8NI60 Q9Y3B9
A2RU54 Q8IYX8
P08590 P51817
Q05315 Q14129
Q9H0D6 Q96KE9
Q99952 Q7RTV0
Q9Y3T9 Q96H55
P59095 Q96PV4
Q9C0I3 Q0VGE8
Q9H8Y8 O94850
Q9UNA4 A8MQ14
Q9UIL4 P62877
Q8N5I4 Q86T23
Q6ZUJ8 Q9P1G2
I6L899 Q96L03
Q9NSK0 Q9NY93
P52657 Q8TDC3
Q6ZMJ4 P15428
Q02539 Q969P6
Q9C0K3 P02533
Q9H8M5 Q58A44
O43182 Q9ULP0
O75150 A0JP26
Q0VD86 Q13387
Q9Y6N1 Q71UI9
Q9HBT7 P37108
Q8N4N3 Q9NS61
Q86YD1 Q9BUG6
Q8NF67 Q9UJU6
P58546 Q6ZUX3
Q9BXB5 Q86XZ4
Q96MF7 Q9BZD4
P35558 Q8N8R3
Q9UJS0 Q93034
Q8NDL9 Q9NUY8
Q16880 Q8ND24
Q14159 P00390
Q8N8Y5 Q9UP65
O00273 Q96HL8
Q01581 P85298
Q9NZV6 P14598
Q96SE7 Q9ULX6
Q7Z4K8 Q9NWZ3
Q96MZ4 Q96HL8
Q9Y2R2 D6RA61
A8MYB1 O15499
O75385 P83369
P0C6A0 A4D256
O95793 O14627
Q96CN4 P52824
Q5FWF5 Q49AN0
O94804 P38435
Q8WVF1 Q16777
P51570 A6NKH3
Q9P0J0 Q16534
Q9H0V9 Q496A3
P83881 Q9H2K8
Q9BZF1 Q9Y468
A0A1B0GVZ6 O14978
Q9GZT6 Q96CP2
Q8N6T3 P52740
Q6PGQ7 G3V211
O95872 Q86WR0
Q9NR30 Q8N782
A6NDX5 Q6T311
P20749 Q9NYW8
A8MUZ8 Q92796
Q9NZJ5 O00253
Q92781 Q6ZMR3
P49748 Q9Y6X3
Q8TF47 P18850
Q86T82 Q9BTD1
A6NDN3 A6NHG4
Q16236 P17032
O75534 Q96PM9
O95398 Q7RTT6
Q5JTY5 A0A0J9YX94
Q8TCP9 Q9BWK5
Q8NFR3 Q9NR30
Q8N6T7 O43623
Q9Y6W3 Q96M95
Q8IWZ8 Q13153
Q5VZF2 P53667
Q86WB0 Q9UQK1
Q9H074 Q86YB8
Q13507 Q8NFM4
Q01581 Q9NQ69
Q6GTS8 Q6ZMI0
Q7Z3V4 Q8NCR3
P17612 Q9Y651
P13646 P04279
Q8N8P6 Q86VP1
Q6ZTA4 P78396
Q13127 P15170
Q9BTE7 P08729
Q08116 P38935
Q8NDY4 Q96F05
Q96BZ9 Q3SXM5
Q9NR33 Q8N431
B3KU38 P52657
Q96EY9 Q5T9G4
Q9P0V9 Q9H6R0
Q02086 Q9BWX1
Q9H898 P35914
Q96HE8 Q9Y5S8
A8MWA6 Q6ZSA8
O94892 P32969
P51522 Q9GZY8
Q12765 P55916
P67936 C9JTQ0
Q71UM5 A8MPP1
Q92734 Q93034
Q8N442 Q02040
Q9H257 Q8WV60
Q96MF7 Q8WXH2
Q9NVD7 Q99578
P18669 O60299
Q3SY77 Q12912
Q9HAW0 P52824
P17030 Q02548
Q6EBC2 Q8N3C7
Q9UII6 Q9UI12
P56851 Q6IPX1
Q9Y3E2 Q13889
A8MT33 P15880
Q14192 Q96ST8
P43365 Q86XE0
A6NEV1 P43351
Q9H1K0 O75431
Q9NYY3 O75563
Q9NQG7 Q96DT0
Q9UII4 Q07912
Q96HQ0 P24539
Q13367 Q9Y234
Q6AI12 Q15173
Q6XYQ8 P45983
P20073 Q15545
P61981 P45974
Q4G148 P20338
Q7Z398 O95202
Q8N300 Q3ZLR7
Q9BTA0 Q96IR2
Q96JG6 P42680
Q9NTX7 Q9UK33
O14717 Q16566
A6PVL3 P0DMP2
Q9Y6N1 C9JPN9
Q8N4U5 Q9P035
Q8TCD1 P60903
O15169 Q9BWW9
Q9BUV0 Q9HBE1
A6NH57 Q96CB5
O14639 Q9UJC3
O00311 Q9NUG6
Q7L7V1 Q99946
P62736 A6NCC3
Q9P258 Q9UBF1
O75151 P08779
Q12840 P17097
Q9HD90 Q49A88
Q9GZT6 O75170
Q9H1P6 Q96M91
P0C1H6 Q8IYI8
O00445 Q5MAI5
O15217 Q6P3V2
Q5EG05 Q96NS1
P83436 P13284
Q15072 Q6ZWL3
Q5JUX0 Q96NJ5
P30419 Q6IBW4
Q8IV03 O14893
Q9ULE3 Q9H4M7
Q15650 O75762
P17542 Q6UXS9
Q64ET8 Q96NB3
Q9P2E2 O60225
Q969S9 Q96LW7
Q9BQK8 P11142
Q3KR37 Q6P3W7
Q9P242 Q6DKI2
Q96MK2 Q86WR6
Q8N5A5 P38405
Q53G59 O15033
Q8WY50 Q9UGK3
Q14587 P62952
Q9Y6N5 Q9NPF8
P54289 Q5JWF2
Q5T0U0 Q1L5Z9
Q14451 Q9HD47
