Q96EB6 P27695
Q16795 P78537
Q9H1K1 Q8TBB1
P03950 P35609
Q86Y26 P25791
Q6P1W5 Q8NEK8
P14923 P19022
Q9H492 Q15025
O76081 P48023
Q92997 Q7Z7J5
Q8WZ19 Q13618
Q13895 Q13422
Q9H0R8 Q13501
Q93062 Q13526
P60411 O43167
Q12933 Q16656
P60409 Q5BKY6
Q96BA8 Q9UGM5
Q96DC9 Q96B67
Q96EL3 O00139
Q9NWQ4 Q99750
Q06250 Q9BRK4
P49639 Q5TCM9
P33897 P40855
Q13596 Q96DZ9
Q96BR9 P54725
P50222 Q8WWZ8
P27105 Q4LDR2
O75553 Q8WVV9
Q9HC62 Q6RW13
P11049 P07948
Q9NYB0 P31749
P0CG48 P09874
P12931 Q13444
P60411 P61024
P28799 Q07687
Q9HCU8 P28340
Q8IWL3 Q86SX6
O43609 P32242
Q4U2R8 Q92624
O95273 Q15973
O75069 Q8WWY3
Q96FQ7 Q8N6Y0
Q99750 Q9NQX5
Q2I0M5 Q9Y3S2
Q15398 Q08379
Q99615 O95816
P0C1Z6 P06753
Q15831 P07900
P60370 Q96E40
O95751 Q05516
Q9UDX3 Q9NYQ3
P49411 Q86UT6
P56524 A9UHW6
Q7Z3S9 Q96HM7
Q6UWZ7 P46736
Q13137 Q8WWY3
Q07812 P22001
P06400 O43524
P02652 Q8NEC5
P56279 Q08379
P19838 P08238
P02792 Q9NZ42
Q6TGC4 O43463
P49917 Q9H9Q4
Q8N112 Q96F15
O75928 O95273
Q15836 Q12846
P07900 Q6VAB6
Q16670 P60409
Q58A45 P11940
Q03014 P60371
Q15051 Q3SYG4
P07307 Q9UNK0
Q9BYR0 P50222
P25788 Q9NZ81
Q9Y281 P50461
P28340 Q9HCU8
P60410 O43741
Q9BZL3 Q9BRK4
Q16623 Q9Y6X1
P04637 Q06609
Q13526 Q9BYR5
Q96HR9 Q8NI60
P60329 P49639
Q13554 Q93062
Q8IX30 P37173
Q9UMX0 O75886
P16234 Q9NRA1
Q9BUZ4 Q8TBE0
Q13427 O75553
P60410 Q8WUK0
Q86WT6 P08243
P32856 Q9H115
Q9BXM7 Q9GZQ8
Q12933 Q9GZU8
Q8N4T4 Q96CG3
Q6UY14 P25800
Q92769 O43463
P26599 Q96PU8
Q9H3U1 P61244
Q86W54 Q9BYR5
Q8N3I7 Q6P597
Q13158 P48023
Q13077 Q9NQ94
Q8N0Y2 P60410
P62136 Q9BZS1
Q15323 Q9Y223
P29350 Q9UKJ1
Q7Z3C6 Q17RB8
P63104 P16471
Q99732 Q9NZC7
Q9Y294 P03372
P24522 Q9Y371
Q96HA8 Q53G59
P14598 P13498
Q5TAQ9 P52294
Q9P0K1 P27348
Q8N7F7 Q9BUZ4
P60412 Q13554
P49639 P28799
P41182 Q9UKV0
Q08AM6 Q8IW40
Q9BRK4 P83876
Q8TAP6 Q96IZ5
Q9NVV9 Q13427
P52597 O60504
Q8N9N8 Q53EZ4
P35222 P12830
P54829 Q07325
Q9H1Q7 Q7Z3S9
O76083 Q7Z3S9
Q12933 Q86X59
P60370 Q8IYX0
P43360 Q16619
Q9BSD3 Q08379
P26371 P48645
