Q14511 P12830
P29466 P49768
Q9UGN5 O43684
P03950 P35609
P14923 P19022
Q9H0E2 Q9NPH3
Q92997 Q7Z7J5
P17028 Q5T3J3
P37288 P17252
Q03431 Q04917
Q9NR61 Q99466
Q15393 O75533
Q15910 Q9GZS3
Q13309 P10244
Q99615 O15198
P26678 O14983
P49759 P02686
P63104 P40197
Q9NQG6 P61981
Q13873 P02511
P37173 P17813
Q9Y2D1 Q9UBS5
P43121 Q6VMQ6
P12018 P09382
Q6PIZ9 P07766
Q99638 P12004
Q9Y5Q8 Q9Y5Q9
Q99750 Q9NQX5
P38936 O75496
P01135 P04626
O95751 Q05516
P29074 P07477
P21359 P34741
P57103 P27348
P26583 P27695
P61981 P02768
Q6IB77 Q5RL73
O00459 P01133
Q96S95 Q9UQM7
P61956 P23497
Q9UMX1 Q9Y6Q9
P24941 P10644
Q15836 Q12846
Q07817 P49768
Q96CW1 P16410
Q9NQT5 Q96SZ6
P56817 Q14242
P04637 Q06609
Q16787 P34741
P62879 Q9UBB4
P24394 P35568
Q9ULV3 P38936
P55058 P02652
Q99750 A6NN06
Q8NFP9 Q13873
Q12929 P05106
O00308 Q16630
P63244 P40763
P62877 P63208
O75925 P63165
Q15751 P14618
P18887 P38398
Q7L576 Q06787
P26599 Q96PU8
O00144 P04628
Q9Y5B0 P35269
Q9NWT1 Q9HCE7
P60953 Q5T3J3
Q13158 P48023
Q9UPW5 Q9P2P1
P63104 P16471
Q9H4L4 Q09472
O76061 Q9NR50
P14598 P13498
Q9UMX0 P50553
P08253 P11362
P19438 Q9BXW9
O75970 O95832
Q92934 P31946
Q13469 Q05513
Q01844 Q7Z6B0
P61956 Q9UBT2
Q5MNZ9 P10275
P22314 Q9Y5U2
Q99767 P98164
P28482 P17302
P20226 P28360
P42262 O00560
P20023 P08133
Q14974 P24593
P27701 P21860
Q12929 P18084
P09668 P07988
O14641 Q15287
Q92731 Q9UBK2
P04899 P18089
P19086 P14416
P04637 P22736
P48551 Q9UMW8
O95251 Q9H079
P35221 P22223
P63279 P61956
P63261 Q9Y281
O14939 P35372
O00463 P43489
Q09472 P05204
Q06124 P32927
P61981 Q15287
P63165 P10275
Q96F44 Q96RN5
P31942 Q9BVJ6
P20827 P21709
Q13427 P24928
P16284 P15924
P31749 P05106
Q03393 Q86U86
P49790 Q92973
Q13547 P29590
Q9NPQ8 P04899
Q9Y294 Q9UK41
P30419 P04637
O76075 P11388
P51532 P04637
O14745 Q8IVM8
Q9UP52 Q30201
P38398 P07602
P02794 P51116
Q9UL54 Q96KG7
P29972 Q99750
P14923 P55291
O15379 O75081
Q15645 O95865
O75381 P40855
P16871 P51692
P51116 Q5VSY0
Q99750 Q24JQ0
P11021 Q9BPU6
P21810 P04054
P45983 P38936
Q9UL26 Q9UI14
P56159 Q99748
Q5SQ64 P62993
P68104 Q9UN74
P28223 Q16288
P98161 P05783
Q12962 Q15545
Q9NY26 Q15464
Q9NRD5 Q13002
Q8ND90 Q96BZ8
Q9UJX6 P30260
O14933 O60260
O00206 Q9UPT6
Q9Y6K9 P19438
Q9UKR5 Q96SN8
Q13330 Q13547
Q12809 O75380
P49675 Q05469
P63104 P04637
P49286 P27348
Q8IW41 P04792
P29350 P20138
P14923 Q96HA8
P36896 P55103
P53621 P09619
Q9NR61 P46531
P21333 P16581
P21333 P49407
P84022 Q9NPG8
O00267 Q9UHR5
P55316 P84022
Q96S44 P04637
Q04837 P54098
Q15233 Q9Y6D9
Q8TAE8 P22736
Q9NS68 Q12933
P54253 Q92614
Q9BWC9 Q5RL73
P15498 P15391
Q14203 Q15436
Q99575 Q9ULZ3
Q9C0C9 P04278
Q92624 Q92824
Q13432 Q9NTW7
P32780 P03372
Q9UQN3 O43175
P09429 Q5T3J3
Q14687 Q5RL73
Q92851 P19438
Q9H0E3 Q4LE39
P48745 P01344
Q9UMX0 Q8WWW0
O15182 Q13432
O00186 P62316
Q96AX1 Q9H269
P50542 Q5T2W1
P42768 Q99828
Q9Y3M8 P08238
P61956 P29590
P29279 O14617
O15524 Q15369
Q8WX93 P15311
Q9Y2L1 Q13868
P00747 P60903
P11831 P15173
P63279 Q96B23
Q9UEW8 Q969Z4
Q9Y616 Q99836
P21246 Q6IB77
O75629 Q08999
O75330 P16070
Q92796 P22459
Q9NRD5 P42261
P29350 P19235
P32780 P27986
Q99543 Q0VDF9
P38919 Q9Y5S9
P30519 Q7L5N1
P78357 P23467
Q03135 Q13418
P19784 P11836
Q9HAP6 P48050
P0DPH8 P63167
P41220 Q14524
Q9NQX5 P24385
P17600 P14598
Q02388 P11142
Q01844 P49910
Q15717 O14787
Q05586 P01112
Q9NPC2 P31947
P49918 P12004
Q8NFF5 Q9NRG1
P05091 Q13432
P17252 Q9UJY1
P24941 Q9UM11
O95405 P46379
Q16891 Q8NCC3
Q9Y624 O14936
O14613 P60953
P25391 P21589
Q92633 Q9NZN5
Q15542 O00268
Q9Y232 Q13547
Q9UJX3 Q9UJX6
Q9BUZ4 Q8IUC6
Q01362 Q05655
P16220 P11831
Q15768 P54764
Q8WWQ0 P35568
O76076 P08069
Q96RK0 Q96C36
Q14934 P63104
Q6EEV6 P21796
Q15375 P52798
P54253 Q8IWZ3
Q9HB63 Q6UY14
P23528 P68032
P49137 O15511
P56693 P55854
Q8IYU2 O75051
Q14318 Q07817
Q14184 P63172
Q9Y3D0 O76071
Q03164 P61964
Q9UKT8 Q13616
Q6PIZ9 P04437
P42574 P05067
P06400 P30260
O75052 P17600
O15198 P08621
P63167 P08237
Q8N8S7 Q9P2A4
Q9H4G0 P42261
O75688 Q9Y6K9
Q15700 O75084
P25963 P04792
O43172 P36897
P56537 P63244
P17096 P19793
O95067 P38936
P12757 P14543
Q9BZK7 Q16778
P06213 Q07666
P08581 P21554
P42574 P61604
Q13885 P21980
P04637 P26447
P17676 Q12778
Q9UNI6 Q9UI14
Q92597 O95573
Q9Y6Q9 P20226
Q9NY12 Q16637
O94811 P49841
Q92793 Q8N140
P49023 P06396
Q8N6I1 Q09472
P30154 P32119
P67870 Q86VB7
Q8NFH4 P36897
P28482 Q03135
P11831 P15172
Q8N3Y1 Q14999
P38646 P05230
Q9NQX5 P30281
Q7L4P6 Q9NSA3
P61604 P05091
O75056 P41240
Q9UKR5 Q9BUJ2
Q12933 P20333
P10809 P26006
O94985 Q99767
Q8NDP4 Q9BQ66
P12931 Q12778
P68431 Q9NVP2
Q9P2R6 O95967
Q9NQC3 P10415
P84022 Q13445
Q9GZN2 Q13547
O14718 P36897
Q99623 O15379
O75807 Q99933
Q9NPQ8 P09471
P54253 Q9UBD0
Q8WW01 P61968
Q13319 Q00535
P51159 Q9UKR5
Q9Y5K6 Q13563
O14641 Q93062
P09104 Q9UHF5
Q03013 Q13432
Q9NXU5 Q9BWH2
Q96EY1 P11142
P08670 Q9UGL9
P17612 P32245
P27986 P17181
P12956 Q9BTW9
P20366 Q8TER5
P06127 P20936
P48357 P40763
Q99732 Q96JH8
P15927 Q04724
P27824 O95990
Q9UNS2 P04637
P21246 Q96NT1
P07384 P55085
Q12805 P04049
P32246 P42224
P29350 P32927
P22455 P31371
P01138 Q99523
Q9UM13 Q07954
Q07954 P56704
Q9Y4K3 P25942
P21980 P04083
P26038 P05362
Q06481 P42336
P02647 Q15388
O14980 P46527
Q93009 Q15011
P29992 P08172
O75884 Q08999
P43364 P30048
P30154 Q13033
P19022 Q9UQB3
P12277 Q96DX5
Q9BY41 Q06455
P04637 Q01094
P04156 P10809
Q96T60 Q13426
P53611 P51159
P43405 P19235
P14324 P54253
Q86X55 Q09472
O15371 P55010
Q9NQC3 P68366
P21333 Q9BXR5
P29350 P21854
Q9NPI8 O15287
O15117 P50552
P56559 Q9NRR5
O15379 P25963
Q96S37 Q5T2W1
Q9BQD3 Q9H8S9
Q96G27 P46934
Q01780 O95777
P42768 P19174
Q9Y6U3 P63261
P24394 O95376
P02549 Q8N8S7
P36957 Q8N2Y8
P18084 Q9HD67
P13725 P02462
Q9UBY0 Q13813
P68400 O75379
Q15758 Q9HA65
O00238 Q9UNE7
P13984 P16220
Q92673 P30533
P06858 Q9H1I8
O14908 Q13641
P50150 Q9HAV0
P21462 P63261
Q09472 P27695
P42768 P27986
P54253 P53990
O43747 P08247
P63165 P05412
P01130 O75553
Q9NR82 P12931
Q02363 Q5RL73
P63162 P04637
P56975 Q15303
P54105 P14678
Q9UMS4 P04053
P42336 Q8IUC6
Q9Y262 O15371
Q13309 P61024
Q13432 O00231
Q9NRG4 P04637
Q04637 P52298
Q92793 P16455
P29350 Q9BXR5
Q01780 Q99828
Q9Y5K6 P06729
P51168 Q16623
Q04724 Q15038
P61981 P31943
P98161 O60674
Q9NZN8 Q9UFF9
P35499 Q13424
Q99569 O95166
Q9NSA3 Q9NQB0
Q9UBS4 P41238
Q13287 P40763
Q9Y297 Q13616
P50461 Q86WU2
Q7Z7J5 Q96AQ6
Q03135 P36897
P40189 P08631
Q14680 P05198
Q9ULB1 Q02410
Q14703 Q99941
Q9BZK7 Q13227
P42224 P15260
O00303 O00165
Q6EEV6 P38646
P27361 P00750
Q01844 Q96AQ9
P06396 P60709
Q8IZH2 O75843
O15446 Q15653
Q9H094 Q8WW01
Q14191 P49005
Q9Y3T9 Q5T3J3
Q01844 Q99750
P62807 P21980
Q07817 Q99638
O60500 O43639
Q96T83 O15127
O00422 P56282
Q93009 P54253
P23528 P68133
Q08752 O95251
Q99972 P15814
O15379 Q03181
P11940 Q8IYD1
Q9Y6M9 O95163
P49759 O43172
P06748 P24941
Q13526 P0CG47
P48723 Q9NRR5
P19320 P15311
P31150 Q9NRR5
Q15047 P84090
Q07869 P24522
Q07666 P14598
Q9BV79 P19793
P27348 P84103
O00291 P05549
P24666 P29323
Q9Y6D5 P47870
Q8N612 O95197
P04637 P11387
P18084 P21333
Q8WX92 P03372
O95166 Q9Y4P1
Q12913 P31785
P63165 P35712
P36897 Q5T6F0
P78396 P46527
P28223 P78559
P68104 Q8N138
Q13158 O95477
O00401 P07737
O60674 P16410
Q9NQX5 Q01094
P19174 Q05586
Q14088 Q9UI14
Q9NWW0 P51610
Q13887 P13984
P33151 P35221
P08648 P04626
O15397 P09132
Q15286 Q9H6R7
Q13137 Q9UKA9
P51692 P14784
P50552 P35080
Q8NI35 Q14957
P68400 Q13426
P63167 P00918
Q9H8W4 O95197
Q9UMX0 O15198
Q15843 Q13620
O60500 P16333
P10599 Q92905
Q53EL6 P05386
Q00536 P46379
P24928 O15514
Q9H1J1 P49841
Q99708 Q13363
P04637 P06493
P46777 P67870
O43292 Q9H490
Q13432 P06241
P12757 Q13219
P78543 P17252
Q8NE01 Q93062
Q86SE5 Q9NVV9
P27635 P07947
P26885 P02747
P17844 P04637
O15230 P50895
Q9NZ08 P08887
Q9UBY0 P02549
O14939 P61764
P23443 P62753
O14511 P21860
P22459 P35609
O94985 Q07866
O60262 Q9NPH0
Q15637 Q93062
O60260 P41220
O14543 P16471
O15205 Q9Y5A7
Q9GZP0 P09619
Q05655 P41594
P54257 P82933
O43679 Q9NVW2
P02792 Q99547
Q02447 Q13547
Q9UBI1 Q9Y3M9
P00451 P04275
P07339 P29622
Q96QU8 P50552
P17612 P26678
P63010 Q9NYB0
Q9BPU6 P07332
Q96RT1 P04626
Q15599 P13569
Q9BRR9 Q93062
P25098 P41143
Q16576 O43463
O00253 Q9UBU3
P45973 P23945
P20151 P24928
P63165 Q00613
P10599 P04150
P19235 Q04912
Q969L2 Q16890
P51608 Q12824
O15524 P09603
Q96EY1 O60674
P51572 P27824
P54259 Q9BQ66
O43815 P0DP25
Q14192 P05107
Q15233 Q9H8W4
P41212 Q9UKV0
Q96AE4 Q16637
O15123 Q02763
P63104 P20941
Q09028 O43463
Q13571 P21580
Q7L622 O00453
P27348 P23945
Q6UWB1 P45983
P41252 P07814
P36542 Q99832
Q14061 Q5T3J3
Q8IXK0 Q9BUB7
Q6UVK1 Q9Y3R0
P42574 P49810
Q92844 Q13077
Q07866 Q6UWE0
O15525 Q5RL73
P42574 P26599
Q9Y2K7 P84022
O60256 Q8N8Q3
Q9UBK2 P03372
P16871 P23458
Q9Y608 Q13045
Q96KX2 P63261
Q16778 P54198
Q6EEV6 O00299
P33151 P15924
P62258 P46527
P07858 P60903
P07948 P12318
O14893 Q07955
P63165 Q8NCR3
O95477 P53667
Q9Y5B0 Q01094
P35606 P49798
O60381 Q13547
P55854 O60229
Q9UKG1 Q96A54
O14727 P42574
O95218 Q16637
P98082 P18084
Q93062 Q86UW9
P52333 P09327
Q13239 P20963
O95751 Q9NY61
P42127 Q01726
P37023 P10600
Q9UQ13 P01112
Q96NY7 P35462
P06241 P13591
P35568 P10912
Q9Y678 O15533
Q86SG3 Q86YF9
Q15645 Q6BCY4
P51681 P50148
Q99614 Q5JWF2
P12259 P27797
P68400 Q14978
P17252 P05114
Q8TDQ1 Q92835
P15291 Q13885
P07766 P27986
Q05048 P38398
P54253 P16383
O75586 Q15796
O00401 Q14247
O00220 P51398
P43405 P0CG47
Q13526 P05067
O95997 P04637
Q7L590 O75419
P10275 Q15233
O75340 P25445
P51681 P28066
Q14500 P11532
O43592 Q00341
O75293 Q99683
Q5JR98 Q03167
Q9Y215 O15146
Q13275 P22314
Q86V81 Q9UJU2
P51114 Q9Y383
Q9GZM8 P43034
O75582 P02686
P38936 P30279
Q9NP84 Q13114
Q96D09 P34969
P29992 P25101
Q01844 O00308
O00308 P31785
Q14416 P30679
Q96B26 Q9NPD3
Q96RE7 P56524
P45973 P08865
P10145 P04899
Q9H422 P02745
Q7Z4N8 P07237
P11142 Q99933
Q9H244 P04899
Q9UK45 P25929
Q9UHC3 Q9HD26
P21673 P61604
Q92731 Q12796
Q8N3Y1 P62877
Q16576 Q9UKG1
Q13432 P36404
P19784 Q9Y5B0
P78560 Q9UKR5
P67870 P04637
Q969S2 Q09472
Q9H0M0 P05549
P14091 P14138
Q4V328 Q14831
P61981 Q9UKV3
Q15542 Q10570
P15391 Q07889
P56817 Q07954
P08397 Q96S59
P62380 Q9NWZ3
Q9P021 Q92796
P00441 Q08209
Q03701 P18627
Q9HC62 P29590
P62324 P10827
P25815 Q15109
P32927 P05771
Q9HAU5 P62851
Q13111 Q9UIS9
Q99741 P62979
O60895 P10997
Q13523 Q9H1D9
P26447 P46379
O00305 P21246
P30154 O43815
Q8IWT3 P04637
P51116 Q13137
Q9NR12 Q9BVV2
Q15399 Q9H2U1
O75818 O75817
Q7Z419 P38936
Q8IX07 O95985
P19784 P55087
Q05193 Q9Y3C7
P52434 P36954
Q9NPH3 P27986
A6NDV4 P15311
Q8WX93 P12814
P67870 P08473
P17252 Q86VB7
P30874 P63096
Q9UMX1 Q15047
Q9UJX6 Q12834
Q13485 P57738
P30154 P35613
Q7Z2D5 Q70Z53
Q13451 Q14164
Q13444 P16333
P55316 Q15796
O15399 P05771
Q15025 P46777
P30874 O95837
Q05209 P46379
Q9NWF9 O60602
Q9Y5X4 Q12788
P04183 Q9UKR5
P02766 Q15047
P12956 Q09028
P68104 O43261
Q99750 Q5TAQ9
Q14151 P03372
P36894 P18075
Q03135 Q06187
Q01844 Q13485
P09661 Q09161
O95257 Q15262
P06400 P05549
P12830 O60716
P19235 P22681
Q9HCE7 Q9Y3F4
Q59H18 O00170
O14745 Q9H015
P61981 Q14978
P49841 Q14103
Q9BX70 Q5RL73
P54253 O75909
Q9P2J2 Q9H1I8
Q9GZT8 Q9H773
P30203 O00560
Q969N2 O43292
P17612 Q13936
P27707 Q8NBJ4
P30519 Q5JY77
O00560 P18827
P07686 P41214
Q96SB4 Q07955
Q13332 P26641
P13727 P31749
P28290 Q9Y383
P10912 P29597
Q9H939 P04278
P20226 Q9P0U4
O95425 P10275
P05388 P68402
Q13114 P20333
P55075 P22455
P50052 P21860
P19174 P16581
O14893 Q15833
Q96IP4 P46379
P11142 P99999
P39687 Q9UNZ2
Q16644 P04792
Q13347 P03372
Q14184 P61764
P13798 Q9GZZ9
Q8NES3 P46531
O15360 O15287
P30101 Q96HE7
Q15185 O14746
P43364 Q9Y6M9
Q92783 O60220
P27361 P19235
Q16630 O15162
P53779 P61978
O00206 Q8N129
Q96CS4 P19338
Q6VN20 Q9C0A0
P43487 P62826
P12956 P38936
Q13588 O43561
P78314 P02787
P60981 P63261
P10275 P63244
P08047 P06729
Q13588 P19235
O60603 O43353
Q9HD89 Q15428
Q9Y6D5 P13861
P46379 Q16637
P02766 P18848
P12259 P01011
Q00653 Q02878
Q14005 Q96MA1
Q15751 Q13571
P30990 Q99523
O00168 P17612
Q13243 O95897
Q08881 P62937
P32249 Q13330
P49795 P41146
Q9UQB8 Q9UKR5
P61925 P17612
P60520 Q9Y4P1
P55036 Q9UHD9
Q99967 Q92793
Q9Y294 P21675
P61978 P41240
P31749 Q12778
Q96NW7 Q9UQB3
P51636 P16333
Q9H4L4 Q6VMQ6
P21673 Q9UKR5
O15455 P41240
P14416 Q9ULU8
P21980 P31151
O43684 O60566
P53350 P13693
Q9H8Y8 Q9NXV2
Q9UNN4 Q02535
O43439 Q13951
Q92597 P36578
P24588 P17252
Q9GZU7 P35269
Q7Z7J5 P15622
O94985 Q15047
O43432 P11940
P98164 Q9Y490
Q16589 Q15257
P06241 P16070
P48039 P26641
Q8IZD4 Q5RKV6
Q9BUZ4 P08138
P61604 P10809
P54253 Q96JN2
P04637 P67809
P68104 Q03405
Q92796 P35499
P35858 O75340
Q9H4G0 P48058
P22607 P08620
Q5T2W1 Q92887
P04637 P68133
Q9NQT4 Q8TEM1
P68400 P24534
Q9UBH0 P12757
Q9Y3R0 P98172
Q06187 P25445
P49841 P53805
Q16777 Q09028
Q92934 P63104
Q16626 P63010
P31946 Q15287
Q8WV24 O15371
P63211 P08100
P42229 P10912
Q9UH77 P41143
Q15910 P52788
Q96CW1 P55087
Q99959 Q02413
Q9UKN8 Q12789
P19784 P24534
P63279 P04637
P62750 O95373
P49662 Q14116
P29074 Q12879
P09455 Q9UK53
P10599 P19838
O95832 Q07157
Q13526 Q93062
Q92734 Q9UKR5
Q03405 P29597
Q16695 P06748
Q13287 O14964
P39687 O60684
Q92843 O00198
