Q8TBF5 B3EWG3
Q9NQ79 P35244
Q9NVL8 P34947
P30613 P24530
O75326 P58499
Q9NQ76 Q8NGP4
Q9NQ76 A1XBS5
Q9NQ76 Q504Y0
Q5QJ38 Q92844
P20933 Q6UWV2
Q8TDW4 Q86XM0
Q8NFX7 Q5T5S1
Q496A3 O43820
Q496A3 Q6ZN30
Q496A3 O15530
P83859 Q96B67
P83859 Q9NP99
Q8TBF2 Q9H4T2
Q15572 Q8IXH6
Q8NHX4 P42229
Q8NHX4 Q8NBJ5
Q9P0L0 A4D126
Q6ZNW5 O60826
Q6ZNW5 Q9BSM1
Q9NXR8 P20142
Q9NXR8 Q9H3Q3
Q9C0H2 P10515
Q9C0H5 Q9UKT5
Q00535 P25100
Q00537 P33240
Q00537 Q8IVH2
Q9NXR5 Q9BW60
Q9NXR7 P04150
O00244 Q9NXC5
Q9UBM8 Q99623
O00241 O95235
O00241 Q9NRM6
O00716 Q8WUY1
O00716 Q8NHC4
O00716 O00559
Q8IX01 P0CW00
Q8IX01 Q9Y458
Q6VAB6 P27348
Q9H8L6 Q9BRX5
Q9UBM7 Q8NHG8
Q9UBM7 Q8IX30
Q13835 Q9UK55
Q13835 P29992
P40424 Q9BQC6
P40424 Q8N5W8
P40425 Q8IV32
P40425 P36955
P40429 Q9H0M4
P40429 Q5TYW2
P40429 Q8TAX7
P51991 P17706
Q13838 Q8NDX9
Q13838 Q8N159
Q13838 Q9UHF5
Q9H2I8 Q8NGG8
Q9H2I8 Q6GMR7
A0A075B6S2 Q92889
O00212 Q9BUY5
P03891 O43316
P03891 Q7Z7L1
P03891 P05109
Q5VUR7 Q53GD3
Q5VUR7 Q96L11
Q86WA6 A6NK06
Q86WA6 Q13487
P02768 P13688
P07902 Q76KX8
P02760 Q9NPR2
P02760 Q9H6R6
P02763 Q9NRW4
P02763 P27037
P02765 P16452
Q9UQ07 P33121
Q9UQ07 Q96JY0
Q9UQ03 Q5TA78
Q9UJ72 Q5H9M0
Q8IWB9 Q8N7P3
Q15165 Q86WB0
Q9UJ78 Q8NH70
Q9GZN6 P36776
Q9GZN6 Q9UK96
O15254 P61573
O15255 Q96S99
Q9BZL1 Q14123
P60153 O75044
P60153 Q6ZMI3
Q6ZTI6 Q8N3X1
Q6ZTI6 O95398
O15258 Q8NCL8
O15259 Q9H2F3
Q6ZTI0 P61916
P51504 P0DMM9
P41180 Q5HYI7
Q96DX7 P51649
Q96DX7 Q8WXF8
P07900 Q9HCQ7
P39023 Q6SA08
P39023 Q2VPB7
H0YL14 Q6P1M0
Q7RTW8 Q6L8G4
Q96CS2 Q6DHY5
A8MZG2 Q6UY18
A8MZG2 Q86T29
A8MZG2 Q9Y2W2
Q9P215 Q99680
P62805 Q86YW5
Q9UK17 Q6XD76
Q9UK17 Q99719
