P15923 P10155
Q15415 P29353
P19419 P23921
O43543 P13796
Q03052 Q12849
O96019 Q92552
Q13595 Q99956
O94916 Q96PC2
O96028 P83111
Q86WQ0 Q05209
Q7L7L0 P00326
Q04726 O60551
P53567 Q9NYK5
P40692 P52888
Q05048 Q99714
Q9UIH9 Q7RTR2
Q2M1K9 P12277
P51688 P49915
Q96AV8 Q9UBC9
P05164 P55210
P10243 Q12931
Q9UGL1 Q9H2J4
O43719 P53779
Q13115 Q16613
Q96KN3 P45877
Q9UBC0 O60678
P05423 Q16822
Q68DY1 Q9UHX1
Q969F1 P05787
O60583 P50135
P13686 Q8N7A1
Q9UBR2 P09936
Q9UBR2 P14868
P55316 Q13405
Q13356 Q96HA7
Q8WWL7 Q15046
Q02447 Q9P0R6
P47928 O75648
D3DTV9 Q99558
Q8WYA6 Q9BRV8
Q8N257 P00326
Q14696 Q8WUN7
Q92522 P40925
Q16587 Q6PRD7
P17405 Q96QG7
Q10586 P47897
Q14686 P35754
Q68CP9 P13489
P29558 P21695
P57081 P31350
Q01459 P14868
O43143 P25325
Q15906 Q92871
Q15911 Q9BU02
Q9H2S9 Q9UHR5
Q8WWL7 O43396
Q15562 P11766
Q9NXR8 Q9BV79
P27695 P78368
Q9ULX9 P28838
P30260 P17174
Q9UBR2 Q92837
Q07864 P28838
P61964 Q8IWT3
Q14807 Q9Y297
P31274 Q99707
P17535 P82664
P10276 Q7Z7A3
Q9Y5Q8 P05089
P24864 Q9Y2J8
O15530 P56279
P08579 Q96QG7
Q16520 P36957
P23527 P82933
P62995 P24298
O94805 Q15185
Q16533 Q9Y3D3
P30876 Q08257
Q02446 Q9BSE5
O14802 P0C7P0
O60508 O95786
Q96T23 Q13867
Q9Y3E1 Q06520
P17861 Q01469
Q9Y294 Q06278
Q03828 Q8WUN7
Q9NQX1 Q9P0M9
P28069 Q9BW04
Q9Y3Z3 Q9BZE1
O95343 O60783
Q99581 P25325
P63279 Q99707
Q9UKY1 Q9NRN7
Q9H9L7 P60484
P33076 Q9P0J6
Q13415 O43396
P18858 Q96M11
Q14839 Q9BYD1
P28358 P35237
P16220 P62937
Q14807 P36957
P49005 Q8NFG4
Q14839 Q8TE04
P15848 P11586
Q96D98 P78417
P38571 P49591
P40692 O43819
Q01851 Q8N427
Q14186 P82664
P17096 Q16773
Q9H0E9 Q5EBM0
P62308 P83111
O43684 Q96G61
P06280 Q9NY74
Q16676 P23297
P43235 P40939
Q13568 O95848
P61964 P16949
P49759 Q8TF40
P56282 Q9NP92
Q8TAE8 O75170
Q13595 Q14152
Q9BTP7 Q9NPB1
P09661 P35270
O95990 P40925
Q5VTD9 Q9Y3D5
Q12951 Q9UIK4
P10914 Q9H9J2
Q15915 P36957
Q9BTP7 O75251
O43680 Q8WXC3
P51946 Q8N427
P20264 P13693
P29083 O15540
Q96RE9 Q9Y3D9
P21291 O75897
Q9H9S0 Q8TE04
P15173 P0DMN0
Q13950 P68104
Q14781 Q9ULC6
P05549 Q14651
O94763 O14727
Q9UBE0 P83111
P08579 O14641
Q9BSF8 A2A3N6
O95990 Q8TF40
Q9UGL1 P82650
Q9UI36 P13798
P57081 Q9H4A3
Q9NSY1 O15235
Q9H8M7 Q99757
O60315 Q9BZL1
Q8N6I1 P43355
P26651 P20132
Q9UNY5 Q6UB35
P41002 O00170
Q3ZCT1 Q9P0R6
O43365 P0C7P0
P21291 Q9H7D7
Q15915 P49888
Q9UNL4 Q8N427
Q9BWE0 O00142
P50750 P18440
Q9BSH3 P53384
Q12951 P05787
Q03701 P13693
Q9C0F3 Q9BRJ2
P52657 P49458
Q8IY57 P46199
P01100 Q9BZE1
Q9Y675 Q8N3H0
P16403 P35325
O43684 Q9Y399
P08651 Q9Y3D3
Q15233 P15374
P09429 Q9P278
Q6STE5 P34896
P82979 Q9Y3E5
P18847 Q9BUE6
Q96I25 Q13794
P13984 P09936
Q9Y5Q9 Q14CX7
Q9UBE0 Q9P278
Q6FI13 O14727
Q14186 Q9UJM3
P52756 P55084
Q86XK2 P32929
Q9BWT3 Q9UGK3
P0CG12 O00338
P21291 Q9Y6G3
Q15393 P49789
P84103 P46199
Q13950 Q04828
Q58WW2 Q969Y2
Q15319 P51970
Q99729 P56277
Q8TDY2 P13693
Q9NR55 P49458
Q96KF2 P09001
Q15911 P15104
P41002 Q8N183
Q06413 O14713
P51826 P13798
P22670 P34897
Q8N5A5 Q06520
Q6PL18 P34897
O94768 P13798
O43929 Q08257
Q5VVJ2 P82912
Q09472 P00441
P50613 Q6UB35
Q9NV88 P20591
P39748 P68104
Q00403 P51114
Q9UBU8 Q9Y297
Q9HCD5 Q9HBG6
Q9Y5N6 Q96PU5
Q08050 Q9H4K7
Q12800 P21673
Q8N1G1 Q9NR19
Q02535 Q9UHR5
Q96LA8 P51857
Q9H6T0 P82921
Q5T6S3 Q08752
Q9UNY5 P18054
O75461 Q9NP97
P10244 P47897
Q13526 P15104
Q01851 Q07617
P08621 Q96G61
P28340 P82664
Q13105 Q9H0C8
Q9UIH9 Q9Y297
P21291 Q12931
P13631 O95749
Q8IZL9 P35754
P14652 P78358
P82979 P32322
P35638 P07148
Q9UNI6 Q9Y3D5
