Q5J8M3 Q96IK1
Q8N9G6 P78348
P17707 Q2T9J0
Q8N4E4 Q9Y285
Q6P1Q9 O60256
P52756 Q9Y5E9
O75937 P30519
P56279 Q9NRZ5
C9JVW0 Q8NGN6
Q8N428 Q9BZV2
Q8NBT3 Q9UIV1
P0C7M8 Q14353
B1AL46 O43315
Q9Y5G4 O00330
P26010 Q14508
Q96AN5 Q96JN0
P56747 Q86TA1
P34903 P21941
Q9H0W9 Q8TCE6
Q96IY4 Q6Q0C0
Q9H1E1 Q8N423
P17538 P36952
Q6IWH7 Q9GZK7
Q9BYQ7 Q9HBL8
Q8NFH3 O75027
P55822 Q9H7T0
Q8TDS5 O60931
Q9Y5Y4 Q15195
P55001 O95013
Q6ZR03 Q02325
Q86X83 Q8N130
Q14117 Q8NG97
P03973 P47888
Q9P016 Q96R67
P21731 Q9UI08
Q92949 Q8NGG7
Q9Y6W8 Q9NPY3
Q9P2W7 Q8TAY7
Q9Y3M2 Q96GQ5
P12644 Q9H8X3
Q6ZMP0 Q6UW88
Q8NH37 P55001
Q8N907 Q8NG78
O00222 O43347
P54849 Q96J87
O95760 Q8TF09
P34995 Q9Y278
Q9Y2W3 P02671
Q9H310 O60936
Q8WVF2 O14520
P49407 Q5HYM0
Q9Y3C0 Q8N309
Q8N144 O76099
Q8IWX5 P43088
Q96A72 Q8IXQ9
P48147 O75556
Q9BZB8 Q9HCN3
Q9UJA9 Q14103
Q8N5G0 Q14114
Q5TYX0 P28332
Q96KX0 Q8N6L7
G3V0H7 Q14242
Q8N3A8 Q96CD0
Q9H205 Q8NBW4
Q01081 Q16048
E7EW31 O43677
Q07011 Q8NGG3
Q92185 Q5JTW2
Q14195 Q9NPZ5
O15218 Q14324
Q9UKQ2 P20231
P14406 P16871
P49767 Q96FC7
P46527 O94829
O75663 Q8NH54
Q86T20 Q9Y3N9
Q8NH80 Q8NBF6
Q9GZS3 Q92765
O95388 Q9BVK8
O60678 P58418
Q99467 Q8NH40
P42263 O75688
Q9NSA1 Q9H3Y0
Q96M20 Q9NYB5
Q7Z5V6 Q9NRI6
Q7Z6W1 Q9UK39
P35325 P22626
Q86X52 P60368
O14521 Q5JPI3
O60774 P30613
P09683 Q8N9Q2
P16422 Q9GZY6
A6NLE4 P43652
A0A075B6P5 Q96LT7
Q9NWB1 Q32M45
Q9H3N1 Q8N7X1
P43897 P10600
Q8WUY1 Q0D2K5
O95214 Q6UXR6
O00186 Q8WWR9
P37288 Q58FF8
Q5GH77 Q14157
Q9UKI2 Q8NGI1
P59922 Q9Y303
Q9BYT1 P19801
Q9UBK2 Q0P670
Q8N111 P02489
O75880 Q7Z412
O75603 Q9H1Y3
Q8IZ02 P27539
Q8TED1 A6PVI3
Q9H3H5 Q9Y5P6
Q8NGP4 E9PJI5
Q9NXB0 O95484
O95178 Q6L8G9
O15503 Q9BX67
P07237 P07954
P19971 Q7RTR0
Q8TC44 Q16718
Q9Y6A1 Q9Y6R1
Q9H2C8 O75072
P04278 Q9BYR0
Q8TBP5 P56730
Q6NVV9 Q5T4I8
P78508 Q8N4K4
Q5VWM3 Q9NRR2
Q7Z4B0 Q9Y6K0
P01880 Q8NGS2
Q8N3J6 Q8N7B1
Q5VXH4 Q9HBV2
Q6IMN6 Q96CX2
O60330 P15104
P0DP72 Q92914
Q9Y5T4 P12532
P54368 Q9HCJ1
P62273 Q9BTT4
Q9H341 Q9H501
Q9BPW8 Q9UBK5
Q8N468 Q13454
Q3LI72 P98172
Q96LA6 Q92623
P11169 P49755
Q9UM07 Q16445
Q3LI72 Q9Y4M8
Q9Y4C4 Q8IUC6
Q96B70 P30939
P61970 Q9NQ94
Q9NZU0 Q9P003
P0C2L3 P10145
O15533 P15085
Q86WP2 Q5SY85
P82933 Q6P4F1
P24046 Q96H96
A0A5B9 Q7Z4F1
O14579 Q96CP7
Q96IZ2 P50053
Q03426 A8MWL6
Q9BX51 Q9XRX5
O43818 P29460
Q6ZTI6 Q96EP9
O43657 Q567V2
Q8TCY5 P61221
P86790 Q15185
P08913 Q9UHD1
Q86WU2 P35637
P0DM63 Q9BXV9
Q32P41 O00287
Q99757 O60676
P0C7U3 Q8NGP0
Q8NGE1 Q15363
Q9Y2D2 A6NCE7
P0C8F1 Q01130
A8MXE2 P18825
P38484 O60907
P45452 Q9Y5P3
Q9UN70 A6NDH6
Q6ZV65 Q9NTU7
Q15118 Q96B18
Q969I6 P60827
Q7RTY1 P40121
Q9NV23 P28908
P10523 Q13610
Q9BRR6 Q6PIV2
P55316 Q8NGY3
P81534 Q9Y388
Q92485 P31689
P20036 Q9NPJ4
P08254 Q8N3H0
Q92903 P01270
P41222 A0A075B6K6
O14735 Q6ZVQ6
Q9HD45 P16410
Q9BZJ6 Q8NH10
B1ATL7 Q8N2M4
A1L157 Q9UDW1
P0DM35 P30559
Q8N4V1 Q6UXR4
Q5MJ68 O15498
Q6UWH6 P20933
Q6ICL3 Q13477
Q8N2C9 Q5W064
Q9UKF6 Q6ZVN7
P51801 Q96DZ9
Q9NYK1 Q92902
P05231 Q86YV9
Q9BXE9 Q9NY28
Q6E0U4 Q8IYV9
P57773 Q99871
Q0VD83 P51797
Q6QHC5 P31995
Q9NUJ1 Q96I13
P80294 Q5U5X8
Q15006 A8MWL6
Q14249 Q401N2
Q5VY80 Q86SM8
P04234 P53794
Q8NGR2 Q5XUX0
Q5NUL3 A0AV96
Q96MT0 Q7L9B9
Q9Y5F6 Q9Y2J8
Q5VZV1 P02760
A6NCE7 P01848
P01225 A8MPY1
Q8TD46 Q9NPA0
Q16281 P26599
P23246 Q9Y281
Q9NYG8 O75462
Q9NRR1 P82930
Q9Y342 Q9UJ99
Q96CS3 Q92561
O94933 Q9UNQ2
Q8NEG7 Q15436
Q8NGY2 Q9NS68
Q9Y694 Q6P1K1
Q8NGT2 A6NIY4
Q00765 Q6P1W5
Q5JU00 Q96QE5
Q6ZRR5 P0DN87
P49247 O43261
Q9Y6M9 O94811
Q86WB7 O43447
Q96EK9 Q8WUA4
Q9UBU9 O14672
Q5TAA0 Q9NW64
Q9NXE8 Q96HG1
P01275 P09693
Q96LA9 Q9Y2I2
Q5JUK9 A6NLC8
Q8TD06 O00116
Q9UPI3 P12830
Q8NGA1 O00548
P57773 A6ZKI3
Q99871 Q8NHA8
P0DP58 Q7Z412
Q8NFT2 Q5TEJ8
Q9NRL3 Q9NSA1
Q96KW9 Q86WW8
P29692 P51687
Q7L5Y6 Q9Y6X1
O75386 P43235
O00244 Q9NXC5
P51800 P13521
P30740 Q9UIV8
Q96JA1 P24158
Q92623 O95567
Q15813 P02814
Q9P0U1 P35462
O60830 Q13547
Q92913 P02787
Q8IXN7 P46091
Q8WXD5 Q2QL34
P32241 P07510
Q9HBX9 O14960
Q8N3S3 Q86UN2
P43003 O15353
O95977 Q9BWT3
Q9P2C4 O75888
O15245 O00590
O95371 P58062
Q9BQD1 Q9BQ49
Q8NGF8 Q6ZMH5
Q96G91 Q9H777
Q8WTU2 O95196
P30532 Q9UF02
Q8NGN4 P47804
Q0IIN9 Q9NR00
P01303 Q7Z7G0
Q96MT7 O00425
Q8IYP2 Q7L5L3
Q9UI40 Q8NGZ6
Q9GZR5 Q9UI25
O43173 Q6JBY9
Q9NP99 Q6V1X1
A6NGZ8 Q96L08
O60676 A2A3L6
Q6P9B9 P01374
P58550 Q2TAA5
Q7Z3C6 Q8NGS1
Q9NTQ9 Q96B96
Q12860 O43516
Q76EJ3 A6NC42
Q8WZ79 P36952
P14222 Q9P206
Q96MP5 Q9H4I8
P14625 Q8TDN7
P21815 Q9NX24
Q9NZI6 A6NKF7
Q7Z7K6 Q14681
P05305 Q9HCQ5
Q9H2C2 Q9H3R2
Q96DA0 P29803
A6NJU9 Q9BV94
Q9NR23 Q2T9K0
P22004 Q6WBX8
P35462 P05060
Q9NQF3 P20226
Q15334 Q8WW34
O60412 Q9P2X3
Q9P0U3 Q17RM4
O75920 Q6UX68
O14548 P0CG13
Q9UBN1 P14621
O94760 P03905
Q92765 Q96T53
Q9H825 Q8N423
Q9HC24 Q8NH08
Q9Y666 Q96MF4
P04433 Q8NGJ1
P50402 P0C617
O00622 O43809
Q9Y5H9 Q8WW01
A6NN06 P61579
P34995 Q8NGS6
Q6P5S7 Q8NE79
Q6ZSB3 A6NIJ9
P36542 P54317
Q9BX40 Q86UW1
P20382 P09486
Q9NP92 Q9BYH1
P00742 Q86UN2
Q7Z2R9 Q9H0F6
Q14118 P10321
O75448 Q6ZMJ2
Q9NVM1 Q8NHB7
O60330 Q8NGP4
Q96B01 P13727
O95183 Q16581
A6NGY5 P19440
Q9Y3M2 O43169
Q6UWB1 A6NGA9
Q96DR5 Q8WTU2
P32246 P02749
Q9UKF5 O95859
Q5SV97 Q7Z3T1
Q8NHC5 Q7L5L3
P15529 Q8NCL9
P0DJI8 Q9UBS5
Q969J5 Q6NZ63
Q9NR00 P06733
O75311 Q92485
O14926 Q15223
Q9P0T7 O14548
Q8IYS5 O75311
Q7Z7M9 Q8NBN3
Q15185 Q96BT7
O14603 Q8NGY0
Q8WVQ1 P29275
Q13423 Q17RY0
Q9Y2I8 P49771
Q3LI66 Q6ZSB3
Q8NAJ2 Q9Y3F4
Q9NZH8 Q96J01
P50226 P48506
Q96CD2 O95476
Q9Y5L3 Q96J42
Q96A28 P84101
Q9HCN8 Q8TAV5
Q96S19 Q9Y3Q3
Q13232 A6NGY5
Q96EY5 Q6UXS0
P08833 Q5K130
Q11201 Q9GZP4
Q8NFX7 O00124
P36544 Q8IVF1
O15389 P21583
Q6NSW5 P54803
Q96T21 Q9NY91
P46926 Q92832
Q9H112 Q13621
Q96PL5 P40394
Q02325 Q6VY07
Q7L266 P35410
Q9H553 O14788
Q6IEY1 Q15761
O60330 P84090
Q58HT5 Q8NAA5
Q9UDX5 P42167
Q9H5V8 Q58FF8
Q8IWB9 Q5T6C5
Q9NPQ8 Q9UMX2
Q76KP1 P36575
P12273 Q8NHY5
O75594 A6NKW6
Q8IV56 P48066
P0CJ73 P0DMB2
O95859 Q15768
Q9NYW5 Q7Z7H8
Q96T59 Q96P56
Q6UXK2 P13051
Q8WXQ3 Q6UW32
Q6ZSJ9 Q8NH41
Q14515 O60397
O75173 Q5TAB7
O43819 Q6IEE7
Q5T4I8 Q6P4H8
Q06495 Q9BQ31
Q9UBX8 Q92542
Q9UBN6 Q14574
Q6ZSV7 Q8MH63
Q6UY01 P17050
P30518 Q8IXS0
Q8NGN0 P07954
Q9UNM6 Q9Y5U2
Q02080 P52888
Q8IX06 P62910
P09683 Q8N1Q8
P12034 Q8N6M5
Q8IYR6 Q8N7S2
Q9Y6K5 Q9H7X0
Q9H3U7 Q9NSC7
P02708 Q96BI3
Q15165 Q6DN72
Q9UKP5 Q9NS00
Q9BY67 P0DMS9
Q8NG83 Q6PEX3
O75113 Q9Y5H5
Q58FG1 P01614
O00168 P0DMW3
Q6EEV6 Q8NEW7
Q6P1M0 Q9NY72
Q9NQG1 Q6P1N9
Q96G21 Q02218
O43315 Q86WK9
Q9UK97 Q9HCQ5
