P32591 P38962
P43636 P32796
Q00453 P53951
P38991 P42836
P08153 P38247
P12904 P20606
P38793 P39702
P52593 P53039
Q12315 P36062
Q04396 P38855
P53096 P53882
Q02100 Q12380
P17891 P53541
P38261 P07257
Q99186 Q06096
P40565 P43555
P25502 P06105
P40068 P52871
P52553 P08067
Q08686 P41318
P43563 P36051
P23255 Q06325
P38353 P12868
P48567 P13134
P39522 Q08199
P12904 P41909
Q02795 P32803
P36421 Q12121
Q04847 P38221
P32500 P38152
P08456 Q12405
P50088 Q05871
P33201 Q03308
P53730 Q03824
P40185 P35723
P35056 P38932
P48415 P39968
P52891 Q04370
P53507 P32600
Q03530 Q08215
P29366 P37261
P38162 P35056
Q03714 P46682
Q03790 P39986
P05066 Q99316
P53082 P38855
Q07532 P24004
P38875 P32893
P32613 P29340
P24384 Q03899
P16603 Q12324
P36162 Q03652
P32898 P13711
P47093 P00729
P12689 P28795
P32790 Q03697
Q01649 Q05867
P39103 Q04396
P49334 P53290
P38127 Q06096
P11914 P20048
P14064 P10566
P32913 Q12404
P53954 P27796
P38717 P53290
P34160 P22219
P19880 Q06169
P38863 P40857
P00128 P38353
P53079 Q12164
P25569 P25580
P08525 Q04272
P26793 Q06385
P53540 P16664
P53507 P32800
P12904 P32800
P20433 P50108
P31111 P32842
P48567 Q03370
P39678 P38334
P32432 P47170
P53271 P38855
Q03667 P53037
P40066 Q06159
P53906 P53951
Q12480 P53011
P32048 Q12524
P32504 P50945
P32526 P32842
P40464 P40857
P39723 Q02521
P25639 Q12527
P40582 Q06541
P18239 P07286
Q06325 P40056
Q12468 Q12154
P07272 P27796
P11655 P38836
Q08955 P39108
P38523 Q03784
P41895 P53838
P38374 Q06497
P46963 P36096
P38757 Q12380
P21657 P38273
P40089 P27796
P38127 P32609
P06786 P53008
P40351 P36168
P25639 Q12462
P36060 P35176
P25605 P38292
P38111 P25613
P40857 P39526
Q12006 P24280
P02309 P32353
P28737 Q04602
P25293 P21954
P38996 P32915
P53896 P32629
P36147 Q04228
P35189 P32266
Q04491 P39718
P39526 P41903
Q03798 P39543
P33322 P18496
P20967 Q08474
P29055 P50091
P52891 P40056
P31539 Q12372
P53735 P25584
Q06551 P38358
P46963 P37302
P39682 Q07418
Q04228 P38736
P15179 Q04119
P36130 P53332
P30656 Q12246
Q99394 P53947
P0C0W9 Q08215
Q12520 P38682
Q01217 Q03337
P32609 P40482
P38351 P47170
P00854 P33760
Q92328 P46989
P32485 Q08001
P38879 P25386
P53933 P39073
P21951 Q12287
Q99393 P23542
P35056 Q92316
P35723 P28795
Q02260 P33760
P39707 P39986
P50087 Q12191
P38755 P46682
Q92316 P40061
Q12205 P53947
P40563 Q99189
P07991 Q03305
Q06630 P13711
Q06410 P21825
P47047 Q08742
P38335 Q02725
Q02486 P41903
P38991 P20606
P53868 Q12016
P25365 Q05902
P36093 Q03824
P48559 P38345
Q08931 P38878
P46682 Q12029
P47064 P27344
P36093 P38153
P16603 P38358
P19262 P38992
P40533 P53959
P32830 Q05902
P53622 P53747
Q05166 P42945
Q02630 P39010
P38879 Q12028
P39727 Q02969
P47013 P39010
P36016 P47124
Q06385 P25591
Q06630 P38206
P30771 P37292
P38826 Q12255
P32558 P13433
P25385 P38244
P46989 Q03824
Q12517 P06843
P38341 P32573
P13393 P53730
Q04549 P07272
P06197 P22543
P53079 P07251
P00431 P41811
Q02784 P46983
P41834 P32893
P32264 Q02983
P12695 P36051
P38911 P33311
P13134 Q03694
P11075 P41318
P36125 Q04329
P21306 Q06708
P25338 P80667
P53079 P38247
P53730 P43601
P38717 Q04301
P47167 P38221
P17891 Q08387
P39518 Q02630
P32833 P39718
P07246 P47040
P12954 Q03370
P12689 P32567
P38127 P29340
P38996 P53947
P0C0W9 P19882
P47031 P35844
Q02260 P32476
Q00578 Q03730
P09457 P39702
Q06819 Q03691
P22141 Q01217
P24280 P32796
P25615 P40003
Q04969 Q04301
P17214 P36168
P05759 Q12527
P39515 P38604
P53076 P32803
P14680 P14063
P53550 P54999
Q04847 Q08023
P29496 P40451
P38162 P36107
Q08645 Q07468
P25451 P40509
P38555 P38932
P35176 P40529
Q06032 P40451
