Q14746 Q96MW5
O94906 Q9NZD2
Q13889 Q13794
Q9UIF7 Q7L0Y3
P16383 P12081
Q9UI36 P41252
Q86XI2 Q9BXI3
P30876 Q5JY77
P03372 Q9H2W6
P51826 P20807
Q8TDY2 Q9NZJ9
Q5H9F3 Q99819
O43513 Q8N3C0
O00716 P62269
P62805 Q9BYD2
Q9Y657 Q9Y2T2
P62805 Q9Y2T2
Q86U86 Q7L0Y3
P35475 Q8TCS8
Q9UPV9 P82909
P42695 Q9HBU6
Q09472 P48200
P61218 Q8TCS8
P10412 Q9Y2R5
P15918 Q9HCY8
Q9HAW0 P53396
O95926 Q2VPK5
P10827 Q12882
Q6P1J9 P21673
P06746 P17987
Q64ET8 Q96RP9
Q9BXL8 P14324
Q16533 O75170
Q13888 O15091
Q9H8M7 P40261
Q9BV90 Q9BYD6
Q13029 P21695
Q5XKR4 Q9H5Q4
Q5TB30 P82909
Q86U86 O60760
Q9HAN9 Q16612
P51946 P35270
P20290 Q99819
Q15583 Q03013
P52701 O95361
Q13573 P54687
P51946 P48200
Q00577 Q8TDY4
Q8TCJ0 Q8WXI4
Q9UDW3 Q9Y2T2
Q14186 Q03013
Q86XI2 Q9BYD2
O43913 P07195
Q5THR3 P21695
P18858 Q8NEL9
Q5H9F3 P39023
Q2M1K9 P00558
P52657 P49675
P62875 P17987
P18858 O75570
O94906 Q6P2Q9
P17480 O00471
O75506 Q92598
Q8TF76 Q9P2W6
O43325 P48200
Q12857 O76031
Q8NFW8 O14920
Q12996 P21695
P78527 P31350
P09884 Q9UI17
Q96T60 Q9GZZ1
Q92966 P39023
Q16594 Q7L3B6
Q9Y6W3 Q14CX7
P36954 Q14CX7
O75506 Q01581
P06400 Q9BYC9
P51826 Q9NY33
Q9UDW3 Q16740
O94906 Q9UHN1
O00267 Q9BYD2
Q9Y657 O15091
P49184 O75534
O96020 Q6P1L8
Q9BX63 Q9BZQ8
Q13077 Q8TDR0
O75506 Q8N3C0
P19532 P82921
Q13568 Q9NZD2
P06400 O14713
Q9UFW8 P49789
Q96T60 Q2M3C7
O43325 Q99551
O43365 Q9P0J6
Q8TF76 Q8N4E7
P62875 Q9Y2T2
O43395 Q6P2Q9
P29083 P54098
P29083 P49675
P25208 Q8N4E7
O43541 O75891
P49736 Q8IXM3
Q00403 Q9BY32
P49842 P29144
O95990 P46952
Q9H4I2 Q9BZQ8
P78527 P82914
P17480 Q14894
O95990 Q7L3B6
Q96BN2 Q9NY33
Q9UJW9 P47874
Q9UNS1 P54687
Q00403 Q5JY77
Q9Y618 Q6NUP7
Q13573 O60551
O00311 Q9NP74
O14497 Q9BXI3
Q86UU0 Q9UPY3
P61218 O43182
Q16533 Q8TDY4
Q9Y675 Q9HCN2
P17509 Q8IXM3
O00716 P17987
Q9HAW0 Q9P032
P18074 P62269
P03372 O95361
Q9H4I2 Q14204
Q9UBU7 Q9NX18
O95551 P62269
P50897 Q9Y3B7
O60583 Q16822
P16383 O60551
Q9NPI8 Q2VPK5
Q09666 Q13794
Q8TCE9 Q8IUQ0
Q6PL18 Q8N4X5
P62805 Q9UI17
Q9UDW3 Q8NEL9
Q13569 O60760
Q9Y6J0 Q9UPY3
Q7Z591 Q02252
Q16514 Q92598
P15848 Q2M3C7
Q12824 O15169
Q00403 P20807
O94782 Q92598
Q6P1J9 P33402
P27694 O60239
O00257 Q9UHD2
Q00577 Q9UI17
O00267 P48735
Q13568 P30711
P78364 Q9BXL7
O60671 Q13795
O43913 O75570
Q14781 O60239
O75528 P82909
Q9Y6J0 Q9UI17
P61218 Q9P0J6
Q03181 O60760
Q00403 O15091
O43929 Q2VPK5
P20290 Q9P0J6
P30876 Q9NZD2
Q9Y618 O75936
P29083 Q9BY32
P10412 Q9BY32
P18074 Q9BYC8
Q09472 Q9UI17
Q92966 Q96EK5
Q9NQ92 O14713
Q13568 Q99551
Q92966 O15091
P61587 Q8WU20
P12004 Q03013
Q6P1J9 P48200
O43325 P32929
P12004 Q9P0J6
Q9HAN9 P51857
Q8TF76 Q14204
O43541 P14061
P19447 Q8IXM3
Q8N9N5 Q9GZZ1
P13010 O75534
P17509 Q9P2W6
O43541 O60551
Q8TDY2 P27708
P51826 P54687
Q9NV56 Q92598
Q9UNS1 Q8IXM3
P15918 Q9UPY3
Q12986 Q9BXI3
P16383 Q6P1L8
P07686 P83881
O75150 Q9BYN0
P49917 Q9NPB1
P10412 P51580
P52657 Q7L0Y3
Q13889 Q9UHN1
Q13285 P41252
O75132 O60239
Q14186 Q92837
O94906 Q14894
P17480 P78417
Q7Z591 Q96IV0
Q12986 P59103
Q14696 Q9BYC8
Q9NWT8 O15169
Q49AN0 Q9UKT4
Q9H4Z3 Q9HCN2
P10071 Q9BYC9
P15848 P47874
P36954 Q9NZD2
P25208 Q6P1L8
Q8TCE9 O60760
Q13569 Q9GZZ1
Q13416 Q02252
P62805 P07195
Q9HAW0 Q9H5Q4
Q92989 P07195
Q5TB30 P54577
O00311 Q01581
Q9UFW8 P82921
Q86V15 P55084
P16383 Q9BXI3
O95551 P33402
P30876 Q9UHN1
Q12857 Q16698
P78549 P35270
Q969G3 P47874
P29083 O00471
P18858 P15374
P17480 P30838
Q92560 O95361
Q96AV8 Q9H5Q4
P07686 Q9BXL7
O43913 Q9BYC9
Q16533 P39023
P49917 P51398
Q8N9N5 Q6P1L8
Q9UI36 Q9H2W6
Q15583 Q6P1L8
Q9HB96 Q9UPY3
Q96AV8 Q9BXL7
Q09472 Q9Y6K8
Q12986 Q14204
O75506 Q96RP9
Q03181 Q92837
Q9Y2U9 Q9BYD6
P62304 P51857
Q9NR56 Q9H2W6
Q9H582 P21673
P52701 Q8NFG4
Q13889 Q9P0J6
O43541 Q9HCY8
P09430 Q9NX20
P50897 Q9GZT8
Q07352 Q8WXI4
O00311 P82909
Q9Y657 Q99551
P12004 P51398
Q92560 P30711
P52701 Q99558
O75528 Q9BYC8
Q9UBU8 O75936
P50897 Q92598
Q9UI36 Q6P1L8
Q13573 Q96IV0
Q9H147 O00471
P36915 Q70SY1
Q13569 Q6P1L8
P03372 O75534
Q9P2W1 P00558
Q86UU0 Q9NVV4
Q9Y6W3 Q8TDY4
P83436 Q14746
O60583 P33402
P22304 Q14204
P10071 Q9Y2T2
Q53GS9 Q7L3B6
Q13285 Q14894
Q0VD86 Q8N4X5
P10071 P46952
Q86U86 O75936
P54278 O60760
Q13888 O15169
O75528 Q9UHD2
Q13416 Q8N4X5
Q8TF76 O43776
Q2M1K9 O14920
Q5XKR4 P35270
P52657 P14324
P36954 P46952
P10071 Q9GZZ1
Q0VD86 O00764
Q5THR3 Q7Z2X4
Q13029 Q9P0J6
O95990 Q9NP74
Q02363 O14713
P41002 Q9NZJ9
Q9H4I2 Q9Y2R5
Q5XKR4 Q9GZT8
P16383 P62495
P17509 Q13794
P18074 Q9NX18
Q6PJT7 O43182
Q03828 Q99819
Q00577 Q9NX20
O00267 Q9Y234
Q9NVU0 Q96EK5
P03372 Q16698
O00267 O14713
Q9Y618 Q13795
P03372 P39023
B2CW77 P51553
P16383 Q9NY74
Q8IYD8 Q9BZQ8
Q9UBU7 Q9HD40
O96019 Q03013
P23759 P31350
P62805 Q16612
Q9UM82 P62495
Q8IYD8 O75570
Q15573 Q9P2R7
Q03828 O00411
Q03828 Q9BYD2
Q02363 P30838
Q13416 P49789
P19447 Q14204
Q13573 P82921
O95551 O00411
O95926 Q6P1L8
P27694 Q9NZD2
Q9NVU0 Q9UI17
O43513 Q13795
Q15583 Q14CX7
Q86WB0 P41252
P20290 Q6P1L8
P27694 Q5TCY1
P42226 Q08211
Q12996 A2A3N6
Q14186 Q02252
Q13889 P14324
O00311 O43182
Q12986 O75534
Q03181 Q01581
Q9UBU7 Q2M3C7
Q96BN2 Q8N142
Q13889 Q9BYD6
O00716 O14713
Q86WB0 Q9P2R7
P15586 Q9UPY3
P51826 Q16698
P06400 Q9H5Q4
P25208 P47874
O95926 Q9BXI3
P15586 Q9GZT8
P83369 Q7L3B6
P18074 P55084
Q9NQ92 O76031
Q16514 Q99551
P78549 Q9P2R7
P04198 P54098
Q9NR56 O14920
P41002 P30838
Q2M1K9 O75534
Q86XI2 O75936
P52701 P47874
Q9UNS1 O00764
O60583 O75570
Q00577 Q8TCS8
P62805 P82909
P15848 P29144
O96020 P49736
Q9HAN9 Q9NY74
O60671 Q9UHD2
Q9UFW8 Q99551
Q9NR56 P62495
O00716 Q7L3B6
O95926 P07195
O75150 O14920
Q8TF76 O75570
O43325 Q9HCY8
O75132 P51398
Q8TCJ0 Q9UPY3
P15918 O75891
O43365 P62495
Q13888 O14920
Q9UPV9 Q9Y6K8
P78549 Q14894
O75506 Q14894
Q9H147 P78417
P41002 Q8IXM3
Q5TB30 Q9UHD2
Q9H147 P00558
O60315 Q14204
Q03181 P62495
O60671 Q9BYC9
Q02363 P40261
Q53GS9 P27708
Q5TB30 P30711
Q16514 P14061
Q6P1J9 O14713
Q15596 Q9Y2R5
Q09472 Q16698
Q16514 P20807
P20290 P54687
O96020 Q6NUP7
Q0VD86 P14324
P63272 Q8N4X5
Q86U86 A2A3N6
O76039 P78417
Q13888 Q06278
Q5THR3 P15374
Q9NVU0 O95361
P49917 P49675
Q9UDW3 P27708
Q9NR56 P21673
Q12986 Q9BYC9
Q9NWT8 Q9NZD2
P04198 Q96RP9
O95551 Q9UHD2
P49917 P51553
P63272 Q9HCY8
Q9Y2U9 Q16740
Q9Y657 O14920
O76039 Q99551
P36915 Q8TAU0
Q9BX63 P78417
Q9NQ92 P47874
P36954 Q9HD40
P06400 Q8TCS8
P62805 P54136
Q12857 Q9NX18
Q96BN2 O43776
Q9BX63 Q9BYN0
Q8NFW8 P51857
O14497 P40261
Q9UNI6 P54098
Q8IXF0 Q8IUQ0
P78549 P62495
Q12986 Q5JY77
P18074 P00558
Q9Y2U9 Q12882
Q86WB0 P54687
P61218 P21673
Q9UDW3 Q9Y238
O94906 Q9Y3B7
Q12857 Q2M3C7
Q8IYD8 P54577
O96019 Q9GZZ1
Q9BX63 P46952
O00257 P14061
Q16533 O76031
O95248 O75936
P51946 Q9P032
Q0VD86 Q9NVV4
Q9UM82 Q9HCY8
P51826 O15091
Q7Z5Q5 Q9UHD2
Q9HAW0 P56277
P62304 P29144
Q9Y618 Q5JY77
Q96PN7 P35270
O96020 P31350
P36954 Q9H6S1
Q7Z591 O75891
Q13568 Q92598
Q16594 P78417
O14497 Q9UI17
Q9P2W1 O75170
Q5XKR4 Q9HD40
Q9P2W1 P62495
O00311 Q9HBU6
Q9NWT8 P59103
P16383 Q9BY32
Q9HAN9 P33402
P19447 Q16822
Q53GS9 Q9H6S1
P13010 Q92837
Q86U86 P54577
Q07352 P54136
Q09472 P29144
O00311 O00411
O95551 P78417
P12956 Q9BZQ8
P35475 Q9BYD6
Q9H4Z2 P54098
Q9Y2U9 O75570
Q0VG06 O76031
P83369 Q16698
P27694 Q13405
Q9Y618 Q8N4X5
P62875 P51857
Q00577 Q9BYC8
P54278 Q8NFG4
Q6PJT7 Q9Y399
Q8TF76 Q9BYD2
P20290 Q9Y2R5
Q8TCJ0 P41252
Q9NPI8 Q9NP74
Q9NPI8 Q01581
O75132 P14061
Q9UI36 Q9HBU6
P07686 Q99551
Q53GS9 Q9NY74
Q14746 Q9Y2V7
P15918 P62269
Q9BX63 P40261
P25208 Q9Y238
Q92966 P51857
Q9HAN9 P48200
Q12996 Q8IXM3
O95990 Q7Z2X4
Q09666 Q14204
Q13285 P59103
P62805 P31350
Q8N9N5 Q9Y2T2
O75528 O95361
Q9NV56 Q14894
O00311 P55084
Q9UNS1 Q9Y2R5
Q9UIF7 Q8NEL9
O60583 O14713
O43513 Q9BYC8
Q9UBU7 P51553
Q5H9F3 Q9HCY8
Q9NVU0 Q9H2W6
O43513 Q03013
O60671 Q9NPB1
Q15573 P54098
Q00577 P56277
Q14181 Q8N142
Q6PL18 O15169
P35475 Q9NY33
P17480 P54098
Q6PJT7 Q9NZD2
Q15583 Q16740
Q9H4I2 O15169
P62875 Q13794
P52701 Q9P0J6
Q03828 Q2M3C7
Q9BV90 Q5TCY1
Q15596 Q7L3B6
Q9Y657 O75534
P16383 Q6NUP7
Q96AV8 P20807
Q9HAW0 O15091
Q9Y6W3 Q9BXL7
P10827 Q96RP9
O14497 P07195
Q8TCJ0 Q8IXM3
Q9H4Z2 P51580
P42695 Q03013
A6H8Y1 Q9HCY8
Q9NQ92 P59103
Q9UBU7 Q9BZQ8
Q86UU0 Q01581
Q6PJT7 Q9NZJ9
P19447 Q9BYC8
Q13573 Q13405
Q16594 Q9UI17
P06400 Q7L0Y3
Q9BXL8 Q9BYC9
Q7Z5Q5 Q9GZZ1
P49842 Q9BXI3
Q9UFW8 O75170
Q86V15 O14920
Q9H4Z2 Q9UHN1
Q6PL18 P17987
Q09666 Q9BXI3
P24385 P49736
Q13569 Q96IV0
Q00577 P35270
Q13569 P54136
Q13569 P82914
O75132 Q8TCS8
O43513 P39023
P19447 P54098
Q9P2W1 O75534
Q8TDY2 Q9UI17
Q8IXF0 P51580
P49736 P30711
Q53GS9 Q9NZD2
P78549 Q9HCY8
P06400 Q9UHD2
P29083 Q8N4X5
Q9Y618 P54577
P04198 Q8WXI4
Q53GS9 P54098
O75132 Q8N142
Q09666 Q16698
Q13416 Q7L3B6
P15848 Q9UI17
P51946 Q96HU1
P78527 Q9UPY3
P10071 P54098
Q16594 Q9NPB1
Q09472 Q99819
Q96T60 O00411
P52701 O60760
Q8WWL7 Q9BYN0
P51946 O75534
Q7Z5Q5 P40261
Q13888 Q9BY32
Q86WB0 O75936
Q8NFW8 P49675
O96020 Q9Y234
Q92989 Q9HD40
Q86UU0 P51553
Q00403 P47874
Q9Y2U9 O14713
O95926 P54136
P10071 Q96RP9
P15586 P78417
Q15583 Q9Y399
Q9BQ83 Q8N3C0
Q9H582 Q06278
P27694 P21695
P30876 Q9NY74
P09884 P12081
Q92759 P20807
Q01538 P21695
O95248 P47874
O76039 Q16740
Q9UNI6 Q9UI17
Q03181 Q16740
Q0VG06 P49675
Q9UBU8 O00411
P49184 Q9BYC8
Q92759 O15091
P78549 P59103
Q5TB30 O14920
Q64ET8 O95786
Q9Y6W3 Q02252
Q96BN2 Q9UHN1
Q14186 Q9P2R7
P35475 P54136
Q9H4I2 P21695
O43929 Q9P2W6
O75528 Q9H2W6
Q9NVU0 P54136
Q5H9F3 O14920
P30291 Q9UHD2
Q13569 P82921
O75506 P17987
Q5THR3 O60551
Q9H8M7 P40939
Q7Z5Q5 Q14894
P20290 Q16740
B2CW77 Q9NZJ9
Q9NVU0 P51580
P49842 O15091
Q9Y675 Q9H5Q4
Q9UNS1 P48200
Q6PL18 Q16740
P41002 O75534
O95248 O75534
P06400 P82914
Q6PL18 P14324
P51826 Q8IXM3
P54278 Q9BYC9
P06400 P14324
Q5THR3 Q9BYC8
Q9Y618 Q9NY33
Q9HAW0 P54687
P09884 P54687
Q13888 Q7L0Y3
Q9HB96 P54136
P09884 P30711
Q8TCE9 O14920
Q09666 Q06278
O75132 Q8IUQ0
Q9UFW8 O75534
Q15562 Q7L3B6
Q15562 Q9BYD6
P07686 P30711
P62875 Q12882
Q13889 P17987
P19532 P12081
Q9NPI8 Q9BXI3
Q5TB30 P21673
O43913 Q9BZQ8
Q00577 Q9NVV4
Q07864 Q13795
Q8TCJ0 Q9BYN0
P52701 Q92837
Q9Y657 P12081
Q9UIF7 P78417
Q9UPV9 Q8NEL9
Q5H9F3 Q96EK5
Q15583 Q99558
P18858 Q9NY33
Q92908 Q13405
Q16533 O43182
Q9H0E9 P47874
Q0VG06 Q9BY32
Q8NFW8 Q9BYC8
Q86UU0 Q13794
O76039 Q9Y399
O96019 Q8IUQ0
Q9HAN9 Q9P032
Q6P2C8 Q8IXM3
Q86V15 Q9UHD2
Q14696 P59103
Q14186 Q9UHD2
Q13029 P54098
P30291 Q9BY32
Q9UBU8 P30838
Q53GS9 P30838
P23759 O00764
O00267 Q9Y2R5
Q7Z5Q5 O75170
Q13889 P54136
Q15573 P82921
P12004 P82921
P83369 Q99819
P78364 O00471
P31150 Q8TAU0
Q9UNI6 Q9BYC9
P06746 Q9NVV4
P49184 Q9BY32
Q96PN7 Q8N4E7
P83369 Q9HBU6
O95990 P32929
Q16594 Q9H5Q4
P61218 Q9Y399
P15848 P46952
O94906 P55084
P09430 Q01581
B2CW77 P46952
Q9Y6J0 Q14894
P06746 P51580
Q03181 O75891
P52657 Q9Y2R5
Q9H4Z3 O00764
O43929 P55084
P17509 Q9UI17
O00311 P21695
Q9BV90 P53384
Q70SY1 Q8TAU0
Q9Y6W3 O43182
O14497 P59103
Q9UJW9 Q9BXI3
O96019 P33402
Q9UPV9 Q14894
Q9P2W1 Q9P0J6
P78549 Q9Y399
Q9UNS1 P41252
Q8TDY2 Q9NX20
P54278 Q16740
Q8IXF0 Q9NZJ9
O75506 P82921
Q07864 P39023
Q15596 Q14CX7
P78364 Q9UI17
O60671 P82909
P15848 P62269
Q13888 Q9HD40
Q9NVR2 P62269
Q14781 Q16822
O43365 P48200
P49736 Q8NFG4
Q9H4Z2 Q92837
Q8IXF0 P30711
Q6PJT7 Q9NPB1
Q9NV56 Q96RP9
Q9UJW9 O75170
O75132 P54577
Q92908 Q9BYD6
O95248 P55084
O76039 Q9NZJ9
Q92560 Q13405
Q64ET8 Q9NY33
P62805 Q01581
Q9NQ92 P32929
P09884 Q9H2W6
Q9UNS1 P83881
Q9P2W1 P31350
Q9HB96 Q9Y399
Q6PJT7 Q9HD40
Q92989 Q8N142
Q9BXL8 P51398
Q13416 P07195
Q16594 Q01581
Q9NV56 Q9BYD2
Q03828 Q9BYC8
Q969G3 O43182
O60671 Q16698
Q6PL18 P51398
Q9UL03 Q8N4E7
Q92759 O14713
P30291 P40261
P41002 Q8N4X5
Q09666 P39023
P12004 Q99819
Q9Y6J0 O14713
Q96T60 Q9P032
O96019 Q9BYD2
Q8TCJ0 Q9BXI3
Q14696 Q13795
P18858 Q9Y234
Q12986 Q8N142
Q0VD86 P62495
Q9NV56 P54136
P12956 O60760
O60315 P40261
O43513 O95361
P12956 P54687
Q14781 Q9H2W6
P09430 Q14204
Q12986 P49675
Q9NV56 P51580
Q9Y657 Q99558
P13010 Q9BY32
P50897 P54098
O43395 O94906
P36954 P82914
Q9BQ83 P15374
Q9NWT8 P82909
Q8IXF0 P30838
Q9NVR2 Q9HCY8
P25208 Q01581
Q2M1K9 Q01581
P63272 O15169
Q8TCJ0 Q8NFG4
Q53GS9 Q9P032
Q9NQ92 Q14894
Q0VG06 P54577
P19532 P62269
Q03828 Q7L0Y3
O00257 P41252
O60315 P53384
P49184 Q9P2R7
O95248 Q7L0Y3
Q9UBU8 Q99558
Q8IYD8 P17987
Q53GS9 Q99558
Q86WB0 O95786
O95551 O95786
O00716 Q03013
Q13029 P82921
Q15562 Q8NFG4
P10827 P14061
O00623 P28328
P19447 O95361
Q96AV8 Q9P2W6
P52657 Q96RP9
Q13568 Q14894
Q00403 O60760
P17480 P83881
P52701 P49675
Q9NVR2 P82909
Q01538 P29144
O76039 Q9UHN1
Q96T60 Q9H6S1
Q9UIF7 Q9BXI3
Q86UU0 O00471
A6H8Y1 Q8NEL9
Q9BQ83 Q9H2W6
P12956 P54577
P04198 P59103
Q9NWT8 Q8N142
O96020 P33402
P30876 P53396
O60671 Q96IV0
O95990 P15374
Q9Y675 Q7Z2X4
P51826 P83881
Q9NWT8 P49675
P36954 Q92837
Q9BXL8 P83881
Q9HAW0 P27708
Q92966 P54577
Q12857 Q9Y3B7
P25208 P15374
O95990 Q9BYD6
P62805 Q14204
P62875 P30838
P51946 Q99558
Q5THR3 Q96EK5
O43325 Q9P032
Q86XI2 Q9GZZ1
Q92560 P21695
P27694 Q03013
Q9UDW3 Q9BZQ8
P29083 Q9UHD2
Q15596 Q9HCN2
O60583 P39023
P50897 P54136
Q8N9N5 P82909
Q8IYD8 Q14CX7
P15918 Q9UHN1
P25208 P62269
Q6PJT7 O00764
A6H8Y1 Q9P2R7
Q9UDW3 P21695
Q9H8M7 Q92598
Q9NQ92 P40939
P54278 Q9HD40
Q15562 Q9NP74
Q9NV56 Q7L0Y3
Q12824 Q13794
Q969G3 O43776
Q9UNS1 Q16822
Q16533 Q9NVV4
Q01538 P49789
Q8N9N5 Q16822
Q9Y6W3 O00471
Q9UIF7 Q9H6S1
O60315 Q99558
Q9HAN9 Q16698
O95926 Q16612
O00716 O60760
Q0VG06 Q96EK5
O43365 O15169
P27694 P33402
Q9H4Z3 Q9BY32
Q8TF76 Q9Y3B7
O75506 O14713
Q8TDY2 Q9H2W6
Q12857 Q5JY77
Q86XI2 Q8NEL9
Q9UNS1 Q06278
Q9UI36 P82909
Q16533 Q5JY77
P41002 Q9NPB1
Q8TDY2 Q8N4X5
P51946 Q92837
P52701 Q9BZQ8
P10827 O75534
Q12824 Q13795
Q9NV56 Q9UPY3
P15586 O75534
O43913 Q9NVV4
O43541 Q8TCS8
P06400 P62269
Q9H147 P31350
Q9Y618 Q9HCN4
Q12857 Q7Z2X4
Q9NVU0 Q8IXM3
Q13029 Q9NZD2
Q9HAW0 Q92598
Q9UNI6 Q9Y3B7
Q9H8M7 Q2VPK5
P22304 O75534
Q86V15 Q99558
O00267 Q8NEL9
Q15583 Q9Y3B7
P52657 O00471
P27694 Q9BYC9
B2CW77 Q9NP74
Q6P1J9 Q9P2W6
O43365 P27708
Q12986 P56277
Q9UBU8 P21673
Q9NPI8 O14713
P62258 Q01814
Q9Y2U9 P54098
Q8WWL7 Q99819
Q2M1K9 Q8N4X5
Q8NFW8 Q8IXM3
Q13573 P54098
Q9Y675 P54577
Q09666 P31350
P49184 Q8N4E7
P54278 Q9Y234
P52701 O43182
Q92759 Q02252
Q13888 P27708
Q96PN7 P48735
P29083 P20807
Q9H582 P54577
Q00403 Q14204
P18074 Q6NUP7
Q9UPV9 Q9HCY8
Q13416 Q9NZD2
Q92989 Q9UPY3
Q12986 O60239
P17509 P54098
Q14186 O75170
Q9NVR2 A2A3N6
O43365 Q8NFG4
O00257 Q01581
Q8TDY2 Q6P1L8
Q9NWT8 O43182
Q9H4Z3 Q7Z2X4
O75506 Q6NUP7
Q16533 Q9UHD2
Q9UI36 O60551
O75132 P00558
Q9Y618 Q16698
Q86UU0 P54687
Q96PN7 A2A3N6
Q03181 O60239
P42695 Q9NZD2
P62304 O60239
Q0VD86 P00558
Q5XKR4 Q9UHN1
Q14186 Q06278
Q00577 Q8NFG4
Q5THR3 Q9HBU6
O43325 P47874
O60583 Q7Z2X4
O00716 Q9GZZ1
Q16514 Q92837
Q2M1K9 P17987
P23759 P30711
Q9NV56 O00411
Q02363 Q8IXM3
Q9UL03 Q9H6S1
Q9NVU0 Q01581
O95551 Q9UI17
P62304 Q9Y238
Q02363 Q9BXL7
Q92966 O15169
Q13568 Q9H2W6
Q16533 O60760
O94906 Q8NFG4
Q14781 O15091
Q9UM82 Q13794
Q86UU0 P78417
Q00403 Q9BXL7
Q09666 Q5TCY1
Q9UBU7 P40261
O96019 O95786
Q9NR56 P55084
P78527 P47874
Q5H9F3 Q16698
Q13569 Q8IUQ0
Q6P2C8 O14920
Q8WWL7 Q9UHN1
Q9BXL8 Q9BZQ8
Q16514 P32929
P13010 P51398
O95551 Q9Y399
Q96AV8 Q9UPY3
P16383 Q96RP9
P78364 Q16698
Q9UDW3 O43776
Q9Y675 P41252
P19447 P82909
P23759 O14713
P62805 O43776
Q09472 O43776
Q03181 Q9NP74
O43541 P12081
Q9H582 P41252
P30876 O60551
Q9Y6J0 Q06278
Q9H4Z3 O60760
P22304 Q9BY32
Q9UIF7 Q9HCN4
Q9NPI8 P53384
P23759 P15374
P36954 Q16822
P20290 Q9BZQ8
Q13573 P82914
Q92759 O00764
Q96T60 Q9BYD2
P12004 Q8NFG4
Q16514 Q9BXL7
P51826 Q5JY77
Q13568 Q9HCY8
Q8IXF0 O00764
P13010 Q2M3C7
Q14781 Q9UI17
Q9H8M7 O75891
P49184 O75936
O43325 P49675
P03372 Q9UHD2
P78549 Q9P032
Q15583 Q96HU1
O95926 O43182
P18074 P51398
O00257 O43182
Q13889 O15169
Q8TCE9 Q9BZQ8
Q03181 O00764
Q07352 P62495
P18858 Q8N4X5
Q9Y6W3 P46952
Q86WB0 Q9HD40
O43541 Q96RP9
P61218 Q9NP74
P15848 Q2VPK5
Q8TF76 P82914
Q53GS9 Q6P2Q9
P10071 Q9BZQ8
Q96T60 P29144
P10412 Q9NX20
Q8TCE9 P21695
P30291 P49675
P10412 Q6P1L8
Q00577 A2A3N6
O60671 P30838
P78549 Q14204
Q9H582 O75891
P62304 P82921
Q5H9F3 Q06278
Q9UBU8 Q9Y238
Q86WB0 Q99558
O75506 P07195
Q02363 Q8N142
O60671 Q9UHN1
Q9UIF7 Q9Y2T2
P22304 O15091
Q6P1J9 Q13795
Q15562 Q5JY77
B2CW77 P17987
Q5TB30 P83881
P63272 P49675
O96020 Q9NZJ9
P83369 Q01581
O95248 P54687
Q86UU0 Q13405
Q9H0E9 Q14894
Q9UIF7 Q9Y238
Q12996 Q9P0J6
Q15562 O14920
Q16594 P32929
O60315 P49675
P09430 Q99819
Q86U86 O00411
P09884 Q9BYD2
O94906 Q9Y2R5
O95551 O76031
Q8NFW8 O43182
Q7Z5Q5 Q99819
Q8IYD8 P51580
Q9Y6W3 P20807
P06746 P51553
P62304 Q9UPY3
Q07352 Q8TDY4
Q9BX63 Q9NX20
A6H8Y1 Q6P1L8
P42695 P31350
Q14181 O75891
Q14186 Q99819
P09430 Q9NZJ9
Q2M1K9 P82921
P23759 Q9HCN4
Q9UI36 P82914
P51946 O60551
Q13568 Q9Y238
O95248 P78417
P78364 P82921
Q64ET8 P55084
Q9H582 P40939
Q9NV56 P53384
Q9H4I2 Q9NX20
P20290 P47874
Q7Z5Q5 P41252
Q5THR3 P27708
P07686 Q9NVV4
Q8NFW8 Q9HCN4
Q96T60 Q9UPY3
Q9Y675 Q01581
Q12996 P53384
Q9UJW9 Q8WXI4
