Model	Dataset	Metric	Value	Split
dscript	huang	Accuracy	0.5198	0
dscript	huang	Precision	0.7714	0
dscript	huang	Sensitivity	0.0562	0
dscript	huang	Recall	0.0562	0
dscript	huang	Specificity	0.9833	0
dscript	huang	MCC	0.1056	0
dscript	huang	F1	0.1049	0
dscript	huang	AUC	0.873361545138889	0
dscript	huang	AUPR	0.8136688937059291	0
dscript	huang	TP	27	0
dscript	huang	FP	8	0
dscript	huang	TN	472	0
dscript	huang	FN	453	0
dscript	huang	Accuracy	0.5	1
dscript	huang	Precision	0.0	1
dscript	huang	Sensitivity	0.0	1
dscript	huang	Recall	0.0	1
dscript	huang	Specificity	1.0	1
dscript	huang	MCC	nan	1
dscript	huang	F1	0.0	1
dscript	huang	AUC	0.8409852430555556	1
dscript	huang	AUPR	0.8582082193167797	1
dscript	huang	TP	0	1
dscript	huang	FP	0	1
dscript	huang	TN	480	1
dscript	huang	FN	480	1
dscript	huang	Accuracy	0.5	2
dscript	huang	Precision	0.0	2
dscript	huang	Sensitivity	0.0	2
dscript	huang	Recall	0.0	2
dscript	huang	Specificity	1.0	2
dscript	huang	MCC	nan	2
dscript	huang	F1	0.0	2
dscript	huang	AUC	0.8869487847222223	2
dscript	huang	AUPR	0.8447594829272976	2
dscript	huang	TP	0	2
dscript	huang	FP	0	2
dscript	huang	TN	480	2
dscript	huang	FN	480	2
dscript	guo	Accuracy	0.5	0
dscript	guo	Precision	0.0	0
dscript	guo	Sensitivity	0.0	0
dscript	guo	Recall	0.0	0
dscript	guo	Specificity	1.0	0
dscript	guo	MCC	nan	0
dscript	guo	F1	0.0	0
dscript	guo	AUC	0.5374563265306123	0
dscript	guo	AUPR	0.5330654931923982	0
dscript	guo	TP	0	0
dscript	guo	FP	0	0
dscript	guo	TN	875	0
dscript	guo	FN	875	0
dscript	guo	Accuracy	0.528	1
dscript	guo	Precision	0.713	1
dscript	guo	Sensitivity	0.0937	1
dscript	guo	Recall	0.0937	1
dscript	guo	Specificity	0.9623	1
dscript	guo	MCC	0.113	1
dscript	guo	F1	0.1657	1
dscript	guo	AUC	0.5560450612244898	1
dscript	guo	AUPR	0.5665519372893979	1
dscript	guo	TP	82	1
dscript	guo	FP	33	1
dscript	guo	TN	842	1
dscript	guo	FN	793	1
dscript	guo	Accuracy	0.5006	2
dscript	guo	Precision	1.0	2
dscript	guo	Sensitivity	0.0011	2
dscript	guo	Recall	0.0011	2
dscript	guo	Specificity	1.0	2
dscript	guo	MCC	0.0239	2
dscript	guo	F1	0.0023	2
dscript	guo	AUC	0.3607490612244898	2
dscript	guo	AUPR	0.4385709700942869	2
dscript	guo	TP	1	2
dscript	guo	FP	0	2
dscript	guo	TN	875	2
dscript	guo	FN	874	2
dscript	du	Accuracy	0.6757	0
dscript	du	Precision	0.8558	0
dscript	du	Sensitivity	0.4227	0
dscript	du	Recall	0.4227	0
dscript	du	Specificity	0.9288	0
dscript	du	MCC	0.4075	0
dscript	du	F1	0.5659	0
dscript	du	AUC	0.7921409931737567	0
dscript	du	AUPR	0.7778273555865199	0
dscript	du	TP	1187	0
dscript	du	FP	200	0
dscript	du	TN	2608	0
dscript	du	FN	1621	0
dscript	du	Accuracy	0.5682	1
dscript	du	Precision	0.9752	1
dscript	du	Sensitivity	0.14	1
dscript	du	Recall	0.14	1
dscript	du	Specificity	0.9964	1
dscript	du	MCC	0.2642	1
dscript	du	F1	0.2448	1
dscript	du	AUC	0.8151754424679993	1
dscript	du	AUPR	0.8486452336152045	1
dscript	du	TP	393	1
dscript	du	FP	10	1
dscript	du	TN	2798	1
dscript	du	FN	2415	1
dscript	du	Accuracy	0.7486	2
dscript	du	Precision	0.8214	2
dscript	du	Sensitivity	0.6353	2
dscript	du	Recall	0.6353	2
dscript	du	Specificity	0.8618	2
dscript	du	MCC	0.5104	2
dscript	du	F1	0.7165	2
dscript	du	AUC	0.8228419031704288	2
dscript	du	AUPR	0.7841649601087839	2
dscript	du	TP	1784	2
dscript	du	FP	388	2
dscript	du	TN	2420	2
dscript	du	FN	1024	2
dscript	pan	Accuracy	0.48	0
dscript	pan	Precision	0.3358	0
dscript	pan	Sensitivity	0.0408	0
dscript	pan	Recall	0.0408	0
dscript	pan	Specificity	0.9192	0
dscript	pan	MCC	-0.0836	0
dscript	pan	F1	0.0728	0
dscript	pan	AUC	0.4084237690404795	0
dscript	pan	AUPR	0.4321880852559456	0
dscript	pan	TP	182	0
dscript	pan	FP	360	0
dscript	pan	TN	4097	0
dscript	pan	FN	4275	0
dscript	pan	Accuracy	0.4289	1
dscript	pan	Precision	0.3534	1
dscript	pan	Sensitivity	0.1714	1
