P14747 P41940
P40038 P47029
P32497 Q04067
Q06208 Q12044
Q02554 Q04693
P33338 P15891
P53267 Q12527
P32499 P52918
Q00723 Q12368
P20436 P38902
P25579 P52891
Q12415 P39103
P38629 P00830
P33399 P20424
P04817 P38928
P32803 P54837
P47135 Q12250
P14120 P38822
P32499 Q02821
P38282 Q12368
Q06644 Q12136
P34221 P22219
Q08162 Q08285
Q12135 P38822
Q02776 P32897
P05317 P02994
P32502 P33418
P39111 P37296
P40202 P00445
P07251 P15873
P40541 P32908
P32618 P48837
Q05900 Q00539
P49687 P32337
P53584 P53214
P25342 P14742
Q12250 Q04062
P25385 P00729
Q02821 P25367
P53437 P38204
Q03330 Q08923
P16474 P40960
P40106 Q08956
P40956 P32350
P07806 P19735
P47027 P38691
P40505 P38147
Q04602 P34230
P33314 P40476
P36006 P41832
P25694 P32381
P36006 P40450
P48510 P32628
P32361 Q00916
P42846 P38011
P25635 P32899
P02829 P40586
Q06410 P33420
Q12245 P40302
P23595 P38902
P47172 Q02630
P40054 P39111
Q08685 P38968
Q99190 P38837
Q12136 Q07084
P02994 Q02554
P53267 Q02721
P89105 Q01159
P32565 Q12446
Q03103 Q04651
P40562 P40026
P04173 Q04660
Q04149 P40991
Q08162 Q12277
P32843 P53335
P36130 P40364
P32579 P54790
P80428 P02293
P38633 P36064
P32480 P32591
P10869 P38615
P47142 Q06696
Q12434 P53882
P53930 P38806
Q03433 P32366
P40303 P23639
P06105 P08539
P38286 P46965
P02557 P22204
Q07541 Q12154
P43609 P11633
Q00776 P14742
P22204 P31384
Q05942 Q03236
P32641 P19882
P38822 P23639
Q06406 P38203
P32641 P40348
Q03898 P30283
Q04675 Q12230
P53100 Q03195
P32641 P12709
Q06675 P17106
P25580 P38843
Q12509 Q07716
P39073 P32569
P25554 P32494
P53914 P40055
Q03195 Q05775
P06843 Q02932
Q02629 P33338
Q04477 P00924
Q04430 P40054
P47017 Q12517
P38992 Q02795
P22579 Q12432
P25491 P53599
P38251 P38121
P06844 P13393
P02557 P11978
Q12206 P20676
P38987 P47113
P40364 P29055
P40151 P40151
Q12349 P40072
Q06554 P04173
P05150 P53971
P32588 P39935
P40582 P40582
P36068 P38220
P05085 P33299
P38203 P39073
P25694 P38987
P07284 Q99247
P38729 P04817
P10964 P36070
P46956 P32584
P32558 P34218
Q04867 P40034
Q07350 Q00539
P19882 P50942
Q12161 P02309
P40308 P40541
P32495 P42945
P39011 Q04921
Q04048 Q03654
P22203 P07703
P33401 Q12223
P22214 P25301
P38615 P25293
P49955 Q02554
P32502 P46655
P30620 P34730
P39958 P32939
P34077 P48837
P25555 Q07623
P36080 Q06648
P32790 Q12144
Q04049 P09624
P10080 P25644
P53728 P40544
P38429 Q05778
P19516 P38356
P53917 P31383
Q03466 Q12517
P11433 P38633
Q03897 P32324
P40856 P02992
Q04364 Q03322
Q12004 P00358
P39958 P40352
P08431 P53894
P28003 P46677
Q08496 P29496
P40020 Q06199
Q99260 P11745
P40026 Q03718
P38262 P04173
Q03406 P43615
P12385 P22138
P25569 P47079
P20676 P53184
P32829 P46946
Q12159 Q07623
P17709 P29295
P25693 P17157
P20795 Q07468
Q06709 Q12326
Q06708 P12385
P28241 Q02821
P12709 P14737
Q12380 P00358
P02557 P38217
P53879 P34730
P06838 P25847
P38624 P41808
Q03935 P23337
P04840 P41800
P38883 Q12522
P19882 P13902
Q02821 P53877
P53220 P32897
P47038 P39515
P15790 P06843
P23059 Q03503
P36162 Q12248
Q12006 P46961
Q00772 P35191
P53261 Q08004
P53179 P47135
P32897 Q01852
P39078 P53197
P32457 P13663
P53043 P09624
P17555 P17555
Q04697 P50944
Q04934 P32562
P53271 P53168
P38203 P40465
P32897 P57744
P33203 Q12186
P46961 P46956
P39730 Q04373
Q07528 P38204
P14065 P19735
P53197 P12709
Q12377 P32628
P54786 Q06648
P33303 P53053
Q12164 Q04697
P22470 P07251
Q03690 P04786
P43567 P17157
P53125 Q03435
P36516 P38064
P23641 Q00684
P29704 Q03790
P38998 P53112
P07283 P18851
P49956 Q07878
P36517 P31334
P40961 Q05359
P38705 P40517
P32504 P35203
P38766 P15873
P02994 P39984
P14907 P33418
P25635 P53914
Q08961 P25575
Q02554 P38439
P34160 P06105
P38333 P47083
P43639 P32657
P08566 P38691
Q12263 P32457
P46956 Q02774
P25586 P38011
Q02795 P35723
P46151 P15938
Q06406 Q04991
P22803 P38885
P15180 P19735
Q07350 P41811
P53849 P38862
P39108 P32844
P32350 P00830
P36057 Q99190
P06197 P25087
Q12417 P16474
P21243 P22141
Q06410 P38633
Q12464 P38629
P38682 P32644
P32447 P32479
P38319 P25694
P51601 P24814
Q12389 P53261
P07249 P05085
Q12505 Q12250
P53900 P53253
P35056 P39108
Q02199 P30822
Q02821 P33331
P28274 P38217
P34730 Q00776
P46961 Q07904
P53215 P32502
P40501 P38875
P06839 P16140
P22209 Q07732
P06782 Q00816
P32864 P39969
P53093 Q99260
P38318 P32529
Q99189 P48837
P21771 P32776
Q03944 P07259
P47079 Q03897
P32585 P38304
P40069 Q12223
P38334 P33336
P02994 P38875
P35723 P53322
P39708 Q06150
P52891 P49686
Q04697 P04817
P29055 P53234
P15790 P37838
Q06632 Q12102
Q03305 P38316
P53233 P04173
P15646 P27476
P16451 Q04437
P39705 Q02821
Q04228 P47135
P53337 Q12164
P21825 P32629
P07272 P47031
P53242 P36068
Q06678 P38064
P23639 Q06137
Q12164 P14772
P54790 P54791
P18480 Q12406
Q07395 P38217
Q06325 Q12385
Q99383 P09624
Q02979 P53215
P36160 P38789
P38986 P38986
P36047 P35191
P47077 P38818
P32837 P53074
P32829 P53971
P40348 P22133
P30657 P38886
Q04697 P38356
P38782 P41896
P40055 P53276
P53632 Q12460
P27999 P14682
P50104 P08153
P32567 P35719
P25586 Q08965
P40217 P41811
P23639 P40302
P32381 Q12329
P05150 Q08949
P40018 P47093
Q06410 Q02831
Q02775 P50086
P39730 P32497
P39990 Q12176
Q01454 P13382
Q02630 P53826
P38197 P40988
Q12291 Q07418
P22543 Q05919
P21264 P25365
P23201 P01097
P28320 Q02642
P33202 Q00776
P36168 P43637
P46956 P38842
P32350 Q12161
Q07350 P06738
P80667 P40155
P17123 Q12208
P40217 P31378
P61829 P61829
P40069 P38310
Q12159 P32337
P36077 P27999
Q07438 P53899
O13539 P25555
P47093 P38999
P32582 Q12749
Q08496 P09436
P32589 P22137
P23595 P54839
P32910 P22276
Q04437 P25451
P14736 P43601
P04147 P53883
P02994 P25454
P53141 P38272
P54072 P38147
Q02821 P39534
Q03935 P32366
P30656 P25451
P34216 Q12161
Q12405 P32458
P53287 P87266
P36516 P53875
P04397 P12754
P38930 P89105
P00812 P14742
P28004 P38217
P38804 P05317
P39996 P39996
Q06631 P25586
P40971 Q02629
Q03944 P04173
P40362 P09624
P38273 P53129
P43612 P04173
Q02574 P47029
P02829 P35203
Q12389 P36160
P38316 P18239
P35189 P40856
P20053 P00830
Q12154 P38868
P32613 P53863
P09624 P06843
P38624 P40088
P28004 Q08963
P42940 P29055
P36083 P15938
P41338 P32911
Q06142 P32499
P18480 P09547
P10964 P47035
P38286 Q06451
P38789 P38805
P17255 P13434
P32569 P43610
P38286 P23900
Q08417 P19955
P38111 Q04377
P48582 P47017
P14772 Q12300
Q03935 Q12030
Q12692 P53201
P53083 P39722
Q01477 P53741
P39730 Q06538
Q12433 P53550
P53738 Q03920
P00830 P36047
P32468 P16140
P07703 P04173
P41940 P22141
P00830 P00830
P20459 P38691
P25586 P42945
P53916 P25694
P38217 Q03497
P26754 P02293
P38987 P22137
Q03897 P05150
Q04437 P40050
P23968 Q07376
P38217 P38737
P25632 P38523
P36160 Q04149
P32803 P38264
P38264 Q03530
P07283 P32468
P27514 Q06208
P53117 Q08387
Q03162 Q04660
Q08207 Q12507
Q04675 P32582
P33759 P12686
Q03898 Q03898
P35191 P39743
P53916 P07342
Q12175 P40356
P53303 P20437
P43609 P25632
P53867 P27636
P53256 P53254
P29295 P38523
P32908 P12753
P47135 Q00684
Q03654 P33334
P47093 P0C0X0
P32569 P38328
P38891 P32797
P41811 P22204
P47079 P53156
P36039 Q12431
P53894 P04385
P45976 P42073
Q05946 P43612
P43604 P38633
P53879 P50946
P47135 P32339
P37838 P35194
P40513 Q12531
P32639 Q02775
P32263 P06787
P19955 Q12292
P40509 P25385
P46677 P32259
P32830 Q02574
Q03899 P02994
Q12300 P00830
Q12372 P46996
P38810 Q01590
Q03063 Q03063
P32790 P38130
P53927 Q12176
Q02574 P49334
Q01329 P25298
P40091 Q12507
Q12421 P27999
P16522 P16522
P53616 Q12745
P40335 P32913
P47113 Q06010
P38875 P49018
P39743 P00830
P09032 Q02866
Q12380 P32582
P34221 Q12466
P53549 P43588
P25297 P08458
P43549 P38987
P12868 P53129
Q12349 P38304
P32836 Q12063
Q04598 P53959
P38356 P25358
P46956 Q99190
P40971 Q03899
P32562 P47069
P07274 P17555
P16522 Q12379
Q12262 P40054
Q12349 P00358
P15424 P27705
Q08293 P29055
P08458 P16387
P53846 P12709
P33767 P08456
P09232 P40469
Q02875 P32639
P38753 P40325
P36162 Q03954
P53040 P23255
P35177 P38129
Q12344 P39743
Q07381 P29295
P14741 Q03525
P89105 Q06697
Q02629 P52918
P40352 P15992
P04397 P32502
P31384 P39008
P06701 P06701
P38931 P20134
Q08683 Q12107
P39014 P12709
P18888 P32628
P04385 Q03944
P06242 P04050
P19735 P41338
P38987 Q03532
P08539 P38270
Q08904 Q08904
P53287 Q02630
P21243 P38886
Q06208 P38086
P16140 P18851
P05374 P38227
P38701 P24720
P39009 P13099
P06774 P16387
P43571 P25358
P26754 P47171
P38203 Q12272
P32381 P07342
P19524 P39108
P32499 P48837
P38861 Q03900
Q12531 P38710
P38987 P51601
Q06102 P45976
P46674 O94742
Q06632 P36104
P04385 P32641
Q03388 Q12692
P13517 P38146
Q12250 P38624
P53934 P38801
P39011 P39955
Q06266 P23394
P36224 Q06820
P14020 P35197
P19882 P47147
Q12431 P25574
Q06410 Q06410
Q00772 P41940
Q02939 Q12004
P35197 P36164
P14907 P32337
P50874 P54790
P02994 P05986
P40160 P29295
P08640 P08640
P38811 Q02336
Q06011 P38251
P02829 P32807
P04173 P05986
P32337 P14742
P38123 Q03323
P42946 P46961
P06839 P38299
P33322 P15992
P38194 P32478
P80235 P32366
P40344 Q02630
P11972 P47042
P47135 P53882
P47142 Q04201
Q12152 P32449
P14904 P11709
Q06344 P15424
P20435 P04051
Q01329 P20448
P46965 P16661
Q03533 P20795
P32566 P07703
P39008 P13382
P32902 Q12365
P49956 P38629
Q06148 P37263
Q07807 Q04437
P47135 P38190
Q02630 P41903
Q12134 P15891
P33399 P28007
P28795 P28795
P50874 P54784
P40364 P08458
Q02630 P23639
P38129 P12612
P53919 Q6Q547
P46671 P52553
P38286 Q07376
P39076 P12612
Q07622 P53238
P00815 P53233
P32481 P05694
P14680 Q08601
P19659 P40356
P25293 Q12692
P40856 P39954
P23968 P17255
P40054 Q08915
P32767 P32499
P28274 P24719
P40693 P53927
P49957 P38080
P47135 P53211
Q12372 P53337
Q02774 Q06644
P32610 P08458
P32787 Q03834
P52286 P47104
P19735 P33334
P35206 P38842
P23615 P39998
P25299 P33751
P25343 P00358
P21825 P38993
P25451 P25605
Q02574 P38271
P14742 P39009
P22215 P25297
P08431 P39108
P32849 P35732
P38165 P25694
Q99219 P53215
P48837 P51534
P00924 P38153
P53195 P48837
P53729 P47038
P25382 P53877
P53632 P32337
P30665 Q12146
P38112 P08678
P53933 Q12230
Q02950 P32902
P33759 Q08647
P07884 P40011
P14724 Q08683
Q08387 Q02979
P32639 P49704
P12954 P40567
Q12021 P39076
P25639 P38969
P27929 P32902
P25336 Q03834
P20448 Q03532
P02309 P38890
Q08271 P38286
P38629 P02829
P22336 P07251
Q02630 P40069
Q03655 Q12402
Q03012 P38337
P40519 Q08729
P40045 Q04100
P38764 P48510
P32828 P29461
P28320 P38707
P40018 P53873
P06738 P38882
P36006 P40453
Q02979 P38110
P25655 Q12297
Q03957 P02309
P50111 P40480
P38265 P38907
Q12223 P38077
P25367 Q03897
P25559 P39111
P50874 P32833
P36116 P25344
P17255 P47104
P19358 Q00772
Q06506 P32264
P38863 P29055
P32911 P12709
P53845 Q12402
P19882 P06839
P08458 P36139
P53261 Q07623
Q04062 P32496
P05066 P32861
P07260 P04397
P40069 P42838
P12709 P39743
P09798 P09798
P38129 P38219
P38987 Q03818
P46962 P46963
Q08208 Q07381
P34078 P38333
P49704 P36517
P06242 Q03290
Q05567 Q05567
P40032 P53168
P16661 P38993
P38931 P25655
P38630 P40339
Q06169 Q06169
Q07589 Q02775
Q03579 P28496
P38781 P04802
Q02606 P20486
P38798 Q08491
Q00578 Q02939
P25694 P48363
P53861 Q08208
P40066 P49686
P16474 P25615
P47035 P06700
Q12352 P40562
Q12309 P28320
P40462 P47135
P20424 P39960
Q07844 P36160
P17064 Q08271
Q08966 P47135
Q00539 Q06217
P40339 P15873
Q12498 P40956
P32523 P32523
Q12223 Q12449
Q12233 Q06593
P35192 P32318
P12709 Q04675
Q06551 P36062
P16140 P53894
P15873 P40348
P28241 P11075
Q12349 P08525
Q06410 P40573
Q02732 P38692
P21264 P38633
Q04149 P25491
P40070 Q06217
P43587 P38523
Q12464 P53877
Q12346 Q12346
P14306 P40368
P40348 P38877
P40362 Q12511
P53313 Q12522
Q06686 P16151
P25567 P34160
P38111 P12385
P04173 Q04477
P40495 P39743
Q04177 P38219
P11076 P32074
Q12309 Q04693
Q12216 P47068
P21951 P39935
P38822 P25385
Q02795 P38286
P37296 P48836
P34078 P29295
P10863 Q08920
P40054 Q12116
P53905 P40070
P32828 P19736
P04817 P35206
Q02821 Q04432
P29465 P34226
P29295 P34216
P29496 P53091
P38356 P16661
Q00776 P32473
P43598 P40054
Q04233 P52919
P17709 P32806
Q02205 P41811
Q06208 Q05905
P33329 P41818
P38744 P38744
P37303 P80210
P12695 P24814
Q05930 P06777
P06700 P16521
P38753 Q03935
P36015 P32912
P32468 P00830
Q02774 P04817
P32915 P36057
P41832 Q12099
P39108 P40155
Q12092 P06774
P40364 P18409
P47129 P47129
Q08471 P30283
P00924 P39928
P02557 P38153
P02293 P18412
P40003 P40368
Q03322 P32602
P32602 P36015
Q02554 Q07350
P38968 P15303
Q02354 P38431
P40069 P06774
Q12020 Q02821
Q04217 P46948
O13329 P22216
P18239 P22214
P38972 Q06708
Q05022 P53261
P43588 P32379
P35189 P39009
Q06493 P40041
P40360 Q01217
P07272 P32796
Q03897 P07342
Q03784 P46944
P30656 P23724
P32342 P38985
P06738 Q04437
P40523 P32873
P06787 P07273
P53927 P40010
Q03790 P47042
Q12446 P36006
Q06102 Q01329
P02557 P40991
P53927 Q12522
Q12142 P35724
Q99260 P39904
Q12154 P40056
P47147 Q04053
P22804 P53622
P13712 P06777
P07250 P07249
P19262 Q07350
P35728 P45976
P25298 P45976
Q06648 P38785
P40475 P38264
P47135 P40155
P47150 P32801
P38708 P41811
P49704 P40018
P39083 P48562
P22134 P25847
P23638 P23595
P34221 P16861
P53090 P19735
Q12377 P03069
P35177 Q02336
P29295 P40010
P53388 P38729
P38203 P12611
P25302 P09959
P37838 Q12024
P40956 P39703
P53919 P40486
Q04373 P36160
P38316 P38698
P53550 Q12517
P04051 P35718
P25087 Q02724
P43605 P40541
P25659 P38987
P20486 P36167
P35197 P39981
P35197 Q12136
P35056 P80667
P39520 P32605
P32490 P00830
Q99186 P27351
P13186 Q12329
P39730 P22134
Q06158 P38353
P52868 P33334
P36126 P53550
Q00776 P28274
P40509 P53894
P16140 P38011
P14742 P24719
P13574 P11746
Q12236 P25567
P35691 P26188
P07255 P00427
P43132 P36104
P38164 Q08496
P40164 P17157
Q12517 P47093
P39704 Q03532
P05317 P00830
P25491 P89105
P32829 P33301
P36084 P32909
Q12124 Q02821
Q06631 P48234
Q06624 P38624
P46993 P27999
P53280 Q12514
P12683 P38837
P47135 O13567
P47079 P33297
P38969 P21965
P47133 Q12431
Q02931 P40055
P36160 Q08962
P53064 Q04748
P32641 P35191
Q02784 P46997
P53934 Q12339
Q06142 Q06178
P22696 P07278
P38013 P05317
P04807 P04807
Q12329 P38873
P53248 P38203
Q06440 Q06440
P10849 P19736
P47149 P32908
P32911 P08524
P25635 P33750
P53256 Q05636
P40073 Q04746
P17709 P53043
P32366 Q07649
P47037 P47037
P38319 P34223
P47064 P38153
Q08273 P16140
P22141 P38348
P16140 P25646
P53117 Q06506
P41940 P40362
Q12224 Q12030
P53867 P38182
Q06568 P32389
P54784 Q12329
P38843 Q04697
Q02804 P40030
P38264 P25568
P38229 P28006
P36113 P04385
Q02825 P16658
P38080 P40214
P17555 Q06640
P19524 Q12149
P33755 Q03935
P22579 P16649
P15992 Q99186
P15625 P14741
P53271 P53726
P53927 Q02574
P46655 P32911
P04173 P40856
O13329 P32605
P06704 P32380
P40362 Q12220
Q06410 P25591
P53045 P40316
P04050 Q06697
P32628 P54860
P32562 P14737
O13550 P47093
P23641 P11075
Q12440 Q08683
P36160 P40028
P39998 P34228
P15891 P32793
P16474 P41800
P32387 P39952
P31384 P25655
P40991 Q08562
Q12329 Q00362
P50875 P32494
Q04272 Q12483
P53091 P06843
Q04964 P11710
P35193 P39937
P47153 Q08754
P31377 P13517
Q12445 P35206
P35734 Q02574
P22579 Q08923
P11075 P06782
P06774 P32582
P15992 Q12152
Q02794 P37297
P32352 P47135
Q08273 Q06211
P05694 P14747
P39744 P32495
P47079 P21268
Q12445 Q02774
Q02630 P28007
P53210 P32432
Q06340 P06700
P25297 P47135
P18888 P53628
P38837 P40350
P23255 Q04226
P38853 P31383
P38333 Q07381
P32803 P38968
P38162 P13090
Q03790 P34077
P11710 Q02630
P32776 P35193
P23724 Q12250
P15992 P11978
Q02895 Q02895
Q04675 P23641
Q03707 Q02821
Q08920 P53617
P24583 P32490
P32529 P28000
Q04437 P39517
Q05775 P38987
Q06001 P05150
P15790 P53064
Q04418 P22139
P41811 P04173
Q12349 P34078
Q12349 P22108
P53971 P47068
P07703 P07149
P40496 P28817
P07259 P14680
P04037 P32796
Q12300 Q06815
P38275 P21264
Q12464 P33296
P38779 Q08496
Q03406 P38210
P38352 Q12018
P19735 Q12230
P15646 P06843
Q12021 P39009
P53905 Q12420
P47093 P32496
P24276 P40055
P04173 P38987
Q06706 P16370
Q12487 P05453
Q99190 Q03655
P40069 Q00776
