O00590 Q99616
P25025 P19875
Q8N6T3 P24390
Q99705 P20382
O14744 Q9BQA1
Q96RU3 O60749
Q6AI14 Q99653
Q14191 P12004
P17096 P23511
Q99856 P29590
O95238 Q99801
Q15842 Q09428
Q14289 P12931
Q15637 O00308
P62258 Q00536
Q03164 Q9H7Z6
P22314 Q9Y5U2
Q9Y2L6 O43739
Q7L5N1 P40425
P02686 Q15759
P43351 P63279
Q96NW7 Q9UQM7
Q9Y4A5 Q9H0E9
P42768 P62993
Q9P0K1 O95970
P21964 Q99732
Q15464 P23458
P54253 P48634
P68400 P49810
Q9UNE7 P36897
P06239 Q99704
P11362 P13591
Q99704 P05556
P15056 P27348
A9YTQ3 P27540
P18206 P68133
P55345 Q8N684
Q14686 P48443
P23142 P05067
Q5FBB7 P67775
Q9Y6D6 P26885
Q92934 P10415
P51911 P06753
P55085 P22681
Q16531 P61968
P08476 Q04771
P12757 Q13219
Q13087 P27797
Q9Y6K9 P40222
O75173 P01009
O15162 Q5T681
P30874 P63096
P51843 P10275
Q9GZU2 Q12933
Q02383 P04279
Q9NRE1 P14780
Q9C0H9 P56945
P08069 O14654
P54259 P98164
P52298 Q09161
P36896 P09529
P30408 Q9H190
Q9Y2D8 P55196
P00533 Q13480
Q9P2H0 P42858
P21980 P05106
Q9BVJ6 O14737
P46821 Q01081
Q9UDY8 O95999
Q16849 P62937
P12004 P67809
O95180 Q12791
Q15646 Q9UIS9
Q14457 P10415
P51959 Q00535
Q9H165 P10589
P19388 P13984
O00754 O15198
Q05655 Q92793
Q12929 Q9BYC9
Q15811 P45984
O43516 Q14247
P50458 Q99967
Q8IZL8 P12931
Q14994 Q9UBK2
P43250 Q15722
P06729 P19397
P51808 P15151
P51681 P42681
O15303 P09471
P06239 Q08881
O14512 P00533
Q9NWT6 Q16665
P49703 Q9HCE7
P26447 P23297
Q96MU7 Q07955
Q9NS56 P04637
Q05655 P28906
Q13635 Q14623
P49286 Q13151
Q03135 P04626
P15309 P04278
Q12929 Q9UL45
Q8IZJ4 P11234
Q8N3F8 P62820
P27361 P23443
P07237 P02452
O14508 P08069
Q15788 P40763
Q7L590 P24385
P43405 P14317
Q12805 P35625
P00533 P29317
Q53QZ3 Q9HCE7
P49815 P46527
Q15637 P36406
Q01970 P0DP25
Q15327 Q86TC9
P20930 P68400
P01375 P07585
Q9UBS8 P51965
Q01844 O94972
P00533 P06702
Q9UHI6 P62304
P22681 Q96J02
P04632 Q15052
P24347 P01009
P08493 P12643
O15350 P25208
P50750 P19838
P50990 P60709
P11142 P99999
O60674 P30556
P00533 P46108
Q08170 O14893
P60880 O75558
P02768 P08709
Q07869 P07148
Q05193 P60880
Q12923 Q9HB21
O43837 Q99700
Q9BXA6 P08238
P31749 P15056
P21246 Q969Z0
O15265 Q9NRD5
P31946 Q6WCQ1
Q7L590 Q7Z7J5
Q00169 P19174
P46531 P49810
P35568 P10912
P36575 P12931
O15379 Q04206
P62834 Q13158
P55103 P08476
Q15788 P10588
P29375 P25791
P14209 Q15645
P54257 Q15388
O95886 Q12959
Q9Y294 Q13112
P08758 P02458
P00734 P55085
P21246 P47756
O15379 Q6W2J9
P30153 P67775
Q92759 P29083
Q9NS82 P08195
O15131 P39687
Q13485 P25686
Q13671 P63104
P06239 P20936
Q9NPC2 Q04917
Q5VST9 P0DP25
P61981 Q15287
Q6KF10 Q15797
Q06418 P12931
Q96C24 P51159
Q9UKY1 P23511
P15408 P17535
Q86YM7 P42261
O00151 Q9NVW2
Q9UHF0 P29371
P11171 P16070
Q7RTU3 Q99081
Q9P253 Q9NRW7
Q06330 Q13547
P56945 Q15654
O75631 O75841
Q86SS6 P60880
P16333 Q7L0Q8
Q9UHI6 P48634
Q9BWF2 Q13045
Q9NPD3 Q96PY6
P51692 P16410
Q13123 O00267
O00206 O95999
Q9NR64 P36897
Q86VP1 Q9HA65
Q8N4C6 P17612
P06239 Q9H204
Q13442 P09619
P01889 Q6VMQ6
O75914 P17600
Q9BQ95 Q13485
O14788 P78536
P35556 P55001
P63104 P20941
Q9NYF8 Q07817
P01579 P15260
Q5JY77 P20309
P20827 Q15375
P16333 Q92918
P18858 Q13509
Q15645 Q96FJ0
O75821 O15372
P05771 O15111
P30530 O43639
O14764 Q9NRR5
P02686 Q16539
P28482 P04049
Q9H8V3 O00254
Q13112 P68431
P52799 P16284
P35232 P28749
O15379 Q15759
P61981 P08069
Q9BRK4 Q15834
Q96B26 O15116
P51965 Q5JTY5
P17844 Q15596
O60674 P78324
P52565 P14923
Q99607 Q9Y3I1
O60760 P52790
Q15573 P20226
P04637 P32745
P02786 P20963
Q9UBU9 Q01081
Q14500 P11532
P61978 P63279
Q96RU2 Q14676
P07951 P60709
P02786 P61020
P40200 P15151
Q9BW71 P62805
P51812 P28482
Q9Y275 Q02223
P08047 P19793
Q9UPR3 Q92900
Q86YM7 P39086
Q13105 P78347
Q8N137 Q99698
Q06495 Q14192
P36405 Q13432
O95751 O95990
P49842 Q02447
O75563 O15117
P08729 P00533
Q9H0D6 P62310
P46777 Q14974
O60732 O75116
O95751 Q15834
Q86SS6 Q8NER1
P98170 P36897
P31749 P78527
Q96SB3 Q13009
O96013 P53667
Q9NPI5 P05556
O95251 Q9H8G2
Q2M1Z3 Q15811
P27986 P07333
P14923 P35221
P30154 P10809
Q04724 Q15038
P62993 Q96B97
P36542 P25705
Q07820 O95271
Q15788 P27540
P54753 P55196
Q13316 P08603
Q9HAU4 Q8NCP5
Q02363 P15923
Q9ULX9 Q16656
Q70Z35 P36897
Q06124 P13688
Q03181 P28702
P14923 P32926
P49759 O43172
P55197 Q8TEK3
O43488 O95154
P28482 Q8NHW3
Q9BRJ6 Q15834
Q99683 Q12933
O43747 P11277
P12814 P29274
Q9H444 Q96FZ7
P46940 P35222
P15884 P50553
P19447 P18074
P42574 P51813
P01135 Q96CC6
Q8WYK2 Q92831
P10451 Q9NRR5
O76076 P08069
P12757 Q8N3E9
Q13443 P26006
O14920 Q9UHD2
Q15276 P20338
O75381 Q8TAQ2
O14617 P59780
P08254 P17936
P10082 Q15761
Q99708 P61968
P28482 P15498
P49841 P46531
P11137 P02649
P78504 P55196
Q5BKT4 O95259
Q15750 Q9NYJ8
P09693 P07766
P38435 P00734
Q9H9D4 Q9Y333
Q13772 P10275
P08700 P42336
P05019 P08069
Q14974 P04637
P50148 P35368
O75150 O14933
Q9Y297 O15169
P22061 Q92793
O14717 Q9BVJ6
O95067 P38936
Q99750 Q5T6C5
Q9UMN6 P84022
Q16881 Q96I34
Q9NZI8 P35222
P29375 P03372
P16234 P42224
Q99933 P04049
P02545 Q70J99
P62324 Q9UFF9
P09619 O00459
Q9UHQ1 P02545
P14598 P19838
Q8N715 Q96LR2
Q14449 Q99558
O43707 Q13555
Q12929 P00533
P51116 Q9Y4E5
P08631 P10721
O75925 P36508
P98175 Q9NRR5
Q9C000 P55211
P12018 P09382
P49790 Q14974
O14776 P42858
P62508 Q9NPJ4
P55854 P35712
P21673 Q9Y383
P23409 P0DP25
O14490 Q12959
P08476 P19883
P15927 Q7L5N1
O75925 Q8N2W9
P20962 Q7L5D6
Q5JY77 P08173
O14519 O75956
P60880 Q7Z6L0
O75173 P16112
P11233 P84077
Q9NVA2 Q9UHD8
O75955 Q9BX66
O95208 P05549
P15924 P13647
P49137 P11831
Q9Y215 P22303
P38398 Q9HAW4
Q8N448 P49757
Q99543 Q0VDF9
P14210 P80188
Q09472 Q15672
P27694 P49736
P53350 P23258
Q92636 P63244
Q96C24 Q15834
P55036 Q9UHD9
Q96GM5 P01100
O00165 Q14247
Q9UJJ9 Q92900
O14649 P61981
P68104 Q15583
Q9HBA0 Q14244
P55072 Q14191
Q9UHD4 O76075
Q86YW5 Q06124
Q13535 P38398
O75901 P19021
O00161 Q9P2A4
Q8WZA2 P78559
Q9Y6Y9 O00206
O95218 Q09472
O14618 Q02410
Q96MU7 O75525
Q09472 Q15797
P62820 Q9HA65
Q96KP1 O60645
O75807 Q99933
Q9H013 Q02297
Q9BXS5 Q96CG3
Q9Y5Q9 Q92994
Q00535 Q12879
Q15910 P52788
Q11203 O15127
P48775 O95671
Q9NZQ3 O00401
P19235 P16885
Q9BX66 P22681
P11473 P42224
Q9BQY4 Q9Y2Y4
P52333 Q92835
P52434 P30876
Q6XZF7 P68133
Q13042 Q15796
Q4KMG0 Q9BWV1
Q16566 P29475
Q9Y6W6 Q16539
Q9H1D9 A6H8Y1
Q96EK5 Q96S99
Q92793 P05412
P50148 P46663
O95059 Q969H6
O15524 P08069
Q9UKX7 O14980
P78396 P38936
Q02156 P41143
P04080 P07858
P29323 P52735
P05164 P00450
P08246 Q99062
P06493 P49459
P63104 P32927
P31749 Q15121
P24386 P61020
P61956 Q03933
Q13547 Q03181
O60271 P61244
P50402 Q99962
Q13705 Q8N6C5
P28482 Q05923
Q86UP2 P61586
Q8IYW5 Q96MP8
P05107 P32942
Q6ZVK8 Q9BQ66
P09529 P08476
P00734 P05121
Q92973 Q16695
P21359 P34741
P45984 O43521
Q9UN37 P52198
P49023 P13688
Q16270 O00585
P98161 P35221
P06576 P61289
P41595 P29992
Q15796 P31269
Q8NEC5 Q6UY14
O14980 P98177
Q8IYF3 Q96GY3
P41240 P12931
Q9NQS1 O14727
P11362 O76093
Q96R06 O95295
Q9Y6H5 Q7L5D6
Q96A23 Q99829
P61978 P43243
Q8IUH5 P60880
Q96GW7 P22894
P05060 Q99700
P55211 P06400
P43220 P01275
Q99578 Q07889
P21246 Q9UM73
Q9BQY4 Q96JH8
Q9Y264 Q02763
P50750 Q9NRP7
O43464 Q13489
Q02750 P55211
P24386 P20336
Q9UHW9 Q9UEW8
P30047 P30793
Q9P2W1 P19793
Q9P209 Q6ZU52
Q9HAU4 P12757
P05412 P31269
O60244 Q9BZF9
O14965 P38398
Q9NPB6 P36897
P27361 O75330
Q8IU60 Q9UKV8
O60664 P11717
Q9HAU5 Q04637
Q92831 O95359
P31785 P05362
Q5JVS0 Q9UER7
P38398 P46736
O75293 P12004
O14924 P08754
Q5T2W1 Q92887
O00161 Q16623
Q9UL45 Q6QNY1
Q5JY77 Q93045
Q7L804 P25025
O75791 P07333
Q9P2R6 Q9BQ66
Q96PY6 Q9GZX5
Q9UKY1 P37837
O43298 Q8IYF1
P27701 P04626
P12757 Q9H422
Q07960 Q6STE5
Q6EEV6 P40227
P54259 P98095
Q99708 P06400
Q16186 Q9UMX0
O75689 P39687
P14616 P06213
O60832 O00303
P48023 P25445
P49674 P56645
Q9Y6Q9 P55055
P20333 P01374
P30304 P10275
P10114 P36897
P21673 Q96F10
P61956 Q9UBE0
O15554 P54619
P36405 O43924
P17252 P10276
P23458 P09619
P30281 P15514
Q9UNE7 P10636
P04271 P14136
P06858 P98155
Q9UH77 P63096
P50453 Q9GZT6
O96017 Q03468
P78396 P06400
Q13261 P14784
Q92633 Q9NZN5
Q03167 P08476
O15117 Q13094
O14492 P10721
Q08495 Q9UNN8
Q9UBZ4 P12004
P07949 P46108
Q99250 Q12955
P49407 O43298
Q9UIA9 O43592
P53350 P28072
P10747 P06239
Q9UNL2 P51571
P09471 Q08116
Q30201 P02786
O75146 O00291
Q9H211 P12004
O43586 P06729
P49716 P49715
Q96CS4 P19338
P43250 P08100
O00186 Q15833
P21246 Q9UGL9
P09693 P04437
P14866 P27695
P23142 P05556
Q9UDY8 Q9Y4K3
Q9NRF2 P04629
O75888 P34741
O14745 P47900
Q9UBJ2 P33897
Q99750 Q8IYR0
P08670 O14639
Q05655 P60709
P11142 Q99933
Q9BQ66 Q8NFT6
P61981 P27448
P15289 Q99999
P19784 P36897
Q16621 O60675
P05783 Q8IYI6
Q9Y3M8 P68366
P0CG47 Q8TF42
Q96KN3 P14653
P42224 P17948
O60583 P06400
O75689 Q13367
Q969H6 O95707
P13611 P16070
Q9HC98 P23443
Q15700 Q9UP38
P04637 P20248
Q96RU2 Q12888
Q12846 P20338
O95251 Q8NHQ1
Q15843 Q13616
Q9UHI6 O14893
P06400 P33993
O60716 P22223
Q969H8 Q9NRR5
Q969V6 Q8IZQ8
P49023 P28482
P13612 P05556
Q9H2G4 O14936
Q13813 Q92889
Q07666 P14598
Q15287 P61011
Q9UKR5 Q9BUJ2
Q07325 P51677
P49641 O95163
P23458 Q05513
O60711 Q9NV31
P35968 P35625
O95619 Q12824
P08588 Q12959
P54253 Q9UKJ3
Q12988 O43149
P27986 P03372
P23528 P61981
Q13884 P46939
Q9BZW8 P09326
Q9Y4K3 P98170
