P32562 P02309
Q12262 Q08496
P47166 P09440
P38911 P07250
P37366 P36017
Q99314 P32319
Q12361 P45819
P53859 P50874
Q00684 P47037
P23585 P19454
Q03981 Q03103
Q08886 P33421
P35191 P32803
P53632 P49956
P38254 P35723
Q06108 P38428
P42945 P00420
Q12336 Q12315
P43563 P32618
Q07471 P22139
Q04673 P19882
P33296 P03965
P53740 P39946
P13433 P07258
P47115 P04456
Q03954 P40438
Q12151 Q03750
P40355 P39952
P47052 P40092
Q08746 P53952
P41921 P21304
P47052 P40078
P43542 P38922
P38700 P26754
Q05080 P47052
Q05931 P07248
P53910 P48582
P80667 P53116
P12612 P04050
P47166 P16151
Q04978 P53961
P40032 P38629
Q08749 P16370
P46675 P06775
Q06135 P08678
P41810 P11972
P38692 P12695
P53147 P33892
P38744 P02400
Q04149 P32829
Q12522 P39524
P38932 P16151
P38304 P24813
P39550 P35193
P41697 P21538
Q08004 Q06339
P53096 P00817
Q12024 P53265
P39076 P38920
Q12243 P38636
P47057 P13382
Q12264 P47110
P32528 P26798
P46957 P12294
Q12494 P32332
P38198 P36057
Q03630 P38911
Q99344 P32838
P50875 P25376
P46954 P33204
Q03435 P41832
Q01560 P21691
P42946 P38867
P40957 P32767
Q04964 P38881
Q05021 Q03455
P41815 P38723
P40963 P36036
Q02159 P32898
Q06412 P20434
P04456 P00128
Q7LIF1 P34240
Q04004 P33296
P32908 P32523
P53604 P26188
P38904 P34162
P38776 P32629
Q08444 Q02805
Q12265 P33759
P52960 P32464
P43545 P20133
P48524 P25382
Q08923 P38990
Q03792 P21827
P80428 P46675
Q07786 P53093
P40187 P17898
P53740 P40003
Q12415 P00331
P40460 P36107
Q08465 P32381
P53633 P38113
Q06440 P46669
P53847 P32915
Q12158 P36024
Q01649 P46956
P39001 P38829
P32588 P07261
P32898 P32828
P53824 P24783
P42884 P04817
P39723 P38842
P38702 P38163
P35842 P00724
P21538 P05317
P33301 P17214
Q06245 P40343
P43545 P38208
P43596 P40965
Q03455 P10592
Q12494 P03069
Q06640 P49334
Q12154 P53877
P40527 P25367
P10566 P08566
P33411 P31380
Q05027 P29496
P32588 P25376
P53254 P40341
Q02775 P32486
P39004 P07251
Q12083 Q02825
P53953 P28000
P53259 P39723
P38995 P15790
P53633 P53163
Q03455 P53150
P32911 P08456
P35179 P18963
Q03280 P17255
P41818 P40541
P41912 P19658
Q05949 P53952
P35691 P32902
P53857 P40087
Q12233 P13902
P50623 P09624
P41546 P38960
P43638 P40438
Q03010 P32787
P43555 P32528
P38328 P32641
P53181 P19263
Q99344 P47129
P30619 P11914
P40510 P32783
P32899 P32838
P40475 P38217
P38121 P25369
P32494 P13186
P35180 P06780
Q99344 P53600
Q06251 P38240
Q12411 P32558
Q12102 Q05580
Q07904 P53845
P40343 P32264
Q08902 P36037
P40092 P38156
P32349 P14906
P38872 P38288
Q00578 P53147
P36005 P15367
Q06224 P32599
P32558 P25333
P36224 P23776
P32563 P01119
P81450 P20134
P53538 P10834
P41543 P08431
P38068 P07866
P43616 P38351
Q03465 P43563
Q12343 P38315
Q00772 P38904
Q99383 P04786
P53552 P32859
P53974 P47822
Q06554 P13663
Q04673 P32571
Q08975 P38270
P47093 P39552
Q08581 P06786
Q08214 P16862
P47049 P36116
Q03761 P26570
P46965 P38636
Q06648 P40352
P39713 P38272
Q12241 P23291
P19358 P10592
P47171 P38249
P43587 P38911
P47822 P46655
P32591 P14922
Q02574 P38301
Q08271 P36029
