P40573 P32525
P38871 P23724
Q12063 Q07887
P41817 P40992
P47074 P32583
Q08446 P38634
Q04272 P48232
P51996 P32591
Q06506 P40350
Q12460 Q05949
P23287 P00546
Q04149 P53858
P47057 P22216
P36018 P20604
Q08685 P11978
P53600 P07270
P53600 P33307
Q12078 P34160
P38324 P12962
P47165 O13559
Q07896 P53091
P53081 P39967
Q04217 P32524
P21705 P06777
Q99257 P23594
P53277 P36068
Q12344 P14164
Q04149 P43561
Q12380 P34240
Q12038 P50945
P53939 P49166
P43561 P16862
P53886 P42846
P35688 P10592
Q03690 P53840
P53939 P40070
P38991 P34077
P53829 P43568
P52286 P41834
Q06251 Q00816
P40151 P36053
P40357 P39551
P32264 P28791
Q04894 P49573
P28795 P04046
P53236 P25299
Q12527 Q07528
Q02197 P22515
Q06677 P38319
P38989 P32565
P35193 P35169
Q04149 P47160
P12754 P05085
P20433 P07991
P53974 P32457
P32450 P00044
P38872 P32917
P20795 P12753
P40314 P32504
Q00776 P32913
Q08236 P46957
Q04231 P38960
Q07688 P40507
P36100 P34162
Q08963 P46655
P43535 P40462
P38874 P35190
P41816 P14126
P38070 P26448
Q12329 P48412
Q04412 P35197
P33199 P32447
Q08920 P48582
P24870 P24004
P47110 P39720
Q06436 P36012
P80667 P38329
P34161 O13297
Q06142 Q05022
Q12341 P38806
Q06551 P38874
P32601 P00359
Q03619 P25584
P46680 P08964
P53185 P32835
Q06449 P25559
P38829 P38786
Q04934 P41816
P26755 P25299
P53168 P40512
P38987 P38333
Q08581 P05318
Q00816 P38313
Q04067 P25558
Q03619 P36172
P39979 P37302
P40483 P40462
P38850 P31383
P53437 P25453
P38182 P30619
P07991 P04807
P53731 P15442
P33401 P32350
P51601 P33203
P25369 P11484
P53032 P25694
Q02100 P31383
P08456 P02294
Q05583 P34160
P38339 P20459
Q05568 Q02100
P47019 P25559
Q06604 P32464
P39929 P38624
P53930 P36019
P35198 P00830
Q04847 P40971
P40335 P38805
Q01389 P38705
P32573 P27895
P53256 P14126
P39682 P35197
P43621 P38729
Q06108 P06243
Q02892 P53199
Q04491 P38129
P47113 P36124
P53011 P27895
Q08911 P53010
P39715 P18410
Q04359 P06843
P48415 P20433
Q06440 P06782
Q04264 P40016
Q12469 Q02197
P53840 P53280
Q03976 P32944
Q04439 P54860
Q05778 P19454
Q03768 P40048
P29461 P22543
P41832 P38930
P53238 P38759
Q03656 P07270
P39927 P32364
P22336 P14164
P38863 P29703
Q04305 P53248
Q12168 P53933
P47089 P38301
Q05080 P38358
P49704 P25657
P53152 P50946
P53949 P47135
Q02931 P40564
P47089 P00924
Q12055 P47135
Q06108 P53256
P38801 P06104
Q06324 Q04373
Q02825 P53011
P48559 P07264
Q03920 P04456
P43637 P27796
Q08217 P32527
P38429 P07248
P48524 P19073
P32468 P23287
P39729 P38237
P47104 P41813
Q08649 P38863
Q02892 P53883
P53298 P11746
P40457 P35497
P53100 P25454
Q12734 P53280
Q12041 Q07963
Q12098 Q01939
P32364 P18851
P40461 P32867
Q03768 P53845
P43321 P32802
P33400 P12383
Q99394 P34160
P53968 P25333
P38959 P16892
Q12020 P39563
P36131 P32366
P39534 P35177
Q12034 Q04373
P40453 P32524
P48606 P16892
Q07980 P36084
P40471 P38903
P11745 P07170
Q12460 P12945
P38810 P20081
P32502 O13539
Q12186 Q03497
Q06673 Q00816
Q04195 P53313
P39073 P33895
Q12033 P32854
P53129 P31382
Q08245 P22219
P43583 P06103
Q02629 P34226
P38346 P25659
P36019 P35497
Q12285 P32912
Q05946 P53893
Q04839 P38636
P47150 P38705
Q12078 P53974
Q04693 P32528
Q00684 P28006
Q06169 P47019
P40395 P33332
Q12402 P38703
Q03782 P25390
Q02931 P20438
Q02732 P38838
P38904 P33306
P53893 P35194
P39875 P36100
P53168 P39723
P23301 P13712
Q04226 P16522
P32588 P27514
Q05958 P38708
Q03900 P40164
P53905 P04807
P53924 P34087
Q04651 P53939
Q05080 P40155
Q12449 Q07657
P02994 O13553
P32849 P29366
Q05471 P36017
P25655 P19145
P48837 P25360
P36149 P19262
Q08492 P46995
Q06665 P38690
Q12055 P40461
Q12168 P39979
P53280 P25294
P48582 O13554
P53549 P06782
P40485 P01120
P39715 P14907
P53863 P38855
Q6Q547 P32571
P40468 P23059
Q03048 P30822
P32900 P27796
Q12055 Q02630
P52286 P32561
P29465 P20606
Q07623 P49435
Q02773 P53068
Q04062 P27515
P53965 P23059
Q12514 P47011
Q04493 P10862
Q04978 P47089
P34162 P16649
P40327 P38735
Q03619 P53941
Q04368 P53271
Q04004 P14747
P25294 P13663
Q04048 P35181
Q12344 P09734
P40217 P21801
Q12452 P29509
Q04199 Q03096
Q00816 P40561
Q00764 P23287
Q12418 P33760
P40450 P39734
P41816 P39563
P38705 P38590
P53196 P38310
P43638 P25333
P15303 P10869
Q04217 Q00246
P38871 P25558
Q12250 P09440
P39929 P35734
P38622 O13553
Q05778 P38270
Q08465 Q02732
P53905 P32495
Q03012 P36005
P50874 P32914
P43593 P35497
Q99383 Q08726
Q08817 P40078
Q12420 P32350
Q06632 Q02208
P35197 P31688
Q04439 P21965
P53912 P38627
P38200 P10869
P46985 P13185
P36062 P10659
Q12433 P00549
Q01590 P38276
P40564 O13539
P53901 P22214
P41834 P13711
P43321 P38822
Q07786 P53254
Q12175 P19524
P48566 P25343
P38261 P32776
P40465 P38999
P36049 P34160
P40319 P30606
P47045 P26263
Q12004 P41896
P32898 P11484
Q08920 Q03862
Q07528 P18410
P39929 P28817
P38872 P38820
P53267 P39008
Q04491 P25586
P32642 P24004
P40202 P32796
Q00723 P33329
P50944 P39990
Q06819 P00331
Q08873 P11746
Q12527 P38042
Q03860 O13530
P38276 P36094
P47122 P40563
Q06616 P51534
Q12129 P40164
Q04004 P38273
