P53171 P45818
Q05027 P40018
P53740 P53551
Q07914 P38842
P38181 P36118
P40362 P36009
P40510 P39954
P53267 P20676
Q03148 P15303
Q03162 P50090
P39523 P28241
P38555 P07249
Q03900 P42944
P47029 P25299
Q08271 P38821
P33339 P32432
Q12100 P40343
Q12336 Q12315
P53742 P39112
Q08235 P26754
Q04636 P42934
P35169 P13434
P53830 P34162
P49687 P36084
P39735 P32564
P39928 P11972
P08431 P07257
P38788 P35206
Q02775 P39966
Q04368 P32859
Q12142 P21957
P53933 P13099
P21651 P00958
Q04370 P28274
P38860 P14737
P53337 P06100
Q12361 Q07887
P49334 P09064
P36100 P04046
Q03976 P29465
Q04067 Q02805
Q04048 Q03935
Q03125 P54786
P46970 P32319
Q03435 P23968
Q02825 P32559
Q08204 P08964
Q03012 P30605
P27476 P22336
Q02354 P40496
P43132 P25045
Q03177 P39990
Q12450 P53258
P32319 P25301
P50095 P19263
P26570 P25648
P25371 P10659
P41807 P39720
P38286 P24813
P43562 P38811
Q12321 Q03656
P21827 P11927
P42839 P20448
P57744 P31412
P32529 P14832
Q01649 P42941
P40885 P30902
Q12021 Q04697
Q06339 P81450
P35718 P00431
P53965 P29055
P53174 P32481
P42934 P16521
Q03655 Q00381
P32805 P14737
P53212 P22135
P32364 P23285
Q12009 P14906
P43592 P28241
Q02784 P40541
P34238 P10566
P38749 P36147
P32916 P10507
Q12297 Q12264
P40892 P36120
P53823 P53152
P41912 P10363
P40348 P38182
P20484 P06100
Q03373 P47005
P35191 P32641
P36022 P16649
P25659 P25376
P39743 P38163
P53344 P38886
Q12335 P53437
Q06135 P40325
P53091 P38992
P41546 P25043
P38068 P30822
P39875 P34240
P10834 P08458
P50090 P38293
P40069 P38907
P38086 P32337
Q04272 P32829
Q03655 P39009
P48568 P39994
Q06411 P25441
P53141 P20050
Q03338 P38910
P38144 P22214
Q99278 P19097
Q07732 P32832
Q12464 P38237
P53163 P52960
Q04272 P25580
Q12019 Q02256
P32380 P16661
P53212 P46681
Q06217 P32803
Q03208 P38910
P53159 P47152
P28274 P22140
Q03220 P54862
Q06630 P53181
P38957 P03965
Q03579 P22035
P38729 P32528
P45818 P39685
Q06677 Q05933
Q03330 P25579
Q05933 Q05016
P39715 P32838
Q04305 P53901
P46954 P40475
P22139 P12887
P40014 P25644
P53344 P46677
P49686 P01119
P33401 P32389
P25302 P12611
P40517 P39678
P54861 P07248
P38968 P15108
P38820 P05626
P39936 P17505
P36129 P32898
P53933 P25297
P38988 P28707
Q05931 P36121
Q12243 P38636
