P47082 P47128
P46680 P38885
Q12245 P40303
Q03973 P38151
Q12241 P36015
P47135 P38852
Q07376 P40085
P10964 P22139
P53939 Q06410
P32497 Q04067
Q04162 Q08743
Q06164 P19358
P19736 Q04693
P32191 P53157
Q06683 Q04773
P53313 P53877
P43601 P38814
P32803 P53337
Q04636 P15790
P04147 P40055
P38324 Q04437
P14680 P07149
P39928 P39743
Q04429 P40054
P14907 P36516
Q08278 P19659
P54786 P25644
Q12164 P40548
P38080 P38080
P32570 Q02574
P53197 P47079
P40563 P15891
P53207 Q02260
P02994 Q08004
P32318 P32318
P33334 Q06406
P02829 P38217
P14906 P40073
Q07732 Q12365
P46985 P47124
P02829 P35203
P23255 P46677
P39543 P47135
P31381 P38842
P40364 Q04149
Q12412 P04817
P38987 P33317
P52868 Q03654
Q06410 P40060
P53901 Q05080
P29295 P35691
P52918 P20676
P53040 P31374
P16861 Q04675
P53965 P32861
P38799 P28627
Q08723 P06839
P39997 P21268
P15891 Q08873
Q99257 P04147
Q02884 Q02884
P53378 P39723
Q03654 Q12309
P34730 P48566
P53632 Q12460
P29055 P46675
P43598 Q12349
P38238 P08525
P41811 P12753
Q04183 P36149
P53919 P38217
P29055 Q12067
P19736 Q08562
Q12280 P40955
P16658 P50277
P09624 P40352
P37838 Q12176
P32641 P38629
P33333 P17555
P46677 P53040
P39729 P32565
P32457 P47039
Q04437 P00447
P47035 P36047
P53191 Q04660
Q02574 Q12692
P32386 P25639
P06786 P10080
P16522 Q02336
P43609 P11633
P04819 P02994
P38633 P28743
Q08273 P19657
P00927 P25454
P25040 P32569
P02309 P53037
P32501 P09064
P27636 P22204
P12683 P33767
P25563 P25087
P47017 P23561
P38274 P34244
P53883 P32892
P28320 P19882
Q04183 P32613
P38321 P04821
P47135 P40154
P38130 P32912
Q00416 P47093
Q12749 Q02821
P53336 P53834
P53093 Q02891
Q12487 P38064
P12904 P38990
P06786 P40328
P01097 P07251
P40856 P02992
P10614 Q06541
P12709 P32468
Q12300 P35844
P40971 P43618
P36224 P33420
P39730 P22134
Q02794 P41695
P15790 Q02642
P49018 P38264
P07271 P38129
Q03714 Q12019
P32582 Q02821
P54860 P33202
P40850 Q00772
Q03834 P31244
Q12164 P14772
P32899 P53254
Q06411 P53150
P53261 Q12024
Q04660 Q12522
P38987 P34730
P33313 P47135
P39702 P04173
P38286 P50944
P21182 P21182
P25626 P49704
P48360 P40576
P53091 Q12306
P36104 P38123
P53584 P53214
Q03195 Q02630
P23638 Q08723
P13902 P02309
P42841 P42073
P20459 P38691
P25648 Q12124
P12687 P36520
P09064 P09032
P19882 P25342
P35691 P33296
P34221 P25379
Q08271 P04817
Q12328 P38692
Q06678 P49704
P87263 P15705
P22219 Q05919
P14904 P38987
P28320 Q04048
P16474 P25615
P32528 P38708
P16861 P25336
P47149 Q06629
P07703 P10964
Q12421 Q02574
P19882 P31384
Q07865 P33317
P32803 P46956
P39705 Q02821
P15703 P40348
P35193 Q02821
Q06199 P53742
P53939 P27515
P53973 P25847
Q12331 P15454
P49704 Q06406
P25694 P39729
P14741 P40364
Q03690 P12385
P38286 P40557
P39742 Q04162
P38987 Q06178
Q03921 P07703
P35691 P40055
P19735 P12709
P38708 P11075
P32591 P32479
Q04149 Q05016
P32524 P38822
P16521 P38789
P53633 P40009
P38861 P05317
P04397 Q12223
P52918 P48837
P32588 Q01560
P22515 P04385
P14741 P39692
P40151 P40151
P07342 Q99186
Q02821 P53859
Q12179 P53831
P47821 P32259
Q08641 P38523
P47135 Q12247
P25359 P46948
P12612 Q00362
P32599 P14540
P36130 P39079
P06779 P00830
P12709 P15873
P39730 P32497
Q04748 P38875
Q03935 P32366
Q06668 P40069
P20437 Q12365
P35996 P49704
Q04629 P53741
P41811 Q12464
P50111 Q00362
Q99383 P32493
P06839 P38299
Q03935 P38346
P53249 P27515
P04161 P25337
Q02821 P19262
P42841 P19882
P38120 P33759
P33322 P15992
P38255 P22579
P10614 P28496
P07347 P53254
Q04437 Q03897
P38345 Q06218
P39076 P04173
P22216 P00830
P09064 P14741
P30656 P23724
P40091 Q12507
P25342 Q12263
P23641 P32381
P13393 Q02939
Q04437 P25303
P48837 P14306
P02829 P33313
P40548 P25297
P00924 P21304
P23968 P38264
P09436 P19735
P19262 P34221
P53622 P34221
Q05568 Q04370
Q08032 Q12146
P32528 Q08273
Q02554 Q12417
P09032 P32502
P38217 P32505
P40460 P47149
P53043 P09624
Q01649 P17119
P14306 Q02199
P43598 Q06625
P49687 P52918
Q12159 P40856
P40007 P06774
P32476 P53045
P15891 P39743
P39940 P39009
P48362 Q12349
P42945 P25635
P14736 P28519
P38920 P05150
Q06142 P05373
P40059 Q07458
P15367 P38286
P06784 P32917
P47124 P32629
Q12123 P37366
P06839 P40469
P20676 P46970
P32569 P38633
Q04049 P09624
Q02821 P43582
P25588 P53840
P18851 P21268
Q12517 P39517
P52286 P09232
P35181 Q12028
P28320 P39078
P05373 P05373
P38083 P33301
P36057 Q02795
Q12232 P29055
P30822 P53892
Q06640 Q12018
P23595 P40302
P15992 P41811
Q12110 P80667
P12754 P32501
P50947 P33441
P19882 P27705
Q04477 P25694
P19735 Q03338
Q02336 P39081
P53332 P38238
P25635 P21243
P42841 P15992
Q03162 Q04660
P38011 P06105
P38842 P14906
P40450 P80667
Q04675 Q03690
Q03862 P53927
P34162 P38304
P25694 Q04675
P12904 P43639
P38920 P39875
Q3E7C1 Q3E7C1
Q04053 P36018
P45818 P25635
P53905 Q06217
Q03373 P19882
Q06538 P38328
P50091 P39108
Q04311 P25694
P46956 P49018
P08458 P03871
P53842 P47135
Q01454 P13382
P25342 P53890
P53927 P53313
P47822 P25344
P50942 P39676
P41800 Q92328
Q06681 P40485
Q07824 P38361
Q08649 P38811
Q12044 P15315
P22141 Q06103
P06778 P26755
Q08271 P38264
P53738 P38999
P33419 P38987
P32337 Q12754
P53040 P11353
P47154 P35206
Q06668 P38691
P40548 P49018
P47113 P53130
P49704 P36517
Q12223 P31378
P45976 Q12102
P32319 Q03063
P21268 P38203
Q12417 P16474
P41940 Q08496
P50091 P13099
P25491 P39014
P39108 Q12377
Q07458 P22579
P38013 P26754
P53313 Q12522
P11972 P53211
P32608 P53914
P23638 P32911
P35729 Q02199
P07170 Q07350
Q05934 P40210
Q04675 P22203
Q06436 Q03532
Q03690 Q12531
P40559 P35817
P00924 P53732
P53949 P23641
Q03897 P04173
Q12329 Q04660
P40069 Q04149
Q02959 Q12416
P32787 Q08004
P53632 Q12080
P19358 Q12152
P19735 P08524
P54786 P39992
Q07350 P21560
Q03497 P12709
P13382 P32558
P40075 P35845
P46961 P50944
P20676 P20435
P38822 P47146
P22133 P22137
P35729 P52891
Q07418 Q04370
Q03048 P06787
P22470 P30665
P04397 Q06287
P06787 P34216
P14904 P32327
Q02574 P07260
P25569 P12709
P19659 P36100
P47135 P38282
P38353 P38286
P40045 Q04100
P38316 P20049
P32806 Q08960
P87284 P33767
P26309 P40957
P33322 P25635
P22213 P22214
O13576 Q07990
P20436 P47076
P32791 P40009
Q00772 P23641
P06839 P38147
P29468 P45976
P13574 Q03063
P11075 P32524
Q12461 P32366
P06704 P32380
Q05027 Q04226
Q12464 P18409
P38011 Q08444
Q08920 Q01560
P25554 P50875
P32582 P29295
P38842 P38353
P02557 Q08387
Q02821 P00958
P38821 P38987
Q06164 P07251
P53297 P39517
P36224 Q06820
P22204 P00830
Q06644 P25358
Q03063 P20437
P53894 P24276
Q02773 P53550
P39723 P38853
P42841 Q06224
P32855 P38261
P23642 P04385
P38439 P27692
P20676 P25651
P32468 P53890
Q04477 P14742
Q02793 P38086
Q07458 P40505
P22216 P22216
Q03897 P13711
P05986 P39717
P28627 P53322
Q06102 Q06632
P38068 Q12154
P24814 P04840
P32803 Q04697
Q04049 P41940
P53040 P32570
O13518 P40971
P32528 P25694
P47122 P53323
Q12362 P29055
P16522 Q12379
Q05946 P12709
P53079 Q01590
Q12159 P25555
P38999 Q12125
P39676 P32589
P32912 P32939
Q02795 P35723
P40061 P41318
P38356 P16661
Q05471 P38326
P38745 P41544
P33322 P20448
P32583 P53335
P25623 P31334
P33334 Q12186
P39711 P38822
P00560 Q12415
P46954 P39073
P42839 P38264
P54999 Q03776
P23201 P41697
P07251 P06243
P20448 Q03532
Q04177 P32324
P38146 P53108
P36051 Q12402
P09440 P12385
P04147 Q03957
P40010 P53261
P08638 P08638
P50111 Q02821
Q06344 P22147
Q12306 Q03652
P36016 Q00772
P04385 P32502
P07260 P06774
P38182 Q12292
P32529 Q00684
P38176 P47135
P04786 P53840
P32337 Q06142
P06777 P32844
P36102 P53010
P48240 Q08162
Q08553 P42073
Q02630 P39705
P18409 P53083
P41695 P00924
P29055 Q99344
P22138 P40422
P43560 P29055
P14922 Q08923
P40020 P11710
P38875 P49018
P22515 Q12223
P40548 Q05015
Q02776 P32897
P32524 P28004
P53261 P37838
P07703 Q12449
P52918 Q03973
P32569 P07249
Q12154 P35176
Q12223 P38271
P32787 P30620
P22138 P32529
P22141 P53196
P40469 Q04477
P19882 Q00578
Q02804 P53288
P33334 P53333
P32458 P32457
P07170 P47135
P39014 P25694
Q02866 Q06549
P16474 Q08949
P23642 P14540
Q02574 Q12035
P32478 P42839
P22137 P06787
P22214 P38909
P11938 Q12136
P32801 P17255
P12954 P10080
Q12250 Q12377
P08153 P52918
Q01590 P15303
P32569 P33322
P16140 Q04437
P20107 P37296
P35723 Q12445
P19735 P20053
P40565 P13393
P06778 Q12306
P25555 P17629
Q12009 Q03774
P23059 Q02197
P25087 Q12066
P40028 Q06205
P12754 P00924
P50623 P25454
Q05946 P04385
P53188 P33338
P07283 P32468
Q02630 Q12517
P47093 P53863
P35189 P23255
P25454 P12709
Q06604 P28495
Q12377 P03069
P54790 P54791
P42884 P42884
P20424 P38985
P53044 P48836
Q04477 P12753
P07251 P38987
P40561 P17555
Q02629 P38217
Q08963 P54999
Q02891 P33314
P87282 Q08649
P53829 P32569
P38166 P43534
P12683 P07286
Q12223 Q12464
P40048 P34730
Q02873 Q05934
P11075 P27801
P00924 P53011
P47079 P07703
P38922 P38346
P02557 P06774
P11978 P06700
P34758 P30822
P39081 P04147
P36162 Q06410
Q06142 P10863
P12683 P38837
Q08004 P53163
P14741 Q04013
P47027 P53135
P53599 P43124
P26321 Q04212
P32767 Q02630
P14741 P16140
Q06169 Q12066
O13587 P47128
P19735 Q02260
P00447 P00447
P38842 Q12006
P53076 P38191
P32902 Q03790
Q06163 Q03096
P38953 P47079
P38695 Q04697
Q06410 Q03433
P12709 P32801
P40460 P53267
P11978 Q02821
P47135 Q12230
P36160 P53742
Q12464 P38316
P29295 P04147
P25659 P38987
P07276 P05150
Q02574 P47149
P33759 P28778
P39977 P47135
P38793 P04173
Q08144 P38932
P36160 P53136
P22138 P23595
Q00772 P32490
P40054 Q12524
Q05583 P17123
P47093 P40089
P32581 Q12464
P32618 Q03954
P53959 P53271
P47093 P28007
P32324 P43621
P49686 P36161
Q06217 Q07508
P32569 P38727
P38328 Q06208
P40567 P53615
Q08641 P32366
P29055 Q06697
Q03790 P47042
P40151 P38628
P12695 Q03048
Q12349 P38304
P46993 P27999
P19882 P36009
P22147 P53883
P41808 Q08754
P35718 P22139
Q00362 P16861
P09440 P38199
P43578 Q06675
P21242 Q03792
Q08491 P47093
Q12318 P38957
Q00362 Q05934
Q12223 P32565
P32502 P39968
P53919 P28007
P28795 P28795
P40212 P57743
Q08964 Q04177
Q00916 Q03782
Q06708 P40524
P40055 P39935
P32585 P38304
P53043 P16622
P25694 P21771
P04385 Q12510
P36145 P36100
Q08270 Q02574
Q03063 Q03373
P40509 P43621
P41811 P36041
P30665 Q08032
Q04062 Q12377
P40362 P40079
Q00772 P04173
P16120 P19735
P38913 P38633
P14284 P47110
Q04693 Q08920
Q04149 P53551
Q05080 P53316
P07806 P33322
P02994 P39984
P40054 P40051
Q06169 P53217
P31688 Q00764
P32337 P32336
P25046 P36006
P48232 P53271
Q01159 P32473
P25580 P53322
Q12047 P29055
P40555 P23724
Q12460 P40554
P25357 P53096
P47135 P40040
P35718 P36121
Q12372 P35723
Q06678 P38064
Q00916 P33315
Q03177 P53335
P40413 P42841
P15992 P26188
P33296 P05626
P02829 P32259
Q00764 P22204
P19524 P39108
Q08278 P32569
P30624 Q05934
P53323 P25694
P33338 P32793
P53196 P16140
Q04477 Q06324
Q04121 P41735
P41811 P35191
P34227 P40960
P22696 P40069
Q08032 Q03406
P04050 Q06697
P17709 P17709
P53263 P40003
Q04437 P25379
Q04651 P38286
P38699 P20459
Q05123 P22082
P32801 P00830
P36130 P07251
Q02457 P36075
Q12030 Q03761
P40541 Q04002
P31373 Q12380
Q04437 P25567
P46946 P46946
P32366 O13558
P16522 P12709
Q08686 P53088
P14242 P25847
P53069 Q06675
P27999 Q06834
P23595 P38902
P21242 Q12245
Q02795 P38837
P38624 P40088
P04385 P15891
P40567 Q02574
P38784 P39111
P25491 P06701
P38217 P00924
Q08270 P38439
P22354 P38064
P23641 P05066
P39984 P28274
Q06411 P10664
P25385 P11076
P54999 Q06333
Q12152 P07991
Q12030 Q08685
P13711 P35056
P38842 P40350
P38886 P06839
Q03433 Q05471
P41811 P32074
P39996 P15565
P40486 P25045
P38249 Q01159
P28495 P40045
P05373 Q02821
P25846 P12709
Q03770 P32602
P32793 P41544
P21825 P33754
P39955 Q05080
P38362 P38238
Q02866 Q03818
P28625 Q02630
P15790 Q06344
P36160 Q03862
P25491 P26309
P41811 P15705
Q08004 P40563
P15790 P38789
P38764 P48510
P23292 P25582
Q04437 P32496
P12709 P53965
P25358 Q99190
Q08229 P53939
P03069 P03069
P30771 P32588
Q12402 P38842
P39719 P39742
P39715 Q04175
P20448 P29468
P53742 P32524
P31539 P38882
P32524 P38167
Q07350 Q04002
Q04368 P53271
Q06148 P53633
P36000 P38700
P53040 P50875
P04051 P47076
P38286 P32915
P53731 Q06440
Q12017 P47003
P37366 P06839
P47135 P47156
P46963 P02557
P32807 P23301
P20436 P34087
P33767 P46964
P20459 Q12099
Q12159 Q12159
P17255 P06838
P00445 P28320
Q00578 Q12349
O13539 P53552
