P21246 Q6IB77
Q7L590 Q99741
O75146 P09496
Q9GZS1 O95602
P68400 Q03135
O95870 P03905
O95251 Q9C0J8
Q12834 P17987
Q16531 Q92466
P53618 P24390
O75971 Q5SXM2
P12956 Q00610
P52434 P62875
Q9UKR5 Q9H1D9
P37108 Q9UNZ2
Q8NEY8 O60437
Q5JY77 Q9BTY7
O60701 Q9Y6K8
Q9Y2H0 Q12959
Q08722 Q02094
P18621 O95149
Q9H939 P04278
Q96RK0 Q9P1U0
O75553 P43034
Q15185 P35869
P32780 P28715
Q06265 Q9Y2L1
O60383 Q6P1K2
Q99436 P49720
Q00403 Q13772
P08519 P02751
O95159 P56134
P13693 Q07820
P62258 O94875
Q99689 Q14596
P13010 Q9NYB0
P68400 O15379
Q15393 O75533
O94875 P18206
P01579 P01375
P12956 Q86X76
Q92624 P05067
Q92597 P27824
P32418 P62258
P49247 Q9GZT8
P29122 P20930
Q9P253 Q9NRW7
Q15596 P03372
P61289 Q7Z3B3
Q9P086 Q96G25
Q92973 P49792
Q93052 P56134
O96007 P32969
Q9NQX3 P42345
P49247 Q96HA8
Q08211 P57678
P23921 P31350
P38432 Q15020
Q9NPJ4 Q13285
Q8TAM2 Q15154
Q96IP4 Q9UBS8
Q8N612 Q96HR9
Q9UIF7 P12004
Q99627 Q7L5N1
Q8N2H9 Q99558
P21673 Q6PI98
P06400 Q16533
P62424 P0CAP2
Q07889 P15941
Q99547 Q9NP97
O43683 P25054
Q92597 Q13200
P62277 Q99558
O14744 P02686
Q92597 P62753
O95059 Q969H6
Q9Y6D9 Q9UGJ1
Q14966 Q96EK5
O15514 P62875
Q5FBB7 Q14738
O14744 Q9BQA1
Q12874 Q15834
Q14061 Q5T3J3
Q96G25 Q15528
O75943 O60921
P26368 Q96LR2
Q9Y5Q8 Q9Y5Q9
Q16891 Q9H8T0
Q92624 Q96ES6
Q12929 Q9UL45
P51587 P27694
O95219 O00499
Q8NBJ4 Q9H8U3
O00165 P01583
O00311 P49736
Q16570 P80075
O60282 Q15596
Q9H1D9 Q9UKN8
Q9NPI8 Q00597
Q8NEC5 Q9UKJ5
P42345 Q6R327
Q8WZ42 P20807
P62258 P49815
Q7L775 O95278
P30793 O95433
Q96HR3 Q96G25
O15360 Q9HB96
O14745 P13569
Q86UW6 Q09472
Q15465 P18509
Q9BZW7 Q16665
Q7L5N1 P14174
P80108 P06727
Q9NPP4 O95999
P67870 P55010
P98082 P98164
Q9Y6J0 P16298
Q92989 Q9UKF6
P13010 O00267
P35916 P05556
Q09472 Q03181
