Q13610 Q6V1X1
Q9Y6W3 P82663
P15848 P08319
Q99967 Q9Y2R5
P49184 O75534
Q99967 P30711
Q16594 Q7L3B6
O95990 P82663
O95551 Q9UI17
Q15542 O95848
Q9NR56 Q9H2W6
Q8NB91 O75534
O75132 Q9NT62
Q13568 Q9HCY8
Q5H9F3 P26639
Q15562 Q9NP74
Q6UXN9 Q9NT62
Q8N9N8 Q8WWV3
P18074 O14920
Q8IXF0 P51580
Q8TCJ0 Q8NFG4
Q13568 Q8IVS2
O76039 P82930
Q13285 Q9HBG6
Q5U623 P82930
P31150 Q8TAU0
Q15543 P49753
Q9UFW8 P82921
Q12986 P15559
O43541 O60551
Q9UM82 P62495
O00311 Q9HBU6
P52657 Q7L0Y3
Q86U86 P54098
Q86U86 O14727
O75446 P49914
O43365 Q92598
P17900 P40939
O43913 O75880
Q9NVU0 O95361
O00115 O00471
Q9BTP7 Q9NPB1
O95551 O95786
Q9H6T0 P82909
Q16594 Q9UI17
P49005 Q9Y2J8
P18074 P82650
O00257 Q8N1V2
Q96AV8 P13995
Q9BTP7 Q9HD40
P10071 Q9Y2T2
Q0VG06 Q96EK5
P52701 O60760
Q0VG06 O76031
Q53H80 P21673
Q12857 O76031
P26368 P30711
Q9ULX3 Q6UB35
Q6PL18 Q8WUN7
P62805 Q99551
Q6P1J9 Q9NT62
P18858 Q13405
P09430 Q99819
P35475 Q16851
Q15562 Q8N983
Q5TB30 Q8N983
P49736 P30711
Q9Y6W3 Q9BXL7
Q03828 Q9BYD2
Q13029 P21695
P23759 P15374
O95990 Q9H6S1
O00287 P0C7P0
Q5TB30 P10155
Q64ET8 Q6UB35
O76039 Q9Y399
Q8IYD8 Q7RTR2
Q9NX01 P35754
Q9BX63 P51970
O43929 Q08257
Q9H6T0 Q9BXI3
Q9UNS1 Q9BU02
P04554 Q2M3C7
Q15542 Q14CX7
Q6ZYL4 P61970
P42226 Q08211
Q96PN7 A2A3N6
O43148 Q9UPY3
Q05048 Q9NVV4
Q9H5F2 Q8N983
Q05952 P52815
O95990 Q9NP74
Q7Z5Q5 P12081
P06280 P12081
Q9UGU0 Q9BY32
O00267 O14727
Q9BSH3 P51970
P63272 Q04837
D3DTV9 Q6P1L8
Q9UI36 Q14442
Q09472 P48735
P27694 O60239
Q9UKF6 Q16822
Q9UBX1 P49789
Q5THR3 Q96EK5
O00115 P51553
Q9H4Z3 P35270
Q6PL18 Q96NW7
P35244 P28838
Q92966 O14727
B2CW77 P13995
P25208 Q6P1L8
Q86U86 Q9NYK5
Q9UHR5 O60239
P06400 Q9NYK5
Q9UHR5 P54136
Q12824 P49902
Q12986 P49675
Q9P2W1 P31350
Q00577 Q9NVV4
Q15291 Q9NRN7
Q9UL03 Q8N4E7
Q96KF2 Q9NYK5
P15848 P46783
Q15393 Q99558
O43365 Q16854
Q8IYD8 Q9BZQ8
Q5U623 Q9NP74
P04554 Q14894
Q86UU0 Q9UPY3
P12956 P54687
P18858 P48147
O43325 Q99551
Q86UU0 P10155
Q8IYD8 P62917
Q8TCE9 P21673
Q16533 P62917
O95248 Q14442
O14497 Q9BXI3
Q9BQ83 Q8TE02
P36915 Q8TAU0
Q9Y675 Q6UB35
Q12996 P53384
P52701 Q16540
Q8TE85 Q01581
Q9UGU0 Q5TCY1
Q9H4I2 O15235
Q86WQ0 Q13795
O75528 P49753
Q9H1Z4 P12081
O43365 O15169
Q8IXF0 P82909
P78527 O14561
Q9BSF8 P62495
Q16533 O43182
Q13569 P07195
O43148 P40939
Q12996 Q92844
P12956 Q96M11
P12004 Q9H5Q4
O60315 Q9BZL1
Q9C002 Q9UJM3
Q92966 Q9NP97
Q8TE85 Q9UHD2
P09012 P28838
P62875 P30838
Q9BXL8 P83881
P38571 Q9BXI3
Q2M1K9 Q8N4X5
Q8IXF0 P30711
Q8TE85 Q96M11
Q86V15 Q16698
Q13029 Q9P0J6
P17509 P54098
P30291 P13693
Q14186 Q9Y234
Q86WQ0 Q9BYG8
Q8TCE9 P51970
P54803 Q96NW7
P13686 Q9BU02
Q9H4I2 O15169
P36954 P39023
Q5H9F3 Q06278
P20290 Q8WWV3
P49842 P29144
P62304 Q9HCN4
Q96JN0 P13995
Q92908 Q16540
O60671 Q9UHD2
Q6P1J9 P33402
Q5TB30 P83881
P29083 O60477
Q8NFW8 Q14442
O00267 Q8TE02
Q9BWT1 Q9BZL1
O95926 Q14749
Q05048 Q9HBU6
O75150 P31937
Q86WQ0 Q99558
Q03181 Q16740
Q15393 Q9BRA2
Q7L775 Q9BRA2
P42695 O60239
O95990 P48147
Q7Z5Q5 Q9GZZ1
Q9Y5Q9 O95379
O76039 Q9P0R6
Q86UU0 P06132
Q9NV56 Q9BRA2
O00287 Q96RP9
P36915 Q9UHR5
Q9UI36 P82914
Q86U86 Q15185
Q9UPV9 Q9Y6K8
P06280 P63302
Q16514 P20807
Q01459 Q99819
Q5XKR4 Q9NYK5
Q8TCJ0 Q9BYN0
P29083 Q9BY32
Q14781 Q8WWV3
P52701 P31937
Q0VG06 Q9BUE6
Q86XI2 O75936
Q9H0W9 P13995
Q8WX92 Q8N6F7
P17900 Q9NY33
O60671 Q13795
P20290 Q9Y3E5
Q9H147 P31350
O43913 Q93088
Q8TDY2 Q9NX20
P41002 P40925
Q8N9N5 Q9Y2T2
Q9Y2U9 P49902
O75971 Q8WWV3
Q96BP2 Q9HD40
Q12857 P10155
Q9UNI6 P54098
O60508 O60477
Q15562 O95848
P29083 P54098
Q9H582 Q06278
P38571 Q8NFG4
Q9UL03 Q04837
Q96T60 Q9P032
Q15562 Q9BYD6
P15586 Q7RTR2
Q5TB30 P30711
O43541 Q15102
Q86U86 O00411
Q9HAW4 Q96NW7
Q9UGU0 Q01581
Q9BSH3 Q16540
Q8TCE9 Q8WUN7
P06280 Q01581
Q9HAW4 P15104
P04554 Q7Z2X4
P49184 Q8N4E7
O60583 Q16822
Q7L775 Q16540
O96020 P54098
Q9H147 P78540
Q9UHR5 P50135
P86791 P48735
O60508 Q13794
Q9Y535 Q9BZQ8
Q64ET8 Q9UDX5
Q9NV56 Q7L0Y3
Q86XI2 Q5EBM0
Q8TE85 Q9BUE6
Q9H4Z3 P63302
P32780 Q13795
Q5TB30 P15104
Q03181 Q9BPZ3
Q9UJW9 Q8WXI4
Q9Y2U9 P54098
Q13888 P09132
O43543 P34897
Q9Y6J0 O75648
P62875 P17987
P78549 Q14894
P13686 Q8N6F7
Q02363 Q8IXM3
Q9H6T0 P59103
O15514 P54687
O00462 P54577
O60762 P83111
P86791 Q96RP9
O60315 Q99558
P62304 Q16854
P54803 Q9H5Q4
Q9BWT1 Q9P2W6
P49842 P46783
O43148 P82663
P62805 Q16854
Q00577 P50135
Q5THR3 Q8TE02
Q16656 P07195
Q5H9F3 Q9HCY8
Q09666 Q9NYK5
Q9UBR2 Q9UHN1
Q9H6T0 P08319
Q05952 Q9HCN4
Q86WB0 Q99558
P09132 P49458
Q9UBR2 Q9BYC2
Q9H4Z3 O00764
Q53HV7 Q92837
Q969F1 Q99551
P52657 P49458
Q53H80 Q13405
Q86WB0 P13995
P07686 Q99551
P62875 Q14442
Q96BN2 P13995
P61218 P15104
P04066 Q14CX7
Q9BXL8 Q6PRD7
Q8TCE9 Q15185
Q5THR3 P09132
Q6PL18 P51398
D3DTV9 Q16854
Q9UIF7 P51970
P03372 Q99551
P30876 P53396
Q9H0E9 Q5EBM0
Q15393 P49789
Q13568 Q9Y238
Q9GZP8 Q8IVS2
Q8NB91 Q9BYC2
Q53GS9 Q9Y238
Q15542 Q9Y2T2
Q9NVU0 P54136
Q9Y657 O75534
P29083 Q8TE02
P52701 Q9NVV4
P41002 O75648
Q8TAE8 P48200
Q9H5J8 P59103
O43325 Q13162
Q2M1K9 P82921
Q9Y294 P51580
Q9H9Q4 P31350
P52701 P47874
Q9UNI6 P23921
O60583 O75570
O00311 P50135
Q58WW2 Q16612
Q9HAN9 P06132
Q9ULX3 Q9BY32
Q16594 O15235
Q12986 P59103
P62304 P29144
Q7Z591 O00471
P35475 Q8TCS8
Q5MJ70 Q2VPK5
Q03181 Q9NP92
Q15562 P82914
Q9BTP7 Q9UJM3
Q13416 Q8N4X5
P54278 Q07617
Q9H5J8 Q9NVV4
O95411 Q9UI17
O43543 P53396
Q13029 P82663
P07686 Q9BXL7
P63272 Q96EK5
Q7Z591 Q02252
Q7L775 Q9NZE8
Q02363 O14713
Q9UK76 P47874
P13686 Q16540
Q9Y6J0 Q9NT62
Q9UBU7 Q9BYC2
P62304 Q8N1V2
Q53GS9 Q9NY74
Q8WX92 Q8NFG4
P06400 Q9BYG8
Q9GZP8 P63302
O60508 P49675
Q13568 Q9BYD6
Q01538 P49902
Q9Y535 P30838
O60508 Q9P0M9
O95551 Q96M11
Q92759 P20807
Q13568 Q02252
Q9UI36 P41252
O75506 Q14749
Q15543 P82914
Q9UIF7 P63302
Q05952 P59103
Q8TF76 Q9P2W6
O43513 P39023
Q9UHR5 Q9Y234
Q9BQ83 Q8N3C0
Q9Y294 O43776
P07686 Q9Y3D3
Q9UNS1 Q9Y2R5
Q96BP2 O14713
Q01081 Q13794
Q13569 Q96RP9
Q14696 Q13795
P29083 P82933
Q5XKR4 Q9HD40
Q9UBX1 Q9Y2T2
O15514 P00558
O75503 Q15102
Q8NFW8 P23378
O75132 P40261
Q9H2F5 Q8NFG4
Q9NX01 P30711
Q53GS9 P54098
Q12824 Q9H9J2
O60762 Q9BPZ3
P17509 Q13794
P04554 Q8IXM3
Q9H5F2 P51970
Q8N9N8 Q9Y234
P06746 P28838
O94906 Q9Y2R5
P78527 O95379
Q9HAN9 Q9NY74
Q8IXF0 Q9Y291
P62487 Q01581
Q6P1J9 P21673
Q07864 P28838
Q9H8M7 P09132
Q03828 P82663
P16455 P14324
P78549 Q9P032
P09012 Q8N183
Q9NPI8 Q8IUQ0
Q12824 P15104
Q9UFW8 Q16698
P16383 Q6PRD7
P51826 Q16698
Q8WYA6 Q9P0R6
Q9BSF8 Q7RTR2
Q86UU0 Q9NVV4
O75528 Q93088
Q9Y675 P62495
Q5MJ70 Q9NX20
O94864 P23378
Q9Y675 P49902
Q9NV56 Q92598
P62875 O15091
Q8TF76 Q9BYD2
Q09666 Q5TCY1
Q03181 P61970
Q96BN2 P46952
P51946 P48200
Q05952 P30711
O96019 O95848
P49736 Q9Y399
Q7Z591 Q8WWV3
P78364 O00471
Q00403 Q14204
Q96T60 P29144
Q96T37 P48735
P18074 Q9H0U6
Q53HV7 Q9NZJ9
P51826 P20807
Q5MJ70 Q2M3C7
P17509 Q13162
Q9Y2U9 P23378
Q05952 Q9NP92
Q9UBU8 Q9Y238
Q9NWT8 P59103
Q16514 P49914
Q12857 P13798
Q9HAN9 Q92844
Q8NB91 P32929
P78364 Q9BXL7
Q05048 Q92837
P49842 Q9BXI3
Q8TAE8 Q14894
Q15573 Q8WWV3
P22304 P49914
O00716 O60760
P49736 O95848
Q05952 Q9BYD2
Q01081 Q9P0J6
Q14181 O00471
P16455 Q9Y399
P18074 O95379
Q9H0E9 P82650
P49736 Q8IXM3
Q53H80 Q9NP74
Q92989 P52815
Q13610 Q8TDY4
P86791 P31350
D3DTV9 P00558
O43365 P08319
P15918 Q9UPY3
P05423 Q16822
Q15542 P49789
Q9H5F2 O75879
O00257 Q9UHD2
P22304 Q9BY32
P38571 O75897
Q8TDY2 P13693
Q9H6T0 Q9HCN2
Q5H9F3 P23921
P62487 P0C7P0
P03372 Q9UN86
Q8TF76 P82663
Q01780 Q9Y3B2
Q9NQ92 Q16854
Q9UIF7 P14061
O43513 Q14749
Q6P1J9 Q9BYG8
Q12857 Q2M3C7
Q96KF2 O75880
A6H8Y1 Q9HCY8
Q9Y294 Q9Y3D9
Q03181 Q01581
O95411 Q9UBR1
O00115 Q9Y238
P15848 P07195
O95551 P12081
Q9NVR2 P62269
O96020 Q9BYD1
Q92759 Q8IVS2
Q13416 O14920
Q8TF76 Q9Y239
O76039 Q07020
O95551 Q08257
Q12986 Q8N142
P36954 P51970
Q8NB91 Q9BYD2
Q13285 P24666
Q96AV8 P15559
P07686 Q9NP97
P32780 P21673
Q9UJW9 O75170
Q8WX92 Q9BXI3
P62875 P51970
Q9Y5N6 P33402
Q9C002 O95786
P16455 P82650
Q9Y2U9 Q12882
Q86WB0 P54687
O76039 O75936
Q03828 O00411
Q01459 Q6V1X1
P12004 P51398
Q96D98 O00411
Q5THR3 P21695
Q9C0J8 Q8N6F7
Q92560 O14618
P09884 Q08257
P12956 P49406
O75506 P82921
Q9BV90 Q9BYD6
Q00577 A2A3N6
Q9HAW0 O15091
P12956 Q8N183
O95411 Q96RP9
O95990 Q9BRJ2
Q9UJW9 P48147
Q15393 P52815
Q13029 Q13867
P49842 Q9BU02
P26368 P55084
P09012 P82914
Q13573 Q9UDX5
Q07352 Q8N183
Q9Y6J0 Q9UI17
Q86WB0 Q7RTR2
O75150 O75394
Q96BP2 O75570
B2CW77 Q9NY33
Q8NB91 P48735
P30291 P62917
Q6ZYL4 P54577
Q9NV56 Q14894
P13010 Q8TE02
O43541 Q8TCS8
P04554 Q9HCN4
Q96BP2 P82675
Q9NV56 P51580
Q13610 Q9GZT8
Q05952 O75880
Q8IXF0 Q99551
P86791 P54136
Q9NX01 Q8TE02
Q9H9Q4 P23921
Q13285 P41252
P27695 P51580
Q9NVR2 Q9BRJ2
P12004 P56277
P27694 Q15102
P52701 Q99558
Q02363 P30838
P78527 P83111
Q0VD86 Q9BYD1
Q9BV90 P53384
O43513 Q9NRN7
Q9Y618 Q9Y2J8
P09884 Q9BYD2
P16383 Q9NY74
Q13568 P30711
Q8TAE8 Q96RP9
Q12857 Q9Y3B7
Q8IYD8 P54577
P15586 P78417
P17480 P30838
O43365 Q9BYG8
P13010 P82930
Q96D98 Q9HBG6
Q8TAE8 Q6XE24
Q96BP2 P51970
Q15583 Q04837
Q9ULX3 P48735
P42695 P31350
O00267 O14713
Q9NVU0 Q8IXM3
Q9BSF8 Q9Y3D9
P78549 P59103
Q9NV56 O75880
Q9H9Q4 P32929
Q9UM82 O60477
Q9BXL8 O14618
Q96BN2 Q9UHN1
P35475 Q9HCN4
Q03181 P62495
Q6P2C8 O14920
Q14186 P82912
Q7Z5Q5 P54136
P13010 O60783
Q14186 Q99819
Q02363 P40261
Q8N9N8 Q12849
Q9UBU7 Q9Y2J8
P51826 Q8IXM3
Q9BX63 P78417
Q9P2W1 Q6PRD7
Q64ET8 O95786
O00462 P82932
Q13889 P54136
Q6P1J9 Q13795
Q15583 Q9Y399
O95248 O75534
Q5H9F3 P39023
O43543 P51970
Q9UNS1 P83881
Q15393 Q9H9J2
O14497 P40261
Q9UK76 Q14749
Q9NVR2 Q13794
Q5TB30 Q9NRN7
Q9UBX1 Q9Y2R5
O95551 O14618
Q9UJC5 P62269
Q13573 P54136
O43325 Q15102
P16455 P50135
P50897 Q9P0M9
Q9C002 P00558
Q9H5J8 O75170
P18074 P14324
P41002 P49406
Q9Y5Q9 Q2M3C7
Q9NPI8 Q9NP74
Q6PJT7 O43182
Q03828 P48147
Q9UNS1 P41252
Q9H4Z3 Q9BY32
Q9UI36 P82909
Q9BXL8 P31937
Q9NQ92 P40939
O75503 P33402
P62304 Q96NW7
O96019 Q8IUQ0
P29084 P07195
P06746 P23378
P17900 Q6V1X1
P20290 Q92844
P78549 Q9P0R6
O75446 O60477
Q969F1 Q8WUN7
Q13568 Q6UB35
Q9BSH3 O76031
P62304 P51857
P32780 P12081
P78549 Q9Y399
Q12824 Q14442
Q9BSH3 P07195
P51826 P82912
O60583 P08319
Q9H0W9 P21673
Q86WB0 P82675
P78527 P47874
Q9NV56 Q9BYD2
Q9HAN9 Q9UBR1
Q5TB30 P82909
Q92759 Q12849
Q05048 O95379
Q969G3 O43776
Q92908 Q04837
Q8WUA4 O60551
O94864 Q9NX20
Q9UGU0 Q9BXL7
O43513 P40925
P09884 P24666
Q86V15 P13693
Q9NWT8 O15169
Q01081 Q9P0M9
P07686 Q9NVV4
Q96KF2 P51553
O43929 Q9P2W6
Q9UHR5 O15235
Q9H147 Q96HU1
P29083 P20807
O43913 P07741
Q5THR3 Q9BYC8
Q9UIF7 Q9HBG6
Q00403 P82932
Q13610 Q8NFG4
Q15393 Q16740
Q6PL18 Q8TF40
Q8NB91 O75394
Q969G3 Q9UD71
Q6PL18 P49789
Q9UM82 Q9NYK5
P19532 P39023
O75506 P07195
Q92908 Q13405
Q9UKF6 Q9BYD6
O15379 Q92837
Q14696 P59103
Q14181 Q8N142
Q8WWL7 Q9BYN0
Q13889 Q9BXI3
Q96T60 Q9H9J2
P54278 O60760
Q05952 Q15102
O96019 O75897
P29083 O00471
P18858 Q9NY33
Q9UJC5 Q9NP92
P51946 Q99558
Q9NV56 Q14749
O43541 Q9HCY8
Q03828 P24666
P03372 P13798
Q9UFW8 Q99551
P19447 Q9BYC8
P15918 O14727
P17509 Q9UHN1
Q8TE85 O75648
P26368 P82663
Q9UKF6 Q9Y239
O15379 Q9BYC9
Q96T60 Q9UPY3
Q92908 P50135
O95551 P51970
Q9Y5N6 O60477
P78527 Q9UPY3
Q13889 Q13794
P12004 Q15102
Q15291 Q01581
Q86UU0 P51553
P13010 O75534
Q9NVU0 Q16851
P13010 Q9UN86
Q9UIF7 Q9Y2T2
Q9HAW4 P27708
Q13416 Q9BRA2
Q9UL03 Q7L0Y3
Q15393 P47874
Q13568 Q99551
P25208 O75394
O96020 Q9BYC9
P20290 P24666
Q13573 P49458
Q86U86 Q13162
Q5XKR4 P48735
P04554 P13693
Q58WW2 Q8TF40
Q99967 Q16612
P12004 P82921
P29084 O75891
Q9H0E9 P31937
Q5XKR4 Q92844
Q9HAW4 Q9Y239
O43543 Q9BXW9
O60583 P39023
Q9H0E9 Q8WWV3
Q9Y5N6 Q06278
Q12996 Q9BPZ3
Q13888 P27708
Q2M1K9 Q9UD71
Q9NVU0 Q9H2W6
O43543 P46783
Q58WW2 Q9Y3D3
Q9UBU7 P40261
P78527 P09132
Q92966 P08319
P13010 Q6XE24
O43929 P82675
Q6ZYL4 P52815
Q5U623 Q16822
Q9BTP7 O76031
Q09666 Q9BXI3
Q8NFW8 P51857
P29084 Q8IVS2
Q9UDW3 P63302
P10071 Q96RP9
O00267 Q9NX18
P07686 P10155
Q86U86 Q02252
P05423 P31937
Q5H9F3 Q96EK5
P22304 Q9UN86
Q9UBU7 Q2M3C7
Q8N807 P56277
P38571 Q9NVV4
Q9H4Z3 Q7Z2X4
Q05952 Q9Y3D3
Q15291 O75394
Q13888 O15169
P25208 P23378
P04553 Q9NX18
Q15543 P30711
P18858 Q9Y234
P17900 Q14CX7
P09430 Q14204
O94782 P82930
P12004 Q13867
O96020 Q9NZJ9
Q9P2W1 O00411
Q7Z5Q5 Q9P2R7
P23759 O14713
Q9Y6J0 Q14894
P63272 P51970
P27695 P49902
O75528 Q8N142
O60762 P12081
Q16576 P61970
Q8TF76 O75648
P25208 P15374
O75132 P51398
P51513 Q9BYG8
Q9NV56 Q96RP9
Q02363 Q9BXL7
P20290 P06132
Q96KF2 Q14894
Q2M1K9 P13798
Q5RKV6 Q9NQT5
P07686 Q8WUN7
Q92560 O95361
Q9BTP7 P49406
O95248 P55084
Q92759 O00764
O43543 P28838
O00267 O95379
Q53HV7 Q8TE02
Q5MJ70 Q06278
Q15583 Q9BRJ2
P30291 Q04837
Q53GS9 Q9NZD2
Q07352 P54136
Q9C002 Q9NY33
Q8WYA6 P09132
Q92759 Q9NP97
Q8TEQ6 Q8WXD5
Q13610 P07741
O94864 Q9NP92
Q9BSF8 Q8IUQ0
Q6PJT7 O75880
Q9Y2U9 O14713
P35244 Q8WUN7
O94864 Q9BRJ2
Q8N9N5 Q15185
O15514 Q9H5Q4
Q13568 Q9H2W6
Q8N9N8 Q99819
P86791 Q9GZZ1
O94906 Q53GS9
Q16576 Q9HD40
Q9NPI8 Q8TE02
P30876 Q5JY77
Q14186 Q02252
Q12857 Q96HU1
O00311 Q9NP74
D3DTV9 Q16851
Q9UDW3 Q8N1V2
Q96KF2 Q6XE24
Q92560 O60783
O94906 Q14894
P18858 Q8N4X5
Q86UU0 Q6PRD7
Q6PJT7 O00764
P62805 P26639
P15848 P34897
B2CW77 O75891
O95926 Q9BYC2
Q9NVR2 Q9Y3D9
Q9HB96 Q9UPY3
O96019 Q15102
Q13568 O95848
Q9UI36 Q9UBR1
Q13573 P54098
Q14746 Q9Y2V7
O00257 Q07617
Q969F1 Q9Y676
P30876 Q9NZD2
O43365 P27708
Q9H9Q4 Q13162
P83369 P49915
O43543 P39023
Q9Y657 Q99551
O43543 Q9Y2J8
P54803 P15374
Q9H4I2 Q9H7D7
Q13569 Q8IUQ0
O60583 P13798
Q9NQ92 Q14894
Q9UJW9 Q8N183
P62875 Q9BU02
Q9BQ83 P15374
Q92908 O60477
O43913 P07195
Q8TE85 Q6UB35
P16455 Q8TE02
O15379 Q9Y2J8
Q96JN0 Q9Y234
P20290 Q9P0J6
Q9UHR5 Q9BU02
Q9Y6W3 P20807
P22304 Q15185
O75971 Q9NYK5
P25208 Q9Y238
P49736 O14727
Q9Y618 Q5JY77
Q07352 P62495
Q53HV7 P49902
Q9HAW4 Q92844
Q92989 Q9NY74
P51946 Q8N427
P49184 Q9Y239
P38571 P29144
Q14181 Q8TE02
Q14696 Q8WUN7
Q8TDY2 Q6P1L8
Q86UU0 P78417
Q9H8M7 P78540
Q9UKF6 P00558
O75446 Q9Y3B7
Q9P2W1 O75170
Q2M1K9 Q01581
Q86WB0 O95786
Q9H1Z4 P59103
Q9NQ92 O14713
Q86UU0 Q15185
P06746 Q8N983
Q16594 Q01581
Q9Y618 Q13795
Q8WYA6 Q16698
P49184 P40925
Q9H5F2 Q8N427
Q9BX63 Q9BZQ8
Q8IXF0 O00764
P35244 Q8NEL9
Q0VG06 P54577
P83369 P21673
B2CW77 P49914
Q8NFW8 O75880
Q9UL03 Q8N3C0
O43543 Q6WQI6
P05423 O75936
Q9H4I2 P06132
Q9Y5N6 P53396
Q9BSF8 P82675
P23759 P31350
O43325 Q9P032
P15586 Q14749
P78527 P82914
Q96BP2 O15091
P32780 P35754
P42695 Q9NZD2
P12004 Q6WQI6
Q92989 Q16698
Q9Y657 P15104
Q86XI2 Q8NEL9
Q9H582 P49675
P35244 Q6P1L8
Q9C0J8 Q9BXL7
Q9UFW8 P13798
Q9BXL8 P51398
O14497 P15104
P62487 P35270
O15514 P82932
P51946 P35270
Q9UM82 Q04837
P62805 Q16612
P18858 Q9P0M9
P06400 P82914
P06280 O60760
Q16656 Q7L3B6
O95411 Q9Y3D3
Q6ZYL4 Q9NY33
Q9Y2U9 Q16740
Q0VD86 Q9NVV4
Q9UNI6 O75879
Q9HAW0 Q9P032
