O15344 Q8WWB3
Q6PJP8 Q12888
P11498 P40926
Q8IYM9 Q96RK0
P07996 Q13751
P09769 P12931
Q07889 O00499
P07585 P08123
Q96S95 Q9UQM7
P46527 P30281
P51116 Q9HAF1
Q6VN20 Q8N6C5
P50395 P20339
O43929 Q13416
P06400 Q09472
P31947 P26651
O75173 Q96GW7
P14678 Q9H1I8
Q99613 Q9NRX3
P68104 Q14061
Q92817 P07476
P54253 Q8IWZ3
Q9UQQ2 P20963
Q9UQR1 P04637
P08670 Q9H2D6
P09884 P04637
O00168 P17612
Q9H2B2 P21579
Q8IU57 O95777
P07093 P02462
Q9Y561 P63244
Q9NZL4 Q5T3J3
Q13480 P46108
Q15582 P02462
Q9BT67 P46934
Q15113 P02461
Q9UBN7 Q09472
Q9UI14 Q8N612
Q00403 P29083
Q92585 Q99466
Q13432 Q9HC52
Q9NRA0 P06241
Q9H270 Q9NRW7
O00268 P52657
P42680 Q99755
Q15744 P55198
P07478 P03973
Q13217 P58753
O75379 O14662
Q8N806 Q9NRR5
P50750 P19838
P18847 P17535
Q6ZN57 Q05209
P21580 Q8IUC6
Q6EEV6 Q9BQE3
Q9UEE9 P68400
Q15572 O15164
O43353 P19438
Q96A00 P48730
P56693 Q01860
Q99612 P08047
Q15654 Q96I34
Q9UQM7 P16615
O75925 P18031
P31944 P29466
P12931 P20823
Q16539 P16220
P54762 P62993
P62328 P62736
P51532 P38398
P41567 Q9HAU5
Q01955 P05067
P01563 P17181
P42574 P47712
Q15542 P13984
Q7L5N1 Q92905
P00451 P07307
P43694 P01100
Q8TEW0 P63104
Q02218 P09622
Q96ST3 Q9UHI6
P31785 P24394
P68400 Q16666
P46527 P27348
P56945 P06396
Q6VMQ6 Q13485
P55851 P27348
P09619 P06241
P07384 Q6IAA8
Q9NS15 Q99075
O60763 P62820
Q92731 Q8IWR1
Q99500 P50148
P01042 P07711
O14732 Q15011
P60484 Q9Y2H9
O00238 P18075
P55345 P03372
O14810 P63027
P46940 P04271
Q9UKR5 Q9H1D9
P62258 Q16635
Q14114 Q05586
P56178 P35548
P15407 Q9P1Z2
Q12874 O75689
Q9NYX4 P21728
Q06124 P78324
P55212 O60437
P00387 P69892
Q13326 Q14714
O75674 P62993
P42574 P31749
P60709 P24855
P84022 Q9H0E3
Q9BVJ6 O95257
P43364 Q7Z614
Q16637 P14678
P78396 Q01094
Q8IZJ4 P11233
P40426 P17481
Q8IZL8 O14964
O94989 P54764
Q96QU6 Q8TES7
Q15047 Q9Y3A3
O15162 Q9H7M9
Q9H257 Q6ZU52
Q86SE5 Q9NVV9
P53365 P84077
Q9UHC3 Q8NI35
Q9BYD3 Q9GZR7
O00743 P78318
Q9UPQ3 Q02108
P09884 P06400
O60760 P52790
Q9UM47 Q96JK9
P33176 Q6P597
P21359 P34741
Q9UMX1 Q9NWS9
P03372 Q13485
P35573 Q9Y478
P00533 O15126
O15524 P08069
Q15052 Q15797
O15357 P08581
P07766 P27986
Q9Y4K3 P58753
P42285 Q9NPD3
Q6WCQ1 P61586
O15164 Q92731
P34947 P08100
P10415 Q14643
P03372 P29372
P63167 P25963
Q14833 P21333
Q8IZH2 P04075
P19419 P41134
P42229 P03372
Q92499 Q04206
O60716 Q12913
P61978 P43243
Q00610 P09497
P20042 Q9NR50
P14373 Q9H0Q3
P68400 P08047
Q7Z3B3 Q8N6Y0
O15234 O95793
Q9Y5K6 P62993
P43489 O15304
P13984 P29084
Q9UKT4 O60447
P51452 P36507
P55317 P10275
P61086 P42858
Q9Y6K9 O14920
P10114 P36897
P17252 P05204
Q9Y4G6 O60331
Q969H0 Q149N8
Q04206 P49716
Q9Y3F4 Q9H840
O43150 P62826
Q13813 Q86YD1
P09884 P24941
P02671 P00488
P42261 P48058
Q92777 P17600
Q08345 O43639
Q7Z5L9 P14316
Q92558 P07737
Q8N2W9 P07196
P98082 P98164
P68400 P04156
Q9NS87 P46013
P09871 P02745
Q96KN7 O75161
P05060 Q53HC0
O43924 P20936
P57073 P08047
P62807 P06454
P04629 P08138
Q04912 P26927
P53350 P06748
Q9BPX3 Q9UBC3
Q92793 Q9UI36
Q9UNP9 Q03164
P19174 P15498
P28482 Q8WU20
Q15645 Q96HA8
O00267 P63272
Q96J02 Q86Y01
P49366 Q6ZVK8
P01222 P01215
P49768 P12830
Q9NRP7 P10071
P17612 P07101
Q9HC62 P49790
Q9NWQ9 Q9C099
P06239 Q08881
P63104 Q9P2H0
P49662 P49768
Q99708 Q96HA8
Q15797 Q15361
Q9UKB1 P30304
P10415 P49023
O00311 Q13415
O95817 P10415
P61956 P05412
P35858 P24593
P31946 Q9Y6M7
Q8IUW5 O95747
Q13422 Q13547
P49841 Q9UKA4
Q07666 P20936
Q9UI14 Q9NP79
P21741 O60635
P00750 P25391
Q09472 P29372
Q12791 P19440
P18031 O43561
Q9H0F7 Q15041
P18887 P09874
Q99698 Q96DF8
P52566 P61586
O60603 Q8IWL2
Q12778 Q96EB6
Q9UHV8 P63261
P27361 Q13480
P05412 P52272
P52799 P49796
Q6VN20 P08581
O15379 Q13547
Q92793 Q15642
Q9UPT5 Q9Y6D5
Q06265 Q9NQT5
Q13485 O00231
O75558 Q9BQD3
P17480 P20248
O00231 Q96ID5
P27930 P01583
P35232 P04049
O00339 Q14031
Q9NRW1 Q8IUD2
Q9NRJ3 P51677
P26641 P55316
Q9UM11 Q13309
P05386 Q6ZRI6
P22607 P05787
