O43561 Q13239
P31749 P03372
Q14966 Q15834
P32121 Q8TAQ2
O95400 P14678
Q16644 Q16539
P31749 Q13485
O14976 O60763
Q15293 P54253
P62834 Q13158
O60603 P08571
O76061 Q9NR50
P49703 Q9UPT6
P50402 Q7L5N1
O15164 Q92731
Q15436 O95487
P30044 Q9GZT6
P03971 Q16671
P00533 P42566
Q92845 Q02779
O60732 P35269
P23458 P08069
Q8N2W9 P61956
P49286 Q9NQX7
Q16644 P04792
O43897 Q9H2X0
P62244 Q13838
P40189 P08887
P09619 Q14451
P46098 P11021
O60333 Q13424
P20226 Q9P0U4
P32004 Q96S59
Q96KC8 P11021
P31785 P16871
O00161 Q9P2A4
Q13490 Q9Y385
O75582 Q09472
P49711 P09429
P22681 P07948
P57678 P17931
O15226 P19838
Q9NQX5 Q14186
Q16594 O00268
Q15834 Q8NHQ1
P43364 O14832
Q9Y5X3 O15360
Q13501 P42263
Q92828 O60907
P14625 P07306
Q16827 P11309
Q14192 Q09472
Q02156 Q9UKX2
P51679 P25098
Q92845 P12931
A1A4S6 Q6P5Z2
Q8N1V2 P50991
P29475 P25100
P49757 P05129
P58062 P02795
Q13137 Q8TCX5
Q09472 P10242
Q16602 P01258
Q9NUP1 O95295
P19784 P55087
Q13237 Q14847
P31749 Q92731
P67870 P49427
P78552 P35225
Q9Y618 P48443
P11142 P09496
P14625 Q07954
Q9Y5K3 P62736
P61962 Q9Y463
P17252 P15382
P32456 Q96QZ7
Q14050 P02458
P56645 Q49AN0
Q9Y294 Q9UKI8
Q9Y222 P30279
O60716 Q13002
Q15427 P49842
Q8N668 Q9H0A8
P31947 P06493
O60763 Q06547
Q16143 P05067
P62807 P06454
Q14209 P06400
Q8NAP8 Q9H9D4
P06401 Q13105
P68402 O95149
Q9UKW4 P06213
P03372 P63096
P24278 Q9BQD3
Q9UQ90 Q99750
P04637 Q9UN74
O00470 P20719
Q7Z3B3 Q7Z6G3
O75586 Q15796
Q9Y6W5 Q14185
Q07002 O75909
Q15796 Q9UJX6
Q9NV56 Q9UBU8
P62837 Q99942
Q9P2T0 P48643
Q99698 Q93074
P49768 P12830
P31946 O75494
O75381 Q13547
Q9UMX0 P32297
O75553 Q14114
Q92781 P47804
P08246 P01011
Q9H254 Q12955
P99999 P10109
Q9NS82 P08195
P01833 P11912
P46108 P27986
P01024 P17927
Q15047 O95361
Q92736 P13861
Q13347 Q14152
P27694 P49736
Q9Y2T2 P55087
Q03001 P13647
Q9Y618 Q92731
P56278 P31749
P14859 P42229
Q6ZUJ8 P27986
Q13952 P84022
Q13177 P62753
P10275 P13010
Q08722 Q02094
Q04771 P62987
Q8NI35 Q12879
Q6STE5 O00482
P28072 Q9Y244
Q8N5S9 Q16566
P68400 Q9UNN4
O15350 Q92831
Q12772 P41235
Q15139 P05412
Q99700 Q13772
Q9HD26 Q13467
Q00688 P67870
Q9UKG1 P23945
Q13325 Q96BY9
P56945 O15117
Q93009 Q8IYM9
Q495M9 Q9Y6N9
P35638 Q96RU7
P18669 Q99569
Q9H0D6 P21964
Q99626 P28482
Q86SS6 P48729
Q92905 P17535
