Q12292 P22855
Q02896 Q99190
P39007 P33767
Q12245 P21243
Q02774 P32837
P53050 P35729
P25346 P38819
P38822 P38130
P07259 P14680
P40055 P53163
P38351 P04050
Q04675 P07991
P18851 P32917
P39014 P12709
Q06169 P53217
P53740 P06243
P32898 P12695
P24583 P54786
P07259 Q12223
P38987 P39998
P40956 Q06892
P18414 Q06451
P33892 P33333
P20967 P43597
Q06512 Q06208
Q12329 Q04660
P38788 P40565
Q02794 P40164
P38878 Q99287
P40010 P53156
Q06208 P32837
P57743 P38203
P11746 P11746
P08431 P40054
P41814 P29055
P43594 P47068
P39935 P15790
Q12050 P38251
P38362 P38238
P32774 P13393
P38324 Q12098
P32588 P53040
P25651 Q02892
P11075 P32074
P41808 P47079
Q08923 P06844
P38910 P32499
P38701 P24720
Q12047 P29055
P04817 P53337
P25385 P22214
P15790 P25567
P53914 P38779
P40024 P41807
P32562 P40541
P38822 P33419
P39929 P53272
P38822 P34238
P35727 P39968
P40917 P53303
P40316 P26309
P23968 P39704
Q08729 Q99332
P38523 P35191
Q08649 P38806
Q08601 P40850
P53196 P53549
P19880 P30822
P23255 Q03750
P40056 P40078
Q07967 P42836
Q06410 Q12421
P34909 P39008
P38822 Q12446
P07251 P05317
P11972 P39016
P33895 Q07457
P11938 Q12030
Q06628 P18562
Q12134 P15891
P06243 P47134
P00924 P14741
P41808 P25491
P53861 P15646
Q01590 P15303
Q06821 P39940
P38805 P40991
P87271 P32385
Q02629 Q06142
P32366 P17255
P46674 O94742
P40509 P47135
P38987 P07283
P31383 P23595
P39113 Q02794
P06782 P38990
P38182 P40344
P25342 P39954
Q00776 P06782
Q12045 P53737
P38822 P47028
P32911 P50086
Q12042 Q06815
P39719 P39742
P00830 P40856
P32521 P53010
P38130 P32912
P41811 P40471
Q04305 P40055
Q03435 Q12464
P32828 P22137
P20436 P38902
Q08387 Q02979
Q99394 P38334
P39743 Q04149
Q02821 P38956
Q12223 P15703
P07259 P38827
P21771 P32902
P40352 P08524
P39935 Q08647
P19882 P14747
P53919 P33322
P38699 P20459
Q04651 P32842
P40070 P47017
Q99258 Q02821
P18412 Q12464
P53599 P16140
P38238 P53307
P25338 Q08974
P34240 P06787
Q04477 Q07350
P48606 P47135
P33754 P32915
Q12102 Q06102
P48813 Q05934
Q05930 Q06813
P19263 Q12124
P53954 Q12402
P15315 P34110
P53043 P53980
Q03818 Q03818
P38987 Q03973
P39730 P32497
P43593 Q04062
Q02630 P47054
P53927 Q12176
P23968 P25580
P33420 P38822
Q12412 P38993
P47135 Q06580
P36103 Q02821
P38123 Q03323
P37370 P47068
Q12223 P00830
P23641 P34221
P22213 P36015
P50942 P47143
P35191 Q04437
Q07732 Q12365
P32500 Q12482
P12754 P14741
P46956 P38992
P53045 P32803
Q04659 Q05930
P36047 P27476
P25358 P46965
P32807 Q07418
Q06538 P36147
P39975 Q12256
Q05899 Q06451
P06786 P40328
P25300 Q07418
P33322 P15992
P29055 Q12680
P04173 Q12024
Q02774 P50944
P12709 P35203
Q12464 P53632
P12709 P32350
P40480 P53905
P23293 P34160
P08004 P38776
P38261 P53738
Q04964 P06738
P00830 P53156
Q02794 P35127
P15992 P25343
P15790 P10080
P32797 P38960
P38843 P36057
P53156 P07259
P21375 P09624
P09232 P06782
P39743 P07260
Q08931 Q08931
P40956 P40040
P53251 P32337
P31384 Q12329
Q06208 P32591
P38729 P38286
P52919 P29055
P38431 P39935
P39998 P40077
P35728 P33122
P89886 P47089
Q05080 P20676
Q08273 P40850
P26786 Q04779
P53633 P53322
P40070 P47093
P16140 Q12152
P10080 P39935
Q12395 P50089
O13582 P25344
P19880 P32337
P06838 P00830
P06197 P25087
P38861 P30771
P53923 P40554
P32522 P28737
P53301 P40971
Q12329 P38260
P40344 P38862
P23641 P38217
P10080 P40561
P41811 P25694
P35727 P22204
P53919 Q6Q547
Q12024 Q12522
P36060 Q00684
P38827 P39706
P41543 P41543
P30822 Q03864
P38220 P41698
P25491 Q08601
Q04660 P38779
Q08208 Q07381
P38987 P07260
P46956 P87284
P36160 P40028
P04051 P25441
P19955 Q03063
P22579 Q08032
Q03656 P53549
P39704 Q08962
Q03799 P32902
P46970 P32502
Q12349 P40545
P15938 P38692
P46961 Q07904
Q12004 P02994
P38203 P33334
P38011 Q08601
P32462 Q12136
Q12483 P47142
P53927 Q08004
Q05022 P53261
P38837 Q03655
P38072 P38072
P38862 P38182
P40573 P32908
P11075 P38112
P38992 Q04697
P32902 P32786
P38764 P32458
Q06091 Q03654
P22147 P15790
Q08912 P50091
P26188 P07251
P20606 P38987
P39703 P54786
P38153 P47079
P38316 P38993
P11747 P50105
P04807 Q12380
P39076 Q00362
P40856 P29295
Q02821 P32324
Q04049 P09624
Q08162 Q12277
Q06629 P53973
P32830 Q02574
P53914 P40362
Q04062 Q12377
P36036 P36036
P41940 P53323
P09938 P06838
P40302 P21243
P12709 P26755
P43592 Q03944
Q05946 P53388
Q03497 P05694
P00924 Q12343
P06774 Q12159
Q00684 P26448
P32803 P38992
P38700 P43617
P05317 P00830
P47135 P39534
P47017 P40527
P16522 P14724
P31384 P15992
P40339 P38877
P32842 Q03655
Q12253 P38751
P53091 Q02892
Q02931 Q07350
P31384 P12695
P47017 P53965
P38913 P38633
P14747 P25296
Q12522 P34246
P53227 P47135
P38930 P32569
P39742 P14906
P39935 P07260
P40352 P32316
P38138 P32837
Q06011 P38251
P46946 P25651
P38819 P53337
Q02896 P38356
P41808 P07257
P38346 Q05027
P49018 Q04121
P11972 P32854
P48837 P14306
P38752 P32569
Q06410 P40368
P25358 P46961
P52891 P52891
P07278 P05986
P50875 P38915
P40362 P15646
P07703 P32327
Q08498 P29055
P00924 P53732
P02309 P53877
P47154 P35206
Q12749 P05694
P33401 Q12223
P25694 P32381
P47093 P38769
P39011 P50623
P14741 P38708
P08539 P38270
P53845 P32939
P53550 P25339
Q12306 P47110
P27999 Q04598
Q05672 P30822
P53326 Q04437
P38217 P14742
P08458 P04173
P38843 P38264
P13393 P32773
P38353 P00724
Q08754 P38932
Q04602 P34230
Q04049 P06738
P25635 P04046
P00937 P00899
P53236 Q02630
Q12030 Q05027
Q04839 P32793
Q06704 P38822
P53269 P18852
P09232 Q12223
P20676 Q06142
Q06142 Q04673
P37838 P53914
P87263 Q12329
Q07921 P38960
P00830 P38347
Q04149 P32787
P38286 Q07904
Q02554 P32524
P49955 Q12330
P32776 P36100
P12754 P04173
P25491 P41811
P22141 Q08723
P40035 P27999
P15790 P37838
P53877 P12709
P53196 P33297
P16474 Q99186
P43590 P02309
P32807 Q12329
P23639 P25043
P28519 P06839
P40991 P00427
P32833 P54784
P22133 P40469
P39079 P21304
P34110 Q12024
P39707 Q04675
P32610 P22203
P32618 P29366
Q06675 Q07535
P47061 P39904
Q04638 P05150
P50091 P53050
P53233 Q02783
P02309 P02293
P25342 P32468
P38988 P16151
P17255 P16140
P47135 Q12247
Q04049 P15873
Q12754 P53861
Q00916 P43611
P21951 P27344
P47079 Q03330
Q08683 Q12107
P25297 Q06451
P33891 Q05934
P04817 P25580
P02309 Q04149
P32588 P34160
P07248 P38129
P25303 P32807
P35189 Q12297
P39984 Q04947
P40469 Q99278
P47069 P38242
P41814 P06103
P42841 P47079
Q12377 Q08723
P06839 P43535
P38356 Q12445
P32570 P32569
P07149 P33750
P29295 P43586
Q06168 P38633
P00854 P05626
P27515 P38987
P38953 P04385
P16140 P38129
Q02821 P34760
P19263 P33333
P40473 P40473
P34221 P12753
P32803 P38286
P38301 P32529
P53322 P40548
P38120 P28817
Q12343 P25046
P39010 P18852
P31244 P07251
Q06451 P25358
P52490 P53152
P46948 P42945
P36108 Q12248
P38871 P38987
P32569 P40582
P13393 Q03761
Q02866 Q03818
P21560 P46673
P38837 P25358
P46957 P47110
P08518 P28274
P53141 P38707
P24000 Q12349
P47172 Q12349
P38126 Q05934
P26754 P06778
P47135 P32796
Q12309 P38241
Q12464 P38316
P53550 P38203
Q99247 P17555
P48240 P47017
P29295 Q12136
Q02199 P52918
P54999 P33203
Q00362 Q05934
P38737 P33333
P25659 P38987
Q00916 Q02821
P32828 P02829
P11986 Q12154
P36160 P53136
Q02629 P52918
P25644 P38346
P25358 P46956
Q05787 P06777
P40565 P04147
P08678 P38064
P53337 P53045
P48743 P38144
P32569 Q04299
P22209 P38011
Q03048 P06787
Q04183 Q03337
P18851 P32902
Q02630 P53747
P39106 P25639
P53622 P04173
Q04491 P36161
P40020 Q06199
P48234 Q07623
P40548 P46965
P25635 P05150
P09064 P38249
P32523 P33334
P08458 P23595
Q12306 P12954
P41318 Q04749
P38726 P32569
P00447 P23337
P12962 P25293
P17157 P08431
P07251 P53127
P02829 P06101
P35727 P25344
P07270 P07269
P40260 P39996
Q08966 P47135
P15424 P27705
P28000 P04051
P46986 P27999
P20967 Q12250
P36068 P47049
P40956 P39970
P47019 P32601
Q02629 P30283
P35195 Q12306
Q06667 P47154
P30656 Q12250
P40364 P25333
P27929 P32902
P38264 Q03530
P22336 Q04740
Q06651 P05150
P40018 P33334
Q07887 P53755
P09624 P25301
Q03322 P53039
P38247 P53290
Q06053 Q02630
P43132 P38123
P32861 P19735
Q00873 Q05874
Q12255 P32602
P00445 P28320
P38956 P22082
P38251 P38121
P04819 P15873
P22224 Q06245
P40050 P17214
P47146 P40054
Q12136 Q08259
P31412 P17255
P35995 P08466
P25586 P53091
P42223 P27351
P06775 P20606
Q02724 P40365
P38129 P13393
P38629 P38121
P38196 P40016
P31334 P19956
P36149 Q99394
P38255 P22579
P47017 Q04511
Q12158 P32908
P32806 P12695
Q04660 Q07623
P31378 P40348
P39011 P39955
P07560 P53093
P13186 P27637
Q12377 P53196
Q01454 P28519
P40362 Q02354
P34087 P29055
P22470 P07251
P41800 P38264
P80428 P02309
P32793 P40956
P40567 P38811
Q12159 Q12159
P53290 P32558
P30657 P38346
P39551 Q07824
Q04659 P40045
P40055 Q06078
P53285 Q03508
P38932 Q04338
