O95747 P55011
Q96PN7 Q13285
Q14974 P12272
Q8NI08 P03372
P04183 Q14919
P51843 P48552
Q9UMS0 Q8NC60
Q14442 P37287
O75352 P04278
P68400 Q92598
Q16514 Q6P1X5
Q96S82 P46379
Q14181 Q9H1I8
Q15645 Q96LM6
P84090 Q5RL73
P15529 P0C0L5
O43752 O00161
Q9Y678 Q15185
Q96CG3 Q9GZT8
Q13503 P20290
P54253 Q14671
Q9HC77 P18627
Q9Y3B2 Q12769
P54253 O75935
Q9UQB3 P35222
O60925 Q9H7V2
P05556 P10809
Q9UGU0 P03372
O60906 P48736
O75446 Q16576
Q99558 P46777
P04179 Q9H0R4
O14980 Q12824
Q9NSA3 Q9NQB0
Q16594 Q16514
P08887 P05231
P30260 Q9UM13
P60468 P04114
O15304 P26842
Q07864 P12004
P54368 P54253
Q13323 Q07817
Q9UEE9 P68400
P52434 P62875
O14980 P49792
P38484 P15260
O95084 Q8NB37
O75665 Q9P2H0
Q16821 P26678
Q9UPT6 Q9NPQ8
Q9UKA2 P63208
P54253 Q96T58
P18428 P63220
P06401 Q9H467
Q07820 P12004
P60468 Q15629
P35221 Q12959
O14713 P05556
P30876 P62875
Q01113 P15248
P49641 Q9Y2X7
P30047 P30793
P03372 P35222
Q00403 P29084
Q9NVI1 Q9BXW9
P54253 O00154
P68400 P35222
P40926 O75390
Q14689 P98082
Q15274 Q9BQ66
Q8WZ42 P20929
P25208 Q07021
P51116 Q9BQD3
O60383 Q9Y6M9
Q9P2M7 Q9Y624
O60573 Q9BQ66
P15907 P20273
Q15762 P15151
Q9BRT9 Q9Y248
Q96IP4 Q9UBS8
P68400 P27695
Q01344 P05113
P60228 O43292
Q06265 Q9NQT5
Q99933 Q07817
Q8N3K9 Q96EV8
Q9H081 Q96IY1
P55895 P15918
O00161 P51116
P54198 P23759
P51587 P27694
Q12791 P78559
Q7L5N1 Q8IYL3
P61201 P55789
Q9NQW6 Q16181
Q7L775 O95278
Q9GZR7 Q14181
P02654 P02652
O43929 O43913
O75925 Q13285
O60293 Q15834
Q7L5N1 Q8N2I9
O95081 Q9UBC2
P10827 Q15646
A5YM72 Q14669
Q16891 Q9H0I3
Q7L590 O00311
O75818 Q99575
Q5RKV6 Q07021
P51116 Q5T681
Q8N5C8 Q15750
Q5THR3 Q99497
O75818 P78346
P48061 P02751
P16870 P27694
O75631 O75841
O00267 Q9NZ63
Q9UIF7 P27695
P49454 Q02224
Q9UHI6 P62304
P62258 P54253
P08949 O14773
P54368 P11926
O75309 P35222
O60383 Q12906
Q8NBJ7 Q969H0
O75330 Q9ULW0
P34913 Q9UFN0
Q13029 P03372
Q96FZ7 Q9BRG1
P09669 P21246
Q9Y2H0 O94875
O00253 Q9UBU3
P20618 Q99436
O60383 Q9H0Q3
Q9NV56 Q9NPF5
Q92729 P35222
Q9H204 Q96G25
Q15645 P07902
Q9GZT8 P61201
P29084 P29083
Q9HBM1 P60468
Q14722 Q12959
P30519 Q9Y2X7
Q9BYT8 P30990
Q86XR7 P51617
P24522 Q13561
P37268 Q15041
Q15583 Q5T3J3
P13612 P05556
Q5FBB7 P46779
Q9NQT5 Q96SZ6
