P53863 P38855
Q06108 Q02892
P49704 P38293
P48566 P35688
P34221 P18963
Q12329 P32634
Q03774 P40485
P53159 P38217
Q03973 P19524
Q12433 P32607
Q06819 Q04934
P13856 P06839
P53130 P40564
Q03973 Q03919
P39682 P35197
P32478 P07258
Q12186 P25491
Q06549 P43593
P25649 P17121
P39563 P24783
P38429 P07248
Q08491 P36068
Q08438 P23642
Q08746 P14306
P38690 P35169
Q03919 P25569
P50094 P33313
P53910 P46681
Q12186 P43601
Q12513 P25646
P32639 P08964
Q04491 P38129
Q12100 P32264
Q03792 P53011
P53267 P25303
P40186 P38113
Q07376 P15891
P51601 P39523
P49955 P38200
P53082 P25294
Q99207 P32945
P16547 P04819
Q04175 P53604
P26755 P25299
P53152 P50946
P43563 P38766
P39743 P20438
P32480 P25357
P40959 P25369
P25586 P19735
Q07418 P32599
Q06624 P21243
Q05670 P46962
Q02825 P36139
P53840 P32793
Q02256 P30624
Q02804 P39944
Q12033 P25655
Q12522 P54199
Q12098 Q07623
P33306 P12688
P53040 P32895
P53040 P13517
P38930 P22543
P29496 P13586
P40096 P38801
P47166 P33301
Q04601 P33204
Q08979 Q06151
P53184 P50113
Q06142 P32773
Q12124 P34087
P40005 P32324
P21192 P10659
P43612 P41813
Q12518 P47134
P40164 P38590
Q12460 P32599
Q03735 P38622
P51534 P50095
P39563 P00931
Q08649 Q03532
Q12129 P33892
Q12301 Q05874
P53100 P39081
P54786 P39717
Q12347 P25333
P40573 P32349
Q03308 P28707
Q12159 P06777
Q03220 P38266
Q07508 P32917
Q00539 P31374
P53754 P38352
Q08949 Q04087
Q02825 P23639
Q12041 Q07963
Q99257 P46963
P53094 P15891
P32863 P26309
Q03862 P06242
P32864 P32264
P38861 P31382
Q08496 P47005
P38696 P31109
P32591 P20449
P38113 P30657
Q03532 P14741
Q12260 Q08492
Q04199 P40529
P38129 P20433
P53924 P39944
Q12462 P25808
Q08965 P32589
Q03162 Q00684
P25808 P14736
P32505 P08524
P40335 P38805
Q00955 P54861
P39517 P18961
Q6Q547 P53313
P41816 P11433
Q00362 P53086
Q12038 P50945
P33418 P17891
P32796 P30619
P21182 P12611
Q06436 P49687
Q03012 P17065
P32913 P18759
P53236 P32863
Q08215 P38792
P53298 P38789
P40483 P39682
P40988 P39517
P40988 P14126
Q02890 P35056
P40202 P32485
Q04839 P38636
P53978 P43586
Q04031 P35197
Q08601 P40186
Q12255 Q06137
P21672 P14736
Q12389 P41920
P40512 P17555
Q12222 P38631
P38198 P08018
Q05946 P53252
Q12276 P38229
Q04491 P38247
Q00916 P32912
P43568 P38720
P32354 P25299
P53731 P38291
Q12368 P25294
Q12186 Q03497
Q12411 P38768
P40495 P25644
Q7LIF1 P28000
P39929 P28817
Q12250 P00358
Q12433 P00549
P47029 P40959
Q7LIF1 P53959
Q06410 P40461
Q06651 P49166
Q07442 P39927
Q05583 P53104
Q02197 P40413
P53136 P25296
P32450 P00044
Q12377 P38339
P49573 P32855
Q08553 Q06224
Q02516 P41896
Q06679 Q03897
Q12021 P89102
Q06163 P38774
P40541 P22137
Q02100 P19524
P54199 P38932
Q12328 P34087
P34253 P25357
Q12024 P38636
Q03081 P53112
Q03919 P38358
Q08726 Q03619
P38822 P32447
P23542 P06102
Q03898 P06103
Q12161 P38699
P40038 P40036
Q07084 Q05580
Q07657 P38696
P33203 P13517
P53742 P39969
Q12518 P37012
P53834 P17555
P38273 P09232
P19145 P14680
Q12285 P24783
P53277 P35190
Q01590 P25569
P40078 P12385
Q05775 P42846
P25615 P25558
P32481 P02829
Q06078 P38785
P43637 P27796
Q03619 P32800
Q02892 P20449
P40434 P17898
Q08119 P29295
Q02892 P53199
Q12045 P39713
P40567 P40328
P30665 P18759
P32447 P23644
Q04411 P25367
P42843 P07866
P30619 P25344
P40096 P36068
P53048 P36048
P34160 P13517
Q05874 P07991
Q12045 Q07887
Q06624 Q03981
P47912 P38792
P43616 P32571
P23394 P11154
P53254 P40103
Q07508 P53930
Q6Q547 Q06568
Q06704 P25591
P53949 P38328
P52593 P35728
P38717 P23585
Q08956 P39967
P54999 P40339
Q03792 P15108
P53068 P36139
Q06411 Q00816
P38358 O13565
P53283 P38063
Q9URQ3 P40510
P40202 P14736
Q12084 P38713
Q03558 P38716
P53551 P08638
P38428 P20484
P32380 P32327
P38346 P00331
Q12477 Q12248
Q07471 P23301
P40055 P30619
P89886 P53691
Q05778 P38270
P53267 P39008
P53755 P23394
P53893 P50095
Q06708 P32500
Q06696 P53298
Q06102 P39723
Q08004 P32854
P18562 P06738
P38855 P38274
P32634 O14455
P39998 P38113
Q08723 P38217
P33892 P20459
P50945 P12962
P25694 P06782
Q12009 P28007
Q07844 P38861
Q08963 P06244
P17121 P15891
Q04305 P16140
Q12165 P38779
P32558 P25441
Q12344 Q05949
Q03768 P40048
Q12241 P38996
P39954 P32787
P48559 P43565
P40477 P38344
Q08726 P38339
Q12222 P33307
P38203 P18852
P40565 P40477
P54790 P40422
Q04868 P40316
Q04005 P25657
Q06151 P40055
P32573 P27895
Q03784 P53949
Q12041 P23639
P35497 P09435
P51996 P38329
Q99385 P34730
P43603 P30665
Q06408 P53941
Q02773 P29340
P43563 P41800
Q12277 P34077
Q03897 P24783
P53865 P39994
Q12377 P29703
P19882 P09032
P32450 P25555
P32450 P12611
Q02199 P50277
P32496 P14747
P53261 P38879
P48363 P36421
P40956 P32573
P53322 P53067
P34216 P11075
Q12418 P33760
Q05933 P32790
Q03862 P06105
Q06160 P38889
Q06624 P38861
Q03899 Q02884
P39940 P32867
P32468 P23287
Q08444 P48412
Q08732 P39960
P31382 P25582
P40302 P14359
Q08235 P39962
P38957 P32797
Q12420 P25344
Q05080 P38766
P43555 P39547
Q06137 P43563
P35497 P25644
P48582 O13554
P50105 P50104
Q12084 P36094
Q04359 P40096
P41895 P39720
Q03407 P51601
P52910 P23642
P53254 P00445
P39531 P28007
Q03208 P20134
Q00684 P53248
P29366 P08964
P36085 P06244
P39107 P36029
P36005 P32528
Q05871 P32366
P53840 P53280
Q12019 P28000
Q08749 P38072
Q12734 P16521
P53628 P43593
P53115 P46678
Q12206 Q07381
P38801 P07270
P50113 P38282
P40461 P04046
Q07844 P43638
Q02892 P48412
Q08873 P38692
P47017 P28708
P33203 P07258
P41808 P40988
Q03322 P47041
P39966 P26263
Q12142 Q00362
P40217 P21801
P53883 P48559
P40087 P38261
Q12318 P49166
P36421 P25615
P53968 P06787
Q12206 P23202
P57743 P00546
P40492 P07258
P39944 P06779
Q12285 P22007
P32523 P31384
Q08975 P32805
P47064 P39729
Q12447 P38620
Q12522 P33331
Q12017 P53739
P54199 P38853
Q08601 P11154
P32502 O13539
Q04964 P38346
Q99383 P13712
Q12285 P40988
Q12477 P38316
P32802 P31244
P53604 P18410
Q03656 P53281
P53171 P38111
Q08931 P37303
P38720 P09938
P50946 P50091
Q12142 Q05022
Q12372 Q12006
P36107 P32501
P38766 P32481
Q06142 P39715
P41811 P01123
Q02875 P40555
Q03503 P32917
Q08965 P22543
P53905 P38814
P32864 P07834
Q08921 P15705
Q7LIF1 P46678
P53600 P00937
P53032 P14682
P52553 P00359
Q12055 P40485
Q08886 P53378
P48240 P47012
P38922 P32450
Q06412 P53043
P36160 P29056
Q05946 P53893
P53221 P50086
Q12154 P42846
P36018 P33338
Q12124 P38959
P42846 P37303
P21538 P07272
P32447 P18963
Q00618 P19073
P32629 P32598
Q04005 P38991
P53859 P24869
P53540 P25333
Q07786 P39718
Q12168 P53124
P16861 P04821
P48361 P40095
Q02354 P41814
P53011 P32327
Q07508 P06103
Q05933 P28743
