Q9NQX3 P42345
Q96RK0 Q9P1U0
Q9NQS1 O14727
P49842 Q99808
Q9Y294 Q13112
O95219 O00499
P02775 Q9UBW8
O95163 O14920
P15927 Q7L5N1
P19438 Q9BXW9
Q16891 Q9Y6M9
P40926 O75390
P04843 Q9NYS7
O00220 O95999
P02766 O95163
P13010 P09884
Q9UPT5 Q9H8T0
Q92945 O95453
Q8IU57 Q8IZJ0
Q8WVB6 P35249
Q96N16 Q9UBS5
P05556 Q9UKP3
Q9H211 P12004
O95793 P62753
Q13094 Q15464
P60568 P14784
P15927 P27694
O75478 O95990
P59665 O60925
O75352 P04278
Q9UBW8 Q9BT78
Q15025 P21580
O60921 O60671
P01579 P38484
Q99547 Q5RL73
Q96T76 P32780
O15235 Q5T3J3
Q14134 P49773
Q14814 Q09472
P43351 P27694
Q14940 P49407
Q14676 Q12888
P04183 Q13432
P01375 P19438
Q08999 P24385
Q03135 Q9Y6H8
Q9NRX2 Q99698
Q15465 P18509
P49815 P19021
P61313 Q7L5N1
Q86X55 P11940
Q9UHI6 O14893
Q16790 P35222
Q9BYM8 Q96EP0
Q15025 P46777
Q13347 Q04637
P16284 P35222
Q09472 O95359
P32969 P23396
P21246 Q969Z0
Q13190 Q5T3J3
Q96D46 O14980
Q9H0Q3 Q9GZT6
P36542 Q9NRX1
Q9HAF1 Q15834
O60583 P06400
P03372 P30305
Q9H840 Q8WXD5
O94985 Q14669
Q96M91 Q15834
O43715 O14727
Q8WVM8 Q13190
Q92597 P35222
Q9BUB5 P02686
O00311 O60610
Q08211 Q00403
Q8N1S5 Q96D05
P21673 Q5T3J3
Q9NRA8 P60228
O76061 Q8TER5
P13010 O00267
Q8WUM0 P52948
O95273 P82933
Q16665 Q09472
P02647 P22061
Q9UHF0 Q99689
Q9NY26 Q15464
Q96LW7 O95999
Q9UKX7 Q14974
O14949 P0CAP2
Q8NEC5 Q9UKJ5
O43395 Q969Y2
O14976 O60763
P09466 Q5T3J3
Q8N2H9 P51617
P36542 P60002
O00623 P50542
P28799 P52790
P68400 Q08945
P60033 P13612
Q15542 Q10570
P55895 P15918
Q9BVJ6 O43261
P68400 P30305
Q13432 Q14061
P21246 Q9Y657
Q99627 P60228
O60496 Q02763
P02775 Q8WVM8
Q96QZ7 P08887
Q9NXE8 Q15834
P46783 O95251
P15941 P35222
Q6ZS82 O75916
O95163 Q9UFN0
Q9Y5B9 P29084
O60925 Q5T3J3
