P46961 P39875
Q12223 P22219
P43562 P19736
Q08749 P38729
P48581 P25359
P32571 P21951
Q01080 P32578
Q06580 P39996
P53313 P10863
Q07921 P38111
Q06490 P04147
P53337 P45819
Q12102 P40395
Q12206 Q03750
P20484 P04821
Q04062 P18239
P53096 P33313
P46671 P33301
P34730 P25441
Q08096 P14682
P39534 P38879
P53011 P32833
P46956 P22515
P19736 P06103
P52960 P32464
P53290 P40341
Q04491 P23641
P46669 P21672
Q03290 P29469
P39744 P32902
Q03177 P53045
P38138 P25454
P26343 P11710
Q07732 P04817
Q12335 Q04003
Q07509 P29295
Q12734 Q01722
P53124 P10961
P38112 P32855
Q03690 P22139
Q06628 P06700
P38957 P25659
P46672 P46669
P39107 P31378
Q12349 P32561
Q05016 P21672
Q12159 Q05958
P40090 P06844
P47064 P38123
P47053 P22202
Q12102 P32492
P43545 P38208
Q01389 P38111
P40020 P21672
P40217 P28239
P42073 P05626
P53244 P36147
P23833 P17442
Q03213 P32325
Q08096 P40094
P25371 P10659
P54885 P26343
Q00772 P38705
Q08287 P53142
P40357 P33419
P40344 P38744
P48361 P45818
P53961 P38261
P53131 P24867
P32897 P22137
Q06339 Q03785
Q12024 P33754
P08431 P07257
Q12006 P38615
P53552 P32859
Q03944 P38692
P47160 P41895
P30605 P06844
P39534 P32801
P38781 P06242
Q05016 P87284
P48813 P22515
P46678 P18759
P38627 P25502
P38837 P32494
P46678 P12683
P35207 P19659
P53323 P39952
P39960 P21190
P38636 P07213
P53968 P40032
P53130 P12294
Q06549 P38699
Q07914 P40202
Q12321 P53011
Q12518 P19358
Q06675 P50944
P87108 P40528
P53691 P26449
Q12335 P53437
P49334 P09064
P54786 P36100
Q06001 P04386
Q04675 P06777
Q12447 Q03323
Q08956 P53108
P53152 P22135
P47135 P42942
Q03532 P16370
P39904 P34227
Q00816 P21705
Q04067 P33301
Q08975 P18851
P53905 P41912
Q08683 P23059
P53243 P42934
P47152 P32855
Q08649 P54837
Q12692 P47038
P47037 P38138
Q06200 P02309
Q08204 P17214
Q12158 P40492
P38827 P19097
P39685 P32800
Q06580 P53147
Q06411 P04786
P53616 P38810
Q12158 P53168
P53949 P04050
P53261 P50105
P53604 P26188
P36129 P32898
Q12241 P35842
Q05933 P39112
Q08109 Q06091
P46988 P19955
Q07986 P40518
Q03935 P38203
Q01080 P22140
Q01649 P38523
Q12341 P40992
Q12692 Q05583
P43581 P39967
Q08773 P23624
P47166 P12684
Q00816 P43682
P39715 P11747
P39685 P38042
P38960 P32855
P40069 P25579
P53628 P53093
P40478 P13574
P40073 P24384
P41816 P35206
P11747 P00958
P40357 P04050
P80428 P30657
P51601 P05626
Q04307 P46964
P47171 P43638
Q05947 P36104
Q12262 P36172
P23642 P07276
P20457 P06775
P38702 P00924
Q12377 P20436
Q04934 P25046
Q04958 P26448
P40960 P40094
P40988 P39550
Q99207 P23337
P47035 P09064
P18963 P12954
Q02825 P38082
Q02206 P40055
P53093 P28834
P35210 P33299
Q08683 Q03758
Q06525 P47912
P47115 P40064
P46956 P32566
P19263 P07260
P39524 P38344
P26798 P25582
Q12194 P47050
P39955 P33891
Q12265 P17106
Q06819 P38827
P48813 P33339
P22219 P19263
Q05946 P33759
Q08193 P53211
Q12309 Q02892
P41810 P11972
P40155 P38826
P40970 P36049
P47012 P43560
P41546 P38960
Q08980 P25559
P47025 P38427
P40357 P06784
P47053 P41832
P40517 P40319
P38759 P36104
Q06091 Q03213
P40355 P40078
Q06339 P81450
P23285 P15891
Q05568 P07276
Q00245 P35177
Q06440 Q04636
Q12216 P38820
P47089 P38967
Q12285 P18239
Q12301 P23585
P40453 P36036
Q12262 Q08496
P41901 P32832
P38112 P35842
Q06218 P36018
P47171 P40303
Q12224 Q03690
P32504 P05375
Q06451 P12684
P40438 P38850
Q01217 P10863
P53142 P26798
P45818 P08456
Q07622 P40014
Q12174 P53211
P25719 P08518
Q06488 P35182
P53824 P24783
Q08204 Q05031
P80428 P22140
P35179 P04076
P19454 P07250
Q12118 P14906
Q04697 P38862
Q08562 P27514
P43622 P38953
Q03071 P54862
P40482 P07273
Q02100 P38842
Q12102 P40473
P39550 P32564
P35189 P00359
P42941 P38077
P39704 P32899
P38429 P24867
Q08601 P07256
Q03785 P40187
Q08562 P39960
P38156 P32601
Q06525 P53207
P40958 P28007
Q12380 P22082
P53952 P41921
P46964 P32605
P42941 P15891
Q08491 P38962
P39969 P06783
P40325 P21827
P25632 P06775
Q12174 P00359
Q08235 P34218
P32528 P23641
Q03981 P39515
P26570 P07261
P23285 P09232
Q04673 P28496
P38182 P16151
Q12427 P53209
Q00578 P40360
P43562 P23285
P32905 P02294
P53079 P39113
Q12321 P32559
P47166 P04819
P53163 P35842
P32468 P13433
Q03900 Q03579
Q06406 P53750
P33411 P31380
P38257 P16522
P32525 P06700
P32341 P21965
Q08465 P32381
Q99207 Q02516
Q06554 P13663
Q12443 P53086
Q12045 P53959
P41697 P11914
P33400 P24384
P38298 P20604
Q05027 P05375
Q99394 Q03691
Q12175 P32453
Q03954 P20095
P38774 P18239
P47083 P25579
Q02908 P23833
P27692 P25657
P50945 P04819
P50090 P25344
P38692 P16370
P87108 P40096
Q02773 P40958
Q12149 P32913
P40314 P39702
Q12446 Q00873
P20676 P09064
P35172 P22209
P47027 P32783
P41811 P21951
P38086 P32571
P46965 P25655
Q12415 P25336
Q12102 P46985
Q12482 P50113
Q03280 P43545
P47135 P39702
Q06406 Q03323
P37296 P33296
P53919 P38439
P40513 P26188
Q12365 P32558
P53851 P38822
Q04697 P25584
P40956 P32334
Q12021 Q08465
P28791 P19955
P39523 P12954
Q12050 P53955
P53203 P22140
P52593 P11076
Q12335 P38682
Q03220 P39992
Q12396 P38696
Q12066 P12383
P33892 P13393
P40478 P25389
