P49848 P33076
P54253 O60828
Q9P286 Q9UGJ1
P16671 P05106
Q9UMN6 P84022
Q8IXH7 P10398
P14373 Q96SI1
Q9BX74 P05067
O75330 P16070
P20339 P26374
Q13485 P41235
Q9Y6X1 P60468
Q7Z6Z7 P22362
Q8N357 Q9NRX3
P50150 Q9HAV0
Q9NPI1 Q5UIP0
P14921 P04150
Q6PCB0 P98160
P00533 O75886
P35244 P15927
Q15047 P08670
P50502 O95897
Q9P2K8 P36897
P04637 P04271
Q9NRD5 Q96NY8
Q8TBN0 P20336
P59998 P61158
Q16594 Q12962
P34896 P67870
Q13627 Q12778
Q9UKX7 Q14974
Q02156 Q8NER1
Q15654 Q9H5Z6
Q8N5I3 O75909
Q99062 P62993
Q16576 Q9UK53
P41595 P50148
P52179 P35579
Q9UBU7 O95777
Q6PIZ9 P07948
O15018 Q99569
P09429 Q06330
Q13114 P36941
P28702 O43791
P78337 Q13562
P84243 Q53GL7
O14745 Q9H015
O95819 O43318
P61981 P68366
Q9H1J1 Q96Q15
P13798 Q9GZZ9
O60383 O43261
Q9Y4K3 P51787
P08235 P68133
Q8N556 Q02156
Q9GZY0 P78559
Q96B26 O15116
Q9UM13 Q9UJX3
P50406 P50148
P33240 P26641
Q96HF1 P56705
Q14289 P23458
P15498 P12956
P06493 P18031
P43364 P58340
P12956 P09017
Q9HCS7 P24928
O60268 Q8IX03
Q9UJY4 P11717
Q14643 P35219
Q12778 P03372
O14512 P16333
P67775 Q13362
Q99627 Q92905
P10828 Q15654
P61981 Q04759
Q04206 Q04864
Q6EEV6 O43396
P63010 O43683
O43924 Q15382
P24941 P17706
P09237 P00747
Q99704 P18084
Q99759 Q9H4A3
Q8WU20 P35968
P08631 O60496
Q9NWQ8 P62993
P17252 P41143
Q07666 P40763
Q16739 Q16799
Q14722 Q12959
Q13547 Q12834
P55212 O15519
Q14449 P09619
Q9NRD5 Q9P2M1
P20396 P32121
O14795 Q96GM8
Q96AX1 Q9P253
P13688 P00533
Q8IV61 Q05655
Q07812 O60936
Q09472 Q14676
Q15835 P35243
P56645 O15516
P09651 P25963
P08514 P04275
Q03405 Q07954
Q00013 Q9Y2J4
O43739 Q969H4
Q9H4B4 Q02750
P63104 P57059
Q9H4B4 P28482
P19320 P15311
Q96PK6 Q14686
P30874 P29350
Q14872 Q9BXS5
Q08629 P50281
O75379 O14662
O75190 P40818
O14964 P54257
Q15047 Q15714
O75676 P16220
Q14974 P11362
Q14511 Q96J02
P31749 P84022
P48061 P08253
Q01780 Q9HAU5
P36957 Q13045
Q12933 Q9UQN3
Q8N2W9 P04637
Q969T4 Q99942
P28300 Q07507
P49841 P35222
Q99558 Q16543
P46937 P61981
Q96GM5 Q8N6Y0
O95182 Q9Y478
P12956 P55769
Q9UM13 Q12834
P46379 O95163
O15105 O43318
P28290 Q9Y383
P04156 P10809
O60869 P0DP25
P68104 P56282
Q9Y2X7 Q6P1K2
Q13509 Q969W0
Q5TZA2 Q6P597
P15941 P07948
Q13526 P24864
Q9UHD2 Q7Z434
P78346 Q99575
Q9BW71 P54198
O43823 P42574
Q13200 P35998
Q03013 Q96ID5
P07996 P02452
P16104 P38398
Q96HC4 P12814
P68400 P17931
Q13009 Q05655
Q96PU5 P51965
Q5SQ64 P62993
Q13535 Q15382
P01042 P04264
P68431 P49450
P25054 P14923
Q9BVJ6 O14737
P08123 P16070
O43278 Q96IP4
P62993 P22681
P54132 P39748
O94985 O00139
Q9Y584 O75340
O43561 Q13094
P16885 P30273
P06241 P51911
P14625 P55157
Q8IYF1 Q15370
P21860 P00533
Q01101 P24385
Q13137 Q9BSM1
A6NDV4 P15311
Q09472 P62826
O95396 O96007
Q9Y4C0 Q9NZ94
Q9HC62 P55854
Q96CW5 O95613
Q12933 Q15560
O00303 Q7L2H7
P00387 P69892
Q9Y2D1 P53567
Q15027 P02786
Q5FBB7 P62906
Q9Y3P8 P43405
P45983 Q02962
Q13671 P01112
Q92793 Q13485
Q96KP1 P11233
Q9UBF6 Q13617
Q9NZL4 P11142
Q13224 Q13554
Q9Y5X4 P50750
Q8IUH5 P21579
P07858 P03973
P22748 P48751
Q13253 P12644
Q12972 Q9UKR5
Q9HCK4 O95897
P19784 P17096
P43364 Q8NDB6
Q8WZ42 P21333
P24666 P43403
P30307 P27348
Q03181 P48443
Q9GZV1 O15273
Q15327 Q86TC9
Q03135 Q14451
P11940 P49023
P09683 P47872
Q93009 Q9H992
Q15654 P12931
O43541 O43318
Q99504 Q8N196
P49790 P52292
Q7L5N1 Q53FE4
Q16665 P27361
P20226 P36508
P41743 P60953
Q6NZI2 Q9UQR1
Q13616 Q13309
P20337 P0DP25
O75970 O95832
Q9BUZ4 P08138
O14654 P27986
Q9NRW7 O14662
O95777 P52209
P17612 Q14749
Q04206 P52564
Q01844 Q16630
P61981 P15880
Q96EB6 Q14469
P17301 P03956
P12429 Q8IWV7
Q9BWF2 Q13045
P41212 Q9UKV0
P63279 P11166
O43402 Q15006
P04150 P24468
O95832 Q8NI35
Q07666 P08631
Q99502 Q9NPC8
Q9Y376 Q9C0K7
Q96CW1 Q7Z7J5
Q07666 P52333
Q7Z6B0 Q9UJY5
P61244 Q9H8W4
Q8NHQ8 P61981
Q13227 O75376
O95502 Q15818
Q13393 P60709
Q9H211 Q99459
Q99856 P23497
P17612 O15551
P22301 P01023
P61981 O14744
P14136 O00151
P14784 O14543
P17252 P10276
P11142 P04114
P10275 P38398
P27986 P20936
Q00403 P35998
P49757 P05771
Q14789 O15239
Q00013 P04921
Q15650 P10275
P26006 O00499
P68400 P52655
Q04724 P20823
P60484 Q6P0Q8
P28482 P51170
Q9BUL9 Q969H6
Q15417 P13796
Q9Y2H0 Q92796
O15379 P48643
Q9H081 O14777
O95848 P10398
Q6SA08 P16220
P40189 P08631
Q96QZ7 P98164
Q9Y2X8 Q86UW9
Q99942 P49023
Q9NR28 Q13489
P17612 P78348
P17252 P02686
Q9Y3A3 Q05193
P20226 P78317
P55769 P98175
Q9Y5N6 Q99741
O15085 O43157
O00238 P10114
Q8NBV8 O60506
O43353 Q13485
Q00403 Q04864
O14745 P35228
P53708 P04004
Q08170 P35637
P17600 P08670
Q13112 P06493
P40763 P09619
Q9NPG2 P63096
Q6EEV6 P82650
Q15633 Q9UKV8
Q99543 Q0VDF9
P68366 P10636
Q9NZR1 P09493
O95747 P55011
Q07889 P00533
P23409 Q02535
P30518 P01185
O75052 O14994
P17676 P10147
O14530 Q9Y2X7
Q16667 P24941
P54257 P52292
Q8WUM0 P52948
Q92834 P06748
Q92585 Q09472
Q92835 P62993
Q9Y6K9 Q13158
P07093 P00734
Q9C0C7 Q14457
Q96KB5 P04049
Q13287 P42226
P98095 P14543
Q96GD4 Q9BZD4
Q09472 Q04206
Q03701 P18627
O60271 P45985
Q96JE9 Q13885
P54253 Q9P1W9
Q00535 Q02078
Q16623 Q9H270
Q9H0E2 P51617
P43364 O94818
O43734 O15111
Q05655 P30086
P38432 Q58EX7
P18031 P19022
O43570 O43147
Q9UHB9 O76094
O75593 P84022
Q9NPC2 Q04917
O00459 O14512
P10275 P35222
Q15436 P53992
P06899 P28300
Q5RKV6 P84103
Q99417 Q92667
P68400 Q04206
P35568 Q8N122
Q99750 Q96LJ7
Q02388 Q8TBC3
Q03933 Q00613
Q9Y679 P17301
P62195 P43686
Q07817 P02511
Q9BSJ2 O95613
Q16665 P51398
P17181 Q9UKB1
P32780 P35998
O76003 Q9BQ66
P00533 P05026
Q00994 Q13114
Q9UMX1 P10071
P06239 Q9UQQ2
O43765 O95967
P53350 O94762
P51911 P0DP25
Q01844 P0DP25
P54819 P04278
Q16594 P21675
Q03167 P10600
Q9NVI1 Q9BXW9
Q92831 P12814
O14910 O14936
Q8N302 O43508
Q92597 P63151
Q9UBD5 O96020
P41240 Q99704
Q13546 O00463
Q9H0M0 Q14966
Q06787 P19338
P08514 P16671
P55001 P35555
Q9H4A3 Q9Y2U5
P68366 P56945
Q9NX09 Q5T3J3
P00750 P09429
O75396 Q13190
P54253 Q8WW36
