Q12406 Q03280
P38429 P07248
P36121 P34218
Q03012 P36005
P32793 O13553
P33303 P00431
Q02256 P09064
P32786 P17119
P19414 P09624
P40090 P13574
Q12045 P41808
Q03954 P15705
P50275 P40302
P41808 P26793
Q00582 P47113
Q06628 P40092
P52919 P06787
Q07468 P32318
P40328 P38282
P39937 P16664
P39563 P24783
P38111 O74700
P41834 P13711
Q12452 P12754
P32639 P08964
P23287 P10363
P36062 P32525
Q12045 P53834
Q07834 P47150
Q12361 P39704
P53199 P40048
P40492 P07258
P38872 P25659
P40480 P32628
P39946 P28495
P35179 P10863
Q06706 P38753
P32801 P18962
P15303 P10869
Q12514 P25635
P38856 P03965
Q12424 P38886
Q06665 P17065
Q04839 P38636
P52553 P38769
P53924 P34087
Q04053 P24482
P38193 P33331
P50095 P23301
P32802 P31244
P52919 P28834
P32911 P29340
Q12427 Q00955
P42945 P32800
P34077 P32571
P53064 P36103
Q12390 P25454
P50278 P33331
P53847 P40512
Q03220 O14455
P53221 P23594
Q12241 P40960
Q06451 Q02629
Q02931 P20438
Q12078 P46948
Q00955 P00546
Q06679 P38165
Q06169 P38789
Q06616 Q05881
Q12163 P40573
P38753 P19882
Q12098 Q07623
P53043 P38247
Q06436 P38692
Q02866 P47083
P53743 P33201
P47132 P38695
Q04031 P10659
P32495 P21192
Q06102 P39723
Q03503 P37296
P47041 P18410
P53955 P36005
P32491 P20967
P22203 P22007
P42839 P12754
Q12754 P22216
P53250 P36018
Q03860 O13530
P47912 P09938
Q12028 P46682
Q12038 Q03497
Q12168 P14904
P47083 P40477
Q12315 P32345
Q92331 P53865
P41816 P14126
P32324 P14742
Q06411 P38237
Q05610 Q00723
Q04978 P20435
P38358 P07274
Q06251 P05453
Q05471 P51601
Q08873 P38692
P47166 P35201
Q08119 P36068
Q08558 P53036
P41814 P38806
P21243 P18759
Q06704 Q04894
Q02199 P50277
Q05874 P50113
Q08438 P22515
P40151 O13297
Q04411 P47057
Q12161 P53538
P50108 P02829
P38751 P06778
P53754 P38785
Q02884 P38883
P46962 P25390
P43581 P36125
P43588 P13586
P38291 P14306
P33399 P26448
P38727 P35723
P39987 P38152
P34221 P18963
P35688 P23287
Q06704 P32854
Q06178 P40204
P39531 P00358
Q12084 P38713
Q03940 P47027
P43601 P16664
P38991 P34077
P53067 P40036
Q08581 P53199
Q08229 P32505
P23638 P00899
P33297 P25515
P47041 P20459
P38757 P25454
Q02199 P10363
P32450 P25555
Q12199 Q03898
Q06543 P06784
Q04921 P22213
Q12380 Q00416
P35817 P25502
Q12151 Q04338
Q07980 P36084
P22007 P06103
Q12440 P38333
P41813 P32496
P53941 P32379
P38193 P32610
P40036 P38089
Q05958 P36012
P53845 P07270
P36047 P32800
P47054 P32492
Q03897 P46672
P40485 P25591
P16664 P12868
Q05568 P32471
Q06708 P38590
Q04868 P49573
P39929 P13856
P36139 P32527
P51862 P32501
Q03735 P38622
Q12206 P38760
P53540 P21268
Q03690 P38861
Q02196 P02400
Q12285 Q04199
P53859 P32447
P53212 P22082
Q12152 Q04439
P53739 P38989
Q03081 P38203
P52286 P19735
Q03012 P33311
P53313 P38261
P40368 P38696
Q00916 P23644
P38737 P13186
P47150 P25515
Q12028 P35729
P34253 P31382
Q06409 Q02821
Q06708 P19735
P41832 P32786
Q12044 P23394
P46963 P46675
P38257 P04807
Q12021 P89102
P41695 P28274
P38757 P25515
P14747 P07347
Q05778 P38270
P38723 P38288
Q04439 P21965
Q06551 P53900
P38903 P22007
P33401 P32350
P53129 P14747
Q12165 P38805
P53834 P17555
Q06178 P30771
P26755 P25299
Q08723 P32634
Q12433 P21182
Q12433 P47029
Q03782 P32264
Q7LIF1 Q05021
P54199 P18480
P53755 P38348
P52919 P38193
P14682 P13045
Q00764 P35688
P38829 P38786
Q12260 P37370
Q03322 P47041
Q12349 P27692
P39723 P27351
Q04934 P14742
P41895 P39720
Q12055 Q02630
P38837 P32263
P38208 P25584
Q05636 P47129
Q99278 P53131
Q08215 P42846
P41817 P16522
Q06479 P19145
P48232 P24869
Q06479 P32524
Q08491 Q06108
Q12084 P36094
Q06409 P25655
P30619 P25344
Q02875 P29703
Q03973 P80667
P40009 P38788
Q07930 P40091
Q03768 P53845
P37296 P22202
Q12241 Q03782
Q08273 P01123
P53207 P40555
P38240 P33304
Q01590 P40344
Q08217 P04821
Q02892 P48412
P40541 P02994
P40079 P33307
P53271 P41318
P47017 P38080
Q12280 P53855
P14737 P07149
Q12330 P25719
Q07657 P33334
Q03860 P41544
P18759 O13539
Q08558 P32495
Q12264 Q03503
Q08729 P39563
P41277 P18898
Q00362 P40468
Q03758 P38786
Q12256 Q05881
Q06436 P39523
Q06568 Q03862
P39925 P23202
Q08965 P37012
P38903 P20052
P32605 P13711
P53202 P47160
P38785 P38622
P32571 P00950
P40965 P19097
P40450 P39734
P38165 P21374
Q12186 Q03497
Q06160 Q02884
P38132 P25582
Q07528 P05318
P53196 P38329
Q12055 P53067
P32776 P24813
P53290 P33332
P34226 P32495
P53933 P47104
Q08217 P11075
Q12734 P16521
Q08962 P02293
Q12734 P27796
Q04062 P05453
P39960 P32563
P32854 P16140
Q03862 P06242
P38785 P25341
P33201 P05085
Q05022 P04387
P54860 P33307
P36080 P07278
P38191 P14242
P41814 P36022
Q03048 Q01939
P33333 P00044
Q04264 P53256
Q08245 P35169
P53010 P43612
Q12206 Q07381
P53905 P32495
Q02825 P23639
P40395 P33332
Q06108 P38555
P43616 P32571
P47083 P17536
Q04651 O13559
P54861 P49704
Q04062 P12612
P36068 P33201
P32793 P32590
P38959 P17695
P53973 P53959
P35197 P27801
Q12347 P38998
P42935 P11709
P32628 P11745
Q08979 P53136
P39014 P37370
P40078 P26263
Q04217 Q02199
Q12450 P38723
P39940 P07264
P22141 P17536
Q06704 P25591
Q12344 P14164
P39523 P09734
P38855 P38274
P40151 P38920
Q08278 Q01684
Q12473 P54199
Q12033 P43583
P46673 P36049
Q03010 P07251
P50086 P25605
P38208 P32786
P43586 P24869
Q04231 P38960
Q05670 P38193
P13045 P00359
Q6Q547 P52593
P39935 P04076
P35734 P11927
P24583 P07149
Q99299 P53883
P41800 P38853
Q04377 Q04373
P43638 P38266
Q12477 Q12473
P41834 P36130
Q12468 P43592
P38697 P05318
Q02197 P22515
P25694 P25385
P50946 P38720
P21182 P19097
P54199 P40492
Q12222 O13563
P38932 P33895
P33891 P25584
Q12310 Q12041
P30902 P20433
Q08911 Q05958
Q04067 P52286
P40483 P39682
P25555 P25357
P53191 P36224
Q12154 P49686
Q07657 P39108
P46988 P40453
Q07381 P07258
Q03012 P40009
P38228 P24868
P39730 P06787
P54885 P20081
Q02197 P40413
Q04439 P25515
P51996 P33298
P34216 P06843
P53927 P43603
P48837 P47122
Q12482 P39515
P39079 P33306
P43565 P11154
P54885 P39016
P43593 P32457
P39926 P32450
Q12309 P38699
P53739 P32783
P38690 P22216
P36029 P32563
P38627 P15790
P29366 P10081
Q03558 P53256
Q08562 Q01329
Q12297 P52491
P33333 P08964
Q03654 P47104
Q12377 P33760
Q02630 P22133
Q08581 P47041
Q12380 P34240
Q03899 P25659
P50278 P38689
P50094 P33313
Q12368 P03965
P40988 P30624
Q05778 P19454
P38276 P22203
P31382 P23301
Q12518 P37012
P43321 P36124
Q12222 P21242
Q05166 P39966
Q12365 P46672
P35203 P12688
Q03956 P16467
P32525 P14724
P53124 P32590
P23561 P04456
P38636 P09624
Q03280 P53131
Q08144 P40009
P25649 P17121
Q03308 P40003
P40395 P32074
Q04005 P06773
P20438 P18963
P47117 P33755
P25808 P21268
P31244 P06782
P33314 P07262
P53169 P28006
Q02866 P23624
P53847 P06101
Q05670 P14742
P42839 P32628
Q06648 P36029
P38987 P38333
P32786 P00817
P36124 P35193
P53163 P22203
P53278 P12945
P43574 P18961
P53142 P47042
Q07993 Q06819
Q05670 P35169
Q12477 P38316
P38871 P33419
P42843 P40484
Q05778 P25604
Q12449 P43569
Q12390 P46948
Q12020 P15873
Q07844 P40005
P39904 P25649
P39743 P00899
P53968 P35169
P47068 P25451
Q12427 P38748
P50113 P38291
P43568 P40573
P38229 P38208
Q00955 P53280
P53855 P01123
Q02825 P53883
Q03735 P19882
Q12495 P26754
Q92331 P31539
P53834 P34077
P12962 P08431
Q12256 P14736
P54199 P23293
P33892 P20459
P36118 P34217
Q92317 P32380
Q12263 P32854
Q12024 P34077
P53886 P38970
Q06108 Q02892
P38697 P20424
P53344 P53093
P43637 P27796
Q99210 Q03322
P53971 P27801
Q01389 P38193
Q04338 P51996
Q03406 P39875
Q12468 P27515
P31109 P28834
P41816 P33420
P40018 P38737
P52919 P35207
Q07963 P38070
P38113 P33204
P89886 P53691
P54999 P46677
P80428 P47821
Q12310 P38922
P32350 P14306
Q04338 P38334
Q08438 P38822
Q03081 P39994
Q04412 Q04370
P38960 P35718
Q12034 Q04373
P38149 P07274
P40160 P18851
P39077 P22517
Q06677 P53914
Q01560 P43574
Q03338 P40302
P53930 P40078
Q12265 P04456
P54786 P39717
P39517 P18961
P43563 P33334
Q04368 P35193
Q06406 P14126
P33199 P24867
P53894 P42839
Q12449 Q03957
Q08229 P80667
P32807 P06777
Q12060 P27476
P37296 P25293
Q04437 P53125
P47045 P26263
P38631 P05986
Q12522 P54199
P36103 P32578
P51601 P33203
Q04935 P49334
Q12024 P46677
P38634 P33891
P35497 P25644
P43563 P41800
Q7LIF1 P28000
P40693 P02400
P53168 P36062
Q04562 P34160
Q12329 P48412
Q08726 P38339
Q02630 P40494
Q04359 P40096
Q04792 P46962
Q04373 P38274
P53159 P11709
P36018 P32913
Q05583 P53104
Q08921 P12754
P40328 P32324
Q08902 P06775
Q05670 P18410
P53124 P04147
P53147 P42841
P40473 P36010
P53196 P39969
Q06216 P14680
Q12163 P40515
Q03532 P40303
P48837 P18962
P37370 P20438
P38316 P16467
Q00816 P38276
Q03898 P40395
P50113 P32855
Q12021 Q06102
Q05930 P53845
P47019 P32502
P32480 P19073
Q07688 P40507
P39990 P38153
P50091 P03965
P39929 P09938
P33297 P22007
Q03973 P14724
P41832 P38339
Q06616 P51534
Q03630 P47083
Q02804 P40554
P32776 P18759
P38957 P00431
Q04031 P50113
P53743 P53298
P38873 P27705
Q06819 P00331
P39563 P09798
P40555 P11433
Q12330 P15108
P53280 P36080
P53949 P47135
Q04660 P20604
Q04199 P34244
P40960 P32588
P38622 O13553
P49686 P23639
P42073 P22515
Q92317 Q04004
Q08773 P28004
Q02931 P40564
P50091 P32945
P40857 P39729
Q12469 Q04005
Q03792 P53011
P32447 P18963
P42845 P00950
Q08886 P14832
P53883 P41277
Q06142 Q05022
Q99210 Q00246
P47134 P00445
P32873 O13554
Q12186 P43601
P53863 P32898
P40573 P19735
P09435 P00958
P53939 P40070
P39960 P38793
P40574 P30902
Q12230 P10081
Q08144 Q03497
Q12276 Q08920
P32074 P00724
Q05568 Q02100
P38737 P33891
P53600 P11484
Q03619 P38814
P20436 P04051
Q12082 P38744
Q12118 P32601
P37303 P32263
P53599 P07251
P32523 P10869
P40202 P19882
P40344 P39073
P53743 P23624
Q12330 P39927
P38748 P22213
P43581 P38992
P38873 P34216
P41814 P40079
P39704 P38962
Q00416 P33329
P38930 P22543
P36000 P09959
Q06137 P43563
P47150 P41810
Q02100 P40167
P38801 P32835
Q12363 P54199
P53267 P40574
P40003 P24814
P39955 P16370
P43638 P31382
P38063 P04387
P53867 P32502
P53968 P25649
P51996 P27796
Q03758 P46680
Q05583 P34160
P20435 P07866
P11484 P00330
P53914 P26798
Q08972 P32867
P08458 P05453
Q01389 P38705
Q06640 Q03088
Q03792 P15108
P53163 P02557
Q03308 P28707
Q03981 P25655
Q08562 P40422
P36049 P34160
Q06216 P23287
P52918 P05453
P53152 P18410
P21951 P14242
Q06568 Q04322
P48566 P35688
P38863 P29703
P32591 P23642
Q08245 Q04272
Q02793 P11154
Q08951 Q03981
Q04511 P11927
Q05947 P46675
Q05874 P38431
P48568 P40496
Q04792 P52286
P25615 P10363
P43637 P28707
