Q9UKA4 P10644
O60674 P40763
P54253 Q8N1L9
Q05655 Q9NQ66
Q14137 O00541
Q14152 Q04637
O60232 P51946
O75410 O14965
Q99728 Q01844
Q9NZW5 P60866
Q14524 P49796
P19086 P21918
Q15843 Q13616
Q5VIR6 Q8N1B4
P30679 P08172
P02776 P13501
Q15223 P55196
O43791 P52945
O94762 Q86XP3
O75943 Q99638
P06213 Q13480
O95633 Q13485
O75607 Q9P2H0
Q99801 P11831
P15153 Q9BST9
Q8WUM4 P07947
P0CG47 Q96MP8
P50148 P28223
P05129 Q92686
O95793 P62753
P61201 P19793
P56693 P11161
Q16665 P04637
P49790 O14980
Q9Y294 Q9UK41
O94813 P35052
P49407 O43298
O00255 P46940
P12931 P27986
Q15327 Q86TC9
Q9UBU9 P84103
O95257 P54257
Q15464 P15498
Q9ULK4 P78545
Q8N474 P56705
Q99733 Q16778
Q14766 P35555
Q03135 P34947
P84022 P06753
P11474 Q00403
O75478 O14964
O15524 Q08881
P57073 Q03014
Q969H4 Q8NFZ8
P05120 P20618
P52298 P31943
Q9Y4X3 P46092
Q02040 O95218
Q9UHA4 P28482
Q96HZ4 Q04724
P05305 Q9NRR5
P49770 Q13144
P62714 O15344
P50750 Q13616
Q8TDC0 O75112
Q9NQ87 O96004
P36873 O14965
Q9Y6W5 P61160
Q96KN7 O75161
Q03014 Q04724
Q8N715 Q9BQ66
P14672 Q15084
Q9NRD5 Q9Y624
Q9UBF2 P48444
Q15438 P68133
P84022 Q13501
Q9NRD5 Q96NY8
O95838 P01275
P61981 P04350
P08670 Q8N6T7
Q9Y618 Q06330
Q9NX63 Q15834
Q9UHV8 P60709
P31946 Q07021
Q8N9N5 P04637
Q7L5N1 P08670
P24928 P60709
P40238 Q9Y4H2
O00206 Q15399
O14757 Q06609
P26992 O15162
Q9P286 Q92934
O94763 P19388
Q9HB71 P63208
Q9BTT6 Q9P2H0
P30990 P30989
O15105 P15172
Q9BUZ4 O14874
O14788 P08254
Q9UI12 P36543
Q8IX07 O14908
P17252 P20020
P38398 Q99759
O75569 P58753
O14773 O14746
O94763 P13984
Q06413 P08047
P08195 P05556
Q13158 Q9GZR7
Q9UGN5 O43684
Q13501 Q16288
P46100 P21246
P42574 Q08209
P46109 P06213
O75674 Q9UBW8
Q8N4C6 O14965
P20042 P55010
Q14974 P07305
P41597 P51671
P63279 P60484
P51398 P04150
P19012 Q6ZU52
Q96AB3 O95777
O15524 Q02763
Q92530 Q96C03
Q49AN0 O15534
Q13255 Q13885
Q13835 Q02413
P62993 P08247
Q9UPQ7 Q13873
P03956 P02458
Q96PL1 Q9UEW3
Q01344 P32927
Q00887 Q15796
Q13136 Q8IUD2
Q9UJ70 O75716
Q9UNS2 Q93034
Q15303 P29279
P02775 Q9NRL3
Q5FBB7 P30153
Q13547 P29374
Q06187 P25445
Q13042 Q9UJX2
P62195 Q12962
Q9BY11 O00401
Q92793 Q14207
Q9Y333 P62316
P47736 P55196
Q16363 Q8IWV7
Q9Y2H0 Q96A65
O43747 P84077
O75533 O15198
Q86VP6 Q13620
Q99726 Q92572
P20591 P60709
P23743 P12931
P17706 Q14974
Q9H840 P14678
Q8WUP2 Q96AC1
Q4LDE5 Q6VMQ6
P36542 P25705
P26368 O14641
Q02535 P13349
P11308 P05412
Q66K89 P06400
O14744 Q9BQA1
P35968 P35222
P26447 P35580
Q12824 P12931
P55344 P17931
P48549 Q92806
Q05682 P62993
Q08211 Q9UBU9
O43189 Q93062
Q9P2K3 Q14687
Q10586 P49715
P68400 Q9BWD1
Q13496 Q9C0I1
Q92806 P14416
O00470 P09016
Q16621 O15525
O43715 O14727
P27361 P04049
P15173 P15923
Q9H211 Q14566
Q15464 P27986
P46092 P48634
Q7Z465 P10415
O95169 Q9P1W9
P05089 P78540
Q99558 P27361
O00238 P18075
Q9NQC3 O75427
O14965 P04637
P21246 P07237
Q01892 P20226
Q15796 O15230
O94875 Q14289
P40424 P09016
P06734 P06241
P30153 P32119
P14866 P22626
P53611 P62820
P07288 Q02383
Q99741 P38936
P05771 Q92686
Q13232 Q9NRR5
Q8TCU5 Q12879
P21926 P08648
Q9NS61 Q9NZV8
Q13573 P10276
P54259 P98095
Q07820 Q92934
P02452 Q02388
P35914 Q9GZW8
Q13033 P0DP25
P13686 Q8N357
P19012 Q9BT92
Q14974 P21246
P68104 P62310
Q96BY2 P19438
Q5VT25 P10916
Q9H0E2 Q9NPH3
Q13627 P31946
Q13133 Q9NX61
Q9Y448 Q9NZW5
P27361 P18545
P15622 Q15834
Q8NEP7 P78396
Q495Z4 P04278
P24941 Q02363
Q969H4 Q12967
O60934 P13010
O15455 Q99836
Q9BZR8 P10415
P51811 P68400
O15265 Q92830
Q15811 Q9BYC9
P54257 Q96NT1
P04637 Q03468
P28070 P53350
P36897 Q9C0J8
P33151 P35222
Q03164 Q9Y5Z7
Q99689 Q9NRN5
P53667 P49918
Q92611 P27824
Q09472 P18146
Q15102 Q13432
Q9H422 P49796
Q9Y3I1 Q13490
P05154 P00742
Q13888 P18074
Q09472 Q14653
Q99952 P42680
O75925 Q13285
P01111 P10415
Q04759 Q9UEW8
P05771 P48551
Q9NV56 O95619
Q9UGK3 P51692
P38398 P11388
P54253 Q9P2G9
O43187 Q99836
P04637 P29320
P14136 Q6ZU52
O60566 Q02224
P14866 P26599
Q01780 Q7L2H7
Q8WXD5 P62318
Q13547 Q92466
P18084 O00622
Q15303 P46108
Q99750 Q8TBE0
Q15750 Q9NYJ8
P15882 P61247
Q13349 P05107
Q92535 Q9UKY1
Q92597 P23396
P13798 P53990
Q03164 Q99496
Q13753 P13497
P45983 P10415
Q96B26 Q9UK45
P54259 P61964
P10523 P35368
P48443 Q9NRX1
P12757 P35998
P49366 Q9GZV4
O94985 Q14669
O75150 P06400
P14920 P19801
Q9BS16 P35712
Q6EEV6 P09211
Q9NQW7 Q6NUQ1
Q96CG3 Q9GZT8
P13500 Q16570
O00213 P98164
O60711 Q9NV31
Q9UKE5 P06396
P09237 P14780
O14964 Q92783
P55212 P49768
Q14697 P48634
P33240 Q12996
Q06323 Q92979
Q99972 Q96AE4
P30154 P35613
Q16832 P12931
Q99717 P52948
P51798 Q6VY07
P43354 Q8N2W9
O94875 P55196
P45984 O43379
Q05193 Q9Y3C7
Q12866 Q14393
Q96F24 P10828
Q92831 P15923
Q04206 O96019
P55851 P61981
P40818 Q14493
Q16539 P19784
Q9UJX3 P30260
Q15047 Q9BQ95
P42680 Q06187
P61981 Q13796
Q01844 Q86SE5
Q8N474 P04628
P61601 Q13885
P06401 Q86U06
Q9Y3Y4 P35222
P31749 P14598
P48147 P30990
P04406 P04183
P16333 Q16620
O15151 P31946
P35575 Q12778
O15085 P61586
Q13387 O14733
P54259 Q9H0M0
Q8IYI6 Q15834
Q15744 P15976
Q13402 P0DP25
P41143 P04899
Q8N2W9 P04637
O14733 Q16584
P61978 Q5VWX1
P68871 P62341
Q02156 P68032
P14543 P02462
P58335 P08572
P29350 Q6GTX8
P54259 O43255
P68371 O14512
P31944 Q92851
Q15796 P19793
Q9NRW4 O14733
P08069 Q15139
O15117 O60880
Q08345 P41220
P05771 Q16625
P07948 P42680
Q15406 O75376
P06241 P54253
P21796 Q15388
P42229 P23284
Q99626 Q92793
P69905 P55209
P37173 P36897
P04156 Q06481
P49815 P24385
O00631 P26678
P34741 P15311
P04216 P06756
P0C870 P04278
P43355 Q9BZY9
P46063 P27694
P49023 Q14289
P01033 Q13011
Q9P2Y5 Q9H270
P20382 P16870
Q9NQU5 P60953
Q08495 Q9UNN8
Q96CW5 O95613
Q12913 P09619
O60674 P09619
Q5JY77 P29371
Q9HD26 P51790
Q9Y215 P22303
P63167 P60709
P14136 O00151
O75528 Q09472
P04899 P11229
Q9UQ90 Q9BQ66
P19793 P10589
P05549 P35222
P49840 Q07820
Q08211 O14893
Q15047 P84090
Q9Y6K9 Q15311
Q8WY64 Q9Y2B0
P54253 Q14671
Q92529 P07949
P27540 O15198
P62316 P62314
Q07820 Q96LC9
Q9UK53 P31946
P05154 P07204
Q9H5Q4 O00411
P48039 P62834
A0JLT2 Q9NWA0
Q9BXH1 Q07817
P17706 P42224
P12273 P01730
Q13017 P08648
Q9Y5R2 Q15726
P31749 Q86YN6
Q9UBC2 Q9Y6I3
P50552 Q96MA1
P18850 P25490
P49736 Q13368
Q9BQG0 P10275
Q16539 Q9UQD0
O00339 P53420
P43405 P02730
Q13753 Q02388
P14136 O00255
Q9C0A0 O14936
Q96RU7 P31751
O43426 Q99961
P10916 Q6UWE0
P68400 O14529
P61981 Q9UQB8
P35348 P25025
P31785 P60568
P32745 P63096
Q07666 P07948
Q15345 Q15370
P13984 P05412
P04632 Q9C099
Q8WWW0 P01112
P05556 P13611
P26368 Q8N684
O75340 Q96B97
O14936 P11171
Q99704 P05107
P16949 Q9NRR5
Q14689 Q07687
Q9BZ29 P60953
Q96T60 Q9BQ66
Q14449 Q02763
Q9Y4A5 P03372
O15394 P04156
Q9H078 O15198
Q99972 P60033
Q9H334 O15409
P29275 P15311
P24821 P02751
P49916 Q9NUW8
P14672 Q8WVX9
P48039 P08754
Q9UBF6 Q13616
Q15545 Q00613
Q9H267 Q9H9C1
Q96J92 O14493
O15111 P08238
Q9P2W3 Q12959
Q92793 P10242
Q9NVR2 P04049
Q15080 P12956
P04234 P27824
Q9Y678 O14579
P07384 O14744
P11142 P84090
P31749 P29474
P19957 Q9UNI1
Q92692 Q15762
Q9NP31 P42681
P26038 P05362
P07814 Q8IXH7
Q9Y294 P84243
Q9NZL4 P11142
Q16832 P02452
Q9Y6C5 Q14623
O00311 P25205
P46094 P47992
O60869 P21675
O00253 Q9UBU3
P23458 P52630
O15379 Q8TF05
Q13573 P11473
P11274 P27348
Q9BUN8 P08582
Q12933 Q86TN4
Q92597 P34897
O60333 O14908
P17927 P02745
Q92817 P35908
Q99558 P30086
O15162 Q9P0T4
O00220 Q9UBN6
Q9UGK3 P12644
Q13111 P68431
O75962 P10586
O60507 P32246
P49286 P27348
Q13158 O00220
Q13330 Q8IXH7
P10515 O00330
P17275 Q14494
P35414 Q9ULZ1
P61088 Q8TEB7
Q96ST3 P06454
Q9Y5N6 Q13416
P22748 Q9Y6R1
P55064 Q99750
P08631 O60496
Q15796 P31269
Q15303 P21860
O43765 P10912
Q05516 Q9Y618
Q92731 Q9NPJ4
Q14934 P27348
P35222 P19022
Q06732 P54257
Q08629 P08253
Q15468 Q13526
Q14686 P19793
Q7LBR1 O95630
Q06265 Q13868
P10244 Q9UNY4
O00562 P61586
P42574 P06454
P62993 Q96B97
P20226 P49736
Q9NPF5 P26358
Q9UIV1 P11802
P62917 Q9H6J7
P43364 Q8IXB1
Q15311 Q8NFH8
Q13315 P16220
Q16658 P08138
P23469 P06241
P12956 P38936
O00548 P49768
P49959 Q09472
P63104 P49815
P21964 P12821
P23246 Q9UK76
P84022 P45983
P61163 O15020
P27986 Q9BW27
P54253 O75909
Q96JC9 P55199
P11362 P78314
Q9Y5N6 Q99741
Q15650 P10275
Q7L5D6 Q8NBM4
Q8IW41 P28482
Q9NV58 Q9NRH3
P61981 P27448
A5D8V6 Q99816
Q15052 O75914
P16473 Q9UI14
Q14005 P78508
Q15102 Q9H190
P11274 Q04917
Q05655 P30411
P09544 Q9UP38
O00463 O43734
Q16548 P62993
O60356 Q6ZW49
P55209 Q92793
P61978 Q8NE01
Q9NSN8 O60941
P02765 P07585
Q99418 Q96HB5
Q15119 Q96JB3
O00161 P23763
P32927 P43405
Q15653 O15160
O75807 Q9Y496
O95398 P62070
Q9NZU7 Q14643
P50750 Q13309
P61296 P06748
P09211 Q00597
P00533 Q16695
P18848 P17676
O95832 P50281
O60674 P25963
Q9BUZ4 O94875
Q13569 P29590
P42574 P35251
Q99759 Q99683
P42680 Q99704
Q07021 P17252
Q8IX12 Q92851
P29466 P49768
Q05655 P41594
P54257 Q9H7E9
Q8NFW9 P51159
P62070 Q13485
O75676 P27361
Q96EY5 Q9Y5K6
P35241 P13598
P01112 P61224
P04004 P01344
P42768 Q8N8S7
Q8WXH0 P68032
Q12791 P30519
P01130 Q5SW96
P08579 Q08211
Q01780 Q99828
O15530 Q04917
Q86UW9 Q86Y01
P62851 O43147
P0DTE7 Q92667
P10321 P61769
Q9UQF2 Q9UPT6
P11802 P35249
Q9BUL9 Q969H6
P51681 P42681
P22607 P08620
P01160 Q9NRR5
Q8N8S7 Q8WZ75
P52657 P29083
O15105 Q9UNY4
P05106 P02751
P00747 P60903
Q16549 Q14103
P28482 Q13480
P16389 P61586
P43694 P52943
O94875 P14618
Q9UM13 Q12834
P02686 P54253
Q9UN74 P78509
P52564 P53778
P51116 Q9Y4E5
Q9NV92 Q9HCE7
Q96PN7 Q92793
Q9BYD3 Q9GZR7
Q03113 P21918
Q9H1K0 P20339
Q9NYJ8 O43318
P23458 O14543
Q13387 Q16584
Q99750 Q8IYX3
P51692 Q02763
Q92887 P35241
Q99418 P05107
P10275 P12956
P49759 P02686
Q15831 Q9NRH2
P30086 P28482
Q6UB99 P12931
Q9UBS8 P03372
Q01780 Q9H7Z7
P61981 P78527
P17612 P60983
Q9UHD2 Q7Z434
P17252 P10451
P28336 P08949
Q969D9 P16871
Q16644 Q16539
Q12988 Q15047
P19338 P04150
P07948 P14317
P49286 P21333
O14931 P20963
Q9UL54 P19419
Q13087 P27797
Q92817 P01040
P27986 P49768
Q99558 P08238
O43684 O60566
P80075 P51677
Q00994 Q9NR28
P04003 Q07954
P27361 P17097
Q14112 P11047
Q99689 Q14596
P05000 P17181
O60462 Q13275
O60566 P63010
Q92835 P24394
Q14181 Q9BTY7
Q92597 P35606
Q9NRM7 Q13188
Q9UHI6 P62314
Q93038 Q15628
Q9P2Y5 Q9H269
Q03135 P18031
P54253 Q96RK0
O14980 Q9H4D5
P42330 Q9UKY1
Q13469 Q05513
P07332 P20936
Q08945 P11831
P02747 P02746
P06400 P26358
P45984 Q9UIA9
O43765 Q9Y624
Q14145 Q13402
Q8NEU8 O94776
Q6P5Z2 Q9UNA1
Q99708 Q13422
P60880 P51809
Q9NV58 P23258
Q13332 Q8IWV7
P15884 Q02535
Q8N5U6 Q9BVJ6
P63010 O75348
Q6PJP8 Q12888
Q15583 Q5T3J3
P26641 O95544
Q9Y3C5 P42566
Q12891 Q04912
P00533 P78545
Q969Q1 P61956
P48552 Q15834
P19784 P49795
Q9NNX6 P13598
Q9UPQ3 Q02108
P14543 P05067
Q13797 P21673
P28715 Q01844
O95747 P55011
P49841 Q8IZQ8
Q9UQR1 P40763
Q04724 O15550
Q8WZ42 P0DP25
O60741 Q9UL51
P24928 Q7KZF4
Q16539 P84022
P24530 P29992
P49768 P14923
P24386 Q13637
P11831 P15923
P27986 O60603
P29323 O00560
P10515 P08559
Q13671 P42684
P04004 P01189
O00212 O60879
O76081 P08754
Q9P298 P0CAP2
O60496 P07949
P17676 P18146
Q96GP6 Q14162
O14543 P16471
P53350 Q9UBS3
Q8N3F8 P62820
P51587 Q9BXW9
O43439 Q9Y618
Q9H9Q4 P49917
Q13224 Q9BXS5
P61978 P63279
P13010 Q14686
Q9NSA0 Q5T2W1
Q13131 Q13002
Q8WV28 Q13191
P48995 Q13563
O95466 P07737
Q8IZJ4 P62834
O00238 O14544
O14976 Q00535
P38919 Q9Y5S9
Q7LBR1 Q02833
Q15102 Q9UKR5
P63010 Q9NYB0
Q14680 Q12972
Q92730 Q14451
Q9P2W1 P04150
P31749 P04049
