O75916 Q02846
Q16891 Q9NX18
O14737 Q9P2H0
O43323 Q13635
O75525 Q92530
Q01968 Q00610
Q9UMX0 O60844
Q9GZP4 Q6P1J9
P54253 Q8IWZ3
P30419 Q9Y689
P11387 P68400
Q9H3M0 Q8TDN1
P09104 O00762
Q9HAU4 Q99717
O94875 O43426
Q96SL8 P36888
O75077 P04156
Q8NFH4 P36897
Q99990 Q99594
Q9H228 Q03113
P49802 P31946
O14777 Q53G59
O96019 P51532
Q06418 P07947
P01042 P07996
O00214 P26006
P23468 P18433
P36507 P15056
O75631 O75841
O00459 P22681
P03952 P01042
Q9NZ81 Q53G59
O15524 P16333
P35520 Q9NP79
Q9UQC2 P27986
P00918 P02730
P02654 P02652
Q06124 Q02763
Q8N715 Q9BQD3
O15392 P11802
O14508 P08069
Q13685 Q8IXH7
Q9Y297 Q13485
P62993 O96013
Q8NHW3 Q13562
Q08881 P16885
Q96T76 P32780
P42768 Q99828
Q15047 Q8TAD8
Q9UKR5 Q9BWC9
P54619 Q13131
Q9H840 P14678
Q9Y2D1 Q9NRI5
O43791 P52945
O75925 Q04206
P46379 Q9UBS4
O00238 P22004
P51617 Q06187
O00255 Q9UBU7
P34820 P12644
P55008 P13796
Q01780 O95777
Q99708 P06400
Q15172 O60674
O43294 P37173
Q05655 P16144
P20340 P24386
O14936 Q13002
O75376 Q06455
Q92624 Q9H1J7
P05154 P07288
O95870 Q92900
Q9Y3C7 O95257
P40189 P21860
P49910 Q9NR12
P62333 Q8TAB5
P16112 P98095
Q9H6R7 P08631
Q9Y221 Q76FK4
Q9NRD5 Q92692
Q9NZN4 Q13492
O95997 P04637
P27482 Q9H0B3
P42574 P56945
P61204 Q9NRD5
Q06124 P35568
P41240 P16070
O15105 Q9UNY4
Q96TC7 P61981
Q92806 P21917
Q06141 P34741
Q15365 Q8WVV9
O15162 Q96RN5
Q92624 Q92824
P63244 P26010
O60383 P51159
Q96FN4 P61081
P19838 P38398
Q9BXI6 P15311
Q9HBA0 P07947
Q06413 Q09472
Q15306 Q99836
Q5RL73 P08670
Q9UQC2 P46109
P21810 P05067
Q9Y2I6 Q9UJ04
Q8N668 Q13616
Q8WU39 P55211
Q15327 O14958
Q15052 O00238
Q5T5P2 O60504
Q9BQD3 Q96LK0
P25098 P05387
Q9NW61 P36897
Q6UW60 P01344
P51679 O00626
O15151 O15350
Q15436 P53992
P42574 P10636
P52435 Q9NY61
P42025 P68133
P11230 Q7L5N1
P30101 P04439
O15360 O14920
Q16270 P08476
P11940 Q8IYD1
Q9HAU5 Q04637
Q16594 O00268
Q9GZQ6 O15130
Q92569 P06213
Q6EEV6 Q9GZP4
O95229 Q9H081
P52564 Q99683
P17252 P34741
P04271 P08133
O75970 Q9UQM7
P49790 Q14974
Q9UKS6 Q05193
P42166 P20700
Q14103 P00338
Q16342 P51610
Q00688 P19784
P31269 Q15654
Q7Z2D5 Q70Z53
Q15464 P43403
O60706 P26641
Q9Y6N9 Q9H251
Q8IWA4 Q16611
P61981 P27708
A1A4S6 Q13177
Q04206 P0DP25
Q12929 P05556
Q9ULV8 P12931
O95477 Q92796
P06213 P19174
Q9BQY4 Q8N2M8
P21359 P05067
P49841 Q00535
P25788 P38936
P59998 P61160
P30530 P22681
P54253 O14602
P11171 P14416
O60841 P22681
Q13111 P12004
O75914 P16333
Q96DU3 P43403
Q03405 Q15527
O43426 Q96B97
P21673 Q9BWH2
P41597 P51671
Q9Y276 Q9GZR7
Q13501 P42263
Q9Y3B2 Q9NQT4
Q9NS15 Q99075
P15090 Q05469
P98082 Q13526
P13349 P15923
P16144 P08670
Q07960 P68366
Q7Z7C8 Q6P1X5
O00151 Q9NVW2
Q16254 Q08999
Q99829 Q02750
O14908 P04629
P17480 P21675
Q14031 P05067
Q9NQ87 O15105
Q9NP79 Q8WZ19
P05787 O75618
Q9Y448 Q9NZW5
P00747 P25391
Q9BX66 P22681
Q5FBB7 P12956
O43318 Q9Y4K3
O14793 O43765
Q16778 P21980
Q13349 P05107
P12814 P18206
P49639 O95967
Q8IYB3 Q9UQ35
P23588 P06730
Q9NPB6 Q04917
Q9H8W4 Q15834
O14920 Q9UHD2
O15315 P07305
Q99704 P46109
Q09472 Q99966
P25942 P27986
P12931 Q02156
P61981 Q7Z417
Q9HAT8 Q9NWZ3
P62258 P35568
Q99436 Q9Y244
P43405 O00206
Q9H633 P78345
P26927 P01011
Q6FI13 P62256
Q13596 P48357
Q16790 P35222
P21673 Q96BY9
O00212 Q15796
Q12983 Q08722
Q9Y5X5 O15130
Q96CJ1 P23193
P23458 P29597
O14920 Q9Y6Q9
Q9UMR2 Q9UIA9
O43921 O14672
Q9Y262 Q9H9Y6
Q9UNY4 P22626
Q13546 O76080
Q9NRL3 Q6T4P5
Q6EEV6 O75312
Q9BXX0 Q9Y6C2
Q04771 Q6ZV73
Q6DT37 P60953
Q9UBW7 P31942
Q9H211 P24941
O00220 P51398
P42574 Q14116
P51681 P25098
Q14565 P27694
P51692 Q02763
Q9BPZ3 P11940
Q8N137 Q99698
P21673 Q9NPI5
Q99459 O43913
P14921 P42226
P49790 Q15796
Q92997 P35813
Q9NPI1 Q5UIP0
Q9UJY1 O95817
Q14289 Q12879
P15170 P54253
Q14839 P51532
P17252 P43119
O75093 P35052
P32780 Q92889
P05162 P68366
Q96CG3 Q12933
Q05655 P35612
P33241 P63261
P04637 P26447
P40425 P40424
O00401 P07737
P30519 Q5JY77
Q15797 Q9Y2H8
O75955 Q14254
Q96SI9 Q9NVV9
P05386 Q86YJ7
P34932 Q9Y4K3
Q13309 P0CG47
Q13242 Q07021
Q9NRD5 P78348
Q5MIZ7 P60510
Q8IYI6 Q8N6Y0
P12318 Q9HCN6
Q8N122 Q13541
P63279 P14672
P27348 P16144
P62070 P02765
Q92597 P08473
P32239 P06307
P09884 P06400
Q05209 P36888
Q14520 Q14031
P03372 P01160
P01275 P16870
Q99558 P27361
Q13158 P53355
Q9HAU5 Q9H0D6
P03372 P17535
Q13277 Q15833
P17612 Q93045
P09493 P60709
Q15124 P11532
Q8N122 P23443
P27361 Q9NQ66
Q8TAP4 Q9BQD3
P49448 O75674
P35900 Q15834
Q92831 P33076
Q12923 P48023
Q92529 Q9UM73
O75155 Q15386
P06241 P48023
Q99418 P05107
P36405 Q71U36
Q9NUQ8 Q8NC60
P21246 Q9Y383
P04275 P02452
Q96PM5 P04637
Q14005 P01730
P34947 P21731
O14836 Q9Y275
Q96GD3 Q9NRR5
O95292 P63027
Q04724 Q9UGL9
Q04771 O14526
Q13547 P17542
Q12968 Q15361
O15226 Q04206
Q16514 P21675
O94972 Q96KB5
P52333 P40763
P45985 P45984
Q15078 P12814
P19419 Q02363
Q9NYL2 O14733
P78536 P46531
Q9H0M0 Q15038
Q9UQ80 P06400
P0CG47 Q13490
P35638 O43791
P35916 P05556
P05129 P60953
P28289 P20929
P25963 A0JLT2
Q9H5I1 Q9UFW8
Q7Z417 Q06787
P43405 Q13261
P63104 P20941
O95817 Q15038
P05114 P14316
P14555 P07585
P30419 P29474
P05023 P58549
O75553 Q07954
Q08495 P60709
Q15599 O00592
P51693 P17028
Q15654 Q96I34
P10599 P19838
Q86UL8 Q9UQB3
P60709 P04278
P98161 O60674
O14777 Q9UL45
P09619 P27986
O15530 P23443
P62633 Q15366
P48436 O75444
Q96A56 P04637
P33151 P14923
O15524 Q9P1W9
Q02641 P63167
Q15788 P10589
P21980 Q14766
P17612 Q13351
P00492 Q96HA8
P61981 Q14739
P17600 P19174
P16519 P10997
Q13573 P28749
P17252 O43526
Q8N1W1 Q04917
P54253 P28676
Q9NR28 P98170
P49910 Q9NWS9
P18850 P78347
P10415 P27361
Q9ULB4 P55285
P68104 Q14761
O95219 O00499
Q92841 P17844
Q02094 P02730
Q9UKF7 Q6RW13
P43694 P52952
Q13794 Q16548
Q13526 P10415
Q12933 Q5T124
Q75N03 P12830
P78527 P04637
Q9HBH9 P03372
P04049 O43597
P42330 Q9UKV3
P17706 P23458
Q15545 Q6P1X5
Q9HD26 P51790
O14773 O14746
P61247 Q96GM8
Q15811 Q9Y5X3
P04637 Q16363
P29350 P52333
P11274 P61981
P28482 P06239
Q9NWQ9 Q9C099
Q92585 Q04721
Q13424 P29475
O00238 Q9NW38
P13667 P04114
P12931 P03372
Q12967 P01116
P27986 P04626
Q9NS15 P10600
Q96GT9 Q96KQ7
Q13033 P0DP25
P62979 Q15796
P24666 P06213
P04637 P42773
P50613 Q9BYE7
P31994 Q92835
Q15788 P42226
Q96CW5 Q9NRH3
Q13077 O43734
Q9Y376 Q9C0K7
P07949 Q6PKX4
Q99767 Q04206
Q15797 Q92831
Q93034 P62877
P05091 Q6NSW5
P68400 Q9UHC3
P63279 Q92754
Q13158 Q9HAV5
P28908 Q9UM73
O75460 Q99683
Q86SG2 Q86TC9
Q99558 P30086
Q9UHY1 Q5T3J3
Q9HAU4 O15105
P54259 Q96R06
Q9UHK0 Q06787
Q15329 P28749
P00749 P35237
O00587 O00548
O43561 P01730
Q13555 P17600
Q969S2 Q09472
O60462 Q13275
P42702 P26441
Q13705 P08476
Q8IV36 Q9BUH8
Q9UK53 P61981
Q92793 Q04206
Q03135 P03372
Q9NRS6 Q96BY9
P19784 P17931
P41002 P14635
O00626 Q99731
Q9NSN8 P11532
Q03111 Q9HC52
P56539 P08237
Q9Y2Y4 P23769
P27540 Q14190
Q5JY77 P30556
P17252 P48067
P35462 P24534
P05783 Q9UGJ1
Q92597 P17980
O00206 Q9UPT6
P49910 Q15834
P14923 Q08554
Q99816 P04150
P29466 P54259
O43809 Q16630
Q01844 P17096
Q8N3F8 P62820
Q14781 Q8N488
P20042 Q13432
Q9UKQ2 P13612
Q07960 P60953
P61201 P19793
P30279 P06400
Q15393 P61981
P67775 P62495
P32780 P19174
O00470 P31277
Q8TEW6 P20936
P16885 P30273
P27361 Q13480
P30874 P27986
Q9NQC7 Q12933
P04629 P18031
Q9BQG0 P12004
Q17RD7 Q8NB59
P06753 P60709
Q99972 Q9BX51
P35711 P35712
Q13118 P08047
P24530 P14138
P16144 Q9UMD9
Q9HCN6 P07948
P04637 Q01094
P0DPH8 P49023
Q6ZWJ1 Q12846
Q96RI0 O00254
A6NIX2 Q9Y5K6
Q13137 Q96ME1
Q9H082 P36897
Q13177 Q99962
Q99607 P0CG47
Q8N5U6 Q9GZT6
Q7Z6B0 Q9UJY5
P27635 P62380
Q09472 O95359
P22460 P35609
P31946 Q14C86
Q9UM63 P04637
