P15938 Q12354
P32797 P38960
P53855 P43601
P38987 P02557
P48813 P38264
P06774 P36036
P54790 P54791
P00830 P81449
P32628 P25347
P36068 Q02821
P35191 Q12223
P38009 P19735
P14724 Q12440
P38264 P17064
P53947 P11710
P32796 P32796
P25558 P29055
Q04839 Q12315
P40008 P30822
Q12063 P15625
P39904 P20606
P40054 Q08963
P32570 Q12124
P40069 Q12063
P13365 P09959
Q03862 P39704
P14242 P25847
Q12493 Q12483
Q03897 P04173
P02557 P53632
P30771 P30771
Q12300 P35844
P12753 P33895
P33301 P09798
P25655 P48360
P38700 P43617
P32179 Q08754
P19735 P04802
P16370 P04050
P25555 Q07623
P32473 P32898
P53207 Q08920
Q08229 P53939
P07250 P07249
P25491 P32502
Q06632 P29468
P11745 P38852
P47093 P04173
P07703 P25441
P40302 P32496
P37838 Q08235
Q03782 Q05900
P38843 P53322
P12695 P38319
P06843 P02994
P40485 P42846
P12695 P25646
Q06287 P17442
P32366 Q12031
P40069 P02309
P38633 P21691
P27796 P38855
Q03213 P38930
P25644 P53550
P34160 Q99177
P38144 P10507
Q03370 Q06169
Q04048 Q04048
P38304 Q02630
P38630 P40339
P04840 P33308
Q12277 Q05636
Q12263 P38089
P40988 P40991
P05317 Q08601
P32502 Q06410
P15992 P15790
P17967 P32458
P48559 P19524
P40368 P14907
P32570 Q02336
P32368 Q12402
P14904 Q12349
P43601 Q04958
P37366 P35177
P49704 P40051
Q12159 Q99257
P41697 P40450
P25491 Q12152
P25491 P18851
P43132 P36104
P41318 P38873
P80235 P32366
P32844 P38261
P38883 Q12522
P32602 P17558
P32381 P05150
Q07844 Q08273
P40010 P53261
Q08278 P33308
Q06204 P36154
P34162 P32569
P47108 Q07623
P40956 Q00539
P15992 P27801
P32316 P40348
P09624 P53877
P28274 Q12379
P50623 P14291
P38042 Q04601
Q00362 P16861
P40469 P47079
P38692 P43588
P38293 P13517
P40106 P06839
P38829 P38296
P21268 P38203
P39073 Q12124
P33750 P39079
P16387 P28320
P25344 P25649
P00358 P07703
P06102 P53280
P39715 P07702
P12612 P41811
P06100 P39073
P33331 Q04675
Q99385 P34249
P53861 P04147
P05150 P22204
P10964 P22139
P35845 P32794
P32610 P12753
P16140 Q04477
P36160 Q04149
P50277 P39981
P53730 P38326
Q99189 P40344
P43572 Q12432
P40169 P38250
P39011 Q04921
Q02336 P13393
P00830 Q03944
P40078 P33201
P40567 P53615
P38319 P09624
Q02895 P47135
P26188 P16140
P19358 Q04149
Q08903 P47135
P38260 P23180
Q12346 O13558
P53337 P40009
P47120 P53934
P38166 P43534
P38072 P00410
P25646 P06777
P38629 Q12306
P17121 P47135
P40364 P25343
P04173 P23595
P53068 P38042
Q07904 P38356
P41811 P35191
Q02260 P19736
P19735 Q12330
P40360 P38272
P28000 P41940
P17555 P38793
P47154 Q99190
Q12495 Q04199
P25694 P33322
P38144 P53125
P36145 P04050
P07703 P04385
Q05636 P38792
P46655 P38987
Q04087 P47135
P21242 P22141
Q12147 Q06675
P40991 P00427
P25655 Q08273
Q06632 P36104
Q00916 P34160
P32911 P14540
Q06217 P38203
Q02630 P39705
Q12402 Q12066
P33419 P11709
Q12402 P53048
P13574 P11746
P45976 Q06632
P07278 Q00916
P34758 P30822
P25491 Q00362
P00549 P21965
P48510 P32628
P89105 Q01159
Q08920 P53617
P32453 P06100
P40495 P07260
P12709 P32381
P38633 Q03831
P07259 Q08273
P50086 P53196
P19882 Q08387
P25491 Q02574
Q06213 P25046
P29055 O13543
Q03330 P38811
P40570 P11710
Q06315 Q00772
Q07551 P32911
P22147 P53861
Q02574 Q07923
Q12241 P36015
Q12349 P38841
P38149 Q04305
P38986 Q02866
P14540 P53917
P04385 P25342
P53112 P38633
P40357 P30619
P42943 P32641
P18759 P41811
Q12754 Q07381
P38962 P25299
P38286 P49018
P25644 P30822
P25694 P41808
P22141 P38348
P38328 P14540
P35723 Q07824
Q06648 P25344
P53845 P53633
P36047 Q04693
P48837 P53271
P22214 P25301
Q02260 Q08963
P52919 P25293
P17121 P25644
P29055 P05318
P32861 P38316
Q04370 Q08215
P20676 Q02821
Q02336 Q12433
Q03012 P38123
P32902 Q12365
P38615 P04821
P38692 P32464
P38428 P38729
P21242 Q08018
P14540 P32468
P16474 P40339
Q04081 P43562
P22137 Q06677
P24384 Q03654
Q02821 P39708
P11075 P33296
P32911 Q04067
P43577 Q12497
P38811 Q02821
P39994 Q00245
P53728 P40544
P39945 P32602
P36036 P36036
P32797 P05694
P38356 P16661
P17065 P17065
P27895 P40055
P38261 P22224
P46961 P36057
P38238 P46948
P08518 P53894
P43621 P41810
P06197 P25087
Q07508 P39935
P31111 P31111
Q08581 Q08581
P07251 P53541
P15380 P14908
Q12124 Q02821
Q07438 P53899
P38782 P41896
P32902 P17558
Q04477 Q12680
P38837 P38842
Q04934 P38692
P23179 Q02793
Q02821 P46948
P87271 Q06247
P40070 Q06708
Q07468 P12868
P38748 P36113
P31334 P36519
P47135 P48362
Q03497 P38822
P25619 P49573
Q12329 Q07930
P39935 P04147
P35194 Q07623
P30902 Q06405
P38842 P49018
P18410 P38757
Q06673 P50101
P35178 P40991
P32454 P22146
P32836 Q12063
P10823 P41940
